page,text
1,ANNEXE V
1,2025-08 Annexe V - 1 LISTE DES MÉDICAMENTS  POUR LESQUELS
1,LA MÉTHODE DU PRIX LE PLUS BAS NE S’APPLIQUE PAS
1,
1,
1,
1,28:28
1,agents anti -maniaques
1,lithium (carbonate de)
1,
1,36:26
1,diabète sucré
1,réactif quantitatif du glucose dans le sang
1,
1,36:88
1,contenu de l’urines et des selles
1,réactif semi -quantitatif de l'acétone et du glucose
1,
1,
1,36:88.40
1,sucre
1,réactif semi -quantitatif du glucose
1,
1,
1,56:36
1,agents anti -inflammatoires
1,5-aminosalicylique (acide)  Co. Ent.
1,5-aminosalicylique (acide)  Co. L.A.
1,
1,68:18
1,gonadotrophines  et antigonadotrophines
1,leuprolide (acétate de)
1,
1,68:20.08
1,insulines
1,insuline isophane bio -synthétique de séquence humaine
1,insuline lispro
1,insuline zinc cristalline bio -synthétique de séquence humaine
1,insulines zi nc cristalline et isophane bio -synthétiques  de séquence humaine
1,
1,68:36.04
1,agents thyroïdiens
1,lévothyroxine sodique
1,
1,84:92
1,"agents de la peau et des muqueuses, divers"
1,hydrogel
1,
2,Annexe V - 2 2025-08 86:16
2,relaxants muscles lisses voies respiratoires
2,théophylline  Co. L.A.
2,
2,90:28
2,thérapie immunosuppressive
2,cyclosporine
2,
2,92:00
2,divers agents thérapeutiques
2,allergènes (extraits aqueux glycerinés d')
2,allergènes (extraits aqueux glycerinés non normalisés et normalisés d')
2,allergènes (extraits aqueux glycerinés normalisés d')
2,allergènes (extraits précipités à l'alun)
2,allergènes  (extraits aqueux d')
2,diluant à l'albumine
2,protéines de venin d'hyménoptères
2,venins d’hyménoptères
2,
2,
2,médicaments d'exception
2,capteur Dexcom G6
2,capteur Dexcom G7
2,capteur FreeStyle Libre 2
2,émetteur Dexcom G6
2,méthylphénidate  (chlorhydrate de)  Co. L.A. (12  h)
2,pansement absorbant - chlorure de sodium
2,pansement  absorbant - fibres gélifiantes
2,pansement absorbant - mousse hyd rophile seule ou en association
2,pansement absorbant bordé - fibres gélifiantes
2,pansement absorbant bordé - mousse hyd rophile seule ou en association
2,pansement antimicrobien – argent
2,pansement antimicrobien – iode
2,panseme nt antimicrobien bordé – argent
2,pansement anti -odeur - charb on activé
2,pansement de rétention de l'humidité - hydrocolloïde ou polyuréthane
2,pansement de rétention de l'humidité bordé - hydrocolloïde ou polyuréthane
2,pansement interface - polyamide ou silicone
3,Légende
3,
3,Symboles utilisés dans cette liste
3,"Z Médicament assujetti au Règlement sur les stupéfiants (C.R.C., ch. 1041)."
3,
3,X Médicament de l’annexe F du Règlement sur les aliments et drogues.
3,
3,Y Drogue contrôlée faisant partie de la partie G du Règlement sur les aliments et drogues
3,"(C.R.C., ch. 870)."
3,
3,V Médicament assujetti au Règlement sur les benzodiazépines et autres substances
3,ciblées (DORS/2000 -217).
3,
3,* Médicament dont les données ont été modifiées par rapport à l’édition précédente.
3,
3,+ Médicament ajouté par rapport à l’édition précédente.
3,
3,suppl.  Le coût de service pour ce produit est celui applicable aux formules nutritives.
3,
3,UE Médicament jugé unique et essentiel d’un fabricant non reconnu.
3,
3,R Produit retiré du marché par le fabricant mais qui demeure payable par la Régie
3,durant la période de validité de la présente édition.
3,
3,"PPB La méthode du prix le plus bas s’applique à cette dénomination commune, forme et"
3,teneur.
3,
3,Identifie le prix payable en conformité avec la méthode du prix le plus bas.
3,
3,Identifie le prix maximum payable.
3,
3,
4,
5,4:00
5,ANTIHISTAMINIQUES
5,4:04 antihistaminiques de première
5,génération
6,
7,4:04
7,ANTIHISTAMINIQUES DE PREMIÈRE GÉNÉRATION
7,DIPHENHYDRAMINE (CHLORHYDRATE DE)
7,50 mg/mL   PPB Sol. Inj.
7,
7,00596612  Diphenhydramine
7,(chlorhydrate de)Sandoz 1 ml
7,"4,04"
7,02219336  Diphenist Oméga 1 ml
7,"4,04"
7,FLUNARIZINE (CHLORHYDRATE DE)   X
7,5 mg Caps.
7,
7,02246082  Flunarizine AA Pharma 60
7,"10043,22"
7,"72,030,7203"
7,"0,7203CODE MARQUE DE COMMERCE FABRICANT FORMATCOÛT DU"
7,FORMATPRIX UNITAIRE
7,2025-08 Page    3
8,
9,8:00
9,ANTI-INFECTIEUX
9,8:08 anthelmintiques
9,8:12 antibactériens
9,8:12.02 aminosides
9,8:12.06 céphalosporines
9,8:12.07 bêta ‑lactamines diverses
9,8:12.12 macrolides
9,8:12.16 pénicillines
9,8:12.18 quinolones
9,8:12.20 sulfamides
9,8:12.24 tétracyclines
9,"8:12.28 antibactériens, divers"
9,8:14 antifongiques
9,8:14.04 allylamines
9,8:14.08 azoles
9,8:14.28 polyènes
9,8:16 antimycobactériens
9,8:16.04 antituberculeux
9,"8:16.92 antimycobactériens, divers"
9,8:18 antiviraux
9,8:18.04 adamantanes
9,8:18.08 antirétroviraux
9,8:18.28 inhibiteurs de la neuraminidase
9,8:18.32 nucléosides et nucléotides
9,"8:18.92 antiviraux, divers"
9,8:30 antiprotozoaires
9,8:30.04 amoebicides
9,8:30.08 antipaludiques
9,"8:30.92 antiprotozoaires, divers"
9,8:36 anti ‑infectieux urinaires
10,
11,8:08
11,ANTHELMINTIQUES
11,MÉBENDAZOLE   X
11,100 mg Co.
11,
11,"00556734  Vermox Janss. Inc 6 19,27 3,2117"
11,PRAZIQUANTEL   X
11,600 mg Co.
11,
11,02230897  Biltricide Bayer 4
11,"623,12"
11,"34,685,7800"
11,"5,7800"
11,PYRANTEL (PAMOATE DE)
11,125 mg   PPB Co.
11,
11,"02380617  Jamp-Pyrantel Pamoate Jamp 10 7,18"
11,"0,7175"
11,"02535467  Riva-Pyrantel Pamoate Riva 10 7,18"
11,"0,7175"
11,50 mg/mL Susp. Orale
11,
11,02412470  Jamp-Pyrantel Pamoate
11,"SuspensionJamp 30 ml 23,10 0,7700"
11,8:12.02
11,AMINOSIDES
11,AMIKACINE (SULFATE D')   X
11,250 mg/mL (2 mL)   PPB Sol. Inj.
11,
11,02481073  Amikacin Sulfate Injection Marcan 1
11,"62,40"
11,02242971  Amikacine (Sulfate d') Sandoz 1
11,"62,40"
11,02525909  Sulfate d'Amikacine
11,"InjectionHikma 10 849,00 84,9000"
11,02486717  Sulfate d'Amikacine
11,InjectionOméga 1
11,"62,40"
11,02529459  Sulfate d'amikacine pour
11,"injectionJamp 10 624,01"
11,"62,4008"
11,"02506599  VPI-Amikacin VPI 10 624,01"
11,"62,4008"
11,TOBRAMYCINE (SULFATE DE)   X
11,40 mg/mL   PPB Sol. Inj.
11,
11,02420287  Jamp-Tobramycin (avec
11,agent de conservation)Jamp 2 ml
11,30 ml
11,"2,41"
11,"36,15"
11,02230640  Tobramycin Fresenius 2 ml
11,30 ml
11,"2,41"
11,"36,15"
11,99005069  Tobramycine (sans
11,préservatif)Sandoz 2 ml
11,"2,41"
11,02241210  Tobramycine (sulfate de) Sandoz 2 ml
11,"2,41"
11,02502372  Tobramycine Injectable Sterimax 2 ml
11,"2,41"
11,02533103  Tobramycine pour injection Jamp 2 ml
11,"2,41CODE MARQUE DE COMMERCE FABRICANT FORMATCOÛT DU"
11,FORMATPRIX UNITAIRE
11,2025-08 Page    7
12,8:12.06
12,CÉPHALOSPORINES
12,CÉFADROXIL (MONOHYDRATE DE)   X
12,500 mg   PPB Caps.
12,
12,"02240774  Apo-Cefadroxil Apotex 100 58,95"
12,"0,5895"
12,"02544792  JAMP Cefadroxil Jamp 100 58,95"
12,"0,5895"
12,"02235134  Teva-Cefadroxil Teva Can 100 58,95"
12,"0,5895"
12,CÉFAZOLINE SODIQUE   X
12,1 g   PPB Pd. Inj.
12,
12,"02108127  Céfazoline Teva Can 10 26,96"
12,"2,6961"
12,"02297205  Céfazoline pour injection Apotex 10 26,96"
12,"2,6961"
12,"02237138  Céfazoline pour injection Fresenius 10 26,96"
12,"2,6961"
12,"02437112  Céfazoline pour injection Hikma 25 67,40"
12,"2,6961"
12,"02308959  Céfazoline pour injection Sandoz 10 26,96"
12,"2,6961"
12,02465469  Céfazoline sodique pour
12,"injectionSterimax 10 26,96"
12,"2,6961"
12,2 g Pd. Inj.
12,
12,"02524791  Céfazoline pour injection Sterimax 10 57,12 5,7120"
12,10 g   PPB Pd. Inj.
12,
12,02108135  Cefazolin Teva Can 1
12,"30,15"
12,"02297213  Céfazoline pour injection Apotex 10 301,50"
12,"30,1500"
12,"02237140  Céfazoline pour injection Fresenius 10 301,50"
12,"30,1500"
12,"02437120  Céfazoline pour injection Hikma 10 301,50"
12,"30,1500"
12,02308967  Céfazoline pour injection Sandoz 1
12,"30,15"
12,02465477  Céfazoline sodique pour
12,"injectionSterimax 10 301,50"
12,"30,1500"
12,500 mg   PPB Pd. Inj.
12,
12,"02108119  Céfazoline Novopharm 10 25,00"
12,"2,5000"
12,"02437104  Cefazoline pour injection Hikma 25 62,50"
12,"2,5000"
12,"02308932  Céfazoline pour injection Sandoz 10 25,00"
12,"2,5000"
12,CÉFÉPIME (CHLORHYDRATE DE)   X
12,2 g Pd. Inj.
12,
12,"02467518  Apo-Cefepime Apotex 1 ml 30,20"
12,CEFIXIME   X
12,400 mg   PPB Co.
12,
12,02432773  Auro-Cefixime AuroPharma 7
12,"1019,02"
12,"27,17"
12,"2,7172"
12,"2,7172"
12,00868981  Suprax Odan 7
12,"1019,02"
12,"27,17"
12,"2,7172"
12,"2,7172CODE MARQUE DE COMMERCE FABRICANT FORMATCOÛT DU"
12,FORMATPRIX UNITAIRE
12,Page    8 2025-08
13,100 mg/5 mL   PPB Susp. Orale
13,
13,"02468689  Auro-Cefixime AuroPharma 50 ml 18,32"
13,"0,3664"
13,"00868965  Suprax Odan 50 ml 18,32"
13,"0,3664"
13,CÉFOTAXIME SODIQUE   X
13,1 g Pd. Inj.
13,
13,02434091  Céfotaxime sodique pour
13,"injection BPSterimax 10 83,30 8,3300"
13,2 g Pd. Inj.
13,
13,02434105  Céfotaxime sodique pour
13,"injection BPSterimax 10 166,86 16,6860"
13,CEFPROZIL   X
13,250 mg Co.
13,
13,"02293528  Taro-Cefprozil Sun Pharma 100 43,32 0,4332"
13,500 mg   PPB Co.
13,
13,"02347253  Auro-Cefprozil AuroPharma 100 84,94"
13,"0,8494"
13,"02302187  Sandoz Cefprozil Sandoz 100 84,94"
13,"0,8494"
13,"02293536  Taro-Cefprozil Sun Pharma 100 84,94"
