page,din_rows,ok_rows,unit_only_lines,pack_continuations,generics_detected,headers_found,issues
5,1,1,0,1,4,True,Header calibration weak | Manufacturer pack leaks (1) | Multiple generics (4)
9,10,10,0,1,8,True,Header calibration weak | Manufacturer pack leaks (10) | Multiple generics (8)
10,21,21,0,2,6,True,Header calibration weak | Manufacturer pack leaks (21) | Multiple generics (6)
11,8,8,0,0,5,True,Header calibration weak | Manufacturer pack leaks (8) | Multiple generics (5)
12,18,18,0,1,5,True,Header calibration weak | Manufacturer pack leaks (18) | Multiple generics (5)
13,13,13,0,4,6,True,Header calibration weak | Manufacturer pack leaks (13) | Multiple generics (6)
14,9,9,0,6,3,True,Header calibration weak | Manufacturer pack leaks (9) | Multiple generics (3)
15,17,17,0,0,6,True,Header calibration weak | Manufacturer pack leaks (17) | Multiple generics (6)
16,21,21,0,13,3,True,Header calibration weak | Manufacturer pack leaks (21) | Multiple generics (3)
17,20,20,0,4,2,True,Header calibration weak | Manufacturer pack leaks (20)
18,16,16,0,10,3,True,Header calibration weak | Manufacturer pack leaks (16) | Multiple generics (3)
19,19,19,0,0,2,True,Header calibration weak | Manufacturer pack leaks (19)
20,8,8,0,0,3,True,Header calibration weak | Manufacturer pack leaks (8) | Multiple generics (3)
21,14,14,0,0,4,True,Header calibration weak | Manufacturer pack leaks (14) | Multiple generics (4)
22,21,21,0,1,3,True,Header calibration weak | Manufacturer pack leaks (21) | Multiple generics (3)
23,15,15,0,1,3,True,Header calibration weak | Manufacturer pack leaks (15) | Multiple generics (3)
24,26,26,0,6,1,True,Header calibration weak | Manufacturer pack leaks (26)
25,31,31,0,5,4,True,Header calibration weak | Manufacturer pack leaks (31) | Multiple generics (4)
26,17,17,0,5,6,True,Header calibration weak | Manufacturer pack leaks (17) | Multiple generics (6)
27,22,22,0,1,5,True,Header calibration weak | Manufacturer pack leaks (22) | Multiple generics (5)
28,22,22,0,0,6,True,Header calibration weak | Manufacturer pack leaks (22) | Multiple generics (6)
29,20,20,0,10,6,True,Header calibration weak | Manufacturer pack leaks (20) | Multiple generics (6)
30,26,26,0,1,5,True,Header calibration weak | Manufacturer pack leaks (26) | Multiple generics (5)
31,7,7,0,0,8,True,Header calibration weak | Manufacturer pack leaks (7) | Multiple generics (8)
32,8,8,0,0,8,True,Header calibration weak | Manufacturer pack leaks (8) | Multiple generics (8)
33,22,22,0,1,5,True,Header calibration weak | Manufacturer pack leaks (22) | Multiple generics (5)
34,10,10,0,0,9,True,Header calibration weak | Manufacturer pack leaks (10) | Multiple generics (9)
35,15,15,0,1,6,True,Header calibration weak | Manufacturer pack leaks (15) | Multiple generics (6)
36,19,19,0,0,5,True,Header calibration weak | Manufacturer pack leaks (19) | Multiple generics (5)
37,9,9,0,0,6,True,Header calibration weak | Manufacturer pack leaks (9) | Multiple generics (6)
38,18,18,0,1,5,True,Header calibration weak | Manufacturer pack leaks (18) | Multiple generics (5)
39,22,22,0,0,6,True,Header calibration weak | Manufacturer pack leaks (22) | Multiple generics (6)
40,25,25,0,3,4,True,Header calibration weak | Manufacturer pack leaks (25) | Multiple generics (4)
41,22,22,0,7,5,True,Header calibration weak | Manufacturer pack leaks (22) | Multiple generics (5)
42,13,13,0,1,7,True,Header calibration weak | Manufacturer pack leaks (13) | Multiple generics (7)
43,16,16,0,5,6,True,Header calibration weak | Manufacturer pack leaks (16) | Multiple generics (6)
44,13,13,0,0,8,True,Header calibration weak | Manufacturer pack leaks (13) | Multiple generics (8)
45,1,1,0,0,1,True,Header calibration weak | Manufacturer pack leaks (1)
49,26,26,0,4,6,True,Header calibration weak | Manufacturer pack leaks (26) | Multiple generics (6)
50,11,11,0,2,7,True,Header calibration weak | Manufacturer pack leaks (11) | Multiple generics (7)
51,10,10,0,3,7,True,Header calibration weak | Manufacturer pack leaks (10) | Multiple generics (7)
52,21,21,0,0,3,True,Header calibration weak | Manufacturer pack leaks (21) | Multiple generics (3)
53,23,23,0,5,4,True,Header calibration weak | Manufacturer pack leaks (23) | Multiple generics (4)
54,3,3,0,0,2,True,Header calibration weak | Manufacturer pack leaks (3)
