Generic,Flags,Form,Strength,StrengthValue,StrengthUnit,PPB,DIN,Brand,Manufacturer,Pack,PackPrice,UnitPrice,UnitPriceSource,Page,confidence,confidence_label
ES ENS DE TNN LRAITEMURURES PERSO COENTPO,,"S.. C IjSl.no 05 mLmg/ ( ,",08 mL,08,mL,FALSE,59585220,amiurH )euingsr(e VAbieb,"2 ,884241",,0.44217,0.44217,Printed,220,0.95,high
ES ENS DE TNN LRAITEMURURES PERSO COENTPO,,"S.. C IjSl.no 05 mLmg/ ( ,",08 mL,08,mL,FALSE,58300199,"amiurH tyslo)( VAbieb 3 el tnava tnemesruobmer nu u(cid:231)er te tnemetiart nu Øcnemmoc riova tiod ennosrep aL sram .1202 (cid:0)i ruop evarg uo eØrØdom ed(cid:239)otamuhr etirhtraylop al ed tn emetiart el el, euq noitid noc al (cid:224) ruetpircserp essinruof","2 ,884241",,0.44217,0.44217,Printed,220,0.9,high
ES ENS DE TNN LRAITEMURURES PERSO COENTPO,,"S.. C IjSl.no 05 mLmg/ ( ,",08 mL,08,mL,FALSE,14534320,liaoPr nAmge IVx eeAnn .1 2,"1 ,00033",,,,,221,0.4,low
ES ENS DE TNN LRAITEMURURES PERSO COENTPO,,"S.. C IjSl.no 05 mLmg/ ( ,",08 mL,08,mL,FALSE,35186320,veagX nAmge nu Øcnemmoc riova tiod ennosrep aL tnemetiart el tnava tnemesr uobmer nu u(cid:231)er te 4202 erbmevon 7 . (cid:0)i ruop (cid:0)(cid:3)(cid:0)W(cid:0)Q(cid:0)D(cid:0)W(cid:0)V(cid:0)L(cid:0)V(cid:0)p(cid:0)U(cid:0)(cid:3)(cid:0)H(cid:0)W(cid:0)D(cid:0)W(cid:0)V(cid:0)R(cid:0)U(cid:0)S(cid:0)(cid:3)(cid:0)D(cid:0)O(cid:0)(cid:3)(cid:0)H(cid:0)G(cid:0)(cid:3)(cid:0)U(cid:0)H(cid:0)F(cid:0)Q(cid:0)D(cid:0)F(cid:0)(cid:3)(cid:0)Q(cid:0)X(cid:0)¶(cid:0)G(cid:0)(cid:3)(cid:0)V(cid:0)H(cid:0)W(cid:0)Q(cid:0)L(cid:0)H(cid:0)W(cid:0)W(cid:0)D(cid:0)(cid:3)(cid:0)V(cid:0)H(cid:0)Q(cid:0)Q(cid:0)R(cid:0)V(cid:0)U(cid:0)H(cid:0)S(cid:0)(cid:3)(cid:0)V(cid:0)H(cid:0)O(cid:0)(cid:3)(cid:0)](cid:0)H(cid:0)K(cid:0)F(cid:0)(cid:3)(cid:0)[(cid:0)X(cid:0)H(cid:0)V(cid:0)V(cid:0)R(cid:0)(cid:3)(cid:0)V(cid:0)W(cid:0)Q(cid:0)H(cid:0)P(cid:0)H(cid:0)Q(cid:0)p(cid:0)Y(cid:0)p(cid:0)(cid:3)(cid:0)V(cid:0)H(cid:0)G (cid:0)(cid:3)(cid:0)Q(cid:0)R(cid:0)L(cid:0)W(cid:0)Q(cid:0)H(cid:0)Y(cid:0)p(cid:0)U(cid:0)S(cid:0)(cid:3)(cid:0)D(cid:0)O,"1 ,58435",,,,,222,0.4,low
ES ENS DE TNN LRAITEMURURES PERSO COENTPO,,"S.. C IjSl.no 05 mLmg/ ( ,",08 mL,08,mL,FALSE,82747220,)euingl sre(erEbn nAmge,"4 7341 ,",31,1639.67,52.89253,Printed,222,1.0,high
ES ENS DE TNN LRAITEMURURES PERSO COENTPO,,"S.. C IjSl.no 05 mLmg/ ( ,",08 mL,08,mL,FALSE,37300199,"ckliCl eeSrruEbn nAmge 81 el tnava tnemesruobmer nu u(cid:231)er te tnemetiart nu Øcnemmoc riova tiod ennosrep aL tßoa 7102 : (cid:0)i el ruop tnemetiart evarg uo eØrØdom ed(cid:239)otamuhr etirhtray lop al ed el, euq noitid noc al (cid:224) ruetpircserp essinruof","4 7341 ,",31,1639.67,52.89253,Printed,222,0.95,high
ES ENS DE TNN LRAITEMURURES PERSO COENTPO,,"S.. C IjSl.no 05 mLmg/ ( ,",08 mL,08,mL,FALSE,71086910,"negopueN nAmge . IjSl.no 003 /mLmcg ,16( mL)","01 ,918371",,9.83171,9.83171,Printed,224,0.9,high
ES ENS DE TNN LRAITEMURURES PERSO COENTPO,,"S.. C IjSl.no 05 mLmg/ ( ,",08 mL,08,mL,FALSE,45410099,negopueN nAmge nu Øcnemmoc riova tiod ennosrep aL 03 el tnava tnemesruobmer nu u(cid:231)er te tnemetiart erbmetpes .0202 (cid:0)i ruop el tnemetia rtse dsen ntosnarevepcer sed selcyc e itpendaemreØhnntoeyimo imuhco tnemetuah,"01 ,210772",,2.07172,2.07172,Printed,224,0.9,high
ES ENS DE TNN LRAITEMURURES PERSO COENTPO,,"S.. C IjSl.no 05 mLmg/ ( ,",08 mL,08,mL,FALSE,91654220,exnaopoC voInnTev a tiod ennosrep aL 5 el tnava tnemesruobmer nu u(cid:231)er te tnemetiart nu Øcnemmoc riova telliuj .8102,"03 1 ,06092",,0.0324,0.0324,Printed,224,0.9,high
ES ENS DE TNN LRAITEMURURES PERSO COENTPO,,VI... fPrP.ed,001 mg,001,mg,FALSE,61044220,"mieecdRa c sI.snJna L91 el tnava tnemesruobmer nu u (cid:231)aer te tnemetiart nu Øcnemmoc riova tiod ennosrep tßoa .0202 (cid:0)i ruop tenlemeti asredt sennosrep tnietta e s ed al eidalam ed enlha oneiØrtrCsØedtonmi uo ,evarg (cid:224) al","1 049 ,00",,,,,225,0.4,low
ES ENS DE TNN LRAITEMURURES PERSO COENTPO,,VI... fPrP.ed,001 mg,001,mg,FALSE,03915220,"tsnuaL vnfeoiASna 9220 4 833 traSloStsonu aL vnfeoiASna 5 88 , 21 81 el tnava tnemesruobmer nu u(cid:231)er te tnemetiart nu Øcnemmoc riova tiod ennosrep aL tßoa .7102",,5,88.0,21.0,Printed,226,0.85,high
