confidence,confidence_label,confidence_reason,Page,DIN,Generic,Form,Strength,Brand,Manufacturer,Pack,PackPrice,UnitPrice
0.38,low,Missing Brand (-0.18); Missing Manufacturer (-0.07); Unit price missing (-0.15); Pack cost missing (-0.22),545,99101335,SERINGUE AVEC AIGUILLE JETABLE RÉTRACTABLE,Sol. rinçage (ser.),5 ml,,,1,,
0.38,low,Missing Brand (-0.18); Missing Manufacturer (-0.07); Unit price missing (-0.15); Pack cost missing (-0.22),545,99002345,SERINGUE ET AIGUILLE(S) JETABLES,Sol. rinçage (ser.),5 ml,,,1,,
0.38,low,Missing Brand (-0.18); Missing Manufacturer (-0.07); Unit price missing (-0.15); Pack cost missing (-0.22),545,99002558,SERINGUE ET AIGUILLE(S) JETABLES,Sol. rinçage (ser.),5 ml,,,1,,
0.38,low,Missing Brand (-0.18); Missing Manufacturer (-0.07); Unit price missing (-0.15); Pack cost missing (-0.22),545,99002205,SERINGUE ET AIGUILLE(S) JETABLES,Sol. rinçage (ser.),5 ml,,,1,,
0.38,low,Missing Brand (-0.18); Missing Manufacturer (-0.07); Unit price missing (-0.15); Pack cost missing (-0.22),545,99002213,SERINGUE ET AIGUILLE(S) JETABLES,Sol. rinçage (ser.),5 ml,,,1,,
0.38,low,Missing Brand (-0.18); Missing Manufacturer (-0.07); Unit price missing (-0.15); Pack cost missing (-0.22),545,99002221,SERINGUE ET AIGUILLE(S) JETABLES,Sol. rinçage (ser.),5 ml,,,1,,
0.38,low,Missing Brand (-0.18); Missing Manufacturer (-0.07); Unit price missing (-0.15); Pack cost missing (-0.22),545,99002337,SERINGUE JETABLE (SANS AIGUILLE),Sol. rinçage (ser.),5 ml,,,1,,
0.38,low,Missing Brand (-0.18); Missing Manufacturer (-0.07); Unit price missing (-0.15); Pack cost missing (-0.22),545,99002531,SERINGUE JETABLE (SANS AIGUILLE),Sol. rinçage (ser.),5 ml,,,1,,
0.38,low,Missing Brand (-0.18); Missing Manufacturer (-0.07); Unit price missing (-0.15); Pack cost missing (-0.22),545,99002175,SERINGUE JETABLE (SANS AIGUILLE),Sol. rinçage (ser.),5 ml,,,1,,
0.38,low,Missing Brand (-0.18); Missing Manufacturer (-0.07); Unit price missing (-0.15); Pack cost missing (-0.22),545,99002183,SERINGUE JETABLE (SANS AIGUILLE),Sol. rinçage (ser.),5 ml,,,1,,
0.38,low,Missing Brand (-0.18); Missing Manufacturer (-0.07); Unit price missing (-0.15); Pack cost missing (-0.22),545,99002191,SERINGUE JETABLE (SANS AIGUILLE),Sol. rinçage (ser.),5 ml,,,1,,
0.38,low,Missing Brand (-0.18); Missing Manufacturer (-0.07); Unit price missing (-0.15); Pack cost missing (-0.22),546,99100668,SERINGUE JETABLE (SANS AIGUILLE),Sol. rinçage (ser.),5 ml,,,1,,
0.38,low,Missing Brand (-0.18); Missing Manufacturer (-0.07); Unit price missing (-0.15); Pack cost missing (-0.22),546,99100669,SERINGUE JETABLE (SANS AIGUILLE),Sol. rinçage (ser.),5 ml,,,1,,
0.38,low,Missing Brand (-0.18); Missing Manufacturer (-0.07); Unit price missing (-0.15); Pack cost missing (-0.22),546,99114344,SERINGUES NON STÉRILES ENFIT,Seringue,1 mL,,,1,,
0.38,low,Missing Brand (-0.18); Missing Manufacturer (-0.07); Unit price missing (-0.15); Pack cost missing (-0.22),546,99114345,SERINGUES NON STÉRILES ENFIT,Seringue,3 mL,,,1,,
0.38,low,Missing Brand (-0.18); Missing Manufacturer (-0.07); Unit price missing (-0.15); Pack cost missing (-0.22),546,99114346,SERINGUES NON STÉRILES ENFIT,Seringue,6 mL,,,1,,
0.38,low,Missing Brand (-0.18); Missing Manufacturer (-0.07); Unit price missing (-0.15); Pack cost missing (-0.22),546,99114347,SERINGUES NON STÉRILES ENFIT,Seringue,12 mL,,,1,,
0.38,low,Missing Brand (-0.18); Missing Manufacturer (-0.07); Unit price missing (-0.15); Pack cost missing (-0.22),546,99114348,SERINGUES NON STÉRILES ENFIT,Seringue,35 mL,,,1,,
0.38,low,Missing Brand (-0.18); Missing Manufacturer (-0.07); Unit price missing (-0.15); Pack cost missing (-0.22),546,99114349,SERINGUES NON STÉRILES ENFIT,Seringue,60 mL,,,1,,
0.54,low,Brand wrapped across lines (-0.04); Missing Pack/Format (-0.05); Unit price missing (-0.15); Pack cost missing (-0.22),2,02343541,DONT LES INDICATIONS RECONNUES DEMEURENT COUVERTES,Sol. Inj. S.C.(ser),60 mg,Prolia Amgen Annexe IV.1 2,"1 330,00",,,
