LOCAL_PACK_CODE,PCID Mapping
MAL20002297XR,1837965
MAL09102913AZ,289099
MAL20033666AZ,1421006
MAL19026072NC,2011281
MAL19870287AZ,1691769
MAL14085055AZ,1691766
MAL11040022AZ,1691751
MAL19985966AZ,1692118
MAL19987358XZ,1909803
MAL19991131AZ,1691859
MAL19940370AZ,1901579
MAL11120003AZ,943726
MAL19890638AZ,1565952
MAL06061531X,1836223
MAL20014201AZ,1901470
MAL20041001AZ,1692088
MAL20013445AZ,1901529
MAL18086153AZ,2221373
MAL20013576AZ,1692148
MAL19992070AZ,1691843
MAL09011476X,1692171
MAL18026175AZ,1691536
MAL19985963AZ,1691829
MAL19950130XZ,1691296
MAL08111799AZ,619126
MAL12110004XC,1691431
MAL21096009AZ,1901598
MAL20126015AZ,1691543
MAL20014496AZ,1420988
MAL19900659AZ,1959158
MAL19950306X,1692081
MAL19962864AZ,193549
MAL17117043XZ,1901504
MAL19950084AZ,600460
MAL19870913AZ,1691820
MAL19940309X,665185
MAL20051467AZ,600632
MAL19890330AZ,287249
MAL19992397AZ,943613
MAL21017001AZ,1676524
MAL07010965AZ,1692111
MAL19871195AZ,1565818
MAL19911461X,1421119
MAL19921576AZ,373772
MAL19910341XZ,1691583
MAL20014349AZ,168533
MAL19984398AZ,1565719
MAL19962881XZ,1901613
MAL20032432AZ,1691734
MAL20040230AZ,665139
MAL20021410AZ,943616
MAL20102065AZ,943437
MAL10100032AZ,1691927
MAL19016091ACRZ,1974917
MAL06061675AZ,1901607
MAL16075026AZ,1691309
MAL18056177AZ,1691302
MAL21096011X,1901532
MAL20021159AZ,1565970
MAL19950137XZ,1691703
MAL18086092AZ,1953475
MAL20013131XZ,1691813
MAL19911420XZ,1420974
MAL10053664AZ,386506
MAL19991903AZ,2107616
MAL19930565AZ,1420962
MAL19870139AZ,1420945
MAL10053678X,1691850
MAL15065045AZ,1901496
MAL20014492AZ,1420987
MAL16075021AZ,1691532
MAL19985171AZ,944046
MAL20033679ARZ,1959176
MAL19993051XZ,1691573
MAL20076021AZ,1691990
MAL11010027AZ,134928
MAL20031769X,1692162
MAL20033536XR,1691914
MAL15045073XC,1565978
MAL13115209AZ,1565836
MAL14055016AZ,1691546
MAL19890514AZ,943635
MAL08082429XZ,356579
MAL21036034AZ,2171419
MAL19940185XCZ,1692049
MAL19930494AZ,335308
MAL20014525AZ,269486
MAL10070569ACZ,1959148
MAL19910003AZ,943261
MAL19930564AZ,1420961
MAL20014494AZ,1420985
MAL23056009AZ,1959263
MAL19900375AZ,943624
MAL19860850AZ,250242
MAL20014320AZ,1420981
MAL11075003AZ,1691609
MAL20112144ACZ,373149
MAL10100134AZ,1691608
MAL19961019XZ,515414
MAL20014493AZ,1420983
MAL19870922AZ,1691288
MAL18066050ACZ,1901542
MAL15025043AZ,1691560
MAL19940551XZ,210712
MAL16015037AZ,1565784
MAL20014229XZ,1901494
MAL20013115AZ,1691473
MAL20046097ACZ,1901480
MAL15125042XZ,195416
MAL12020019AZ,602942
MAL19990107AZ,601569
MAL20040950AZ,1691913
MAL04125487AZ,1691289
MAL16125027AZ,1691712
MAL07021536XZ,1691982
MAL20034634AZ,327243
MAL16035027AZ,1565802
MAL19921470AZ,1421130
MAL07050225XZ,1691575
MAL19985188AZ,342335
MAL20051326AZ,1901594
MAL19950146AZ,602379
MAL19986995AZ,599538
MAL19910031AZ,943783
MAL19992139AZ,350900
MAL19911462X,2223113
MAL19900593AZ,1901590
MAL15085072AZ,2011282
MAL17107089AZ,1691513
MAL19950160AZ,193763
MAL05101673AZ,1691717
MAL13025053X,944019
MAL11095001AZ,1420957
MAL19985532AZ,1836196
MAL12015005X,1691320
MAL13125018AZ,1691977
MAL07050894AZ,1565882
MAL19985177AZ,344553
MAL09100270AZ,1901507
MAL19861544AZ,1692158
MAL05061552AZ,1692043
