input_company,input_product_name,timestamp,error_message
ISA,+50,2025-10-29T03:58:20,"TimeoutException: Message: 
Stacktrace:
	GetHandleVerifier [0x0xd6fe43+66515]
	GetHandleVerifier [0x0xd6fe84+66580]
	(No symbol) [0x0xb5dc48]
	(No symbol) [0x0xba8704]
	(No symbol) [0x0xba8aab]
	(No symbol) [0x0xbef482]
	(No symbol) [0x0xbcb214]
	(No symbol) [0x0xbecba7]
	(No symbol) [0x0xbcafc6]
	(No symbol) [0x0xb9c2ca]
	(No symbol) [0x0xb9d154]
	GetHandleVerifier [0x0xfc7353+2521315]
	GetHandleVerifier [0x0xfc22d3+2500707]
	GetHandleVerifier [0x0xd97c94+229924]
	GetHandleVerifier [0x0xd881f8+165768]
	GetHandleVerifier [0x0xd8ecad+193085]
	GetHandleVerifier [0x0xd78158+100072]
	GetHandleVerifier [0x0xd782f0+100480]
	GetHandleVerifier [0x0xd625aa+11066]
	BaseThreadInitThunk [0x0x76505d49+25]
	RtlInitializeExceptionChain [0x0x772bd6db+107]
	RtlGetAppContainerNamedObjectPath [0x0x772bd661+561]
"
Laboratorio Millet,102 PLUS EFERVESCENTE,2025-10-29T03:58:37,"TimeoutException: Message: 
Stacktrace:
	GetHandleVerifier [0x0xd6fe43+66515]
	GetHandleVerifier [0x0xd6fe84+66580]
	(No symbol) [0x0xb5dc48]
	(No symbol) [0x0xba8704]
	(No symbol) [0x0xba8aab]
	(No symbol) [0x0xbef482]
	(No symbol) [0x0xbcb214]
	(No symbol) [0x0xbecba7]
	(No symbol) [0x0xbcafc6]
	(No symbol) [0x0xb9c2ca]
	(No symbol) [0x0xb9d154]
	GetHandleVerifier [0x0xfc7353+2521315]
	GetHandleVerifier [0x0xfc22d3+2500707]
	GetHandleVerifier [0x0xd97c94+229924]
	GetHandleVerifier [0x0xd881f8+165768]
	GetHandleVerifier [0x0xd8ecad+193085]
	GetHandleVerifier [0x0xd78158+100072]
	GetHandleVerifier [0x0xd782f0+100480]
	GetHandleVerifier [0x0xd625aa+11066]
	BaseThreadInitThunk [0x0x76505d49+25]
	RtlInitializeExceptionChain [0x0x772bd6db+107]
	RtlGetAppContainerNamedObjectPath [0x0x772bd661+561]
"
GlaxoSmithKline Biopharma,3 TC,2025-10-29T03:58:54,"TimeoutException: Message: 
Stacktrace:
	GetHandleVerifier [0x0xd6fe43+66515]
	GetHandleVerifier [0x0xd6fe84+66580]
	(No symbol) [0x0xb5dc48]
	(No symbol) [0x0xba8704]
	(No symbol) [0x0xba8aab]
	(No symbol) [0x0xbef482]
	(No symbol) [0x0xbcb214]
	(No symbol) [0x0xbecba7]
	(No symbol) [0x0xbcafc6]
	(No symbol) [0x0xb9c2ca]
	(No symbol) [0x0xb9d154]
	GetHandleVerifier [0x0xfc7353+2521315]
	GetHandleVerifier [0x0xfc22d3+2500707]
	GetHandleVerifier [0x0xd97c94+229924]
	GetHandleVerifier [0x0xd881f8+165768]
	GetHandleVerifier [0x0xd8ecad+193085]
	GetHandleVerifier [0x0xd78158+100072]
	GetHandleVerifier [0x0xd782f0+100480]
	GetHandleVerifier [0x0xd625aa+11066]
	BaseThreadInitThunk [0x0x76505d49+25]
	RtlInitializeExceptionChain [0x0x772bd6db+107]
	RtlGetAppContainerNamedObjectPath [0x0x772bd661+561]
"
GlaxoSmithKline Biopharma,3 TC COMPLEX,2025-10-29T03:59:12,"TimeoutException: Message: 
Stacktrace:
	GetHandleVerifier [0x0xd6fe43+66515]
	GetHandleVerifier [0x0xd6fe84+66580]
	(No symbol) [0x0xb5dc48]
	(No symbol) [0x0xba8704]
	(No symbol) [0x0xba8aab]
	(No symbol) [0x0xbef482]
	(No symbol) [0x0xbcb214]
	(No symbol) [0x0xbecba7]
	(No symbol) [0x0xbcafc6]
	(No symbol) [0x0xb9c2ca]
	(No symbol) [0x0xb9d154]
	GetHandleVerifier [0x0xfc7353+2521315]
	GetHandleVerifier [0x0xfc22d3+2500707]
	GetHandleVerifier [0x0xd97c94+229924]
	GetHandleVerifier [0x0xd881f8+165768]
	GetHandleVerifier [0x0xd8ecad+193085]
	GetHandleVerifier [0x0xd78158+100072]
	GetHandleVerifier [0x0xd782f0+100480]
	GetHandleVerifier [0x0xd625aa+11066]
	BaseThreadInitThunk [0x0x76505d49+25]
	RtlInitializeExceptionChain [0x0x772bd6db+107]
	RtlGetAppContainerNamedObjectPath [0x0x772bd661+561]
"
ISA,4 x 4,2025-10-29T03:59:30,"TimeoutException: Message: 
Stacktrace:
	GetHandleVerifier [0x0xd6fe43+66515]
	GetHandleVerifier [0x0xd6fe84+66580]
	(No symbol) [0x0xb5dc48]
	(No symbol) [0x0xba8704]
	(No symbol) [0x0xba8aab]
	(No symbol) [0x0xbef482]
	(No symbol) [0x0xbcb214]
	(No symbol) [0x0xbecba7]
	(No symbol) [0x0xbcafc6]
	(No symbol) [0x0xb9c2ca]
	(No symbol) [0x0xb9d154]
	GetHandleVerifier [0x0xfc7353+2521315]
	GetHandleVerifier [0x0xfc22d3+2500707]
	GetHandleVerifier [0x0xd97c94+229924]
	GetHandleVerifier [0x0xd881f8+165768]
	GetHandleVerifier [0x0xd8ecad+193085]
	GetHandleVerifier [0x0xd78158+100072]
	GetHandleVerifier [0x0xd782f0+100480]
	GetHandleVerifier [0x0xd625aa+11066]
	BaseThreadInitThunk [0x0x76505d49+25]
	RtlInitializeExceptionChain [0x0x772bd6db+107]
	RtlGetAppContainerNamedObjectPath [0x0x772bd661+561]
"
IQUISA,420 CBD BEAUTY,2025-10-29T03:59:35,"TimeoutException: Message: 
Stacktrace:
	GetHandleVerifier [0x0xd6fe43+66515]
	GetHandleVerifier [0x0xd6fe84+66580]
	(No symbol) [0x0xb5dc48]
	(No symbol) [0x0xba8704]
	(No symbol) [0x0xba8aab]
	(No symbol) [0x0xbef482]
	(No symbol) [0x0xbcb214]
	(No symbol) [0x0xbecba7]
	(No symbol) [0x0xbcafc6]
	(No symbol) [0x0xb9c2ca]
	(No symbol) [0x0xb9d154]
	GetHandleVerifier [0x0xfc7353+2521315]
	GetHandleVerifier [0x0xfc22d3+2500707]
	GetHandleVerifier [0x0xd97c94+229924]
	GetHandleVerifier [0x0xd881f8+165768]
	GetHandleVerifier [0x0xd8ecad+193085]
	GetHandleVerifier [0x0xd78158+100072]
	GetHandleVerifier [0x0xd782f0+100480]
	GetHandleVerifier [0x0xd625aa+11066]
	BaseThreadInitThunk [0x0x76505d49+25]
	RtlInitializeExceptionChain [0x0x772bd6db+107]
	RtlGetAppContainerNamedObjectPath [0x0x772bd661+561]
"
ISA,+50,2025-10-29T04:01:39,"TimeoutException: Message: 
Stacktrace:
	GetHandleVerifier [0x0xd6fe43+66515]
	GetHandleVerifier [0x0xd6fe84+66580]
	(No symbol) [0x0xb5dc48]
	(No symbol) [0x0xba8704]
	(No symbol) [0x0xba8aab]
	(No symbol) [0x0xbef482]
	(No symbol) [0x0xbcb214]
	(No symbol) [0x0xbecba7]
	(No symbol) [0x0xbcafc6]
	(No symbol) [0x0xb9c2ca]
	(No symbol) [0x0xb9d154]
	GetHandleVerifier [0x0xfc7353+2521315]
	GetHandleVerifier [0x0xfc22d3+2500707]
	GetHandleVerifier [0x0xd97c94+229924]
	GetHandleVerifier [0x0xd881f8+165768]
	GetHandleVerifier [0x0xd8ecad+193085]
	GetHandleVerifier [0x0xd78158+100072]
	GetHandleVerifier [0x0xd782f0+100480]
	GetHandleVerifier [0x0xd625aa+11066]
	BaseThreadInitThunk [0x0x76505d49+25]
	RtlInitializeExceptionChain [0x0x772bd6db+107]
	RtlGetAppContainerNamedObjectPath [0x0x772bd661+561]
"
Domínguez,5-ASA 800,2025-10-29T04:01:40,"TimeoutException: Message: 
Stacktrace:
	GetHandleVerifier [0x0xd6fe43+66515]
	GetHandleVerifier [0x0xd6fe84+66580]
	(No symbol) [0x0xb5dc48]
	(No symbol) [0x0xba8704]
	(No symbol) [0x0xba8aab]
	(No symbol) [0x0xbef482]
	(No symbol) [0x0xbcb214]
	(No symbol) [0x0xbecba7]
	(No symbol) [0x0xbcafc6]
	(No symbol) [0x0xb9c2ca]
	(No symbol) [0x0xb9d154]
	GetHandleVerifier [0x0xfc7353+2521315]
	GetHandleVerifier [0x0xfc22d3+2500707]
	GetHandleVerifier [0x0xd97c94+229924]
	GetHandleVerifier [0x0xd881f8+165768]
	GetHandleVerifier [0x0xd8ecad+193085]
	GetHandleVerifier [0x0xd78158+100072]
	GetHandleVerifier [0x0xd782f0+100480]
	GetHandleVerifier [0x0xd625aa+11066]
	BaseThreadInitThunk [0x0x76505d49+25]
	RtlInitializeExceptionChain [0x0x772bd6db+107]
	RtlGetAppContainerNamedObjectPath [0x0x772bd661+561]
"
Laboratorio Millet,102 PLUS EFERVESCENTE,2025-10-29T04:01:40,"TimeoutException: Message: 
Stacktrace:
	GetHandleVerifier [0x0xd6fe43+66515]
	GetHandleVerifier [0x0xd6fe84+66580]
	(No symbol) [0x0xb5dc48]
	(No symbol) [0x0xba8704]
	(No symbol) [0x0xba8aab]
	(No symbol) [0x0xbef482]
	(No symbol) [0x0xbcb214]
	(No symbol) [0x0xbecba7]
	(No symbol) [0x0xbcafc6]
	(No symbol) [0x0xb9c2ca]
	(No symbol) [0x0xb9d154]
	GetHandleVerifier [0x0xfc7353+2521315]
	GetHandleVerifier [0x0xfc22d3+2500707]
	GetHandleVerifier [0x0xd97c94+229924]
	GetHandleVerifier [0x0xd881f8+165768]
	GetHandleVerifier [0x0xd8ecad+193085]
	GetHandleVerifier [0x0xd78158+100072]
	GetHandleVerifier [0x0xd782f0+100480]
	GetHandleVerifier [0x0xd625aa+11066]
	BaseThreadInitThunk [0x0x76505d49+25]
	RtlInitializeExceptionChain [0x0x772bd6db+107]
	RtlGetAppContainerNamedObjectPath [0x0x772bd661+561]
"
Domínguez,5-ASA 500,2025-10-29T04:01:40,"TimeoutException: Message: 
Stacktrace:
	GetHandleVerifier [0x0xd6fe43+66515]
	GetHandleVerifier [0x0xd6fe84+66580]
	(No symbol) [0x0xb5dc48]
	(No symbol) [0x0xba8704]
	(No symbol) [0x0xba8aab]
	(No symbol) [0x0xbef482]
	(No symbol) [0x0xbcb214]
	(No symbol) [0x0xbecba7]
	(No symbol) [0x0xbcafc6]
	(No symbol) [0x0xb9c2ca]
	(No symbol) [0x0xb9d154]
	GetHandleVerifier [0x0xfc7353+2521315]
	GetHandleVerifier [0x0xfc22d3+2500707]
	GetHandleVerifier [0x0xd97c94+229924]
	GetHandleVerifier [0x0xd881f8+165768]
	GetHandleVerifier [0x0xd8ecad+193085]
	GetHandleVerifier [0x0xd78158+100072]
	GetHandleVerifier [0x0xd782f0+100480]
	GetHandleVerifier [0x0xd625aa+11066]
	BaseThreadInitThunk [0x0x76505d49+25]
	RtlInitializeExceptionChain [0x0x772bd6db+107]
	RtlGetAppContainerNamedObjectPath [0x0x772bd661+561]
"
