Product,Company,Source,URL,IsDuplicate
50,ISA,selenium,https://www.alfabeta.net/precio/50.html,FALSE
ACTRON 400 RAPIDA ACCION NF,Bayer Consumer,selenium,https://www.alfabeta.net/precio/actron-400-rapida-accion-nf.html,FALSE
BUCALTAC CEPILLO DENTAL FUNNY BRUSH,Grimberg,selenium,https://www.alfabeta.net/precio/bucaltac-cepillo-dental-funny-brush.html,FALSE
BUCALTAC CEPILLO DENTAL MAFALDA KIDS X 1 U,Grimberg,selenium,https://www.alfabeta.net/precio/bucaltac-cepillo-dental-mafalda-kids-x-1-u.html,FALSE
BUCALTAC CEPILLO DENTAL ZOO BRUSH,Grimberg,selenium,https://www.alfabeta.net/precio/bucaltac-cepillo-dental-zoo-brush.html,FALSE
CIRUELAS LIGHT+VITAMINA C NUTRINAT,San Ceferino,selenium,https://www.alfabeta.net/precio/ciruelas-lightvitamina-c-nutrinat.html,FALSE
CIRUELAS+FIBRAS+VITAMINA C NUTRINAT,San Ceferino,selenium,https://www.alfabeta.net/precio/ciruelasfibrasvitamina-c-nutrinat.html,FALSE
EMPAX MET,Siegfried,selenium,https://www.alfabeta.net/precio/empax-met.html,FALSE
FALGOS EXPENDEDOR X 25 BL,Elea,selenium,https://www.alfabeta.net/precio/falgos-expendedor-x-25-bl.html,FALSE
FOTO WET SKIN TRANSPARENT SPRAY SPF 50,Isdin,selenium,https://www.alfabeta.net/precio/foto-wet-skin-transparent-spray-spf-50.html,FALSE
GALCICLINA SANT GALL,Sant Gall,selenium,https://www.alfabeta.net/precio/galciclina-sant-gall.html,FALSE
LABSALERG ß,Labsa,selenium,https://www.alfabeta.net/precio/labsalerg.html,FALSE
NAN 1 OPTIPRO HMO RTD,Nestle,selenium,https://www.alfabeta.net/precio/nan-1-optipro-hmo-rtd.html,FALSE
NAN 2 OPTIPRO HMO RTD,Nestle,selenium,https://www.alfabeta.net/precio/nan-2-optipro-hmo-rtd.html,FALSE
NAN 3 OPTIPRO HMO RTD,Nestle,selenium,https://www.alfabeta.net/precio/nan-3-optipro-hmo-rtd.html,FALSE
NEWGEL+ LOLYPOP MAMARIAS NG-324,Valuge,selenium,https://www.alfabeta.net/precio/newgel-lolypop-mamarias-ng-324.html,FALSE
NEWGEL+ LOLYPOP MAMARIAS NG-326,Valuge,selenium,https://www.alfabeta.net/precio/newgel-lolypop-mamarias-ng-326.html,FALSE
OLANZAPINA ROSPAW,Rospaw,selenium,https://www.alfabeta.net/precio/olanzapina-rospaw.html,FALSE
PARACETAMOL KABI,Fresenius Kabi,api,https://www.alfabeta.net/precio/paracetamol-kabi.html,FALSE
PARACETAMOL LAFEDAR,Lafedar,api,https://www.alfabeta.net/precio/paracetamol-lafedar.html,FALSE
PARACETAMOL LAZAR V.L.,Lazar,selenium,https://www.alfabeta.net/precio/paracetamol-lazar-vl.html,FALSE
PARACETAMOL MONSERRAT Y ECLAIR,Monserrat,api,https://www.alfabeta.net/precio/paracetamol-monserrat-y-eclair.html,FALSE
PARACETAMOL RAFFO 500,Adium,api,https://www.alfabeta.net/precio/paracetamol-raffo-500.html,FALSE
PARACETAMOL SANT GALL FRIBURG GOTAS,Sant Gall,api,https://www.alfabeta.net/precio/paracetamol-sant-gall-friburg-gotas.html,FALSE
PARACETAMOL SCHAFER GOTAS,Schafer,api,https://www.alfabeta.net/precio/paracetamol-schafer-gotas.html,FALSE
PARACETAMOL T-PLUS,Vent 3,selenium,https://www.alfabeta.net/precio/paracetamol-t-plus.html,FALSE
PARACETAMOL TE VENT-3,Vent 3,selenium,https://www.alfabeta.net/precio/paracetamol-te-vent-3.html,FALSE
PARACETAMOL TEVA,Teva Argentina,api,https://www.alfabeta.net/precio/paracetamol-teva.html,FALSE
PARACETAMOL VENT-3,Vent 3,selenium,https://www.alfabeta.net/precio/paracetamol-vent-3.html,FALSE
PARACLIM 1.25,Elea,selenium,https://www.alfabeta.net/precio/paraclim-125.html,FALSE
PARACLIM 2.5,Elea,selenium,https://www.alfabeta.net/precio/paraclim-25.html,FALSE
PARATROPINA ANTIGAS V.L.,Lazar,selenium,https://www.alfabeta.net/precio/paratropina-antigas-vl.html,FALSE
PARATROPINA FEM V.L.,Lazar,selenium,https://www.alfabeta.net/precio/paratropina-fem-vl.html,FALSE
PARATROPINA V.L.,Lazar,selenium,https://www.alfabeta.net/precio/paratropina-vl.html,FALSE
PARITOL,Tuteur,api,https://www.alfabeta.net/precio/paritol.html,FALSE
PARKINEL 100/25,Bagó,selenium,https://www.alfabeta.net/precio/parkinel-10025.html,FALSE
