Takeda Argentina S.A.,ADYNOVATE 1000 BAXJECT III,2026-01-08T12:18:56,"InvalidSessionIdException: Message: invalid session id; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidsessionidexception
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0xc61213
	0xc61254
	0xa4e52b
	0xa8c635
	0xabb3a6
	0xab6ed1
	0xab6846
	0xa1ebfd
	0xa1f18e
	0xa1f65d
	0xeb5254
	0xeb080b
	0xecd0ea
	0xc7b118
	0xc8311d
	0xa1e7ab
	0xa1ddf7
	0x10016ef
	0x76a45d49
	0x77a8d5db
	0x77a8d561
"
Microsules Arg.,ADYARD,2026-01-08T12:18:56,"NoSuchWindowException: Message: no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=143.0.7499.193)
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0xc61213
	0xc61254
	0xa4e6dd
	0xa2ca8d
	0xac1ffb
	0xadd44c
	0xabb2e6
	0xa8d321
	0xa8e1d4
	0xeb5254
	0xeb080b
	0xecd0ea
	0xc7b118
	0xc8311d
	0xc69518
	0xc696d9
	0xc53a68
	0x76a45d49
	0x77a8d5db
	0x77a8d561
"
Takeda Argentina S.A.,ADYNOVATE 1500 BAXJECT III,2026-01-08T12:18:56,"InvalidSessionIdException: Message: invalid session id; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidsessionidexception
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0xc61213
	0xc61254
	0xa4e52b
	0xa8c635
	0xabb3a6
	0xab6ed1
	0xab6846
	0xa1ebfd
	0xa1f18e
	0xa1f65d
	0xeb5254
	0xeb080b
	0xecd0ea
	0xc7b118
	0xc8311d
	0xa1e7ab
	0xa1ddf7
	0x10016ef
	0x76a45d49
	0x77a8d5db
	0x77a8d561
"
Takeda Argentina S.A.,ADYNOVATE 3000 BAXJECT III,2026-01-08T12:19:06,"InvalidSessionIdException: Message: invalid session id; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidsessionidexception
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0xc61213
	0xc61254
	0xa4e52b
	0xa8c635
	0xabb3a6
	0xab6ed1
	0xab6846
	0xa1ebfd
	0xa1f18e
	0xa1f65d
	0xeb5254
	0xeb080b
	0xecd0ea
	0xc7b118
	0xc8311d
	0xa1e7ab
	0xa1ddf7
	0x10016ef
	0x76a45d49
	0x77a8d5db
	0x77a8d561
"
Organon Arg.,AERIUS,2026-01-08T12:19:06,"NoSuchWindowException: Message: no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=143.0.7499.193)
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0xc61213
	0xc61254
	0xa4e6dd
	0xa2ca8d
	0xac1ffb
	0xadd44c
	0xabb2e6
	0xa8d321
	0xa8e1d4
	0xeb5254
	0xeb080b
	0xecd0ea
	0xc7b118
	0xc8311d
	0xc69518
	0xc696d9
	0xc53a68
	0x76a45d49
	0x77a8d5db
	0x77a8d561
"
Takeda Argentina S.A.,ADYNOVATE 500 BAXJECT III,2026-01-08T12:19:06,"InvalidSessionIdException: Message: invalid session id; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidsessionidexception
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0xc61213
	0xc61254
	0xa4e52b
	0xa8c635
	0xabb3a6
	0xab6ed1
	0xab6846
	0xa1ebfd
	0xa1f18e
	0xa1f65d
	0xeb5254
	0xeb080b
	0xecd0ea
	0xc7b118
	0xc8311d
	0xa1e7ab
	0xa1ddf7
	0x10016ef
	0x76a45d49
	0x77a8d5db
	0x77a8d561
"
Silfab,AEROCAMARA AEROCHAMBER,2026-01-08T12:19:16,"InvalidSessionIdException: Message: invalid session id; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidsessionidexception
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0xc61213
	0xc61254
	0xa4e52b
	0xa8c635
	0xabb3a6
	0xab6ed1
	0xab6846
	0xa1ebfd
	0xa1f18e
	0xa1f65d
	0xeb5254
	0xeb080b
	0xecd0ea
	0xc7b118
	0xc8311d
	0xa1e7ab
	0xa1ddf7
	0x10016ef
	0x76a45d49
	0x77a8d5db
	0x77a8d561
"
Patejim,AEROCAMARA AEROSPACER ADULTO,2026-01-08T12:19:16,"NoSuchWindowException: Message: no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=143.0.7499.193)
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0xc61213
	0xc61254
	0xa4e6dd
	0xa2ca8d
	0xac1ffb
	0xadd44c
	0xabb2e6
	0xa8d321
	0xa8e1d4
	0xeb5254
	0xeb080b
	0xecd0ea
	0xc7b118
	0xc8311d
	0xc69518
	0xc696d9
	0xc53a68
	0x76a45d49
	0x77a8d5db
	0x77a8d561
"
Patejim,AEROCAMARA AEROSPACER INFANTIL,2026-01-08T12:19:16,"InvalidSessionIdException: Message: invalid session id; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidsessionidexception
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0xc61213
	0xc61254
	0xa4e52b
	0xa8c635
	0xabb3a6
	0xab6ed1
	0xab6846
	0xa1ebfd
	0xa1f18e
	0xa1f65d
	0xeb5254
	0xeb080b
	0xecd0ea
	0xc7b118
	0xc8311d
	0xa1e7ab
	0xa1ddf7
	0x10016ef
	0x76a45d49
	0x77a8d5db
	0x77a8d561
"
Patejim,AEROCAMARA AEROSPACER LACTANTE,2026-01-08T12:19:26,"InvalidSessionIdException: Message: invalid session id; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidsessionidexception
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0xc61213
	0xc61254
	0xa4e52b
	0xa8c635
	0xabb3a6
	0xab6ed1
	0xab6846
	0xa1ebfd
	0xa1f18e
	0xa1f65d
	0xeb5254
	0xeb080b
	0xecd0ea
	0xc7b118
	0xc8311d
	0xa1e7ab
	0xa1ddf7
	0x10016ef
	0x76a45d49
	0x77a8d5db
	0x77a8d561
"
