input_company,input_product_name,company,product_name,active_ingredient,therapeutic_class,description,price_ars,date,scraped_at,SIFAR_detail,PAMI_AF,IOMA_detail,IOMA_AF,IOMA_OS,import_status,coverage_json
ISA,+50,,,,,,,,2026-01-02T15:22:51,,,,,,,{}
Laboratorio ENA,100% WHEY PROTEIN,,,,,,,,2026-01-02T15:22:51,,,,,,,{}
Laboratorio Millet,102 FOCUS,Laboratorio Millet,102 FOCUS,magnesio+asoc.,Suplemento dietario,comp. rec. x 30 (VL),22272.4,2025-12-03,2026-01-02T15:23:08,,,,,,,{}
Laboratorio Millet,102 MAGNESIO,Laboratorio Millet,102 MAGNESIO,vit.+minerales+asoc.,Suplemento dietario,comp. rec. x 30 (VL),15195.58,2025-12-03,2026-01-02T15:23:17,,,,,,,{}
Laboratorio Millet,102 MAGNESIO CITRATO,Laboratorio Millet,102 MAGNESIO CITRATO,magnesio citrato,Suplemento dietario,comp. x 30 (VL),16120.24,2025-12-03,2026-01-02T15:23:27,,,,,,,{}
Laboratorio Millet,102 MAGNESIO GUMMIES,Laboratorio Millet,102 MAGNESIO GUMMIES,magnesio+asoc.,Suplemento dietario,gomitas x 90 (VL),18873.81,2025-12-03,2026-01-02T15:23:38,,,,,,,{}
Laboratorio Millet,102 MUJER,Laboratorio Millet,102 MUJER,vit.+minerales,Suplemento dietario,cáps.bl.x 30 (VL),20642.22,2025-12-03,2026-01-02T15:23:48,,,,,,,{}
Laboratorio Millet,102 PLUS,Laboratorio Millet,102 PLUS,vit.+minerales,Suplemento dietario,comp.x 30 (VL),17166.38,2025-12-03,2026-01-02T15:23:57,,,,,,,{}
Laboratorio Millet,102 PLUS,Laboratorio Millet,102 PLUS,vit.+minerales,Suplemento dietario,comp.x 60 (VL),29872.91,2025-12-03,2026-01-02T15:23:57,,,,,,,{}
Laboratorio Millet,102 PLUS,Laboratorio Millet,102 PLUS,vit.+minerales,Suplemento dietario,comp.x 90 (VL),41610.3,2025-12-03,2026-01-02T15:23:57,,,,,,,{}
Laboratorio Millet,102 PLUS EFERVESCENTE,Laboratorio Millet,102 PLUS EFERVESCENTE,vit.+minerales,Suplemento dietario,sob.x 15 (VL),14472.24,2025-12-03,2026-01-02T15:24:07,,,,,,,{}
Laboratorio Millet,102 SPORT BCAA,Laboratorio Millet,102 SPORT BCAA,vit.+minerales,Suplemento dietario,sob.x 30 (VL),35939.19,2025-12-03,2026-01-02T15:24:17,,,,,,,{}
Laboratorio Millet,102 VITAMINA C,Laboratorio Millet,102 VITAMINA C,vit.+asoc.,Suplemento dietario,comp.rec. x 30 (VL),17328.83,2025-11-12,2026-01-02T15:24:28,,,,,,,{}
Laboratorio Millet,102 VITAMINA C,Laboratorio Millet,102 VITAMINA C,vit.+asoc.,Suplemento dietario,sobres x 30 (VL),19442.25,2025-11-12,2026-01-02T15:24:28,,,,,,,{}
GlaxoSmithKline Biopharma,3 TC,GlaxoSmithKline Biopharma,3 TC,lamivudina,Antiviral contra HIV,150 mg comp.rec.x 60,219142.56,2025-12-29,2026-01-02T15:24:39,,,,,,Importado,{}
GlaxoSmithKline Biopharma,3 TC,GlaxoSmithKline Biopharma,3 TC,lamivudina,Antiviral contra HIV,sol.x 240 ml,95978.22,2025-12-29,2026-01-02T15:24:39,,,,,,Importado,{}
Elea,3 TC + AZT ELEA,,,,,,,,2026-01-02T15:24:47,,,,,,,{}
GlaxoSmithKline Biopharma,3 TC COMPLEX,GlaxoSmithKline Biopharma,3 TC COMPLEX,lamivudina+zidovudina,Antiviral contra HIV,comp.rec.x 60,496962.79,2025-12-29,2026-01-02T15:24:59,,,,,,Importado,{}
ISA,4 x 4,,,,,,,,2026-01-02T15:25:08,,,,,,,{}
IQUISA,420 CBD BEAUTY,IQUISA,420 CBD BEAUTY,cannabidiol,Producto Cosmético,crema fac. x 50 ml (VL),23375.0,2024-12-03,2026-01-02T15:25:17,,,,,,,{}
IQUISA,420 CBD RELAX,IQUISA,420 CBD RELAX,cannabidiol,Producto Cosmético,env.x 16 ml (VL),15215.0,2024-12-03,2026-01-02T15:25:27,,,,,,,{}
IQUISA,420 CBD TETITA FELIZ PACK,IQUISA,420 CBD TETITA FELIZ PACK,cannabidiol,Producto Cosmético,cr. 75 g + aceite 75 ml (VL),49150.0,2024-12-03,2026-01-02T15:25:37,,,,,,,{}
Cassará,5 FU,Cassará,5 FU,fluorouracilo,Antineoplásico,ung.x 20 g,53000.0,2025-12-15,2026-01-02T15:25:47,,,Cobertura Monto Fijo,,,,"{""IOMA"": {""detail"": ""Cobertura Monto Fijo""}}"
Domínguez,5-ASA 1000,,,,,,,,2026-01-02T15:25:58,,,,,,,{}
Domínguez,5-ASA 400,,,,,,,,2026-01-02T15:26:17,,,,,,,{}
Domínguez,5-ASA 2000,,,,,,,,2026-01-02T15:26:17,,,,,,,{}
Domínguez,5-ASA 4000,,,,,,,,2026-01-02T15:26:27,,,,,,,{}
Domínguez,5-ASA 500,,,,,,,,2026-01-02T15:26:37,,,,,,,{}
Domínguez,5-ASA 800,,,,,,,,2026-01-02T15:26:47,,,,,,,{}
Ariston,5XR 1000,Ariston,5XR 1000,mesalazina,Antiinflam.intestinal,1000 mg comp.x 30,141152.44,2025-12-03,2026-01-02T15:27:00,,,Cobertura Monto Fijo,,,,"{""IOMA"": {""detail"": ""Cobertura Monto Fijo""}}"
Ariston,5XR 1000,Ariston,5XR 1000,mesalazina,Antiinflam.intestinal,1000 mg comp.x 60,279378.32,2025-12-03,2026-01-02T15:27:00,,,Cobertura Monto Fijo,,,,"{""IOMA"": {""detail"": ""Cobertura Monto Fijo""}}"
Ariston,5XR 500,Ariston,5XR 500,mesalazina,Antiinflam.intestinal,500 mg comp.x 100,238803.69,2025-12-03,2026-01-02T15:27:07,Producto Reconocido,,Cobertura Monto Fijo,,,,"{""SIFAR"": {""detail"": ""Producto Reconocido""}, ""PAMI"": {}, ""IOMA"": {""detail"": ""Cobertura Monto Fijo""}}"
Ariston,5XR 500,Ariston,5XR 500,mesalazina,Antiinflam.intestinal,500 mg comp.x 50,130963.27,2025-12-03,2026-01-02T15:27:07,Producto Reconocido,,Cobertura Monto Fijo,,,,"{""SIFAR"": {""detail"": ""Producto Reconocido""}, ""PAMI"": {}, ""IOMA"": {""detail"": ""Cobertura Monto Fijo""}}"
Elea,8 HORAS,Elea,8 HORAS,eszopiclona,Hipnótico,2 mg comp.x 30,22392.79,2025-12-17,2026-01-02T15:27:18,Producto Reconocido,,,,,,"{""SIFAR"": {""detail"": ""Producto Reconocido""}, ""PAMI"": {}}"
Elea,8 HORAS,Elea,8 HORAS,eszopiclona,Hipnótico,3 mg comp.x 30,27989.65,2025-12-17,2026-01-02T15:27:18,Producto Reconocido,,,,,,"{""SIFAR"": {""detail"": ""Producto Reconocido""}, ""PAMI"": {}}"
Domínguez,A ACIDO,Domínguez,A ACIDO,"retinoico,ác.",Queratolítico,0.05% cr.x 10 g,6422.79,2025-12-30,2026-01-02T15:27:28,Producto Reconocido,,,,,,"{""SIFAR"": {""detail"": ""Producto Reconocido""}}"
