Northia,ENOXANORTH,2026-01-07T17:29:29,"NoSuchWindowException: Message: no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=143.0.7499.170)
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0x1101213
	0x1101254
	0xeee6dd
	0xecca8d
	0xf61ffb
	0xf7d44c
	0xf5b2e6
	0xf2d321
	0xf2e1d4
	0x1355254
	0x135080b
	0x136d0ea
	0x111b118
	0x112311d
	0x1109518
	0x11096d9
	0x10f3a68
	0x76065d49
	0x77dad5db
	0x77dad561
"
Cassará,EPOGEN,2026-01-07T17:29:39,"NoSuchWindowException: Message: no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=143.0.7499.170)
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0x1101213
	0x1101254
	0xeee6dd
	0xecca8d
	0xf61ffb
	0xf7d44c
	0xf5b2e6
	0xf2d321
	0xf2e1d4
	0x1355254
	0x135080b
	0x136d0ea
	0x111b118
	0x112311d
	0x1109518
	0x11096d9
	0x10f3a68
	0x76065d49
	0x77dad5db
	0x77dad561
"
Varifarma,EPOGEN,2026-01-07T17:29:49,"NoSuchWindowException: Message: no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=143.0.7499.170)
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0x1101213
	0x1101254
	0xeee6dd
	0xecca8d
	0xf61ffb
	0xf7d44c
	0xf5b2e6
	0xf2d321
	0xf2e1d4
	0x1355254
	0x135080b
	0x136d0ea
	0x111b118
	0x112311d
	0x1109518
	0x11096d9
	0x10f3a68
	0x76065d49
	0x77dad5db
	0x77dad561
"
Cassará,ERISOL,2026-01-07T17:29:59,"NoSuchWindowException: Message: no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=143.0.7499.170)
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0x1101213
	0x1101254
	0xeee6dd
	0xecca8d
	0xf61ffb
	0xf7d44c
	0xf5b2e6
	0xf2d321
	0xf2e1d4
	0x1355254
	0x135080b
	0x136d0ea
	0x111b118
	0x112311d
	0x1109518
	0x11096d9
	0x10f3a68
	0x76065d49
	0x77dad5db
	0x77dad561
"
Medisol,ERISOL,2026-01-07T17:30:09,"NoSuchWindowException: Message: no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=143.0.7499.170)
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0x1101213
	0x1101254
	0xeee6dd
	0xecca8d
	0xf61ffb
	0xf7d44c
	0xf5b2e6
	0xf2d321
	0xf2e1d4
	0x1355254
	0x135080b
	0x136d0ea
	0x111b118
	0x112311d
	0x1109518
	0x11096d9
	0x10f3a68
	0x76065d49
	0x77dad5db
	0x77dad561
"
Laboratorio Millet,ESOMEPRA 20 MG,2026-01-07T17:30:19,"NoSuchWindowException: Message: no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=143.0.7499.170)
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0x1101213
	0x1101254
	0xeee6dd
	0xecca8d
	0xf61ffb
	0xf7d44c
	0xf5b2e6
	0xf2d321
	0xf2e1d4
	0x1355254
	0x135080b
	0x136d0ea
	0x111b118
	0x112311d
	0x1109518
	0x11096d9
	0x10f3a68
	0x76065d49
	0x77dad5db
	0x77dad561
"
Sidus,ESOMEPRA 20 MG,2026-01-07T17:30:29,"NoSuchWindowException: Message: no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=143.0.7499.170)
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0x1101213
	0x1101254
	0xeee6dd
	0xecca8d
	0xf61ffb
	0xf7d44c
	0xf5b2e6
	0xf2d321
	0xf2e1d4
	0x1355254
	0x135080b
	0x136d0ea
	0x111b118
	0x112311d
	0x1109518
	0x11096d9
	0x10f3a68
	0x76065d49
	0x77dad5db
	0x77dad561
"
Savant Consumer,FABOGESIC PLEN,2026-01-07T17:30:39,"NoSuchWindowException: Message: no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=143.0.7499.170)
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0x1101213
	0x1101254
	0xeee6dd
	0xecca8d
	0xf61ffb
	0xf7d44c
	0xf5b2e6
	0xf2d321
	0xf2e1d4
	0x1355254
	0x135080b
	0x136d0ea
	0x111b118
	0x112311d
	0x1109518
	0x11096d9
	0x10f3a68
	0x76065d49
	0x77dad5db
	0x77dad561
"
Savant Generic,FABOGESIC PLEN,2026-01-07T17:30:49,"NoSuchWindowException: Message: no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=143.0.7499.170)
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0x1101213
	0x1101254
	0xeee6dd
	0xecca8d
	0xf61ffb
	0xf7d44c
	0xf5b2e6
	0xf2d321
	0xf2e1d4
	0x1355254
	0x135080b
	0x136d0ea
	0x111b118
	0x112311d
	0x1109518
	0x11096d9
	0x10f3a68
	0x76065d49
	0x77dad5db
	0x77dad561
"
Cassará,FLUCODERM,2026-01-07T17:30:59,"NoSuchWindowException: Message: no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=143.0.7499.170)
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0x1101213
	0x1101254
	0xeee6dd
	0xecca8d
	0xf61ffb
	0xf7d44c
	0xf5b2e6
	0xf2d321
	0xf2e1d4
	0x1355254
	0x135080b
	0x136d0ea
	0x111b118
	0x112311d
	0x1109518
	0x11096d9
	0x10f3a68
	0x76065d49
	0x77dad5db
	0x77dad561
"
