Product,Company,URL,Source,Scraped_By_Selenium,Scraped_By_API
+50,ISA,https://www.alfabeta.net/precio/50.html,selenium,no,no
100% WHEY PROTEIN,Laboratorio ENA,https://www.alfabeta.net/precio/100-whey-protein.html,selenium,no,no
102 FOCUS,Laboratorio Millet,https://www.alfabeta.net/precio/102-focus.html,selenium,no,no
102 MAGNESIO,Laboratorio Millet,https://www.alfabeta.net/precio/102-magnesio.html,selenium,no,no
102 MAGNESIO CITRATO,Laboratorio Millet,https://www.alfabeta.net/precio/102-magnesio-citrato.html,selenium,no,no
102 MAGNESIO GUMMIES,Laboratorio Millet,https://www.alfabeta.net/precio/102-magnesio-gummies.html,selenium,no,no
102 MUJER,Laboratorio Millet,https://www.alfabeta.net/precio/102-mujer.html,selenium,no,no
102 PLUS,Laboratorio Millet,https://www.alfabeta.net/precio/102-plus.html,selenium,no,no
102 PLUS EFERVESCENTE,Laboratorio Millet,https://www.alfabeta.net/precio/102-plus-efervescente.html,selenium,no,no
102 SPORT BCAA,Laboratorio Millet,https://www.alfabeta.net/precio/102-sport-bcaa.html,selenium,no,no
102 VITAMINA C,Laboratorio Millet,https://www.alfabeta.net/precio/102-vitamina-c.html,selenium,no,no
3 TC,GlaxoSmithKline Biopharma,https://www.alfabeta.net/precio/3-tc.html,selenium,no,no
3 TC + AZT ELEA,Elea,https://www.alfabeta.net/precio/3-tc--azt-elea.html,selenium,no,no
3 TC COMPLEX,GlaxoSmithKline Biopharma,https://www.alfabeta.net/precio/3-tc-complex.html,selenium,no,no
4 x 4,ISA,https://www.alfabeta.net/precio/4-x-4.html,selenium,no,no
420 CBD BEAUTY,IQUISA,https://www.alfabeta.net/precio/420-cbd-beauty.html,selenium,no,no
420 CBD RELAX,IQUISA,https://www.alfabeta.net/precio/420-cbd-relax.html,selenium,no,no
420 CBD TETITA FELIZ PACK,IQUISA,https://www.alfabeta.net/precio/420-cbd-tetita-feliz-pack.html,selenium,no,no
5 FU,Cassará,https://www.alfabeta.net/precio/5-fu.html,selenium,no,no
5-ASA 1000,Domínguez,https://www.alfabeta.net/precio/5-asa-1000.html,selenium,no,no
5-ASA 2000,Domínguez,https://www.alfabeta.net/precio/5-asa-2000.html,selenium,no,no
5-ASA 400,Domínguez,https://www.alfabeta.net/precio/5-asa-400.html,selenium,no,no
5-ASA 4000,Domínguez,https://www.alfabeta.net/precio/5-asa-4000.html,selenium,no,no
5-ASA 500,Domínguez,https://www.alfabeta.net/precio/5-asa-500.html,selenium,no,no
5-ASA 800,Domínguez,https://www.alfabeta.net/precio/5-asa-800.html,selenium,no,no
5XR 1000,Ariston,https://www.alfabeta.net/precio/5xr-1000.html,selenium,no,no
5XR 500,Ariston,https://www.alfabeta.net/precio/5xr-500.html,selenium,no,no
8 HORAS,Elea,https://www.alfabeta.net/precio/8-horas.html,selenium,no,no
A ACIDO,Domínguez,https://www.alfabeta.net/precio/a-acido.html,selenium,no,no
A ACIDO EMOLIENTE,Domínguez,https://www.alfabeta.net/precio/a-acido-emoliente.html,selenium,no,no
A ACIDO VITAL,Domínguez,https://www.alfabeta.net/precio/a-acido-vital.html,selenium,no,no
A-VITEL,Medipharma,https://www.alfabeta.net/precio/a-vitel.html,selenium,no,no
A-VITEL E,Medipharma,https://www.alfabeta.net/precio/a-vitel-e.html,selenium,no,no
A.H.A,Sempre Giovane,https://www.alfabeta.net/precio/aha.html,selenium,no,no
ABACAVIR ELEA,Elea,https://www.alfabeta.net/precio/abacavir-elea.html,selenium,no,no
ABACAVIR LAMIVUDINA TRB PHARMA,Trb-Pharma,https://www.alfabeta.net/precio/abacavir-lamivudina-trb-pharma.html,selenium,no,no
ABARAX,Elea,https://www.alfabeta.net/precio/abarax.html,selenium,no,no
ABAXON,Roemmers,https://www.alfabeta.net/precio/abaxon.html,selenium,no,no
ABELCET,Teva Argentina,https://www.alfabeta.net/precio/abelcet.html,selenium,no,no
ABERIC,Biotechno Pharma,https://www.alfabeta.net/precio/aberic.html,selenium,no,no
ABINTRA,B-Life,https://www.alfabeta.net/precio/abintra.html,selenium,no,no
ABIRANOVA,Celnova Argentina,https://www.alfabeta.net/precio/abiranova.html,selenium,no,no
ABIRATERON-A,Lafedar,https://www.alfabeta.net/precio/abirateron-a.html,selenium,no,no
ABIRATERONA GLENMARK,Glenmark,https://www.alfabeta.net/precio/abiraterona-glenmark.html,selenium,no,no
ABLOOM,Duncan,https://www.alfabeta.net/precio/abloom.html,selenium,no,no
ABLOOM 5,Duncan,https://www.alfabeta.net/precio/abloom-5.html,selenium,no,no
ABNOBA VISCUM FRAXINI,Filaxis Farmacéutica,https://www.alfabeta.net/precio/abnoba-viscum-fraxini.html,selenium,no,no
ABRALUX,Valuge,https://www.alfabeta.net/precio/abralux.html,selenium,no,no
ABRAXANE,Bristol,https://www.alfabeta.net/precio/abraxane.html,selenium,no,no
ABRIKAT,Eczane,https://www.alfabeta.net/precio/abrikat.html,selenium,no,no
ABRILADA,Pfizer,https://www.alfabeta.net/precio/abrilada.html,selenium,no,no
ABRYSVO,Pfizer,https://www.alfabeta.net/precio/abrysvo.html,selenium,no,no
