PCID,Country,Company,Local Product Name,Generic Name,Effective Start Date,Public With VAT Price,Reimbursement Category,Reimbursement Amount,Co-Pay Amount,Local Pack Description,rule_label
,ARGENTINA,Laboratorio Millet,102 FOCUS,magnesium+assoc.,03-12-2025,22272.40,,,,comp. rec. x 30 (VL),No-scheme
,ARGENTINA,Laboratorio Millet,102 MAGNESIO CITRATO,magnesium citrate,03-12-2025,16120.24,,,,comp. x 30 (VL),No-scheme
,ARGENTINA,Laboratorio Millet,102 MAGNESIO,vit.+minerals+assoc.,03-12-2025,15195.58,,,,comp. rec. x 30 (VL),No-scheme
,ARGENTINA,Laboratorio Millet,102 MAGNESIO GUMMIES,magnesium+assoc.,03-12-2025,18873.81,,,,gummies x 90 (VL),No-scheme
,ARGENTINA,Laboratorio Millet,102 MUJER,vitamins + minerals,03-12-2025,20642.22,,,,caps.bl.x 30 (VL),No-scheme
,ARGENTINA,Laboratorio Millet,102 PLUS,vitamins + minerals,03-12-2025,17166.38,,,,comp.x 30 (VL),No-scheme
,ARGENTINA,Laboratorio Millet,102 PLUS,vitamins + minerals,03-12-2025,29872.91,,,,comp.x 60 (VL),No-scheme
,ARGENTINA,Laboratorio Millet,102 PLUS,vitamins + minerals,03-12-2025,41610.30,,,,comp.x 90 (VL),No-scheme
,ARGENTINA,Laboratorio Millet,102 PLUS EFERVESCENTE,vitamins + minerals,03-12-2025,14472.24,,,,sob.x 15 (VL),No-scheme
,ARGENTINA,Laboratorio Millet,102 SPORT BCAA,vitamins + minerals,03-12-2025,35939.19,,,,over x 30 (VL),No-scheme
,ARGENTINA,Laboratorio Millet,102 VITAMINA C,vit.+assoc.,12-11-2025,17328.83,,,,comp.rec. x 30 (VL),No-scheme
,ARGENTINA,Laboratorio Millet,102 VITAMINA C,vit.+assoc.,12-11-2025,19442.25,,,,envelopes x 30 (VL),No-scheme
,ARGENTINA,GlaxoSmithKline Biopharma,3 TC,lamivudine,29-12-2025,219142.56,IMPORTED,,,150 mg comp.rec.x 60,Imported-fallback
,ARGENTINA,GlaxoSmithKline Biopharma,3 TC,lamivudine,29-12-2025,95978.22,IMPORTED,,,sol.x 240 ml,Imported-fallback
,ARGENTINA,Lepetit,ACIMED,omeprazole,30-05-2025,3750.00,IOMA,2441.13,1308.87,20 mg caps.x 15 (VL),"IOMA-preferred (OS→Reimb, AF→Copay)"
