input_company,input_product_name,timestamp,records_found
ISA,+50,2026-01-12T12:35:19,1
Laboratorio Millet,102 MAGNESIO,2026-01-12T12:35:19,1
Laboratorio ENA,100% WHEY PROTEIN,2026-01-12T12:35:20,3
Laboratorio Millet,102 FOCUS,2026-01-12T12:35:20,1
Laboratorio Millet,102 MAGNESIO CITRATO,2026-01-12T12:35:31,1
Laboratorio Millet,102 MUJER,2026-01-12T12:35:34,1
Laboratorio Millet,102 MAGNESIO GUMMIES,2026-01-12T12:35:35,1
Laboratorio Millet,102 PLUS,2026-01-12T12:35:35,3
Laboratorio Millet,102 PLUS EFERVESCENTE,2026-01-12T12:35:38,1
Laboratorio Millet,102 SPORT BCAA,2026-01-12T12:35:42,1
Laboratorio Millet,102 VITAMINA C,2026-01-12T12:35:42,2
GlaxoSmithKline Biopharma,3 TC,2026-01-12T12:35:43,2
Elea,3 TC + AZT ELEA,2026-01-12T12:35:52,1
ISA,4 x 4,2026-01-12T12:35:54,1
IQUISA,420 CBD BEAUTY,2026-01-12T12:35:56,1
GlaxoSmithKline Biopharma,3 TC COMPLEX,2026-01-12T12:35:56,1
IQUISA,420 CBD RELAX,2026-01-12T12:36:00,1
IQUISA,420 CBD TETITA FELIZ PACK,2026-01-12T12:36:02,1
Cassará,5 FU,2026-01-12T12:36:03,1
Domínguez,5-ASA 1000,2026-01-12T12:36:04,2
Domínguez,5-ASA 2000,2026-01-12T12:36:14,1
Domínguez,5-ASA 400,2026-01-12T12:36:16,4
Domínguez,5-ASA 4000,2026-01-12T12:36:17,1
Domínguez,5-ASA 500,2026-01-12T12:36:19,2
Ariston,5XR 1000,2026-01-12T12:36:26,2
Domínguez,5-ASA 800,2026-01-12T12:36:29,2
Ariston,5XR 500,2026-01-12T12:36:30,2
Elea,8 HORAS,2026-01-12T12:36:30,2
