input_company,input_product_name,timestamp,records_found
ISA,+50,2026-01-19T16:26:30,1
Laboratorio ENA,100% WHEY PROTEIN,2026-01-19T16:26:30,3
Laboratorio Millet,102 FOCUS,2026-01-19T16:26:30,1
Laboratorio Millet,102 MAGNESIO,2026-01-19T16:26:30,1
Laboratorio Millet,102 MAGNESIO CITRATO,2026-01-19T16:26:30,1
Laboratorio Millet,102 MAGNESIO GUMMIES,2026-01-19T16:26:30,1
Laboratorio Millet,102 MUJER,2026-01-19T16:26:30,1
Laboratorio Millet,102 PLUS,2026-01-19T16:26:30,3
Laboratorio Millet,102 SPORT BCAA,2026-01-19T16:26:30,1
GlaxoSmithKline Biopharma,3 TC,2026-01-19T16:26:30,2
Laboratorio Millet,102 VITAMINA C,2026-01-19T16:26:30,2
Laboratorio Millet,102 PLUS EFERVESCENTE,2026-01-19T16:26:30,1
GlaxoSmithKline Biopharma,3 TC COMPLEX,2026-01-19T16:26:30,1
Elea,3 TC + AZT ELEA,2026-01-19T16:26:30,1
ISA,4 x 4,2026-01-19T16:26:30,1
IQUISA,420 CBD BEAUTY,2026-01-19T16:26:30,1
IQUISA,420 CBD TETITA FELIZ PACK,2026-01-19T16:26:30,1
IQUISA,420 CBD RELAX,2026-01-19T16:26:30,1
Cassará,5 FU,2026-01-19T16:26:30,1
Domínguez,5-ASA 1000,2026-01-19T16:26:30,2
Domínguez,5-ASA 2000,2026-01-19T16:26:30,1
Domínguez,5-ASA 4000,2026-01-19T16:26:30,1
Domínguez,5-ASA 500,2026-01-19T16:26:30,2
Domínguez,5-ASA 400,2026-01-19T16:26:30,4
Domínguez,5-ASA 800,2026-01-19T16:26:30,2
Elea,8 HORAS,2026-01-19T16:26:30,2
Ariston,5XR 1000,2026-01-19T16:26:30,2
Ariston,5XR 500,2026-01-19T16:26:30,2
Medipharma,A-VITEL,2026-01-19T16:26:30,3
Medipharma,A-VITEL E,2026-01-19T16:26:30,1
Sempre Giovane,A.H.A,2026-01-19T16:26:30,1
Elea,ABACAVIR ELEA,2026-01-19T16:26:30,1
Trb-Pharma,ABACAVIR LAMIVUDINA TRB PHARMA,2026-01-19T16:26:30,1
Elea,ABARAX,2026-01-19T16:26:30,2
Roemmers,ABAXON,2026-01-19T16:26:30,5
Teva Argentina,ABELCET,2026-01-19T16:26:30,1
Biotechno Pharma,ABERIC,2026-01-19T16:26:30,1
B-Life,ABINTRA,2026-01-19T16:26:30,1
Celnova Argentina,ABIRANOVA,2026-01-19T16:26:30,1
Lafedar,ABIRATERON-A,2026-01-19T16:26:30,1
Glenmark,ABIRATERONA GLENMARK,2026-01-19T16:26:30,1
Duncan,ABLOOM,2026-01-19T16:26:30,1
Duncan,ABLOOM 5,2026-01-19T16:26:30,1
Filaxis Farmacéutica,ABNOBA VISCUM FRAXINI,2026-01-19T16:26:30,4
Valuge,ABRALUX,2026-01-19T16:26:30,1
Bristol,ABRAXANE,2026-01-19T16:26:30,1
Eczane,ABRIKAT,2026-01-19T16:26:30,1
Pfizer,ABRILADA,2026-01-19T16:26:30,1
Pfizer,ABRYSVO,2026-01-19T16:26:30,1
