Product,Company,URL,Source,Scraped_By_Selenium,Scraped_By_API,Selenium_Records,API_Records,Selenium_Attempt,Last_Attempt_Records
50,ISA,https://www.alfabeta.net/precio/50.html,api,yes,no,0,0,0,0
100% WHEY PROTEIN,Laboratorio ENA,https://www.alfabeta.net/precio/100-whey-protein.html,selenium,yes,no,3,0,1,3
102 FOCUS,Laboratorio Millet,https://www.alfabeta.net/precio/102-focus.html,selenium,yes,no,1,0,1,1
102 MAGNESIO,Laboratorio Millet,https://www.alfabeta.net/precio/102-magnesio.html,selenium,yes,no,1,0,1,1
102 MAGNESIO CITRATO,Laboratorio Millet,https://www.alfabeta.net/precio/102-magnesio-citrato.html,selenium,yes,no,1,0,1,1
102 MAGNESIO GUMMIES,Laboratorio Millet,https://www.alfabeta.net/precio/102-magnesio-gummies.html,selenium,yes,no,1,0,1,1
102 MUJER,Laboratorio Millet,https://www.alfabeta.net/precio/102-mujer.html,selenium,yes,no,1,0,1,1
102 PLUS,Laboratorio Millet,https://www.alfabeta.net/precio/102-plus.html,selenium,yes,no,3,0,1,3
102 PLUS EFERVESCENTE,Laboratorio Millet,https://www.alfabeta.net/precio/102-plus-efervescente.html,selenium,yes,no,1,0,1,1
102 SPORT BCAA,Laboratorio Millet,https://www.alfabeta.net/precio/102-sport-bcaa.html,selenium,yes,no,1,0,1,1
102 VITAMINA C,Laboratorio Millet,https://www.alfabeta.net/precio/102-vitamina-c.html,selenium,yes,no,2,0,1,2
3 TC,GlaxoSmithKline Biopharma,https://www.alfabeta.net/precio/3-tc.html,selenium,yes,no,2,0,1,2
3 TC + AZT ELEA,Elea,https://www.alfabeta.net/precio/3-tc--azt-elea.html,selenium,yes,no,1,0,1,1
3 TC COMPLEX,GlaxoSmithKline Biopharma,https://www.alfabeta.net/precio/3-tc-complex.html,selenium,yes,no,1,0,1,1
4 x 4,ISA,https://www.alfabeta.net/precio/4-x-4.html,selenium,yes,no,1,0,1,1
420 CBD BEAUTY,IQUISA,https://www.alfabeta.net/precio/420-cbd-beauty.html,selenium,yes,no,1,0,1,1
420 CBD RELAX,IQUISA,https://www.alfabeta.net/precio/420-cbd-relax.html,selenium,yes,no,1,0,1,1
420 CBD TETITA FELIZ PACK,IQUISA,https://www.alfabeta.net/precio/420-cbd-tetita-feliz-pack.html,selenium,yes,no,1,0,1,1
5 FU,Cassará,https://www.alfabeta.net/precio/5-fu.html,selenium,yes,no,1,0,1,1
5-ASA 1000,Domínguez,https://www.alfabeta.net/precio/5-asa-1000.html,selenium,yes,no,2,0,1,2
5-ASA 2000,Domínguez,https://www.alfabeta.net/precio/5-asa-2000.html,selenium,yes,no,1,0,1,1
5-ASA 400,Domínguez,https://www.alfabeta.net/precio/5-asa-400.html,selenium,yes,no,4,0,1,4
5-ASA 4000,Domínguez,https://www.alfabeta.net/precio/5-asa-4000.html,selenium,yes,no,1,0,1,1
5-ASA 500,Domínguez,https://www.alfabeta.net/precio/5-asa-500.html,selenium,yes,no,2,0,1,2
5-ASA 800,Domínguez,https://www.alfabeta.net/precio/5-asa-800.html,selenium,yes,no,2,0,1,2
5XR 1000,Ariston,https://www.alfabeta.net/precio/5xr-1000.html,selenium,yes,no,2,0,1,2
5XR 500,Ariston,https://www.alfabeta.net/precio/5xr-500.html,selenium,yes,no,2,0,1,2
8 HORAS,Elea,https://www.alfabeta.net/precio/8-horas.html,selenium,yes,no,2,0,1,2
A-VITEL,Medipharma,https://www.alfabeta.net/precio/a-vitel.html,selenium,yes,no,3,0,1,3
A-VITEL E,Medipharma,https://www.alfabeta.net/precio/a-vitel-e.html,selenium,yes,no,1,0,1,1
A.H.A,Sempre Giovane,https://www.alfabeta.net/precio/aha.html,selenium,yes,no,1,0,1,1
ABACAVIR ELEA,Elea,https://www.alfabeta.net/precio/abacavir-elea.html,selenium,yes,no,1,0,1,1
ABACAVIR LAMIVUDINA TRB PHARMA,Trb-Pharma,https://www.alfabeta.net/precio/abacavir-lamivudina-trb-pharma.html,selenium,yes,no,1,0,1,1
ABARAX,Elea,https://www.alfabeta.net/precio/abarax.html,selenium,yes,no,2,0,1,2
ABAXON,Roemmers,https://www.alfabeta.net/precio/abaxon.html,selenium,yes,no,5,0,1,5
ABELCET,Teva Argentina,https://www.alfabeta.net/precio/abelcet.html,selenium,yes,no,1,0,1,1
ABERIC,Biotechno Pharma,https://www.alfabeta.net/precio/aberic.html,selenium,yes,no,1,0,1,1
ABINTRA,B-Life,https://www.alfabeta.net/precio/abintra.html,selenium,yes,no,1,0,1,1
ABIRANOVA,Celnova Argentina,https://www.alfabeta.net/precio/abiranova.html,selenium,yes,no,1,0,1,1
ABIRATERON-A,Lafedar,https://www.alfabeta.net/precio/abirateron-a.html,selenium,yes,no,1,0,1,1
ABIRATERONA GLENMARK,Glenmark,https://www.alfabeta.net/precio/abiraterona-glenmark.html,selenium,yes,no,1,0,1,1
ABLOOM,Duncan,https://www.alfabeta.net/precio/abloom.html,selenium,yes,no,1,0,1,1
ABLOOM 5,Duncan,https://www.alfabeta.net/precio/abloom-5.html,selenium,yes,no,1,0,1,1
