input_company,input_product_name,timestamp,records_found
ISA,+50,2026-01-25T08:36:39,1
Laboratorio ENA,100% WHEY PROTEIN,2026-01-25T08:36:39,3
Laboratorio Millet,102 FOCUS,2026-01-25T08:36:39,1
Laboratorio Millet,102 MAGNESIO,2026-01-25T08:36:39,1
Laboratorio Millet,102 MAGNESIO CITRATO,2026-01-25T08:36:39,1
Laboratorio Millet,102 MAGNESIO GUMMIES,2026-01-25T08:36:39,1
Laboratorio Millet,102 MUJER,2026-01-25T08:36:39,1
Laboratorio Millet,102 PLUS,2026-01-25T08:36:39,3
Laboratorio Millet,102 PLUS EFERVESCENTE,2026-01-25T08:36:39,1
Laboratorio Millet,102 SPORT BCAA,2026-01-25T08:36:39,1
Laboratorio Millet,102 VITAMINA C,2026-01-25T08:36:39,2
GlaxoSmithKline Biopharma,3 TC,2026-01-25T08:36:39,2
Elea,3 TC + AZT ELEA,2026-01-25T08:36:39,1
GlaxoSmithKline Biopharma,3 TC COMPLEX,2026-01-25T08:36:39,1
ISA,4 x 4,2026-01-25T08:36:39,1
IQUISA,420 CBD BEAUTY,2026-01-25T08:36:39,1
IQUISA,420 CBD RELAX,2026-01-25T08:36:39,1
IQUISA,420 CBD TETITA FELIZ PACK,2026-01-25T08:36:39,1
Cassará,5 FU,2026-01-25T08:36:39,1
Domínguez,5-ASA 1000,2026-01-25T08:36:39,2
Domínguez,5-ASA 2000,2026-01-25T08:36:39,1
Domínguez,5-ASA 400,2026-01-25T08:36:39,4
Domínguez,5-ASA 4000,2026-01-25T08:36:39,1
Domínguez,5-ASA 500,2026-01-25T08:36:39,2
Domínguez,5-ASA 800,2026-01-25T08:36:39,2
Ariston,5XR 1000,2026-01-25T08:36:39,2
Ariston,5XR 500,2026-01-25T08:36:39,2
Elea,8 HORAS,2026-01-25T08:36:39,2
Medipharma,A-VITEL,2026-01-25T08:36:39,3
Medipharma,A-VITEL E,2026-01-25T08:36:39,1
Sempre Giovane,A.H.A,2026-01-25T08:36:39,1
Elea,ABACAVIR ELEA,2026-01-25T08:36:39,1
Trb-Pharma,ABACAVIR LAMIVUDINA TRB PHARMA,2026-01-25T08:36:39,1
Elea,ABARAX,2026-01-25T08:36:39,2
Teva Argentina,ABELCET,2026-01-25T08:36:39,1
Roemmers,ABAXON,2026-01-25T08:36:39,5
B-Life,ABINTRA,2026-01-25T08:36:39,1
Biotechno Pharma,ABERIC,2026-01-25T08:36:39,1
Celnova Argentina,ABIRANOVA,2026-01-25T08:36:39,1
Lafedar,ABIRATERON-A,2026-01-25T08:36:39,1
Glenmark,ABIRATERONA GLENMARK,2026-01-25T08:36:39,1
Duncan,ABLOOM,2026-01-25T08:36:39,1
Duncan,ABLOOM 5,2026-01-25T08:36:39,1
Filaxis Farmacéutica,ABNOBA VISCUM FRAXINI,2026-01-25T08:36:39,4
Valuge,ABRALUX,2026-01-25T08:36:39,1
Bristol,ABRAXANE,2026-01-25T08:36:39,1
Eczane,ABRIKAT,2026-01-25T08:36:39,1
Pfizer,ABRILADA,2026-01-25T08:36:39,1
Pfizer,ABRYSVO,2026-01-25T08:36:39,1
F & F Farma,AC QUAXA,2026-01-25T08:36:39,1
Jayor,ACALASTATERA,2026-01-25T08:36:39,1
Roemmers,ACALIX,2026-01-25T08:36:39,4
Roemmers,ACALIX AP,2026-01-25T08:36:39,1
Roemmers,ACALIX CRONOS,2026-01-25T08:36:39,3
Siegfried,ACANTEX,2026-01-25T08:36:39,5
Olbia Pharma,ACCELON,2026-01-25T08:36:39,3
Coloplast,ACCESORIOS PARA FISTULAS,2026-01-25T08:36:39,1
Roche Diabetes,ACCU-CHEK ACTIVE GLUCOSA,2026-01-25T08:36:39,2
Roche Diabetes,ACCU-CHEK ACTIVE KIT,2026-01-25T08:36:39,1
Roche Diabetes,ACCU-CHEK FASTCLIX,2026-01-25T08:36:39,2
Roche Diabetes,ACCU-CHEK FASTCLIX KIT,2026-01-25T08:36:39,1
Roche Diabetes,ACCU-CHEK FASTCLIX KIT NP,2026-01-25T08:36:39,1
Roche Diabetes,ACCU-CHEK GUIDE,2026-01-25T08:36:39,2
Roche Diabetes,ACCU-CHEK GUIDE CONTROL,2026-01-25T08:36:39,1
Roche Diabetes,ACCU-CHEK GUIDE KIT,2026-01-25T08:36:39,1
Roche Diabetes,ACCU-CHEK PERFORMA 25,2026-01-25T08:36:39,1
