PCID,Country,Company,Local Product Name,Generic Name,Effective Start Date,Public With VAT Price,Reimbursement Category,Reimbursement Amount,Co-Pay Amount,Local Pack Description,LOCAL_PACK_CODE,Price Type,Interchangeable,Limited Use,Therapeutic Notes,Currency,Region
,,Vifor (International) Inc.,,(IRON) FERRIC CARBOXYMALTOSE,,24.30,REIMBURSABLE WITH COPAY,22.50,1.80,Ferinject 50mg/mL Inj Sol,02546078,UNIT,NO,YES,NO,CAD,NORTH AMERICA
,,Avir Pharma Inc.,,5-AMINOSALICYLIC ACID,,109.97,REIMBURSABLE WITH COPAY,101.82,8.15,Mezera 1g/Actuation 14 Actuation-Foam Enema Canister Pk,02474026,PACK,NO,NO,NO,CAD,NORTH AMERICA
,,Avir Pharma Inc.,,5-AMINOSALICYLIC ACID,,0.72,REIMBURSABLE WITH COPAY,0.66,0.05,Mezera 500mg DR Tab,02524481,UNIT,NO,NO,NO,CAD,NORTH AMERICA
,,Ferring Inc.,,5-AMINOSALICYLIC ACID,,0.81,REIMBURSABLE WITH COPAY,0.75,0.06,Pentasa 500mg Del-Release Tab,02099683,UNIT,NO,NO,NO,CAD,NORTH AMERICA
,,Takeda Canada Inc.,,5-AMINOSALICYLIC ACID,,2.16,REIMBURSABLE WITH COPAY,2.00,0.16,Mezavant 1.2g Delayed & ER Tab,02297558,UNIT,NO,NO,NO,CAD,NORTH AMERICA
,,Ferring Inc.,,5-AMINOSALICYLIC ACID,,1.63,REIMBURSABLE WITH COPAY,1.51,0.12,Pentasa 1g ER Tab,02399466,UNIT,NO,NO,NO,CAD,NORTH AMERICA
,,Ferring Inc.,,5-AMINOSALICYLIC ACID,,9.93,REIMBURSABLE WITH COPAY,9.19,0.74,Pentasa 4g/100mL Enema,02153556,UNIT,NO,NO,NO,CAD,NORTH AMERICA
,,Ferring Inc.,,5-AMINOSALICYLIC ACID,,7.19,REIMBURSABLE WITH COPAY,6.66,0.53,Pentasa 1g/100mL Enema,02153521,UNIT,NO,NO,NO,CAD,NORTH AMERICA
,,Axcan Pharma Inc.,,5-AMINOSALICYLIC ACID,,0.76,REIMBURSABLE WITH COPAY,0.70,0.06,Salofalk 500mg Ent Tab,02112787,UNIT,NO,NO,NO,CAD,NORTH AMERICA
,,Axcan Pharma Inc.,,5-AMINOSALICYLIC ACID,,9.95,REIMBURSABLE WITH COPAY,9.21,0.74,Salofalk 4g Rect Susp-Pk,02112809,PACK,NO,NO,NO,CAD,NORTH AMERICA
,,Avir Pharma Inc.,,5-AMINOSALICYLIC ACID,,2.02,REIMBURSABLE WITH COPAY,1.87,0.15,Mezera 1g Sup,02474018,UNIT,NO,NO,NO,CAD,NORTH AMERICA
,,Ferring Inc.,,5-AMINOSALICYLIC ACID,,2.83,REIMBURSABLE WITH COPAY,2.62,0.21,Pentasa 1g Sup,02153564,UNIT,NO,NO,NO,CAD,NORTH AMERICA
,,Axcan Pharma Inc.,,5-AMINOSALICYLIC ACID,,1.87,REIMBURSABLE WITH COPAY,1.73,0.14,Salofalk 500mg Sup,02112760,UNIT,NO,NO,NO,CAD,NORTH AMERICA
,,Axcan Pharma Inc.,,5-AMINOSALICYLIC ACID,,2.75,REIMBURSABLE WITH COPAY,2.55,0.20,Salofalk 1000mg Sup,02242146,UNIT,NO,NO,NO,CAD,NORTH AMERICA
,,Warner Chilcott Canada Co.,,5-AMINOSALICYLIC ACID,,,NON REIMBURSABLE,,,Asacol (Not a Benefit) 400mg Tab,01997580,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Teva Canada Limited,,5-AMINOSALICYLIC ACID,,0.51,REIMBURSABLE WITH COPAY,0.48,0.04,Teva-5-ASA 400mg Tab,02171929,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Apotex Inc.,,ABACAVIR & LAMIVUDINE & ZIDOVUDINE,,14.73,REIMBURSABLE WITH COPAY,13.64,1.09,Apo-Abacavir-Lamivudine-Zidovudine 300mg & 150mg & 300mg Tab,02416255,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,ViiV Healthcare ULC,,ABACAVIR & LAMIVUDINE & ZIDOVUDINE,,20.57,REIMBURSABLE WITH COPAY,13.64,6.92,Trizivir 300mg & 150mg & 300mg Tab,02244757,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,ViiV Healthcare ULC,,ABACAVIR SULFATE,,0.66,REIMBURSABLE WITH COPAY,0.61,0.05,Ziagen 20mg/mL O/L,02240358,UNIT,NO,NO,NO,CAD,NORTH AMERICA
,,Apotex Inc.,,ABACAVIR SULFATE,,3.76,REIMBURSABLE WITH COPAY,3.48,0.28,Apo-Abacavir 300mg Tab,02396769,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Mint Pharmaceuticals Inc.,,ABACAVIR SULFATE,,3.76,REIMBURSABLE WITH COPAY,3.48,0.28,Mint-Abacavir 300mg Tab,02480956,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,ViiV Healthcare ULC,,ABACAVIR SULFATE,,9.37,REIMBURSABLE WITH COPAY,3.48,5.88,Ziagen 300mg Tab,02240357,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Apotex Inc.,,ABACAVIR SULFATE & LAMIVUDINE,,6.47,REIMBURSABLE WITH COPAY,5.99,0.48,Apo-Abacavir-Lamivudine 600mg & 300mg Tab,02399539,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Auro Pharma Inc.,,ABACAVIR SULFATE & LAMIVUDINE,,6.47,REIMBURSABLE WITH COPAY,5.99,0.48,Auro-Abacavir/Lamivudine 600mg & 300mg Tab,02454513,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Jamp Pharma Corporation,,ABACAVIR SULFATE & LAMIVUDINE,,6.47,REIMBURSABLE WITH COPAY,5.99,0.48,Jamp Abacavir/Lamivudine 600mg & 300mg Tab,02497654,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,ViiV Healthcare ULC,,ABACAVIR SULFATE & LAMIVUDINE,,30.57,REIMBURSABLE WITH COPAY,5.99,24.59,Kivexa 600mg & 300mg Tab,02269341,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Mylan Pharmaceuticals ULC,,ABACAVIR SULFATE & LAMIVUDINE,,6.47,REIMBURSABLE WITH COPAY,5.99,0.48,Mylan-Abacavir-Lamivudine 600mg & 300mg Tab,02450682,UNIT,YES,NO,NO,CAD,NORTH AMERICA
,,Pharmascience Inc.,,ABACAVIR SULFATE & LAMIVUDINE,,6.47,REIMBURSABLE WITH COPAY,5.99,0.48,PMS-Abacavir-Lamivudine 600mg & 300mg Tab,02458381,UNIT,YES,NO,NO,CAD,NORTH AMERICA
