q_letter,local_pack_code,drug_id,generic_name,brand_name_strength_dosage,mfr_code,manufacturer_name,price_type,exfactory_price_raw,amount_moh_pays_raw,exfactory_price,reimbursable_price,public_with_vat,copay,interchangeable,limited_use,therapeutic_notes_requirements,qa_notes,detail_url
a,02546078,02546078,(IRON) FERRIC CARBOXYMALTOSE,Ferinject 50mg/mL Inj Sol,VIR,Vifor (International) Inc.,UNIT,22.5000,22.5000,22.5000,22.5000,24.3000,1.8000,NO,YES,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02546078
a,02474026,02474026,5-AMINOSALICYLIC ACID,Mezera 1g/Actuation 14 Actuation-Foam Enema Canister Pk,AVP,Avir Pharma Inc.,PACK,101.8220,101.8220,101.8220,101.8220,109.9678,8.1458,NO,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02474026
a,02524481,02524481,5-AMINOSALICYLIC ACID,Mezera 500mg DR Tab,AVP,Avir Pharma Inc.,UNIT,0.6627,0.6627,0.6627,0.6627,0.7157,0.0530,NO,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02524481
a,02099683,02099683,5-AMINOSALICYLIC ACID,Pentasa 500mg Del-Release Tab,FEI,Ferring Inc.,UNIT,0.7544,0.7544,0.7544,0.7544,0.8148,0.0604,NO,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02099683
a,02297558,02297558,5-AMINOSALICYLIC ACID,Mezavant 1.2g Delayed & ER Tab,TAK,Takeda Canada Inc.,UNIT,2.0020,2.0020,2.0020,2.0020,2.1622,0.1602,NO,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02297558
a,02399466,02399466,5-AMINOSALICYLIC ACID,Pentasa 1g ER Tab,FEI,Ferring Inc.,UNIT,1.5086,1.5086,1.5086,1.5086,1.6293,0.1207,NO,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02399466
a,02153556,02153556,5-AMINOSALICYLIC ACID,Pentasa 4g/100mL Enema,FEI,Ferring Inc.,UNIT,9.1942,9.1942,9.1942,9.1942,9.9297,0.7355,NO,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02153556
a,02153521,02153521,5-AMINOSALICYLIC ACID,Pentasa 1g/100mL Enema,FEI,Ferring Inc.,UNIT,6.6606,6.6606,6.6606,6.6606,7.1934,0.5328,NO,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02153521
a,02112787,02112787,5-AMINOSALICYLIC ACID,Salofalk 500mg Ent Tab,BFI,Axcan Pharma Inc.,UNIT,0.7050,0.7050,0.7050,0.7050,0.7614,0.0564,NO,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02112787
a,02112809,02112809,5-AMINOSALICYLIC ACID,Salofalk 4g Rect Susp-Pk,BFI,Axcan Pharma Inc.,PACK,9.2100,9.2100,9.2100,9.2100,9.9468,0.7368,NO,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02112809
a,02474018,02474018,5-AMINOSALICYLIC ACID,Mezera 1g Sup,AVP,Avir Pharma Inc.,UNIT,1.8702,1.8702,1.8702,1.8702,2.0198,0.1496,NO,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02474018
a,02153564,02153564,5-AMINOSALICYLIC ACID,Pentasa 1g Sup,FEI,Ferring Inc.,UNIT,2.6231,2.6231,2.6231,2.6231,2.8329,0.2098,NO,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02153564
a,02112760,02112760,5-AMINOSALICYLIC ACID,Salofalk 500mg Sup,BFI,Axcan Pharma Inc.,UNIT,1.7337,1.7337,1.7337,1.7337,1.8724,0.1387,NO,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02112760
a,02242146,02242146,5-AMINOSALICYLIC ACID,Salofalk 1000mg Sup,BFI,Axcan Pharma Inc.,UNIT,2.5463,2.5463,2.5463,2.5463,2.7500,0.2037,NO,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02242146
a,01997580,01997580,5-AMINOSALICYLIC ACID,Asacol (Not a Benefit) 400mg Tab,WAR,Warner Chilcott Canada Co.,UNIT,N/A,N/A,nan,nan,nan,nan,YES,NO,NO,exfactory_missing_or_non_numeric;reimbursable_missing_or_non_numeric;amount_moh_pays_na,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=01997580
a,02171929,02171929,5-AMINOSALICYLIC ACID,Teva-5-ASA 400mg Tab,TEV,Teva Canada Limited,UNIT,0.4758,0.4758,0.4758,0.4758,0.5139,0.0381,YES,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02171929
a,02416255,02416255,ABACAVIR & LAMIVUDINE & ZIDOVUDINE,Apo-Abacavir-Lamivudine-Zidovudine 300mg & 150mg & 300mg Tab,APX,Apotex Inc.,UNIT,13.6425,13.6425,13.6425,13.6425,14.7339,1.0914,YES,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02416255
a,02244757,02244757,ABACAVIR & LAMIVUDINE & ZIDOVUDINE,Trizivir 300mg & 150mg & 300mg Tab,VIH,ViiV Healthcare ULC,UNIT,19.0426,13.6425,19.0426,13.6425,20.5660,6.9235,YES,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02244757
a,02240358,02240358,ABACAVIR SULFATE,Ziagen 20mg/mL O/L,VIH,ViiV Healthcare ULC,UNIT,0.6142,0.6142,0.6142,0.6142,0.6633,0.0491,NO,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02240358
a,02396769,02396769,ABACAVIR SULFATE,Apo-Abacavir 300mg Tab,APX,Apotex Inc.,UNIT,3.4828,3.4828,3.4828,3.4828,3.7614,0.2786,YES,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02396769
a,02480956,02480956,ABACAVIR SULFATE,Mint-Abacavir 300mg Tab,MIN,Mint Pharmaceuticals Inc.,UNIT,3.4828,3.4828,3.4828,3.4828,3.7614,0.2786,YES,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02480956
a,02240357,02240357,ABACAVIR SULFATE,Ziagen 300mg Tab,VIH,ViiV Healthcare ULC,UNIT,8.6725,3.4828,8.6725,3.4828,9.3663,5.8835,YES,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02240357
a,02399539,02399539,ABACAVIR SULFATE & LAMIVUDINE,Apo-Abacavir-Lamivudine 600mg & 300mg Tab,APX,Apotex Inc.,UNIT,5.9875,5.9875,5.9875,5.9875,6.4665,0.4790,YES,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02399539
a,02454513,02454513,ABACAVIR SULFATE & LAMIVUDINE,Auro-Abacavir/Lamivudine 600mg & 300mg Tab,AUR,Auro Pharma Inc.,UNIT,5.9875,5.9875,5.9875,5.9875,6.4665,0.4790,YES,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02454513
a,02497654,02497654,ABACAVIR SULFATE & LAMIVUDINE,Jamp Abacavir/Lamivudine 600mg & 300mg Tab,JPC,Jamp Pharma Corporation,UNIT,5.9875,5.9875,5.9875,5.9875,6.4665,0.4790,YES,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02497654
a,02269341,02269341,ABACAVIR SULFATE & LAMIVUDINE,Kivexa 600mg & 300mg Tab,VIH,ViiV Healthcare ULC,UNIT,28.3100,5.9875,28.3100,5.9875,30.5748,24.5873,YES,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02269341
a,02450682,02450682,ABACAVIR SULFATE & LAMIVUDINE,Mylan-Abacavir-Lamivudine 600mg & 300mg Tab,MYL,Mylan Pharmaceuticals ULC,UNIT,5.9875,5.9875,5.9875,5.9875,6.4665,0.4790,YES,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02450682
a,02458381,02458381,ABACAVIR SULFATE & LAMIVUDINE,PMS-Abacavir-Lamivudine 600mg & 300mg Tab,PMS,Pharmascience Inc.,UNIT,5.9875,5.9875,5.9875,5.9875,6.4665,0.4790,YES,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02458381
a,02416662,02416662,ABACAVIR SULFATE & LAMIVUDINE,Teva-Abacavir-Lamivudine 600mg & 300mg Tab,TEV,Teva Canada Limited,UNIT,5.9875,5.9875,5.9875,5.9875,6.4665,0.4790,YES,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02416662
a,02525380,02525380,ABIRATERONE ACETATE,Abiraterone 500mg Tab,JPC,Jamp Pharma Corporation,UNIT,15.3125,15.3125,15.3125,15.3125,16.5375,1.2250,YES,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02525380
a,02491397,02491397,ABIRATERONE ACETATE,Apo-Abiraterone Film Coated Tablets 250mg Tab,APX,Apotex Inc.,UNIT,7.6563,7.6563,7.6563,7.6563,8.2688,0.6125,YES,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02491397
a,02491400,02491400,ABIRATERONE ACETATE,Apo-Abiraterone Film Coated Tablets 500mg Tab,APX,Apotex Inc.,UNIT,15.3125,15.3125,15.3125,15.3125,16.5375,1.2250,YES,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02491400
a,02529629,02529629,ABIRATERONE ACETATE,Jamp Abiraterone 500mg Tab,JPC,Jamp Pharma Corporation,UNIT,15.3125,15.3125,15.3125,15.3125,16.5375,1.2250,YES,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02529629
a,02502305,02502305,ABIRATERONE ACETATE,Jamp Abiraterone 250mg Tab,JPC,Jamp Pharma Corporation,UNIT,7.6563,7.6563,7.6563,7.6563,8.2688,0.6125,YES,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02502305
a,02503999,02503999,ABIRATERONE ACETATE,Mar-Abiraterone 500mg Tab,MAR,Marcan Pharmaceuticals Inc.,UNIT,15.3125,15.3125,15.3125,15.3125,16.5375,1.2250,YES,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02503999
a,02503980,02503980,ABIRATERONE ACETATE,Mar-Abiraterone 250mg Tab,MAR,Marcan Pharmaceuticals Inc.,UNIT,7.6563,7.6563,7.6563,7.6563,8.2688,0.6125,YES,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02503980
a,02494132,02494132,ABIRATERONE ACETATE,Nat-Abiraterone 250mg Tab,NAT,Natco Pharma (Canada) Inc.,UNIT,7.6563,7.6563,7.6563,7.6563,8.2688,0.6125,YES,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02494132
a,02492601,02492601,ABIRATERONE ACETATE,PMS-Abiraterone 250mg Tab,PMS,Pharmascience Inc.,UNIT,7.6563,7.6563,7.6563,7.6563,8.2688,0.6125,YES,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02492601
a,02501503,02501503,ABIRATERONE ACETATE,PMS-Abiraterone 500mg Tab,PMS,Pharmascience Inc.,UNIT,15.3125,15.3125,15.3125,15.3125,16.5375,1.2250,YES,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02501503
a,02540460,02540460,ABIRATERONE ACETATE,PRZ-Abiraterone 500mg Tab,PRZ,Pharmaris Canada Inc.,UNIT,15.3125,15.3125,15.3125,15.3125,16.5375,1.2250,YES,NO,NO,,https://www.formulary.health.gov.on.ca/formulary/detail.xhtml?drugId=02540460
