Generic Name,Currency,Ex Factory Wholesale Price,Region,Marketing Authority,Local Pack Description,Formulation,Fill Size,Strength,Strength Unit,LOCAL_PACK_CODE
ÉNOXAPARINE,CAD,62.51,NORTH AMERICA,SanofiAven,Sol. Inj. S.C. 100 mg/mL,Sol. Inj. S.C,,100.0,MG,02236564
ÉNOXAPARINE,CAD,62.9,NORTH AMERICA,SanofiAven,Sol. Inj. S.C. (ser.) 30 mg/0.3 mL,Sol. Inj. S.C. (ser.),10.0,30.0,MG,02012472
ÉNOXAPARINE,CAD,83.3,NORTH AMERICA,SanofiAven,Sol. Inj. S.C. (ser.) 40 mg/0.4 mL,Sol. Inj. S.C. (ser.),10.0,40.0,MG,02236883
ÉNOXAPARINE,CAD,124.97,NORTH AMERICA,SanofiAven,Sol. Inj. S.C. (ser.) 60 mg/0.6 mL,Sol. Inj. S.C. (ser.),10.0,60.0,MG,02378426
ÉNOXAPARINE,CAD,166.6,NORTH AMERICA,SanofiAven,Sol. Inj. S.C. (ser.) 80 mg/0.8 mL,Sol. Inj. S.C. (ser.),10.0,80.0,MG,02378434
ÉNOXAPARINE,CAD,208.28,NORTH AMERICA,SanofiAven,Sol. Inj. S.C. (ser.) 100 mg/1.0 mL,Sol. Inj. S.C. (ser.),10.0,100.0,MG,02378442
ÉNOXAPARINE,CAD,249.9,NORTH AMERICA,SanofiAven,Sol. Inj. S.C. (ser.) 120 mg/0.8 mL,Sol. Inj. S.C. (ser.),10.0,120.0,MG,02242692
ÉNOXAPARINE,CAD,312.4,NORTH AMERICA,SanofiAven,Sol. Inj. S.C. (ser.) 150 mg/1.0 mL,Sol. Inj. S.C. (ser.),10.0,150.0,MG,02378469
INSULINE ASPARTE,CAD,50.79,NORTH AMERICA,N.Nordisk,Sol. Inj. S.C. 100 U/mL (3 ml),Sol. Inj. S.C,5.0,100.0,U,02377209
INSULINE ASPARTE,CAD,50.79,NORTH AMERICA,N.Nordisk,Sol. Inj. S.C. 100 U/mL (3 ml),Sol. Inj. S.C,5.0,100.0,U,02244353
INSULINE ASPARTE,CAD,25.37,NORTH AMERICA,N.Nordisk,Sol. Inj. S.C. 100 U/mL (10 ml),Sol. Inj. S.C,1.0,100.0,U,02245397
INSULINE LISPRO,CAD,26.17,NORTH AMERICA,Lilly,Sol. Inj. S.C. 100 U/mL,Sol. Inj. S.C,,100.0,U,02229704
INSULINE LISPRO,CAD,51.44,NORTH AMERICA,Lilly,Sol. Inj. S.C. 100 U/mL (3 ml),Sol. Inj. S.C,5.0,100.0,U,02229705
INSULINE LISPRO,CAD,51.44,NORTH AMERICA,Lilly,Sol. Inj. S.C. 100 U/mL (3 ml),Sol. Inj. S.C,5.0,100.0,U,02403412
PROTÉINES DE VENIN D’HYMÉNOPTÈRES,CAD,240.0,NORTH AMERICA,Allergy,Pd. Inj. 1.1 mg,Pd. Inj,1.0,1.1,MG,01948970
PROTÉINES DE VENIN D’HYMÉNOPTÈRES,CAD,434.0,NORTH AMERICA,Allergy,Pd. Inj. 3.3 mg,Pd. Inj,1.0,3.3,MG,01948873
RÉACTIF QUANTITATIF DU GLUCOSE DANS LE SANG,CAD,66.0,NORTH AMERICA,Auto. Cont.,Dario,,100.0,,,99101227
RÉACTIF QUANTITATIF DU GLUCOSE DANS LE SANG,CAD,63.9,NORTH AMERICA,Ignite,D360 Blood Glucose Test Strips,,100.0,,,99101469
RÉACTIF QUANTITATIF DU GLUCOSE DANS LE SANG,CAD,34.23,NORTH AMERICA,Ignite,D360 Blood Glucose Test Strips,,50.0,,,99101469
RÉACTIF QUANTITATIF DU GLUCOSE DANS LE SANG,CAD,36.45,NORTH AMERICA,Medihub,GlucoDr,,50.0,,,99101165
RÉACTIF QUANTITATIF DU GLUCOSE DANS LE SANG,CAD,63.0,NORTH AMERICA,Auto. Cont.,iTest,,100.0,,,99100332
RÉACTIF QUANTITATIF DU GLUCOSE DANS LE SANG,CAD,32.5,NORTH AMERICA,Auto. Cont.,iTest,,50.0,,,99100332
RÉACTIF QUANTITATIF DU GLUCOSE DANS LE SANG,CAD,69.9,NORTH AMERICA,NovaBiomed,Nova-Max,,100.0,,,99100497
RÉACTIF QUANTITATIF DU GLUCOSE DANS LE SANG,CAD,34.95,NORTH AMERICA,NovaBiomed,Nova-Max,,50.0,,,99100497
RÉACTIF QUANTITATIF DU GLUCOSE DANS LE SANG,CAD,33.5,NORTH AMERICA,Acon,On-Call Plus,,50.0,,,99100479
RÉACTIF QUANTITATIF DU GLUCOSE DANS LE SANG,CAD,63.0,NORTH AMERICA,Acon,On-Call Plus,,100.0,,,99100479
RÉACTIF QUANTITATIF DU GLUCOSE DANS LE SANG,CAD,17.5,NORTH AMERICA,Acon,On-Call Plus,,25.0,,,99100479
RÉACTIF QUANTITATIF DU GLUCOSE DANS LE SANG,CAD,27.0,NORTH AMERICA,Lab. Paris,On Call Vivid,,50.0,,,99101314
RÉACTIF QUANTITATIF DU GLUCOSE DANS LE SANG,CAD,27.0,NORTH AMERICA,Nipro Diag,TRUEtest,,50.0,,,99100714
RÉACTIF QUANTITATIF DU GLUCOSE DANS LE SANG,CAD,54.0,NORTH AMERICA,Nipro Diag,TRUEtest,,100.0,,,99100714
