page,din_rows,ok_rows,issues
7,1,1,"Header calibration weak, Manufacturer pack leaks (1), Multiple generics (4)"
11,10,10,"Header calibration weak, Manufacturer pack leaks (10), Multiple generics (8)"
12,21,21,"Header calibration weak, Manufacturer pack leaks (21), Multiple generics (6)"
13,8,8,"Header calibration weak, Manufacturer pack leaks (8), Multiple generics (5)"
14,18,18,"Header calibration weak, Manufacturer pack leaks (18), Multiple generics (5)"
15,13,13,"Header calibration weak, Manufacturer pack leaks (13), Multiple generics (6)"
16,9,9,"Header calibration weak, Manufacturer pack leaks (9), Multiple generics (3)"
17,17,17,"Header calibration weak, Manufacturer pack leaks (17), Multiple generics (6)"
18,21,21,"Header calibration weak, Manufacturer pack leaks (21), Multiple generics (3)"
19,20,20,"Header calibration weak, Manufacturer pack leaks (20)"
20,16,16,"Header calibration weak, Manufacturer pack leaks (16), Multiple generics (3)"
21,19,19,"Header calibration weak, Manufacturer pack leaks (19)"
22,8,8,"Header calibration weak, Manufacturer pack leaks (8), Multiple generics (3)"
23,14,14,"Header calibration weak, Manufacturer pack leaks (14), Multiple generics (4)"
24,21,21,"Header calibration weak, Manufacturer pack leaks (21), Multiple generics (3)"
25,15,15,"Header calibration weak, Manufacturer pack leaks (15), Multiple generics (3)"
26,26,26,"Header calibration weak, Manufacturer pack leaks (26)"
27,31,31,"Header calibration weak, Manufacturer pack leaks (31), Multiple generics (4)"
28,17,17,"Header calibration weak, Manufacturer pack leaks (17), Multiple generics (6)"
29,22,22,"Header calibration weak, Manufacturer pack leaks (22), Multiple generics (5)"
30,22,22,"Header calibration weak, Manufacturer pack leaks (22), Multiple generics (6)"
31,20,20,"Header calibration weak, Manufacturer pack leaks (20), Multiple generics (6)"
32,26,26,"Header calibration weak, Manufacturer pack leaks (26), Multiple generics (5)"
33,7,7,"Header calibration weak, Manufacturer pack leaks (7), Multiple generics (8)"
34,8,8,"Header calibration weak, Manufacturer pack leaks (8), Multiple generics (8)"
35,22,22,"Header calibration weak, Manufacturer pack leaks (22), Multiple generics (5)"
36,10,10,"Header calibration weak, Manufacturer pack leaks (10), Multiple generics (9)"
37,15,15,"Header calibration weak, Manufacturer pack leaks (15), Multiple generics (6)"
38,19,19,"Header calibration weak, Manufacturer pack leaks (19), Multiple generics (5)"
39,9,9,"Header calibration weak, Manufacturer pack leaks (9), Multiple generics (6)"
40,18,18,"Header calibration weak, Manufacturer pack leaks (18), Multiple generics (5)"
41,22,22,"Header calibration weak, Manufacturer pack leaks (22), Multiple generics (6)"
42,25,25,"Header calibration weak, Manufacturer pack leaks (25), Multiple generics (4)"
43,22,22,"Header calibration weak, Manufacturer pack leaks (22), Multiple generics (5)"
44,13,13,"Header calibration weak, Manufacturer pack leaks (13), Multiple generics (7)"
45,16,16,"Header calibration weak, Manufacturer pack leaks (16), Multiple generics (6)"
46,13,13,"Header calibration weak, Manufacturer pack leaks (13), Multiple generics (8)"
47,1,1,"Header calibration weak, Manufacturer pack leaks (1)"
51,26,26,"Header calibration weak, Manufacturer pack leaks (26), Multiple generics (6)"
52,11,11,"Header calibration weak, Manufacturer pack leaks (11), Multiple generics (7)"
53,10,10,"Header calibration weak, Manufacturer pack leaks (10), Multiple generics (7)"
54,21,21,"Header calibration weak, Manufacturer pack leaks (21), Multiple generics (3)"
55,23,23,"Header calibration weak, Manufacturer pack leaks (23), Multiple generics (4)"
56,3,3,"Header calibration weak, Manufacturer pack leaks (3)"
59,10,10,"Header calibration weak, Manufacturer pack leaks (10), Multiple generics (7)"
60,8,8,"Header calibration weak, Manufacturer pack leaks (6), Multiple generics (7)"
61,9,9,"Header calibration weak, Manufacturer pack leaks (7), Multiple generics (5)"
62,19,19,"Header calibration weak, Manufacturer pack leaks (12), Multiple generics (8)"
63,11,11,"Header calibration weak, Manufacturer pack leaks (9), Multiple generics (8)"
64,15,15,"Header calibration weak, Manufacturer pack leaks (15), Multiple generics (5)"
65,20,20,"Header calibration weak, Manufacturer pack leaks (20), Multiple generics (6)"
66,21,21,"Header calibration weak, Manufacturer pack leaks (21), Multiple generics (3)"
67,13,13,"Header calibration weak, Manufacturer pack leaks (13), Multiple generics (3)"
68,8,8,"Header calibration weak, Manufacturer pack leaks (8)"
71,7,7,"Header calibration weak, Manufacturer pack leaks (7), Multiple generics (6)"
72,20,20,"Header calibration weak, Manufacturer pack leaks (20), Multiple generics (3)"
73,22,22,"Header calibration weak, Manufacturer pack leaks (22)"
74,17,17,"Header calibration weak, Manufacturer pack leaks (17)"
75,29,29,"Header calibration weak, Manufacturer pack leaks (29)"
76,7,7,"Header calibration weak, Manufacturer pack leaks (7), Multiple generics (4)"
77,30,30,"Header calibration weak, Manufacturer pack leaks (30)"
78,20,20,"Header calibration weak, Manufacturer pack leaks (20)"
79,15,15,"Header calibration weak, Manufacturer pack leaks (15)"
80,7,7,"Header calibration weak, Manufacturer pack leaks (7), Multiple generics (3)"
81,21,21,"Header calibration weak, Manufacturer pack leaks (21), Multiple generics (5)"
82,17,17,"Header calibration weak, Manufacturer pack leaks (17), Multiple generics (4)"
85,25,25,"Header calibration weak, Manufacturer pack leaks (25), Multiple generics (5)"
86,14,14,"Header calibration weak, Manufacturer pack leaks (14), Multiple generics (6)"
87,4,4,"Header calibration weak, Manufacturer pack leaks (4), Multiple generics (4)"
88,24,24,"Header calibration weak, Manufacturer pack leaks (24), Multiple generics (5)"
89,15,15,"Header calibration weak, Manufacturer pack leaks (15), Multiple generics (7)"
90,15,15,"Header calibration weak, Manufacturer pack leaks (15)"
91,29,29,"Header calibration weak, Manufacturer pack leaks (29)"
92,29,29,"Header calibration weak, Manufacturer pack leaks (29)"
93,29,29,"Header calibration weak, Manufacturer pack leaks (29)"
94,30,30,"Header calibration weak, Manufacturer pack leaks (30)"
95,19,19,"Header calibration weak, Manufacturer pack leaks (19), Multiple generics (3)"
96,16,16,"Header calibration weak, Manufacturer pack leaks (16)"
97,16,16,"Header calibration weak, Manufacturer pack leaks (16)"
98,25,25,"Header calibration weak, Manufacturer pack leaks (25)"
99,25,25,"Header calibration weak, Manufacturer pack leaks (25)"
100,25,25,"Header calibration weak, Manufacturer pack leaks (25)"
101,24,24,"Header calibration weak, Manufacturer pack leaks (24)"
102,24,24,"Header calibration weak, Manufacturer pack leaks (24)"
103,26,26,"Header calibration weak, Manufacturer pack leaks (26)"
104,19,19,"Header calibration weak, Manufacturer pack leaks (17), Multiple generics (5)"
105,19,19,"Header calibration weak, Manufacturer pack leaks (19), Multiple generics (5)"
106,18,18,"Header calibration weak, Manufacturer pack leaks (18), Multiple generics (5)"
107,20,20,"Header calibration weak, Manufacturer pack leaks (20), Multiple generics (4)"
108,23,23,"Header calibration weak, Manufacturer pack leaks (23)"
109,27,27,"Header calibration weak, Manufacturer pack leaks (27)"
110,36,36,"Header calibration weak, Manufacturer pack leaks (36)"
111,20,20,"Header calibration weak, Manufacturer pack leaks (20), Multiple generics (3)"
112,19,19,"Header calibration weak, Manufacturer pack leaks (19)"
113,11,11,"Header calibration weak, Manufacturer pack leaks (11), Multiple generics (4)"
114,19,19,"Header calibration weak, Manufacturer pack leaks (19), Multiple generics (6)"
115,21,21,"Header calibration weak, Manufacturer pack leaks (21), Multiple generics (3)"
116,26,26,"Header calibration weak, Manufacturer pack leaks (26)"
117,28,28,"Header calibration weak, Manufacturer pack leaks (28)"
118,23,23,"Header calibration weak, Manufacturer pack leaks (23)"
119,19,19,"Header calibration weak, Manufacturer pack leaks (19), Multiple generics (3)"
120,31,31,"Header calibration weak, Manufacturer pack leaks (31)"
121,36,36,"Header calibration weak, Manufacturer pack leaks (36)"
122,22,22,"Header calibration weak, Manufacturer pack leaks (22)"
123,14,14,"Header calibration weak, Manufacturer pack leaks (14), Multiple generics (4)"
124,29,29,"Header calibration weak, Manufacturer pack leaks (29), Multiple generics (4)"
125,27,27,"Header calibration weak, Manufacturer pack leaks (27), Multiple generics (3)"
