pack_price_id,product_id,presentation_id,pack_format_raw,pack_cost_raw,unit_price_raw,pack_cost,unit_price,raw_tail,page_no
1,1,1,2,"142,18","71,0900",142.18,71.09,"2 142,18 71,0900",238
2,2,1,2,"142,18","71,0900",142.18,71.09,"2 142,18 71,0900",238
3,3,1,2,"142,18","71,0900",142.18,71.09,"2 142,18 71,0900",238
4,4,3,ml,"13,50","0,2700",13.5,0.27,"ml 13,50 0,2700",279
5,5,4,30,"65,13","2,1710",65.13,2.171,"30 65,13 2,1710",312
6,6,4,30,"50,18","1,6727",50.18,1.6727,"30 50,18 1,6727",312
7,7,5,30,"115,17","3,8390",115.17,3.839,"30 115,17 3,8390",312
8,8,5,30,"88,73","2,9577",88.73,2.9577,"30 88,73 2,9577",312
9,9,5,30,"88,73","2,9577",88.73,2.9577,"30 88,73 2,9577",312
10,10,8,g,"33,00","0,6000",33.0,0.6,"g 33,00 0,6000",335
11,11,9,g,"26,82","0,4470",26.82,0.447,"g 26,82 0,4470",341
12,12,9,g,"34,59","0,5765",34.59,0.5765,"g 34,59 0,5765",341
13,13,10,g,"18,45","0,3075",18.45,0.3075,"g 18,45 0,3075",342
14,14,10,g,"18,21","0,3035",18.21,0.3035,"g 18,21 0,3035",342
15,15,10,g,"18,21","0,3035",18.21,0.3035,"g 18,21 0,3035",342
16,16,13,g,"6,64","0,2213",6.64,0.2213,"g 6,64 0,2213",345
17,17,14,g,"2,95","0,1967",2.95,0.1967,"g 2,95 0,1967",346
18,18,14,g,"3,80","0,2533",3.8,0.2533,"g 3,80 0,2533",346
19,19,14,g,"2,25","0,2813",2.25,0.2813,"g 2,25 0,2813",346
20,20,14,g,"3,70","0,1321",3.7,0.1321,"g 3,70 0,1321",346
21,21,15,g,"2,73","0,3413",2.73,0.3413,"g 2,73 0,3413",346
22,22,16,g,"30,00","0,6000",30.0,0.6,"g 30,00 0,6000",402
23,23,17,g,"105,14","1,3143",105.14,1.3143,"g 105,14 1,3143",406
24,24,17,g,"71,59","1,1932",71.59,1.1932,"g 71,59 1,1932",406
25,25,17,g,"151,60","1,2633",151.6,1.2633,"g 151,60 1,2633",406
26,26,17,g,"64,43","1,0738",64.43,1.0738,"g 64,43 1,0738",406
27,27,21,g,"7,41","0,2964",7.41,0.2964,"g 7,41 0,2964",516
