FormulationInput,SNo,MedicineName,Status,CeilingPrice,Unit,MRP_Unit,CapturedAt,Formulation_Brand,CompanyName_Header,MRP_Unit_Header,MRP_AsOnDate,MRP_Header,Sub_SNo,Sub_BrandName,Sub_PackSize,Sub_MRP,Sub_MRP_Unit,Sub_CompanyName
AMLODIPINE,,A 1 5 MG TABLET 10,A 1 5 MG TABLET 10,Scheduled,2.54,TABLET,2026-01-16T17:30:52,AMLODIPINE TABLET 5 MG / A 1,PATSON LABORATORIES PVT. LTD.,2.20,Dec-2025,22.00/10 TABLET,1,CUPINE,10,0.13,0.01,CUBIT HEALTHCARE
AMLODIPINE,,A 1 5 MG TABLET 10,A 1 5 MG TABLET 10,Scheduled,2.54,TABLET,2026-01-16T17:30:52,AMLODIPINE TABLET 5 MG / A 1,PATSON LABORATORIES PVT. LTD.,2.20,Dec-2025,22.00/10 TABLET,2,AMLODIPINE BESYLATE (LUPIN),90,6.87,0.08,LUPIN LTD
AMLODIPINE,,A 1 5 MG TABLET 10,A 1 5 MG TABLET 10,Scheduled,2.54,TABLET,2026-01-16T17:30:52,AMLODIPINE TABLET 5 MG / A 1,PATSON LABORATORIES PVT. LTD.,2.20,Dec-2025,22.00/10 TABLET,3,AMLODEPIN,10,4.86,0.49,ZYDUS HEALTHCARE LTD.
AMLODIPINE,,A 1 5 MG TABLET 10,A 1 5 MG TABLET 10,Scheduled,2.54,TABLET,2026-01-16T17:30:52,AMLODIPINE TABLET 5 MG / A 1,PATSON LABORATORIES PVT. LTD.,2.20,Dec-2025,22.00/10 TABLET,4,AVACARD (RANBAXY),10,6.12,0.61,RANBAXY LABORATORIES LTD
AMLODIPINE,,A 1 5 MG TABLET 10,A 1 5 MG TABLET 10,Scheduled,2.54,TABLET,2026-01-16T17:30:52,AMLODIPINE TABLET 5 MG / A 1,PATSON LABORATORIES PVT. LTD.,2.20,Dec-2025,22.00/10 TABLET,5,UDP,10,7.47,0.75,UNISON PHARMACEUTICALS
AMLODIPINE,,A 1 5 MG TABLET 10,A 1 5 MG TABLET 10,Scheduled,2.54,TABLET,2026-01-16T17:30:52,AMLODIPINE TABLET 5 MG / A 1,PATSON LABORATORIES PVT. LTD.,2.20,Dec-2025,22.00/10 TABLET,6,ANGIGUARD,10,8.00,0.80,INDSWIFT LABORATORIES LTD.
AMLODIPINE,,A 1 5 MG TABLET 10,A 1 5 MG TABLET 10,Scheduled,2.54,TABLET,2026-01-16T17:30:52,AMLODIPINE TABLET 5 MG / A 1,PATSON LABORATORIES PVT. LTD.,2.20,Dec-2025,22.00/10 TABLET,7,UDP,30,26.61,0.89,UNISON PHARMACEUTICALS
AMLODIPINE,,A 1 5 MG TABLET 10,A 1 5 MG TABLET 10,Scheduled,2.54,TABLET,2026-01-16T17:30:52,AMLODIPINE TABLET 5 MG / A 1,PATSON LABORATORIES PVT. LTD.,2.20,Dec-2025,22.00/10 TABLET,8,AMLOPEN,10,9.37,0.94,MOREPEN LABORATORIES LIMITED
AMLODIPINE,,A 1 5 MG TABLET 10,A 1 5 MG TABLET 10,Scheduled,2.54,TABLET,2026-01-16T17:30:52,AMLODIPINE TABLET 5 MG / A 1,PATSON LABORATORIES PVT. LTD.,2.20,Dec-2025,22.00/10 TABLET,9,AMODEP,15,18.39,1.23,FDC LTD.
AMLODIPINE,,A 1 5 MG TABLET 10,A 1 5 MG TABLET 10,Scheduled,2.54,TABLET,2026-01-16T17:30:52,AMLODIPINE TABLET 5 MG / A 1,PATSON LABORATORIES PVT. LTD.,2.20,Dec-2025,22.00/10 TABLET,10,AMODEP,14,17.20,1.23,FDC LTD.
AMLODIPINE,,A 1 5 MG TABLET 10,A 1 5 MG TABLET 10,Scheduled,2.54,TABLET,2026-01-16T17:30:52,AMLODIPINE TABLET 5 MG / A 1,PATSON LABORATORIES PVT. LTD.,2.20,Dec-2025,22.00/10 TABLET,11,AMLOKIND,10,13.27,1.33,MANKIND PHARMACEUTICALS LTD.
AMLODIPINE,,A 1 5 MG TABLET 10,A 1 5 MG TABLET 10,Scheduled,2.54,TABLET,2026-01-16T17:30:52,AMLODIPINE TABLET 5 MG / A 1,PATSON LABORATORIES PVT. LTD.,2.20,Dec-2025,22.00/10 TABLET,12,AMLOTRAC,10,14.95,1.50,INTRA LABS
AMLODIPINE,,A 1 5 MG TABLET 10,A 1 5 MG TABLET 10,Scheduled,2.54,TABLET,2026-01-16T17:30:52,AMLODIPINE TABLET 5 MG / A 1,PATSON LABORATORIES PVT. LTD.,2.20,Dec-2025,22.00/10 TABLET,13,AMLOKIND,15,23.67,1.58,MANKIND PHARMACEUTICALS LTD.
AMLODIPINE,,A 1 5 MG TABLET 10,A 1 5 MG TABLET 10,Scheduled,2.54,TABLET,2026-01-16T17:30:52,AMLODIPINE TABLET 5 MG / A 1,PATSON LABORATORIES PVT. LTD.,2.20,Dec-2025,22.00/10 TABLET,14,AMFIRST,15,24.00,1.60,SINSAN PHARMACEUTICALS
AMLODIPINE,,A 1 5 MG TABLET 10,A 1 5 MG TABLET 10,Scheduled,2.54,TABLET,2026-01-16T17:30:52,AMLODIPINE TABLET 5 MG / A 1,PATSON LABORATORIES PVT. LTD.,2.20,Dec-2025,22.00/10 TABLET,15,AMPINE,10,16.03,1.60,SUNIJ PHARMA PVT LTD
AMLODIPINE,,A 1 5 MG TABLET 10,A 1 5 MG TABLET 10,Scheduled,2.54,TABLET,2026-01-16T17:30:52,AMLODIPINE TABLET 5 MG / A 1,PATSON LABORATORIES PVT. LTD.,2.20,Dec-2025,22.00/10 TABLET,16,ANGICAM,15,25.31,1.69,BLUE CROSS LABORATORIES LTD
AMLODIPINE,,A 1 5 MG TABLET 10,A 1 5 MG TABLET 10,Scheduled,2.54,TABLET,2026-01-16T17:30:52,AMLODIPINE TABLET 5 MG / A 1,PATSON LABORATORIES PVT. LTD.,2.20,Dec-2025,22.00/10 TABLET,17,AMLIN,10,17.63,1.76,LINCOLN PHARMACEUTICALS LTD
AMLODIPINE,,A 1 5 MG TABLET 10,A 1 5 MG TABLET 10,Scheduled,2.54,TABLET,2026-01-16T17:30:52,AMLODIPINE TABLET 5 MG / A 1,PATSON LABORATORIES PVT. LTD.,2.20,Dec-2025,22.00/10 TABLET,18,STAMLO M,28,52.30,1.87,DR. REDDYS LABORATORIES LTD
AMLODIPINE,,A 1 5 MG TABLET 10,A 1 5 MG TABLET 10,Scheduled,2.54,TABLET,2026-01-16T17:30:52,AMLODIPINE TABLET 5 MG / A 1,PATSON LABORATORIES PVT. LTD.,2.20,Dec-2025,22.00/10 TABLET,19,AMOPIN,10,20.00,2.00,FINECURE PHARMACEUTICALS
AMLODIPINE,,A 1 5 MG TABLET 10,A 1 5 MG TABLET 10,Scheduled,2.54,TABLET,2026-01-16T17:30:52,AMLODIPINE TABLET 5 MG / A 1,PATSON LABORATORIES PVT. LTD.,2.20,Dec-2025,22.00/10 TABLET,20,AMDAC(CMR),10,20.62,2.06,CMR LIFE SCIENCES
AMLODIPINE,,A 1 5 MG TABLET 10,A 1 5 MG TABLET 10,Scheduled,2.54,TABLET,2026-01-16T17:30:52,AMLODIPINE TABLET 5 MG / A 1,PATSON LABORATORIES PVT. LTD.,2.20,Dec-2025,22.00/10 TABLET,21,AMCARD,14,29.92,2.14,SYSTOPIC LABORATORIES LTD-MEM
AMLODIPINE,,A 1 5 MG TABLET 10,A 1 5 MG TABLET 10,Scheduled,2.54,TABLET,2026-01-16T17:30:52,AMLODIPINE TABLET 5 MG / A 1,PATSON LABORATORIES PVT. LTD.,2.20,Dec-2025,22.00/10 TABLET,22,AMCARD,7,14.96,2.14,SYSTOPIC LABORATORIES LTD-MEM
AMLODIPINE,,A 1 5 MG TABLET 10,A 1 5 MG TABLET 10,Scheduled,2.54,TABLET,2026-01-16T17:30:52,AMLODIPINE TABLET 5 MG / A 1,PATSON LABORATORIES PVT. LTD.,2.20,Dec-2025,22.00/10 TABLET,23,AMLO,10,22.00,2.20,MED MANOR ORGANICS PVT LTD.
AMLODIPINE,,A 1 5 MG TABLET 10,A 1 5 MG TABLET 10,Scheduled,2.54,TABLET,2026-01-16T17:30:52,AMLODIPINE TABLET 5 MG / A 1,PATSON LABORATORIES PVT. LTD.,2.20,Dec-2025,22.00/10 TABLET,24,AMVIO,14,31.88,2.28,SALUD CARE (I) PVT LTD
AMLODIPINE,,A 1 5 MG TABLET 10,A 1 5 MG TABLET 10,Scheduled,2.54,TABLET,2026-01-16T17:30:52,AMLODIPINE TABLET 5 MG / A 1,PATSON LABORATORIES PVT. LTD.,2.20,Dec-2025,22.00/10 TABLET,25,AMLOSURE,10,23.00,2.30,CADELL HEALTH CARE PVT.LTD
