PHARMA SAHI DAAM,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,S.No.,Medicine Name,Status,Ceiling Price (₹),Unit,M.R.P (₹)/Unit
,1,ALISTOR 10 MG TABLET 10,Scheduled,5.06,TABLET,50.50/10 TABLET
,2,ALPHATOR 10 MG TABLET 10,Scheduled,5.06,TABLET,7.43/10 TABLET
,3,ALPHATOR 20 MG TABLET 10,Scheduled,12.78,TABLET,13.28/10 TABLET
,4,ALTEN 10 MG TABLET 15,Scheduled,5.06,TABLET,78.68/15 TABLET
,5,ALTEN 20 MG TABLET 15,Scheduled,12.78,TABLET,197.81/15 TABLET
,6,ALTEN 40 MG TABLET 15,Scheduled,19.64,TABLET,309.10/15 TABLET
,7,ALVOTIN 10 MG TABLET 10,Scheduled,5.06,TABLET,50.16/10 TABLET
,8,ALVOTIN 20 MG TABLET 10,Scheduled,12.78,TABLET,82.14/10 TABLET
,9,AOVA 10 MG TABLET 10,Scheduled,5.06,TABLET,59.90/10 TABLET
,10,AOVA 20 MG TABLET 10,Scheduled,12.78,TABLET,79.50/10 TABLET
,11,AREPRESS(ORGANIC) 10 MG TABLET 10,Scheduled,5.06,TABLET,59.90/10 TABLET
,12,ARISTATIN 10 MG TABLET 10,Scheduled,5.06,TABLET,51.87/10 TABLET
,13,ARISTATIN 20 MG TABLET 10,Scheduled,12.78,TABLET,131.87/10 TABLET
,14,ARISTATIN 40 MG TABLET 10,Scheduled,19.64,TABLET,21.00/10 TABLET
,15,ARSTATIN 10 MG TABLET 10,Scheduled,5.06,TABLET,52.00/10 TABLET
,16,ARSTATIN 20 MG TABLET 10,Scheduled,12.78,TABLET,132.00/10 TABLET
,17,ARSTATIN 40 MG TABLET 10,Scheduled,19.64,TABLET,99.57/10 TABLET
,18,ASTIN 10 MG TABLET 30,Scheduled,5.06,TABLET,159.30/30 TABLET
,19,ASTIN 20 MG TABLET 30,Scheduled,12.78,TABLET,395.63/30 TABLET
,20,ASTIN 40 MG TABLET 10,Scheduled,19.64,TABLET,202.60/10 TABLET
,21,ASTIN 80 MG TABLET 10,Scheduled,41.29,TABLET,425.98/10 TABLET
,22,ATAST 10 MG TABLET 10,Scheduled,5.06,TABLET,52.97/10 TABLET
,23,ATAST 5 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,45.38/10 TABLET
,24,ATCHOL 10 MG TABLET 10,Scheduled,5.06,TABLET,43.14/10 TABLET
,25,ATCHOL 10 MG TABLET 15,Scheduled,5.06,TABLET,43.85/15 TABLET
,26,ATCHOL 20 MG TABLET 10,Scheduled,12.78,TABLET,54.40/10 TABLET
,27,ATCHOL 40 MG TABLET 10,Scheduled,19.64,TABLET,102.88/10 TABLET
,28,ATECLOZ 10 MG TABLET 10,Scheduled,5.06,TABLET,43.80/10 TABLET
,29,ATECLOZ 20 MG TABLET 10,Scheduled,12.78,TABLET,139.24/10 TABLET
,30,ATEDIL 10 MG TABLET 10,Scheduled,5.06,TABLET,133.00/10 TABLET
,31,ATHEART 10 MG TABLET 10,Scheduled,5.06,TABLET,52.68/10 TABLET
,32,ATHEART 20 MG TABLET 10,Scheduled,12.78,TABLET,140.00/10 TABLET
,33,ATHEROCHEK 10 MG TABLET 10,Scheduled,5.06,TABLET,135.08/10 TABLET
