FormulationInput,SNo,MedicineName,Status,CeilingPrice,Unit,MRP_Unit,CapturedAt,Formulation_Brand,CompanyName_Header,MRP_Unit_Header,MRP_AsOnDate,MRP_Header,Sub_SNo,Sub_BrandName,Sub_PackSize,Sub_MRP,Sub_MRP_Unit,Sub_CompanyName
ACETAZOLAMIDE SYSTEMIC,,ACETAMIDE 250 MG TABLET 10,ACETAMIDE 250 MG TABLET 10,Scheduled,4.13,TABLET,2026-01-16T20:26:23,ACETAZOLAMIDE SYSTEMIC TABLET 250 MG / ACETAMIDE,MICRO LABS LTD,4.26,Dec-2025,42.63/10 TABLET,1,ACTAMID,100,123.25,1.23,JAWA LABORATORIES
ACETAZOLAMIDE SYSTEMIC,,ACETAMIDE 250 MG TABLET 10,ACETAMIDE 250 MG TABLET 10,Scheduled,4.13,TABLET,2026-01-16T20:26:23,ACETAZOLAMIDE SYSTEMIC TABLET 250 MG / ACETAMIDE,MICRO LABS LTD,4.26,Dec-2025,42.63/10 TABLET,2,AZOMIDE,10,31.80,3.18,EAST WEST PHARMA
ACETAZOLAMIDE SYSTEMIC,,ACETAMIDE 250 MG TABLET 10,ACETAMIDE 250 MG TABLET 10,Scheduled,4.13,TABLET,2026-01-16T20:26:23,ACETAZOLAMIDE SYSTEMIC TABLET 250 MG / ACETAMIDE,MICRO LABS LTD,4.26,Dec-2025,42.63/10 TABLET,3,ACETAZOLAMIDE,10,38.53,3.85,JAGSONPAL PHARMACEUTICALS LTD
ACETAZOLAMIDE SYSTEMIC,,ACETAMIDE 250 MG TABLET 10,ACETAMIDE 250 MG TABLET 10,Scheduled,4.13,TABLET,2026-01-16T20:26:23,ACETAZOLAMIDE SYSTEMIC TABLET 250 MG / ACETAMIDE,MICRO LABS LTD,4.26,Dec-2025,42.63/10 TABLET,4,AVVA,10,42.62,4.26,INTAS PHARMACEUTICALS LTD
ACETAZOLAMIDE SYSTEMIC,,ACETAMIDE 250 MG TABLET 10,ACETAMIDE 250 MG TABLET 10,Scheduled,4.13,TABLET,2026-01-16T20:26:23,ACETAZOLAMIDE SYSTEMIC TABLET 250 MG / ACETAMIDE,MICRO LABS LTD,4.26,Dec-2025,42.63/10 TABLET,5,BELL ZOLAMIDE,10,42.63,4.26,BELL PHARMA PVT. LTD
ACETAZOLAMIDE SYSTEMIC,,ACETAMIDE 250 MG TABLET 10,ACETAMIDE 250 MG TABLET 10,Scheduled,4.13,TABLET,2026-01-16T20:26:23,ACETAZOLAMIDE SYSTEMIC TABLET 250 MG / ACETAMIDE,MICRO LABS LTD,4.26,Dec-2025,42.63/10 TABLET,6,DIAMOX,15,64.88,4.33,SUN PHARMA LABORATORIES LTD.
ACETAZOLAMIDE SYSTEMIC,,ACETAMIDE 250 MG TABLET 10,ACETAMIDE 250 MG TABLET 10,Scheduled,4.13,TABLET,2026-01-16T20:26:23,ACETAZOLAMIDE SYSTEMIC TABLET 250 MG / ACETAMIDE,MICRO LABS LTD,4.26,Dec-2025,42.63/10 TABLET,7,GLUMOX,10,43.25,4.33,PHARMTAK
ACETAZOLAMIDE SYSTEMIC,,ACETAMIDE 250 MG TABLET 10,ACETAMIDE 250 MG TABLET 10,Scheduled,4.13,TABLET,2026-01-16T20:26:23,ACETAZOLAMIDE SYSTEMIC TABLET 250 MG / ACETAMIDE,MICRO LABS LTD,4.26,Dec-2025,42.63/10 TABLET,8,ACTAMID,10,43.36,4.34,JAWA LABORATORIES
ACETAZOLAMIDE SYSTEMIC,,ACETAMIDE 250 MG TABLET 10,ACETAMIDE 250 MG TABLET 10,Scheduled,4.13,TABLET,2026-01-16T20:26:23,ACETAZOLAMIDE SYSTEMIC TABLET 250 MG / ACETAMIDE,MICRO LABS LTD,4.26,Dec-2025,42.63/10 TABLET,9,SYNOMAX,10,169.00,16.90,SYNTHO PHARMACEUTICALS (P) LTD.
ACETAZOLAMIDE SYSTEMIC,,ACETAZOLAMIDE 250 MG TABLET 10,ACETAZOLAMIDE 250 MG TABLET 10,Scheduled,4.13,TABLET,2026-01-16T20:26:26,ACETAZOLAMIDE SYSTEMIC TABLET 250 MG / ACETAZOLAMIDE,JAGSONPAL PHARMACEUTICALS LTD,3.85,Dec-2025,38.53/10 TABLET,1,ACTAMID,100,123.25,1.23,JAWA LABORATORIES
ACETAZOLAMIDE SYSTEMIC,,ACETAZOLAMIDE 250 MG TABLET 10,ACETAZOLAMIDE 250 MG TABLET 10,Scheduled,4.13,TABLET,2026-01-16T20:26:26,ACETAZOLAMIDE SYSTEMIC TABLET 250 MG / ACETAZOLAMIDE,JAGSONPAL PHARMACEUTICALS LTD,3.85,Dec-2025,38.53/10 TABLET,2,AZOMIDE,10,31.80,3.18,EAST WEST PHARMA
ACETAZOLAMIDE SYSTEMIC,,ACETAZOLAMIDE 250 MG TABLET 10,ACETAZOLAMIDE 250 MG TABLET 10,Scheduled,4.13,TABLET,2026-01-16T20:26:26,ACETAZOLAMIDE SYSTEMIC TABLET 250 MG / ACETAZOLAMIDE,JAGSONPAL PHARMACEUTICALS LTD,3.85,Dec-2025,38.53/10 TABLET,3,ACETAMIDE,10,42.63,4.26,MICRO LABS LTD
ACETAZOLAMIDE SYSTEMIC,,ACETAZOLAMIDE 250 MG TABLET 10,ACETAZOLAMIDE 250 MG TABLET 10,Scheduled,4.13,TABLET,2026-01-16T20:26:26,ACETAZOLAMIDE SYSTEMIC TABLET 250 MG / ACETAZOLAMIDE,JAGSONPAL PHARMACEUTICALS LTD,3.85,Dec-2025,38.53/10 TABLET,4,AVVA,10,42.62,4.26,INTAS PHARMACEUTICALS LTD
ACETAZOLAMIDE SYSTEMIC,,ACETAZOLAMIDE 250 MG TABLET 10,ACETAZOLAMIDE 250 MG TABLET 10,Scheduled,4.13,TABLET,2026-01-16T20:26:26,ACETAZOLAMIDE SYSTEMIC TABLET 250 MG / ACETAZOLAMIDE,JAGSONPAL PHARMACEUTICALS LTD,3.85,Dec-2025,38.53/10 TABLET,5,BELL ZOLAMIDE,10,42.63,4.26,BELL PHARMA PVT. LTD
ACETAZOLAMIDE SYSTEMIC,,ACETAZOLAMIDE 250 MG TABLET 10,ACETAZOLAMIDE 250 MG TABLET 10,Scheduled,4.13,TABLET,2026-01-16T20:26:26,ACETAZOLAMIDE SYSTEMIC TABLET 250 MG / ACETAZOLAMIDE,JAGSONPAL PHARMACEUTICALS LTD,3.85,Dec-2025,38.53/10 TABLET,6,DIAMOX,15,64.88,4.33,SUN PHARMA LABORATORIES LTD.
ACETAZOLAMIDE SYSTEMIC,,ACETAZOLAMIDE 250 MG TABLET 10,ACETAZOLAMIDE 250 MG TABLET 10,Scheduled,4.13,TABLET,2026-01-16T20:26:26,ACETAZOLAMIDE SYSTEMIC TABLET 250 MG / ACETAZOLAMIDE,JAGSONPAL PHARMACEUTICALS LTD,3.85,Dec-2025,38.53/10 TABLET,7,GLUMOX,10,43.25,4.33,PHARMTAK
ACETAZOLAMIDE SYSTEMIC,,ACETAZOLAMIDE 250 MG TABLET 10,ACETAZOLAMIDE 250 MG TABLET 10,Scheduled,4.13,TABLET,2026-01-16T20:26:26,ACETAZOLAMIDE SYSTEMIC TABLET 250 MG / ACETAZOLAMIDE,JAGSONPAL PHARMACEUTICALS LTD,3.85,Dec-2025,38.53/10 TABLET,8,ACTAMID,10,43.36,4.34,JAWA LABORATORIES
ACETAZOLAMIDE SYSTEMIC,,ACETAZOLAMIDE 250 MG TABLET 10,ACETAZOLAMIDE 250 MG TABLET 10,Scheduled,4.13,TABLET,2026-01-16T20:26:26,ACETAZOLAMIDE SYSTEMIC TABLET 250 MG / ACETAZOLAMIDE,JAGSONPAL PHARMACEUTICALS LTD,3.85,Dec-2025,38.53/10 TABLET,9,SYNOMAX,10,169.00,16.90,SYNTHO PHARMACEUTICALS (P) LTD.
ACETAZOLAMIDE SYSTEMIC,,ACTAMID 250 MG TABLET 10,ACTAMID 250 MG TABLET 10,Scheduled,4.13,TABLET,2026-01-16T20:26:28,ACETAZOLAMIDE SYSTEMIC TABLET 250 MG / ACTAMID,JAWA LABORATORIES,4.34,Dec-2025,43.36/10 TABLET,1,AZOMIDE,10,31.80,3.18,EAST WEST PHARMA
ACETAZOLAMIDE SYSTEMIC,,ACTAMID 250 MG TABLET 10,ACTAMID 250 MG TABLET 10,Scheduled,4.13,TABLET,2026-01-16T20:26:28,ACETAZOLAMIDE SYSTEMIC TABLET 250 MG / ACTAMID,JAWA LABORATORIES,4.34,Dec-2025,43.36/10 TABLET,2,ACETAZOLAMIDE,10,38.53,3.85,JAGSONPAL PHARMACEUTICALS LTD
ACETAZOLAMIDE SYSTEMIC,,ACTAMID 250 MG TABLET 10,ACTAMID 250 MG TABLET 10,Scheduled,4.13,TABLET,2026-01-16T20:26:28,ACETAZOLAMIDE SYSTEMIC TABLET 250 MG / ACTAMID,JAWA LABORATORIES,4.34,Dec-2025,43.36/10 TABLET,3,ACETAMIDE,10,42.63,4.26,MICRO LABS LTD
ACETAZOLAMIDE SYSTEMIC,,ACTAMID 250 MG TABLET 10,ACTAMID 250 MG TABLET 10,Scheduled,4.13,TABLET,2026-01-16T20:26:28,ACETAZOLAMIDE SYSTEMIC TABLET 250 MG / ACTAMID,JAWA LABORATORIES,4.34,Dec-2025,43.36/10 TABLET,4,AVVA,10,42.62,4.26,INTAS PHARMACEUTICALS LTD
ACETAZOLAMIDE SYSTEMIC,,ACTAMID 250 MG TABLET 10,ACTAMID 250 MG TABLET 10,Scheduled,4.13,TABLET,2026-01-16T20:26:28,ACETAZOLAMIDE SYSTEMIC TABLET 250 MG / ACTAMID,JAWA LABORATORIES,4.34,Dec-2025,43.36/10 TABLET,5,BELL ZOLAMIDE,10,42.63,4.26,BELL PHARMA PVT. LTD
ACETAZOLAMIDE SYSTEMIC,,ACTAMID 250 MG TABLET 10,ACTAMID 250 MG TABLET 10,Scheduled,4.13,TABLET,2026-01-16T20:26:28,ACETAZOLAMIDE SYSTEMIC TABLET 250 MG / ACTAMID,JAWA LABORATORIES,4.34,Dec-2025,43.36/10 TABLET,6,DIAMOX,15,64.88,4.33,SUN PHARMA LABORATORIES LTD.
ACETAZOLAMIDE SYSTEMIC,,ACTAMID 250 MG TABLET 10,ACTAMID 250 MG TABLET 10,Scheduled,4.13,TABLET,2026-01-16T20:26:28,ACETAZOLAMIDE SYSTEMIC TABLET 250 MG / ACTAMID,JAWA LABORATORIES,4.34,Dec-2025,43.36/10 TABLET,7,GLUMOX,10,43.25,4.33,PHARMTAK
ACETAZOLAMIDE SYSTEMIC,,ACTAMID 250 MG TABLET 10,ACTAMID 250 MG TABLET 10,Scheduled,4.13,TABLET,2026-01-16T20:26:28,ACETAZOLAMIDE SYSTEMIC TABLET 250 MG / ACTAMID,JAWA LABORATORIES,4.34,Dec-2025,43.36/10 TABLET,8,SYNOMAX,10,169.00,16.90,SYNTHO PHARMACEUTICALS (P) LTD.
ACETAZOLAMIDE SYSTEMIC,,ACTAMID 250 MG TABLET 100,ACTAMID 250 MG TABLET 100,Scheduled,4.13,TABLET,2026-01-16T20:26:30,ACETAZOLAMIDE SYSTEMIC TABLET 250 MG / ACTAMID,JAWA LABORATORIES,1.23,Dec-2025,123.25/100 TABLET,1,AZOMIDE,10,31.80,3.18,EAST WEST PHARMA
ACETAZOLAMIDE SYSTEMIC,,ACTAMID 250 MG TABLET 100,ACTAMID 250 MG TABLET 100,Scheduled,4.13,TABLET,2026-01-16T20:26:30,ACETAZOLAMIDE SYSTEMIC TABLET 250 MG / ACTAMID,JAWA LABORATORIES,1.23,Dec-2025,123.25/100 TABLET,2,ACETAZOLAMIDE,10,38.53,3.85,JAGSONPAL PHARMACEUTICALS LTD
ACETAZOLAMIDE SYSTEMIC,,ACTAMID 250 MG TABLET 100,ACTAMID 250 MG TABLET 100,Scheduled,4.13,TABLET,2026-01-16T20:26:30,ACETAZOLAMIDE SYSTEMIC TABLET 250 MG / ACTAMID,JAWA LABORATORIES,1.23,Dec-2025,123.25/100 TABLET,3,ACETAMIDE,10,42.63,4.26,MICRO LABS LTD
ACETAZOLAMIDE SYSTEMIC,,ACTAMID 250 MG TABLET 100,ACTAMID 250 MG TABLET 100,Scheduled,4.13,TABLET,2026-01-16T20:26:30,ACETAZOLAMIDE SYSTEMIC TABLET 250 MG / ACTAMID,JAWA LABORATORIES,1.23,Dec-2025,123.25/100 TABLET,4,AVVA,10,42.62,4.26,INTAS PHARMACEUTICALS LTD
ACETAZOLAMIDE SYSTEMIC,,ACTAMID 250 MG TABLET 100,ACTAMID 250 MG TABLET 100,Scheduled,4.13,TABLET,2026-01-16T20:26:30,ACETAZOLAMIDE SYSTEMIC TABLET 250 MG / ACTAMID,JAWA LABORATORIES,1.23,Dec-2025,123.25/100 TABLET,5,BELL ZOLAMIDE,10,42.63,4.26,BELL PHARMA PVT. LTD
ACETAZOLAMIDE SYSTEMIC,,ACTAMID 250 MG TABLET 100,ACTAMID 250 MG TABLET 100,Scheduled,4.13,TABLET,2026-01-16T20:26:30,ACETAZOLAMIDE SYSTEMIC TABLET 250 MG / ACTAMID,JAWA LABORATORIES,1.23,Dec-2025,123.25/100 TABLET,6,DIAMOX,15,64.88,4.33,SUN PHARMA LABORATORIES LTD.
ACETAZOLAMIDE SYSTEMIC,,ACTAMID 250 MG TABLET 100,ACTAMID 250 MG TABLET 100,Scheduled,4.13,TABLET,2026-01-16T20:26:30,ACETAZOLAMIDE SYSTEMIC TABLET 250 MG / ACTAMID,JAWA LABORATORIES,1.23,Dec-2025,123.25/100 TABLET,7,GLUMOX,10,43.25,4.33,PHARMTAK
ACETAZOLAMIDE SYSTEMIC,,ACTAMID 250 MG TABLET 100,ACTAMID 250 MG TABLET 100,Scheduled,4.13,TABLET,2026-01-16T20:26:30,ACETAZOLAMIDE SYSTEMIC TABLET 250 MG / ACTAMID,JAWA LABORATORIES,1.23,Dec-2025,123.25/100 TABLET,8,SYNOMAX,10,169.00,16.90,SYNTHO PHARMACEUTICALS (P) LTD.
ACETAZOLAMIDE SYSTEMIC,,AVVA 250 MG TABLET 10,AVVA 250 MG TABLET 10,Scheduled,4.13,TABLET,2026-01-16T20:26:32,ACETAZOLAMIDE SYSTEMIC TABLET 250 MG / AVVA,INTAS PHARMACEUTICALS LTD,4.26,Dec-2025,42.62/10 TABLET,1,ACTAMID,100,123.25,1.23,JAWA LABORATORIES
ACETAZOLAMIDE SYSTEMIC,,AVVA 250 MG TABLET 10,AVVA 250 MG TABLET 10,Scheduled,4.13,TABLET,2026-01-16T20:26:32,ACETAZOLAMIDE SYSTEMIC TABLET 250 MG / AVVA,INTAS PHARMACEUTICALS LTD,4.26,Dec-2025,42.62/10 TABLET,2,AZOMIDE,10,31.80,3.18,EAST WEST PHARMA
ACETAZOLAMIDE SYSTEMIC,,AVVA 250 MG TABLET 10,AVVA 250 MG TABLET 10,Scheduled,4.13,TABLET,2026-01-16T20:26:32,ACETAZOLAMIDE SYSTEMIC TABLET 250 MG / AVVA,INTAS PHARMACEUTICALS LTD,4.26,Dec-2025,42.62/10 TABLET,3,ACETAZOLAMIDE,10,38.53,3.85,JAGSONPAL PHARMACEUTICALS LTD
ACETAZOLAMIDE SYSTEMIC,,AVVA 250 MG TABLET 10,AVVA 250 MG TABLET 10,Scheduled,4.13,TABLET,2026-01-16T20:26:32,ACETAZOLAMIDE SYSTEMIC TABLET 250 MG / AVVA,INTAS PHARMACEUTICALS LTD,4.26,Dec-2025,42.62/10 TABLET,4,ACETAMIDE,10,42.63,4.26,MICRO LABS LTD
