FormulationInput,SNo,MedicineName,Status,CeilingPrice,Unit,MRP_Unit,CapturedAt,Formulation_Brand,CompanyName_Header,MRP_Unit_Header,MRP_AsOnDate,MRP_Header,Sub_SNo,Sub_BrandName,Sub_PackSize,Sub_MRP,Sub_MRP_Unit,Sub_CompanyName
AMPHOTERICIN B - LIPOSOMAL,,ABHOPE (ABBOTT) 50 MG INJECTION 12 ML,ABHOPE (ABBOTT) 50 MG INJECTION 12 ML,Scheduled,6763.93,INJECTION,2026-01-16T23:25:22,AMPHOTERICIN B - LIPOSOMAL INJECTION 50 MG / ABHOPE (ABBOTT),ABBOTT HEALTHCARE PVT. LTD,555.31,Dec-2025,6663.70/12 ML INJECTION,1,AMPHOTIN,12,238.00,19.83,UNITED BIOTECH (P) LTD
AMPHOTERICIN B - LIPOSOMAL,,ABHOPE (ABBOTT) 50 MG INJECTION 12 ML,ABHOPE (ABBOTT) 50 MG INJECTION 12 ML,Scheduled,6763.93,INJECTION,2026-01-16T23:25:22,AMPHOTERICIN B - LIPOSOMAL INJECTION 50 MG / ABHOPE (ABBOTT),ABBOTT HEALTHCARE PVT. LTD,555.31,Dec-2025,6663.70/12 ML INJECTION,2,MYCOL,1,40.80,40.80,ANGLO-FRENCH DRUGS & INDUSTRIES LTD.
AMPHOTERICIN B - LIPOSOMAL,,ABHOPE (ABBOTT) 50 MG INJECTION 12 ML,ABHOPE (ABBOTT) 50 MG INJECTION 12 ML,Scheduled,6763.93,INJECTION,2026-01-16T23:25:22,AMPHOTERICIN B - LIPOSOMAL INJECTION 50 MG / ABHOPE (ABBOTT),ABBOTT HEALTHCARE PVT. LTD,555.31,Dec-2025,6663.70/12 ML INJECTION,3,AMPHOFIC,10,570.47,57.05,GUFIC BIOSCIENCE LTD
AMPHOTERICIN B - LIPOSOMAL,,ABHOPE (ABBOTT) 50 MG INJECTION 12 ML,ABHOPE (ABBOTT) 50 MG INJECTION 12 ML,Scheduled,6763.93,INJECTION,2026-01-16T23:25:22,AMPHOTERICIN B - LIPOSOMAL INJECTION 50 MG / ABHOPE (ABBOTT),ABBOTT HEALTHCARE PVT. LTD,555.31,Dec-2025,6663.70/12 ML INJECTION,4,LAMBIN LYOPHILISED,50,5990.00,119.80,SUN PHARMA LABORATORIES LTD.
AMPHOTERICIN B - LIPOSOMAL,,ABHOPE (ABBOTT) 50 MG INJECTION 12 ML,ABHOPE (ABBOTT) 50 MG INJECTION 12 ML,Scheduled,6763.93,INJECTION,2026-01-16T23:25:22,AMPHOTERICIN B - LIPOSOMAL INJECTION 50 MG / ABHOPE (ABBOTT),ABBOTT HEALTHCARE PVT. LTD,555.31,Dec-2025,6663.70/12 ML INJECTION,5,AMFIGHT,12,3061.47,255.12,CELON LABS
AMPHOTERICIN B - LIPOSOMAL,,ABHOPE (ABBOTT) 50 MG INJECTION 12 ML,ABHOPE (ABBOTT) 50 MG INJECTION 12 ML,Scheduled,6763.93,INJECTION,2026-01-16T23:25:22,AMPHOTERICIN B - LIPOSOMAL INJECTION 50 MG / ABHOPE (ABBOTT),ABBOTT HEALTHCARE PVT. LTD,555.31,Dec-2025,6663.70/12 ML INJECTION,6,AMPHONEX,12,6561.90,546.83,BHARAT SERUMS & VACCINES LTD
AMPHOTERICIN B - LIPOSOMAL,,ABHOPE (ABBOTT) 50 MG INJECTION 12 ML,ABHOPE (ABBOTT) 50 MG INJECTION 12 ML,Scheduled,6763.93,INJECTION,2026-01-16T23:25:22,AMPHOTERICIN B - LIPOSOMAL INJECTION 50 MG / ABHOPE (ABBOTT),ABBOTT HEALTHCARE PVT. LTD,555.31,Dec-2025,6663.70/12 ML INJECTION,7,AMBISOME,12,6980.00,581.67,VIATRIS
AMPHOTERICIN B - LIPOSOMAL,,ABHOPE (ABBOTT) 50 MG INJECTION 12 ML,ABHOPE (ABBOTT) 50 MG INJECTION 12 ML,Scheduled,6763.93,INJECTION,2026-01-16T23:25:22,AMPHOTERICIN B - LIPOSOMAL INJECTION 50 MG / ABHOPE (ABBOTT),ABBOTT HEALTHCARE PVT. LTD,555.31,Dec-2025,6663.70/12 ML INJECTION,8,AMPHITERO,12,6990.00,582.50,HETERO HEALTHCARE LTD
AMPHOTERICIN B - LIPOSOMAL,,ABHOPE (ABBOTT) 50 MG INJECTION 12 ML,ABHOPE (ABBOTT) 50 MG INJECTION 12 ML,Scheduled,6763.93,INJECTION,2026-01-16T23:25:22,AMPHOTERICIN B - LIPOSOMAL INJECTION 50 MG / ABHOPE (ABBOTT),ABBOTT HEALTHCARE PVT. LTD,555.31,Dec-2025,6663.70/12 ML INJECTION,9,AMPHONAT,12,7080.00,590.00,NATCO PHARMA LTD
AMPHOTERICIN B - LIPOSOMAL,,ABHOPE (ABBOTT) 50 MG INJECTION 12 ML,ABHOPE (ABBOTT) 50 MG INJECTION 12 ML,Scheduled,6763.93,INJECTION,2026-01-16T23:25:22,AMPHOTERICIN B - LIPOSOMAL INJECTION 50 MG / ABHOPE (ABBOTT),ABBOTT HEALTHCARE PVT. LTD,555.31,Dec-2025,6663.70/12 ML INJECTION,10,AMBILON,12,7101.90,591.83,CELON LABS
