PHARMA SAHI DAAM,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,S.No.,Medicine Name,Status,Ceiling Price (₹),Unit,M.R.P (₹)/Unit
,1,ACYNAC 600 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,310.00/10 TABLET
,2,ACYTINE 200 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,242.81/10 TABLET
,3,ATYCY 1000 MG INJECTION 5 ML,Non-Scheduled,Not Applicable,INJECTION,110.67/5 ML INJECTION
,4,ATYCY 400 MG INJECTION 2 ML,Non-Scheduled,Not Applicable,INJECTION,51.60/2 ML INJECTION
,5,CHROMINAC A 600 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,349.39/10 TABLET
,6,COENAC 400 MG INJECTION 2 ML,Non-Scheduled,Not Applicable,INJECTION,47.11/2 ML INJECTION
,7,COENAC 600 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,261.00/10 TABLET
,8,DILTORIS 600 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,208.50/10 TABLET
,9,DILTORIS EFFERVESCENT 600 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,214.97/10 TABLET
,10,EFETIL 600 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,307.50/10 TABLET
,11,EFFELYTE 600 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,246.78/10 TABLET
,12,EFFENAC 600 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,198.28/10 TABLET
,13,ENDOVIEW 600 MG SYRUP 15 ML,Non-Scheduled,Not Applicable,SYRUP,90.94/15 ML SYRUP
,14,FLEMONAC 600 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,283.59/10 TABLET
,15,FLUIMUCIL 600 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,172.50/10 TABLET
,16,FLUIMUCIL EFF 600 MG TABLET 6,Non-Scheduled,Not Applicable,TABLET,172.50/6 TABLET
,17,FLUIMUCIL (ELDER) 100 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,26.76/10 TABLET
,18,FLUIMUCIL (ELDER) 200 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,57.75/10 TABLET
,19,JUCINAC 600 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,277.00/10 TABLET
,20,LUMENAC 600 MG TABLET ER 10,Non-Scheduled,Not Applicable,TABLET ER,344.55/10 TABLET ER
,21,METHONAC 600 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,203.10/10 TABLET
,22,METHONAC EVT 600 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,230.00/10 TABLET
,23,MUCARE 600 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,257.00/10 TABLET
,24,MUCARYL 600 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,257.00/10 TABLET
,25,MUCIHEAL 600 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,73.50/10 TABLET
,26,MUCIHEAL EFF 600 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,103.50/10 TABLET
,27,MUCIMEGA 600 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,260.00/10 TABLET
,28,MUCINAC 100 MG SOLUTION 100 ML,Non-Scheduled,Not Applicable,ORAL SOLUTION,133.47/100 ML ORAL SOLUTION
,29,MUCINAC 200 MG INJECTION 5 ML,Scheduled,24.05,INJECTION,126.26/5 ML INJECTION
,30,MUCINAC 200 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,150.31/10 TABLET
,31,MUCINAC 400 MG INJECTION 2 ML,Non-Scheduled,Not Applicable,INJECTION,50.50/2 ML INJECTION
,32,MUCINAC C 600 MG TABLET 15,Non-Scheduled,Not Applicable,TABLET,495.00/15 TABLET
,33,MUCINAC SF ORANGE 600 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,366.19/10 TABLET
,34,MUCITAB 600 MG TABLET 4,Non-Scheduled,Not Applicable,TABLET,89.28/4 TABLET
,35,MUCOBANG 600 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,279.38/10 TABLET
,36,MUCOEND 600 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,234.38/10 TABLET
,37,MUCOFAB 400 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,75.24/10 TABLET
,38,MUCOMELT 1000 MG INJECTION 5 ML,Non-Scheduled,Not Applicable,INJECTION,124.06/5 ML INJECTION
,39,MUCOMELT 400 MG INJECTION 2 ML,Non-Scheduled,Not Applicable,INJECTION,50.50/2 ML INJECTION
,40,MUCOMELT 600 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,249.10/10 TABLET
,41,MUCOMIX 1000 MG INJECTION 5 ML,Non-Scheduled,Not Applicable,INJECTION,126.19/5 ML INJECTION
,42,MUCOMIX 200 MG INJECTION 1 ML,Scheduled,24.05,INJECTION,25.23/1 ML INJECTION
,43,MUCOMIX 400 MG INJECTION 2 ML,Non-Scheduled,Not Applicable,INJECTION,50.48/2 ML INJECTION
,44,MUCOMIX 600 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,216.62/10 TABLET
,45,MUCOMIX ET 600 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,258.74/10 TABLET
,46,MUCOSYS 1000 MG INJECTION 5 ML,Non-Scheduled,Not Applicable,INJECTION,110.63/5 ML INJECTION
,47,MUCOSYS 400 MG INJECTION 2 ML,Non-Scheduled,Not Applicable,INJECTION,44.06/2 ML INJECTION
,48,MUCOTAB 600 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,406.77/10 TABLET
,49,MUCOTAB ET 600 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,354.75/10 TABLET
,50,MUCOTAB PLUS 600 MG CAPSULE 10,Non-Scheduled,Not Applicable,CAPSULE,91.00/10 CAPSULE
,51,MUCOTIL 600 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,290.62/10 TABLET
,52,MUCOTROY 1000 MG INJECTION 5 ML,Non-Scheduled,Not Applicable,INJECTION,126.09/5 ML INJECTION
,53,MUCOTROY 400 MG INJECTION 2 ML,Non-Scheduled,Not Applicable,INJECTION,50.44/2 ML INJECTION
,54,MUCOVID 600 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,234.82/10 TABLET
,55,MUCOVISC 600 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,298.55/10 TABLET
,56,MUCYST 1000 MG INJECTION 5 ML,Non-Scheduled,Not Applicable,INJECTION,126.18/5 ML INJECTION
,57,MUCYST 200 MG INJECTION 5 ML,Scheduled,24.05,INJECTION,49.00/5 ML INJECTION
,58,MUCYST 400 MG INJECTION 2 ML,Non-Scheduled,Not Applicable,INJECTION,50.35/2 ML INJECTION
,59,MUCYST 600 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,282.00/10 TABLET
,60,NACEL 1000 MG INJECTION 5 ML,Non-Scheduled,Not Applicable,INJECTION,132.00/5 ML INJECTION
,61,NACEL 400 MG INJECTION 2 ML,Non-Scheduled,Not Applicable,INJECTION,21.41/2 ML INJECTION
,62,NACEL 600 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,297.12/10 TABLET
,63,NACFIL 1200 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,168.00/10 TABLET
,64,NACFIL 600 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,203.44/10 TABLET
,65,NACFIL ET 600 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,240.00/10 TABLET
,66,NACOMED TABLET 10,Non-Scheduled,Not Applicable,TABLET,348.00/10 TABLET
,67,NACTAB 600 MG CAPSULE 10,Non-Scheduled,Not Applicable,CAPSULE,199.00/10 CAPSULE
,68,NACYRES 200 MG INJECTION 5 ML,Scheduled,24.05,INJECTION,113.43/5 ML INJECTION
,69,NACYRES 600 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,210.00/10 TABLET
,70,OUTRITE 600 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,57.00/10 TABLET
,71,OVANAC 600 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,126.56/10 TABLET
,72,OVANAC PLUS 600 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,178.13/10 TABLET
,73,PRONAC 50 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,58.00/10 TABLET
,74,QUICNAC 600 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,273.75/10 TABLET
,75,RENOSAVE P 600 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,246.47/10 TABLET
,76,SOMANAC 600 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,240.00/10 TABLET
,77,STYLECYSTIN EF TABLET 10,Non-Scheduled,Not Applicable,TABLET,213.48/10 TABLET
,78,TRUECOFET TABLET 10,Non-Scheduled,Not Applicable,TABLET,289.00/10 TABLET
,79,VARCYSTINE 400 MG INJECTION 2 ML,Non-Scheduled,Not Applicable,INJECTION,46.79/2 ML INJECTION
,80,VENTIREX EVT 600 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,243.75/10 TABLET
,81,VISCOJOY 600 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,286.59/10 TABLET
,82,XPERTYL 600 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,55.76/10 TABLET
,83,YESNAC 600 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,152.16/10 TABLET
