PHARMA SAHI DAAM,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,S.No.,Medicine Name,Status,Ceiling Price (₹),Unit,M.R.P (₹)/Unit
,1,ALINOL 20 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,53.63/10 TABLET
,2,ALLOPURIC 100 MG TABLET 10,Scheduled,1.92,TABLET,18.91/10 TABLET
,3,ALLOTIVE 100 MG TABLET 10,Scheduled,1.92,TABLET,13.50/10 TABLET
,4,ALPNOL 10 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,17.85/10 TABLET
,5,AVERY 100 MG TABLET 10,Scheduled,1.92,TABLET,19.26/10 TABLET
,6,AVERY 300 MG TABLET 10,Scheduled,5.73,TABLET,52.73/10 TABLET
,7,CIPLORIC 300 MG TABLET 10,Scheduled,5.73,TABLET,60.80/10 TABLET
,8,LOGOUT 100 MG TABLET 10,Scheduled,1.92,TABLET,20.15/10 TABLET
,9,LOGOUT 250 MG CAPSULE SR 10,Non-Scheduled,Not Applicable,CAPSULE SR,107.20/10 CAPSULE SR
,10,LOURIC 100 MG TABLET 10,Scheduled,1.92,TABLET,19.10/10 TABLET
,11,PILORIC 100 MG TABLET 10,Scheduled,1.92,TABLET,21.20/10 TABLET
,12,PILORIC 300 MG TABLET 10,Scheduled,5.73,TABLET,151.50/10 TABLET
,13,PURIL 100 MG TABLET 10,Scheduled,1.92,TABLET,20.16/10 TABLET
,14,PURIL 300 MG TABLET 10,Scheduled,5.73,TABLET,60.17/10 TABLET
,15,URICARE (EAST WEST) 100 MG TABLET 10,Scheduled,1.92,TABLET,20.15/10 TABLET
,16,XORIC (OCTA) 40 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,112.50/10 TABLET
,17,XYLOR (FRANKLIN) 100 MG TABLET 10,Scheduled,1.92,TABLET,25.00/10 TABLET
,18,ZYLE 100 MG TABLET 10,Scheduled,1.92,TABLET,19.83/10 TABLET
,19,ZYLE 300 MG TABLET 10,Scheduled,5.73,TABLET,76.00/10 TABLET
,20,ZYLORIC 100 MG TABLET 10,Scheduled,1.92,TABLET,20.16/10 TABLET
,21,ZYLORIC 300 MG TABLET 10,Scheduled,5.73,TABLET,60.02/10 TABLET
,22,ZYRIK 100 MG TABLET 10,Scheduled,1.92,TABLET,20.15/10 TABLET
,23,ZYRIK 300 MG TABLET 10,Scheduled,5.73,TABLET,60.15/10 TABLET
