PHARMA SAHI DAAM,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,S.No.,Medicine Name,Status,Ceiling Price (₹),Unit,M.R.P (₹)/Unit
,1,ALDEP 10 MG TABLET 15,Scheduled,2.43,TABLET,38.14/15 TABLET
,2,ALDEP 25 MG TABLET 15,Scheduled,2.53,TABLET,38.81/15 TABLET
,3,ALINE 10 MG TABLET 10,Scheduled,2.43,TABLET,25.50/10 TABLET
,4,ALINE 25 MG TABLET 10,Scheduled,2.53,TABLET,26.53/10 TABLET
,5,AMBIVAL 10 MG TABLET 10,Scheduled,2.43,TABLET,24.98/10 TABLET
,6,AMEOX 10 MG TABLET 10,Scheduled,2.43,TABLET,22.36/10 TABLET
,7,AMEOX 25 MG TABLET 10,Scheduled,2.53,TABLET,22.67/10 TABLET
,8,AMEOX PLUS TABLET 10,Non-Scheduled,Not Applicable,TABLET,34.00/10 TABLET
,9,AMICON 10 MG TABLET 10,Scheduled,2.43,TABLET,25.22/10 TABLET
,10,AMICON 25 MG TABLET 10,Scheduled,2.53,TABLET,25.60/10 TABLET
,11,AMICON 50 MG TABLET 10,Scheduled,6.09,TABLET,62.34/10 TABLET
,12,AMICON 75 MG TABLET 10,Scheduled,5.54,TABLET,55.78/10 TABLET
,13,AMIFORD 25 MG TABLET 10,Scheduled,2.53,TABLET,25.50/10 TABLET
,14,AMIHOPE 10 MG TABLET 10,Scheduled,2.43,TABLET,25.09/10 TABLET
,15,AMILIFT 10 MG TABLET 10,Scheduled,2.43,TABLET,23.44/10 TABLET
,16,AMILIFT SR 25 MG TABLET 10,Scheduled,2.53,TABLET,22.50/10 TABLET
,17,AMITAR 10 MG TABLET 10,Scheduled,2.43,TABLET,24.98/10 TABLET
,18,AMITIAS 10 MG TABLET 10,Scheduled,2.43,TABLET,24.84/10 TABLET
,19,AMITIAS 25 MG TABLET 10,Scheduled,2.53,TABLET,23.25/10 TABLET
,20,AMITONE 10 MG TABLET 10,Scheduled,2.43,TABLET,20.48/10 TABLET
,21,AMITONE 25 MG TABLET 10,Scheduled,2.53,TABLET,26.57/10 TABLET
,22,AMITONE 75 MG TABLET 10,Scheduled,5.54,TABLET,50.51/10 TABLET
,23,AMITOP 10 MG TABLET 10,Scheduled,2.43,TABLET,24.68/10 TABLET
,24,AMITOP 25 MG TABLET 10,Scheduled,2.53,TABLET,25.20/10 TABLET
,25,AMITOP 50 MG TABLET SR 10,Non-Scheduled,Not Applicable,TABLET SR,61.83/10 TABLET SR
,26,AMITRIL 25 MG TABLET 10,Scheduled,2.53,TABLET,26.06/10 TABLET
,27,AMITRIL 50 MG TABLET 10,Scheduled,6.09,TABLET,62.72/10 TABLET
,28,AMITRIL 75 MG TABLET 10,Scheduled,5.54,TABLET,57.00/10 TABLET
,29,AMITRIL DS 50 MG TABLET 10,Scheduled,6.09,TABLET,47.00/10 TABLET
,30,AMITRIP 10 MG TABLET 10,Scheduled,2.43,TABLET,25.35/10 TABLET
,31,AMITRIP 25 MG TABLET 10,Scheduled,2.53,TABLET,26.42/10 TABLET
,32,AMITRIP 75 MG TABLET 10,Scheduled,5.54,TABLET,44.21/10 TABLET
,33,AMITROCALM 10 MG TABLET 10,Scheduled,2.43,TABLET,25.50/10 TABLET
,34,AMITRYN 10 MG TABLET 10,Scheduled,2.43,TABLET,25.22/10 TABLET
,35,AMITRYN 10 MG TABLET 30,Scheduled,2.43,TABLET,79.50/30 TABLET
,36,AMITRYN 25 MG TABLET 10,Scheduled,2.53,TABLET,26.25/10 TABLET
,37,AMITRYN 25 MG TABLET 30,Scheduled,2.53,TABLET,83.40/30 TABLET
,38,AMITRYN 75 MG TABLET 10,Scheduled,5.54,TABLET,57.00/10 TABLET
,39,AMITRYN SR 50 MG TABLET 10,Scheduled,6.09,TABLET,217.88/10 TABLET
,40,AMITSAL 25 MG TABLET 10,Scheduled,2.53,TABLET,24.75/10 TABLET
,41,AMIWEL 10 MG TABLET 10,Scheduled,2.43,TABLET,25.31/10 TABLET
,42,AMIWEL 25 MG TABLET 10,Scheduled,2.53,TABLET,26.40/10 TABLET
,43,AMTOP (AGM BIOTEC) 25 MG TABLET 10,Scheduled,2.53,TABLET,22.68/10 TABLET
,44,AMYPRES 25 MG TABLET 10,Scheduled,2.53,TABLET,24.38/10 TABLET
,45,AMYPRES 50 MG TABLET 10,Scheduled,6.09,TABLET,19.87/10 TABLET
,46,AMYPRES 75 MG TABLET 10,Scheduled,5.54,TABLET,31.53/10 TABLET
,47,AMZIL 10 MG TABLET 10,Scheduled,2.43,TABLET,24.00/10 TABLET
,48,AMZIL 25 MG TABLET 10,Scheduled,2.53,TABLET,25.78/10 TABLET
,49,APTIL 10 MG TABLET 10,Scheduled,2.43,TABLET,20.00/10 TABLET
,50,COTRIP 10 MG TABLET 10,Scheduled,2.43,TABLET,25.52/10 TABLET
,51,COTRIP 25 MG TABLET 10,Scheduled,2.53,TABLET,26.53/10 TABLET
,52,COTRIP 50 MG TABLET 10,Scheduled,6.09,TABLET,22.00/10 TABLET
,53,COTRIP 75 MG TABLET 10,Scheduled,5.54,TABLET,28.00/10 TABLET
,54,DEPKEY 10 MG TABLET 10,Scheduled,2.43,TABLET,25.42/10 TABLET
,55,DEPKEY 25 MG TABLET 10,Scheduled,2.53,TABLET,25.87/10 TABLET
,56,DITRYP 25 MG TABLET 10,Scheduled,2.53,TABLET,25.97/10 TABLET
,57,DOTTRIP 10 MG TABLET 10,Scheduled,2.43,TABLET,18.00/10 TABLET
,58,DOTTRIP 25 MG TABLET 10,Scheduled,2.53,TABLET,25.00/10 TABLET
,59,ELIWEL 10 MG TABLET 10,Scheduled,2.43,TABLET,25.42/10 TABLET
,60,ELIWEL 25 MG TABLET 10,Scheduled,2.53,TABLET,26.48/10 TABLET
