PHARMA SAHI DAAM,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,S.No.,Medicine Name,Status,Ceiling Price (₹),Unit,M.R.P (₹)/Unit
,1,ARETHA 50 MG TABLET 10,Scheduled,11.46,TABLET,120.05/10 TABLET
,2,ATZ 50 MG TABLET 10,Scheduled,11.46,TABLET,118.13/10 TABLET
,3,ATZ 50 MG TABLET 15,Scheduled,11.46,TABLET,180.40/15 TABLET
,4,AZAFLY 50 MG TABLET 10,Scheduled,11.46,TABLET,118.20/10 TABLET
,5,AZANOL 50 MG TABLET 10,Scheduled,11.46,TABLET,96.00/10 TABLET
,6,AZAPRIN 50 MG TABLET 10,Scheduled,11.46,TABLET,119.06/10 TABLET
,7,AZAPURE 50 MG TABLET 10,Scheduled,11.46,TABLET,120.27/10 TABLET
,8,AZARID 50 MG TABLET 10,Scheduled,11.46,TABLET,120.16/10 TABLET
,9,AZASIS 50 MG TABLET 10,Scheduled,11.46,TABLET,118.00/10 TABLET
,10,AZATHIOL 50 MG TABLET 10,Scheduled,11.46,TABLET,87.46/10 TABLET
,11,AZOFIT 50 MG TABLET 10,Scheduled,11.46,TABLET,120.27/10 TABLET
,12,AZORAN 25 MG TABLET 25,Scheduled,7.37,TABLET,193.30/25 TABLET
,13,AZORAN 50 MG TABLET 10,Scheduled,11.46,TABLET,106.10/10 TABLET
,14,AZORAN 50 MG TABLET 20,Scheduled,11.46,TABLET,240.31/20 TABLET
,15,AZORAN 75 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,217.62/10 TABLET
,16,AZOTAS 50 MG TABLET 10,Scheduled,11.46,TABLET,116.97/10 TABLET
,17,AZR 50 MG TABLET 10,Scheduled,11.46,TABLET,120.33/10 TABLET
,18,BIOAZAPIN 50 MG TABLET 10,Scheduled,11.46,TABLET,99.00/10 TABLET
,19,IMOPRINE 50 MG TABLET 10,Scheduled,11.46,TABLET,114.00/10 TABLET
,20,IMUZA 50 MG TABLET 10,Scheduled,11.46,TABLET,96.50/10 TABLET
,21,INNOMUNE 50 MG TABLET 10,Scheduled,11.46,TABLET,118.23/10 TABLET
,22,NEOPRINE 50 MG TABLET 10,Scheduled,11.46,TABLET,115.00/10 TABLET
,23,THIOPRESS 50 MG TABLET 10,Scheduled,11.46,TABLET,93.35/10 TABLET
,24,VANTHIORIN 50 MG TABLET 10,Scheduled,11.46,TABLET,94.69/10 TABLET
,25,VAPRIN 100 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,97.97/10 TABLET
,26,ZYMURINE 50 MG TABLET 10,Scheduled,11.46,TABLET,115.70/10 TABLET
