PHARMA SAHI DAAM,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,S.No.,Medicine Name,Status,Ceiling Price (₹),Unit,M.R.P (₹)/Unit
,1,ACTIZINC 50 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,68.37/10 TABLET
,2,ACUZINC 50 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,72.10/10 TABLET
,3,ASCAZIN 20 MG SYRUP 70 ML,Non-Scheduled,Not Applicable,SYRUP,61.03/70 ML SYRUP
,4,ASCAZIN 50 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,81.00/10 TABLET
,5,BABIZINC 20 MG SYRUP 60 ML,Non-Scheduled,Not Applicable,SYRUP,103.50/60 ML SYRUP
,6,CALCIM (RANBAXY) 250 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,15.01/10 TABLET
,7,CARNOZIN 50 MG SUSPENSION 5 ML,Non-Scheduled,Not Applicable,SUSPENSION,165.00/5 ML SUSPENSION
,8,CARNOZIN 75 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,135.00/10 TABLET
,9,FUMAZINC PLUS 49.8 MG TABLET 15,Non-Scheduled,Not Applicable,TABLET,133.92/15 TABLET
,10,GLYZINC NM 10 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,32.03/10 TABLET
,11,IMMUGARD 200 MG CAPSULE 15,Non-Scheduled,Not Applicable,CAPSULE,82.00/15 CAPSULE
,12,MINTONIA 20 MG SYRUP 100 ML,Non-Scheduled,Not Applicable,SYRUP,72.55/100 ML SYRUP
,13,OROZINC 10 MG SYRUP 60 ML,Non-Scheduled,Not Applicable,SYRUP,112.50/60 ML SYRUP
,14,OROZINC 20 MG DROPS 15 ML,Non-Scheduled,Not Applicable,DROPS,93.75/15 ML DROPS
,15,PEDIZINC 20 MG SYRUP 100 ML,Non-Scheduled,Not Applicable,SYRUP,89.06/100 ML SYRUP
,16,RADIZINC 20 MG SYRUP 100 ML,Non-Scheduled,Not Applicable,SYRUP,79.69/100 ML SYRUP
,17,RAVENZG 30 MG SYRUP 100 ML,Non-Scheduled,Not Applicable,SYRUP,109.69/100 ML SYRUP
,18,SKYZINC SUSPENSION 60 ML,Non-Scheduled,Not Applicable,SUSPENSION,16.25/60 ML SUSPENSION
,19,SUPRAZINC SYRUP 150 ML,Non-Scheduled,Not Applicable,SYRUP,176.19/150 ML SYRUP
,20,SUPRAZINC TABLET 10,Non-Scheduled,Not Applicable,TABLET,116.12/10 TABLET
,21,WELTONE-Z 10 MG DROPS 15 ML,Non-Scheduled,Not Applicable,DROPS,58.46/15 ML DROPS
,22,WELTONE-Z 20 MG SUSPENSION 100 ML,Non-Scheduled,Not Applicable,SUSPENSION,93.75/100 ML SUSPENSION
,23,WELTONE-Z 20 MG SUSPENSION 60 ML,Non-Scheduled,Not Applicable,SUSPENSION,71.28/60 ML SUSPENSION
,24,ZASADA SYRUP 60 ML,Non-Scheduled,Not Applicable,SYRUP,55.00/60 ML SYRUP
,25,Z & B (DR.REDDYS) DROPS 15 ML,Non-Scheduled,Not Applicable,DROPS,129.04/15 ML DROPS
,26,Z&D 20 MG TABLET DT 7,Scheduled,3.47,TABLET DT,23.00/7 TABLET DT
,27,Z&D DS 20 MG SUSPENSION 15 ML,Non-Scheduled,Not Applicable,SUSPENSION,132.99/15 ML SUSPENSION
,28,Z&D PLUS 20 MG SOLUTION 15 ML,Non-Scheduled,Not Applicable,ORAL SOLUTION,132.99/15 ML ORAL SOLUTION
,29,ZERUP SOLUTION 60 ML,Non-Scheduled,Not Applicable,ORAL SOLUTION,65.63/60 ML ORAL SOLUTION
,30,ZIA 200 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,55.00/10 TABLET
,31,ZIA 20 MG TABLET 14,Non-Scheduled,Not Applicable,TABLET,35.00/14 TABLET
