FormulationInput,SNo,MedicineName,Status,CeilingPrice,Unit,MRP_Unit,CapturedAt,Formulation_Brand,CompanyName_Header,MRP_Unit_Header,MRP_AsOnDate,MRP_Header,Sub_SNo,Sub_BrandName,Sub_PackSize,Sub_MRP,Sub_MRP_Unit,Sub_CompanyName
BEXAGLIFLOZIN,,GLICANAFLOZIN 100 MG TABLET 10,GLICANAFLOZIN 100 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-21T19:08:56,CANAGLIFLOZIN TABLET 100 MG / GLICANAFLOZIN,STERIS HEALTHCARE,61.88,Dec-2025,618.75/10 TABLET,1,PROMINAD (JOHN),30,1650.00,55.00,JANSSEN
BEXAGLIFLOZIN,,GLICANAFLOZIN 100 MG TABLET 10,GLICANAFLOZIN 100 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-21T19:08:56,CANAGLIFLOZIN TABLET 100 MG / GLICANAFLOZIN,STERIS HEALTHCARE,61.88,Dec-2025,618.75/10 TABLET,2,INVOKANA,10,553.13,55.31,JANSSEN
BEXAGLIFLOZIN,,GLICANAFLOZIN 100 MG TABLET 10,GLICANAFLOZIN 100 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-21T19:08:56,CANAGLIFLOZIN TABLET 100 MG / GLICANAFLOZIN,STERIS HEALTHCARE,61.88,Dec-2025,618.75/10 TABLET,3,PROMINAD,10,556.87,55.69,CIPLA LTD.
BEXAGLIFLOZIN,,GLICANAFLOZIN 100 MG TABLET 10,GLICANAFLOZIN 100 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-21T19:08:56,CANAGLIFLOZIN TABLET 100 MG / GLICANAFLOZIN,STERIS HEALTHCARE,61.88,Dec-2025,618.75/10 TABLET,4,SULISENT,10,652.00,65.20,USV PVT LTD
BEXAGLIFLOZIN,,INVOKANA 100 MG TABLET 10,INVOKANA 100 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-21T19:08:59,CANAGLIFLOZIN TABLET 100 MG / INVOKANA,JANSSEN,55.31,Dec-2025,553.13/10 TABLET,1,PROMINAD (JOHN),30,1650.00,55.00,JANSSEN
BEXAGLIFLOZIN,,INVOKANA 100 MG TABLET 10,INVOKANA 100 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-21T19:08:59,CANAGLIFLOZIN TABLET 100 MG / INVOKANA,JANSSEN,55.31,Dec-2025,553.13/10 TABLET,2,PROMINAD,10,556.87,55.69,CIPLA LTD.
BEXAGLIFLOZIN,,INVOKANA 100 MG TABLET 10,INVOKANA 100 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-21T19:08:59,CANAGLIFLOZIN TABLET 100 MG / INVOKANA,JANSSEN,55.31,Dec-2025,553.13/10 TABLET,3,GLICANAFLOZIN,10,618.75,61.88,STERIS HEALTHCARE
BEXAGLIFLOZIN,,INVOKANA 100 MG TABLET 10,INVOKANA 100 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-21T19:08:59,CANAGLIFLOZIN TABLET 100 MG / INVOKANA,JANSSEN,55.31,Dec-2025,553.13/10 TABLET,4,SULISENT,10,652.00,65.20,USV PVT LTD
BEXAGLIFLOZIN,,INVOKANA 300 MG TABLET 10,INVOKANA 300 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-21T19:09:01,CANAGLIFLOZIN TABLET 300 MG / INVOKANA,JANSSEN,177.00,Dec-2025,1770.00/10 TABLET,1,MOTIVYST,10,1359.38,135.94,JANSSEN
BEXAGLIFLOZIN,,MOTIVYST 300 MG TABLET 10,MOTIVYST 300 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-21T19:09:04,CANAGLIFLOZIN TABLET 300 MG / MOTIVYST,JANSSEN,135.94,Dec-2025,1359.38/10 TABLET,1,INVOKANA,10,1770.00,177.00,JANSSEN
BEXAGLIFLOZIN,,PROMINAD 100 MG TABLET 10,PROMINAD 100 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-21T19:09:06,CANAGLIFLOZIN TABLET 100 MG / PROMINAD,CIPLA LTD.,55.69,Dec-2025,556.87/10 TABLET,1,PROMINAD (JOHN),30,1650.00,55.00,JANSSEN
BEXAGLIFLOZIN,,PROMINAD 100 MG TABLET 10,PROMINAD 100 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-21T19:09:06,CANAGLIFLOZIN TABLET 100 MG / PROMINAD,CIPLA LTD.,55.69,Dec-2025,556.87/10 TABLET,2,INVOKANA,10,553.13,55.31,JANSSEN
