FormulationInput,SNo,MedicineName,Status,CeilingPrice,Unit,MRP_Unit,CapturedAt,Formulation_Brand,CompanyName_Header,MRP_Unit_Header,MRP_AsOnDate,MRP_Header,Sub_SNo,Sub_BrandName,Sub_PackSize,Sub_MRP,Sub_MRP_Unit,Sub_CompanyName
LYSOZYME CHLORIDE & PYRIDOXINE,,ADDLIFE AZ TABLET 15,ADDLIFE AZ TABLET 15,Non-Scheduled,Not Applicable,TABLET,2026-01-21T18:25:25,ALA + BENFOTIAMINE + BIOTIN + CHROMIUM + FOLIC ACID + METHYLCOBALAMIN + MYO INOSITOL + PYRIDOXINE TABLET / ADDLIFE AZ,GERRYSUN PHARMACEUTICALS PVT.LTD,8.01,Dec-2025,120.12/15 TABLET,1,DIABNERVE,10,121.88,12.19,FINECURE PHARMACEUTICALS
LYSOZYME CHLORIDE & PYRIDOXINE,,ADDLIFE AZ TABLET 15,ADDLIFE AZ TABLET 15,Non-Scheduled,Not Applicable,TABLET,2026-01-21T18:25:25,ALA + BENFOTIAMINE + BIOTIN + CHROMIUM + FOLIC ACID + METHYLCOBALAMIN + MYO INOSITOL + PYRIDOXINE TABLET / ADDLIFE AZ,GERRYSUN PHARMACEUTICALS PVT.LTD,8.01,Dec-2025,120.12/15 TABLET,2,COBALIFE,10,173.51,17.35,ORRIS PHARMACEUTICALS
LYSOZYME CHLORIDE & PYRIDOXINE,,ADDLIFE AZ TABLET 15,ADDLIFE AZ TABLET 15,Non-Scheduled,Not Applicable,TABLET,2026-01-21T18:25:25,ALA + BENFOTIAMINE + BIOTIN + CHROMIUM + FOLIC ACID + METHYLCOBALAMIN + MYO INOSITOL + PYRIDOXINE TABLET / ADDLIFE AZ,GERRYSUN PHARMACEUTICALS PVT.LTD,8.01,Dec-2025,120.12/15 TABLET,3,REJUALL,10,196.00,19.60,REJUVENATE REMEDIES PVT LTD
LYSOZYME CHLORIDE & PYRIDOXINE,,ADDLIFE AZ TABLET 15,ADDLIFE AZ TABLET 15,Non-Scheduled,Not Applicable,TABLET,2026-01-21T18:25:25,ALA + BENFOTIAMINE + BIOTIN + CHROMIUM + FOLIC ACID + METHYLCOBALAMIN + MYO INOSITOL + PYRIDOXINE TABLET / ADDLIFE AZ,GERRYSUN PHARMACEUTICALS PVT.LTD,8.01,Dec-2025,120.12/15 TABLET,4,REJUSAN PLUS,10,253.75,25.38,SANIX FORMULATIONS PVT LTD
LYSOZYME CHLORIDE & PYRIDOXINE,,ADDLIFE AZ TABLET 15,ADDLIFE AZ TABLET 15,Non-Scheduled,Not Applicable,TABLET,2026-01-21T18:25:25,ALA + BENFOTIAMINE + BIOTIN + CHROMIUM + FOLIC ACID + METHYLCOBALAMIN + MYO INOSITOL + PYRIDOXINE TABLET / ADDLIFE AZ,GERRYSUN PHARMACEUTICALS PVT.LTD,8.01,Dec-2025,120.12/15 TABLET,5,DIANEXT GOLD,10,276.56,27.66,NEUCURE LIFESCIENCES PVT.LTD
LYSOZYME CHLORIDE & PYRIDOXINE,,ADDLIFE AZ TABLET 15,ADDLIFE AZ TABLET 15,Non-Scheduled,Not Applicable,TABLET,2026-01-21T18:25:25,ALA + BENFOTIAMINE + BIOTIN + CHROMIUM + FOLIC ACID + METHYLCOBALAMIN + MYO INOSITOL + PYRIDOXINE TABLET / ADDLIFE AZ,GERRYSUN PHARMACEUTICALS PVT.LTD,8.01,Dec-2025,120.12/15 TABLET,6,BENFOSTAR CD3,10,289.00,28.90,MATTEO HEALTHCARE PVT.LTD
LYSOZYME CHLORIDE & PYRIDOXINE,,BENFOSTAR CD3 TABLET 10,BENFOSTAR CD3 TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-21T18:25:27,ALA + BENFOTIAMINE + BIOTIN + CHROMIUM + FOLIC ACID + METHYLCOBALAMIN + MYO INOSITOL + PYRIDOXINE TABLET / BENFOSTAR CD3,MATTEO HEALTHCARE PVT.LTD,28.90,Dec-2025,289.00/10 TABLET,1,ADDLIFE AZ,15,120.12,8.01,GERRYSUN PHARMACEUTICALS PVT.LTD
LYSOZYME CHLORIDE & PYRIDOXINE,,BENFOSTAR CD3 TABLET 10,BENFOSTAR CD3 TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-21T18:25:27,ALA + BENFOTIAMINE + BIOTIN + CHROMIUM + FOLIC ACID + METHYLCOBALAMIN + MYO INOSITOL + PYRIDOXINE TABLET / BENFOSTAR CD3,MATTEO HEALTHCARE PVT.LTD,28.90,Dec-2025,289.00/10 TABLET,2,DIABNERVE,10,121.88,12.19,FINECURE PHARMACEUTICALS
LYSOZYME CHLORIDE & PYRIDOXINE,,BENFOSTAR CD3 TABLET 10,BENFOSTAR CD3 TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-21T18:25:27,ALA + BENFOTIAMINE + BIOTIN + CHROMIUM + FOLIC ACID + METHYLCOBALAMIN + MYO INOSITOL + PYRIDOXINE TABLET / BENFOSTAR CD3,MATTEO HEALTHCARE PVT.LTD,28.90,Dec-2025,289.00/10 TABLET,3,COBALIFE,10,173.51,17.35,ORRIS PHARMACEUTICALS
LYSOZYME CHLORIDE & PYRIDOXINE,,BENFOSTAR CD3 TABLET 10,BENFOSTAR CD3 TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-21T18:25:27,ALA + BENFOTIAMINE + BIOTIN + CHROMIUM + FOLIC ACID + METHYLCOBALAMIN + MYO INOSITOL + PYRIDOXINE TABLET / BENFOSTAR CD3,MATTEO HEALTHCARE PVT.LTD,28.90,Dec-2025,289.00/10 TABLET,4,REJUALL,10,196.00,19.60,REJUVENATE REMEDIES PVT LTD
LYSOZYME CHLORIDE & PYRIDOXINE,,BENFOSTAR CD3 TABLET 10,BENFOSTAR CD3 TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-21T18:25:27,ALA + BENFOTIAMINE + BIOTIN + CHROMIUM + FOLIC ACID + METHYLCOBALAMIN + MYO INOSITOL + PYRIDOXINE TABLET / BENFOSTAR CD3,MATTEO HEALTHCARE PVT.LTD,28.90,Dec-2025,289.00/10 TABLET,5,REJUSAN PLUS,10,253.75,25.38,SANIX FORMULATIONS PVT LTD
LYSOZYME CHLORIDE & PYRIDOXINE,,BENFOSTAR CD3 TABLET 10,BENFOSTAR CD3 TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-21T18:25:27,ALA + BENFOTIAMINE + BIOTIN + CHROMIUM + FOLIC ACID + METHYLCOBALAMIN + MYO INOSITOL + PYRIDOXINE TABLET / BENFOSTAR CD3,MATTEO HEALTHCARE PVT.LTD,28.90,Dec-2025,289.00/10 TABLET,6,DIANEXT GOLD,10,276.56,27.66,NEUCURE LIFESCIENCES PVT.LTD
LYSOZYME CHLORIDE & PYRIDOXINE,,COBALIFE TABLET 10,COBALIFE TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-21T18:25:30,ALA + BENFOTIAMINE + BIOTIN + CHROMIUM + FOLIC ACID + METHYLCOBALAMIN + MYO INOSITOL + PYRIDOXINE TABLET / COBALIFE,ORRIS PHARMACEUTICALS,17.35,Dec-2025,173.51/10 TABLET,1,ADDLIFE AZ,15,120.12,8.01,GERRYSUN PHARMACEUTICALS PVT.LTD
LYSOZYME CHLORIDE & PYRIDOXINE,,COBALIFE TABLET 10,COBALIFE TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-21T18:25:30,ALA + BENFOTIAMINE + BIOTIN + CHROMIUM + FOLIC ACID + METHYLCOBALAMIN + MYO INOSITOL + PYRIDOXINE TABLET / COBALIFE,ORRIS PHARMACEUTICALS,17.35,Dec-2025,173.51/10 TABLET,2,DIABNERVE,10,121.88,12.19,FINECURE PHARMACEUTICALS
LYSOZYME CHLORIDE & PYRIDOXINE,,COBALIFE TABLET 10,COBALIFE TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-21T18:25:30,ALA + BENFOTIAMINE + BIOTIN + CHROMIUM + FOLIC ACID + METHYLCOBALAMIN + MYO INOSITOL + PYRIDOXINE TABLET / COBALIFE,ORRIS PHARMACEUTICALS,17.35,Dec-2025,173.51/10 TABLET,3,REJUALL,10,196.00,19.60,REJUVENATE REMEDIES PVT LTD
LYSOZYME CHLORIDE & PYRIDOXINE,,COBALIFE TABLET 10,COBALIFE TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-21T18:25:30,ALA + BENFOTIAMINE + BIOTIN + CHROMIUM + FOLIC ACID + METHYLCOBALAMIN + MYO INOSITOL + PYRIDOXINE TABLET / COBALIFE,ORRIS PHARMACEUTICALS,17.35,Dec-2025,173.51/10 TABLET,4,REJUSAN PLUS,10,253.75,25.38,SANIX FORMULATIONS PVT LTD
LYSOZYME CHLORIDE & PYRIDOXINE,,COBALIFE TABLET 10,COBALIFE TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-21T18:25:30,ALA + BENFOTIAMINE + BIOTIN + CHROMIUM + FOLIC ACID + METHYLCOBALAMIN + MYO INOSITOL + PYRIDOXINE TABLET / COBALIFE,ORRIS PHARMACEUTICALS,17.35,Dec-2025,173.51/10 TABLET,5,DIANEXT GOLD,10,276.56,27.66,NEUCURE LIFESCIENCES PVT.LTD
LYSOZYME CHLORIDE & PYRIDOXINE,,COBALIFE TABLET 10,COBALIFE TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-21T18:25:30,ALA + BENFOTIAMINE + BIOTIN + CHROMIUM + FOLIC ACID + METHYLCOBALAMIN + MYO INOSITOL + PYRIDOXINE TABLET / COBALIFE,ORRIS PHARMACEUTICALS,17.35,Dec-2025,173.51/10 TABLET,6,BENFOSTAR CD3,10,289.00,28.90,MATTEO HEALTHCARE PVT.LTD
LYSOZYME CHLORIDE & PYRIDOXINE,,DIABNERVE TABLET 10,DIABNERVE TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-21T18:25:33,ALA + BENFOTIAMINE + BIOTIN + CHROMIUM + FOLIC ACID + METHYLCOBALAMIN + MYO INOSITOL + PYRIDOXINE TABLET / DIABNERVE,FINECURE PHARMACEUTICALS,12.19,Dec-2025,121.88/10 TABLET,1,ADDLIFE AZ,15,120.12,8.01,GERRYSUN PHARMACEUTICALS PVT.LTD
LYSOZYME CHLORIDE & PYRIDOXINE,,DIABNERVE TABLET 10,DIABNERVE TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-21T18:25:33,ALA + BENFOTIAMINE + BIOTIN + CHROMIUM + FOLIC ACID + METHYLCOBALAMIN + MYO INOSITOL + PYRIDOXINE TABLET / DIABNERVE,FINECURE PHARMACEUTICALS,12.19,Dec-2025,121.88/10 TABLET,2,COBALIFE,10,173.51,17.35,ORRIS PHARMACEUTICALS
LYSOZYME CHLORIDE & PYRIDOXINE,,DIABNERVE TABLET 10,DIABNERVE TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-21T18:25:33,ALA + BENFOTIAMINE + BIOTIN + CHROMIUM + FOLIC ACID + METHYLCOBALAMIN + MYO INOSITOL + PYRIDOXINE TABLET / DIABNERVE,FINECURE PHARMACEUTICALS,12.19,Dec-2025,121.88/10 TABLET,3,REJUALL,10,196.00,19.60,REJUVENATE REMEDIES PVT LTD
LYSOZYME CHLORIDE & PYRIDOXINE,,DIABNERVE TABLET 10,DIABNERVE TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-21T18:25:33,ALA + BENFOTIAMINE + BIOTIN + CHROMIUM + FOLIC ACID + METHYLCOBALAMIN + MYO INOSITOL + PYRIDOXINE TABLET / DIABNERVE,FINECURE PHARMACEUTICALS,12.19,Dec-2025,121.88/10 TABLET,4,REJUSAN PLUS,10,253.75,25.38,SANIX FORMULATIONS PVT LTD
