FormulationInput,SNo,MedicineName,Status,CeilingPrice,Unit,MRP_Unit,CapturedAt,Formulation_Brand,CompanyName_Header,MRP_Unit_Header,MRP_AsOnDate,MRP_Header,Sub_SNo,Sub_BrandName,Sub_PackSize,Sub_MRP,Sub_MRP_Unit,Sub_CompanyName
PREDNISOLONE & ESTRADIOL,,CAMERON 2 MG TABLET 28,CAMERON 2 MG TABLET 28,Non-Scheduled,Not Applicable,TABLET,2026-01-21T17:53:10,ESTRADIOL TABLET 2 MG / CAMERON,ALEMBIC LTD,16.41,Dec-2025,459.37/28 TABLET,1,E2VA,28,149.44,5.34,VIVO LIFE SCIENCE
PREDNISOLONE & ESTRADIOL,,CAMERON 2 MG TABLET 28,CAMERON 2 MG TABLET 28,Non-Scheduled,Not Applicable,TABLET,2026-01-21T17:53:10,ESTRADIOL TABLET 2 MG / CAMERON,ALEMBIC LTD,16.41,Dec-2025,459.37/28 TABLET,2,EVALUE,28,252.00,9.00,SANZYME LTD
PREDNISOLONE & ESTRADIOL,,CAMERON 2 MG TABLET 28,CAMERON 2 MG TABLET 28,Non-Scheduled,Not Applicable,TABLET,2026-01-21T17:53:10,ESTRADIOL TABLET 2 MG / CAMERON,ALEMBIC LTD,16.41,Dec-2025,459.37/28 TABLET,3,E 2,18,165.00,9.17,SUN PHARMA LABORATORIES LTD.
PREDNISOLONE & ESTRADIOL,,CAMERON 2 MG TABLET 28,CAMERON 2 MG TABLET 28,Non-Scheduled,Not Applicable,TABLET,2026-01-21T17:53:10,ESTRADIOL TABLET 2 MG / CAMERON,ALEMBIC LTD,16.41,Dec-2025,459.37/28 TABLET,4,CARRIED,10,108.42,10.84,LIVEON HEALTHCARE PHARMA PVT LTD
PREDNISOLONE & ESTRADIOL,,CAMERON 2 MG TABLET 28,CAMERON 2 MG TABLET 28,Non-Scheduled,Not Applicable,TABLET,2026-01-21T17:53:10,ESTRADIOL TABLET 2 MG / CAMERON,ALEMBIC LTD,16.41,Dec-2025,459.37/28 TABLET,5,ESTRASURE,10,110.00,11.00,SUREMED LIFECARE PVT LTD
PREDNISOLONE & ESTRADIOL,,CAMERON 2 MG TABLET 28,CAMERON 2 MG TABLET 28,Non-Scheduled,Not Applicable,TABLET,2026-01-21T17:53:10,ESTRADIOL TABLET 2 MG / CAMERON,ALEMBIC LTD,16.41,Dec-2025,459.37/28 TABLET,6,ENDOFERT,28,326.00,11.64,INTAS PHARMACEUTICALS LTD
PREDNISOLONE & ESTRADIOL,,CAMERON 2 MG TABLET 28,CAMERON 2 MG TABLET 28,Non-Scheduled,Not Applicable,TABLET,2026-01-21T17:53:10,ESTRADIOL TABLET 2 MG / CAMERON,ALEMBIC LTD,16.41,Dec-2025,459.37/28 TABLET,7,ESTRAGEN,28,328.00,11.71,ESTRAGEN PHARMA
PREDNISOLONE & ESTRADIOL,,CAMERON 2 MG TABLET 28,CAMERON 2 MG TABLET 28,Non-Scheduled,Not Applicable,TABLET,2026-01-21T17:53:10,ESTRADIOL TABLET 2 MG / CAMERON,ALEMBIC LTD,16.41,Dec-2025,459.37/28 TABLET,8,EVARIDE,28,350.00,12.50,INTRA LABS
PREDNISOLONE & ESTRADIOL,,CAMERON 2 MG TABLET 28,CAMERON 2 MG TABLET 28,Non-Scheduled,Not Applicable,TABLET,2026-01-21T17:53:10,ESTRADIOL TABLET 2 MG / CAMERON,ALEMBIC LTD,16.41,Dec-2025,459.37/28 TABLET,9,ESURANCE,28,380.07,13.57,KOYE PHARMACEUTICALS PVT. LTD.
PREDNISOLONE & ESTRADIOL,,CAMERON 2 MG TABLET 28,CAMERON 2 MG TABLET 28,Non-Scheduled,Not Applicable,TABLET,2026-01-21T17:53:10,ESTRADIOL TABLET 2 MG / CAMERON,ALEMBIC LTD,16.41,Dec-2025,459.37/28 TABLET,10,ENDONORM EV,28,396.52,14.16,JAGSONPAL PHARMACEUTICALS LTD
PREDNISOLONE & ESTRADIOL,,CAMERON 2 MG TABLET 28,CAMERON 2 MG TABLET 28,Non-Scheduled,Not Applicable,TABLET,2026-01-21T17:53:10,ESTRADIOL TABLET 2 MG / CAMERON,ALEMBIC LTD,16.41,Dec-2025,459.37/28 TABLET,11,EVADIOL,28,403.59,14.41,INTAS PHARMACEUTICALS LTD
PREDNISOLONE & ESTRADIOL,,CAMERON 2 MG TABLET 28,CAMERON 2 MG TABLET 28,Non-Scheduled,Not Applicable,TABLET,2026-01-21T17:53:10,ESTRADIOL TABLET 2 MG / CAMERON,ALEMBIC LTD,16.41,Dec-2025,459.37/28 TABLET,12,EVATONE,10,146.25,14.63,SERUM INSTITUTE OF INDIA LTD
PREDNISOLONE & ESTRADIOL,,CAMERON 2 MG TABLET 28,CAMERON 2 MG TABLET 28,Non-Scheduled,Not Applicable,TABLET,2026-01-21T17:53:10,ESTRADIOL TABLET 2 MG / CAMERON,ALEMBIC LTD,16.41,Dec-2025,459.37/28 TABLET,13,ENDOTHIK,28,420.94,15.03,AKUMENTIS HEALTHCARE LTD
PREDNISOLONE & ESTRADIOL,,CAMERON 2 MG TABLET 28,CAMERON 2 MG TABLET 28,Non-Scheduled,Not Applicable,TABLET,2026-01-21T17:53:10,ESTRADIOL TABLET 2 MG / CAMERON,ALEMBIC LTD,16.41,Dec-2025,459.37/28 TABLET,14,ESTOVA,28,443.48,15.84,CIPLA LTD.
PREDNISOLONE & ESTRADIOL,,CAMERON 2 MG TABLET 28,CAMERON 2 MG TABLET 28,Non-Scheduled,Not Applicable,TABLET,2026-01-21T17:53:10,ESTRADIOL TABLET 2 MG / CAMERON,ALEMBIC LTD,16.41,Dec-2025,459.37/28 TABLET,15,ERIDIOL,28,450.00,16.07,ERIS LIFESCIENCES LTD
PREDNISOLONE & ESTRADIOL,,CAMERON 2 MG TABLET 28,CAMERON 2 MG TABLET 28,Non-Scheduled,Not Applicable,TABLET,2026-01-21T17:53:10,ESTRADIOL TABLET 2 MG / CAMERON,ALEMBIC LTD,16.41,Dec-2025,459.37/28 TABLET,16,MYESTRA,10,164.00,16.40,VIATRIS
PREDNISOLONE & ESTRADIOL,,CAMERON 2 MG TABLET 28,CAMERON 2 MG TABLET 28,Non-Scheduled,Not Applicable,TABLET,2026-01-21T17:53:10,ESTRADIOL TABLET 2 MG / CAMERON,ALEMBIC LTD,16.41,Dec-2025,459.37/28 TABLET,17,PRIMIWAL E2,10,165.61,16.56,MANKIND PHARMACEUTICALS LTD.
PREDNISOLONE & ESTRADIOL,,CAMERON 2 MG TABLET 28,CAMERON 2 MG TABLET 28,Non-Scheduled,Not Applicable,TABLET,2026-01-21T17:53:10,ESTRADIOL TABLET 2 MG / CAMERON,ALEMBIC LTD,16.41,Dec-2025,459.37/28 TABLET,18,ESTOFOL,28,468.70,16.74,NEON LABORATORIES LTD
PREDNISOLONE & ESTRADIOL,,CAMERON 2 MG TABLET 28,CAMERON 2 MG TABLET 28,Non-Scheduled,Not Applicable,TABLET,2026-01-21T17:53:10,ESTRADIOL TABLET 2 MG / CAMERON,ALEMBIC LTD,16.41,Dec-2025,459.37/28 TABLET,19,E2VA ACTIVE,10,170.15,17.02,VIVO LIFE SCIENCE
