PHARMA SAHI DAAM,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,S.No.,Medicine Name,Status,Ceiling Price (₹),Unit,M.R.P (₹)/Unit
,1,FLEXILOR 8 MG INJECTION 2 ML,Non-Scheduled,Not Applicable,INJECTION,170.63/2 ML INJECTION
,2,FLEXILOR 8 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,146.72/10 TABLET
,3,LODOL 4 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,39.50/10 TABLET
,4,LODOL 8 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,68.00/10 TABLET
,5,LOFECAM 8 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,118.00/10 TABLET
,6,LORNICAM 4 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,33.70/10 TABLET
,7,LORNICAM 8 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,64.55/10 TABLET
,8,LOROX 8 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,92.81/10 TABLET
,9,LOROX OD 4 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,179.06/10 TABLET
,10,LORSAID 8 MG INJECTION 2 ML,Non-Scheduled,Not Applicable,INJECTION,126.93/2 ML INJECTION
,11,LORSAID OD 16 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,222.93/10 TABLET
,12,LORSAID SD 4 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,83.44/10 TABLET
,13,LORSAID SD 8 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,179.35/10 TABLET
,14,QUIKLOR 8 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,134.00/10 TABLET
,15,ZELORN 4 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,74.06/10 TABLET
