FormulationInput,SNo,MedicineName,Status,CeilingPrice,Unit,MRP_Unit,CapturedAt,Formulation_Brand,CompanyName_Header,MRP_Unit_Header,MRP_AsOnDate,MRP_Header,Sub_SNo,Sub_BrandName,Sub_PackSize,Sub_MRP,Sub_MRP_Unit,Sub_CompanyName
FATTY ACID & VITAMINS & ANTIOXIDANT,,AVITZ TABLET 15,AVITZ TABLET 15,Non-Scheduled,Not Applicable,TABLET,2026-01-25T20:35:13,ALL OTHER ANTIOXIDANTS TABLET / AVITZ,NOEL PHARMACEUTICALS,3.80,Dec-2025,57.00/15 TABLET,1,COVIT CZ,10,49.00,4.90,TAURUS LABORATORIES PVT LTD
FATTY ACID & VITAMINS & ANTIOXIDANT,,AVITZ TABLET 15,AVITZ TABLET 15,Non-Scheduled,Not Applicable,TABLET,2026-01-25T20:35:13,ALL OTHER ANTIOXIDANTS TABLET / AVITZ,NOEL PHARMACEUTICALS,3.80,Dec-2025,57.00/15 TABLET,2,NUTOX,15,90.00,6.00,TRIPADA HEALTHCARE PVT LTD
FATTY ACID & VITAMINS & ANTIOXIDANT,,AVITZ TABLET 15,AVITZ TABLET 15,Non-Scheduled,Not Applicable,TABLET,2026-01-25T20:35:13,ALL OTHER ANTIOXIDANTS TABLET / AVITZ,NOEL PHARMACEUTICALS,3.80,Dec-2025,57.00/15 TABLET,3,ZITA (GRAF),10,174.51,17.45,GRAF LABORATORIES PVT LTD
FATTY ACID & VITAMINS & ANTIOXIDANT,,AVITZ TABLET 15,AVITZ TABLET 15,Non-Scheduled,Not Applicable,TABLET,2026-01-25T20:35:13,ALL OTHER ANTIOXIDANTS TABLET / AVITZ,NOEL PHARMACEUTICALS,3.80,Dec-2025,57.00/15 TABLET,4,THERA SPINE,10,177.08,17.71,STARUS PHARMACEUTICALS
FATTY ACID & VITAMINS & ANTIOXIDANT,,AVITZ TABLET 15,AVITZ TABLET 15,Non-Scheduled,Not Applicable,TABLET,2026-01-25T20:35:13,ALL OTHER ANTIOXIDANTS TABLET / AVITZ,NOEL PHARMACEUTICALS,3.80,Dec-2025,57.00/15 TABLET,5,SEACEE,15,389.00,25.93,JUPITER BIOLABS PVT.LTD
FATTY ACID & VITAMINS & ANTIOXIDANT,,AVITZ TABLET 15,AVITZ TABLET 15,Non-Scheduled,Not Applicable,TABLET,2026-01-25T20:35:13,ALL OTHER ANTIOXIDANTS TABLET / AVITZ,NOEL PHARMACEUTICALS,3.80,Dec-2025,57.00/15 TABLET,6,JUPISHINE GL,10,844.45,84.45,JUPITER BIOLABS PVT.LTD
FATTY ACID & VITAMINS & ANTIOXIDANT,,COVIT CZ TABLET 10,COVIT CZ TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-25T20:35:16,ALL OTHER ANTIOXIDANTS TABLET / COVIT CZ,TAURUS LABORATORIES PVT LTD,4.90,Dec-2025,49.00/10 TABLET,1,AVITZ,15,57.00,3.80,NOEL PHARMACEUTICALS
FATTY ACID & VITAMINS & ANTIOXIDANT,,COVIT CZ TABLET 10,COVIT CZ TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-25T20:35:16,ALL OTHER ANTIOXIDANTS TABLET / COVIT CZ,TAURUS LABORATORIES PVT LTD,4.90,Dec-2025,49.00/10 TABLET,2,NUTOX,15,90.00,6.00,TRIPADA HEALTHCARE PVT LTD
FATTY ACID & VITAMINS & ANTIOXIDANT,,COVIT CZ TABLET 10,COVIT CZ TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-25T20:35:16,ALL OTHER ANTIOXIDANTS TABLET / COVIT CZ,TAURUS LABORATORIES PVT LTD,4.90,Dec-2025,49.00/10 TABLET,3,ZITA (GRAF),10,174.51,17.45,GRAF LABORATORIES PVT LTD
FATTY ACID & VITAMINS & ANTIOXIDANT,,COVIT CZ TABLET 10,COVIT CZ TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-25T20:35:16,ALL OTHER ANTIOXIDANTS TABLET / COVIT CZ,TAURUS LABORATORIES PVT LTD,4.90,Dec-2025,49.00/10 TABLET,4,THERA SPINE,10,177.08,17.71,STARUS PHARMACEUTICALS
FATTY ACID & VITAMINS & ANTIOXIDANT,,COVIT CZ TABLET 10,COVIT CZ TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-25T20:35:16,ALL OTHER ANTIOXIDANTS TABLET / COVIT CZ,TAURUS LABORATORIES PVT LTD,4.90,Dec-2025,49.00/10 TABLET,5,SEACEE,15,389.00,25.93,JUPITER BIOLABS PVT.LTD
FATTY ACID & VITAMINS & ANTIOXIDANT,,COVIT CZ TABLET 10,COVIT CZ TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-25T20:35:16,ALL OTHER ANTIOXIDANTS TABLET / COVIT CZ,TAURUS LABORATORIES PVT LTD,4.90,Dec-2025,49.00/10 TABLET,6,JUPISHINE GL,10,844.45,84.45,JUPITER BIOLABS PVT.LTD
FATTY ACID & VITAMINS & ANTIOXIDANT,,FITNESS 11 MG TABLET 60,FITNESS 11 MG TABLET 60,Non-Scheduled,Not Applicable,TABLET,2026-01-25T20:35:18,ALL OTHER ANTIOXIDANTS TABLET 11 MG / FITNESS,CIPLA LTD.,1.31,Dec-2025,78.31/60 TABLET,,,,,,
FATTY ACID & VITAMINS & ANTIOXIDANT,,FOLDHA CAPSULE 10,FOLDHA CAPSULE 10,Non-Scheduled,Not Applicable,CAPSULE,2026-01-25T20:35:20,ALL OTHER ANTIOXIDANTS CAPSULE / FOLDHA,VHB LIFE SCIENCES LIMITED,5.82,Dec-2025,58.18/10 CAPSULE,1,OXYVIT,30,72.00,2.40,ASTRAZENECA PHARMA INDIA LTD
FATTY ACID & VITAMINS & ANTIOXIDANT,,FOLDHA CAPSULE 10,FOLDHA CAPSULE 10,Non-Scheduled,Not Applicable,CAPSULE,2026-01-25T20:35:20,ALL OTHER ANTIOXIDANTS CAPSULE / FOLDHA,VHB LIFE SCIENCES LIMITED,5.82,Dec-2025,58.18/10 CAPSULE,2,PACIMIN,10,46.21,4.62,ORISON PHARMACEUTICALS
FATTY ACID & VITAMINS & ANTIOXIDANT,,FOLDHA CAPSULE 10,FOLDHA CAPSULE 10,Non-Scheduled,Not Applicable,CAPSULE,2026-01-25T20:35:20,ALL OTHER ANTIOXIDANTS CAPSULE / FOLDHA,VHB LIFE SCIENCES LIMITED,5.82,Dec-2025,58.18/10 CAPSULE,3,LYCORICH PLUS,10,85.00,8.50,ZEE LABORATORIES
FATTY ACID & VITAMINS & ANTIOXIDANT,,GLUTON 600 MG INJECTION 1,GLUTON 600 MG INJECTION 1,Non-Scheduled,Not Applicable,INJECTION,2026-01-25T20:35:22,ALL OTHER ANTIOXIDANTS INJECTION 600 MG / GLUTON,INDO-FRENCH LABORATORIES LTD,150.00,Dec-2025,150.00/1 INJECTION,,,,,,
FATTY ACID & VITAMINS & ANTIOXIDANT,,JUPISHINE GL TABLET 10,JUPISHINE GL TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-25T20:35:24,ALL OTHER ANTIOXIDANTS TABLET / JUPISHINE GL,JUPITER BIOLABS PVT.LTD,84.45,Dec-2025,844.45/10 TABLET,1,AVITZ,15,57.00,3.80,NOEL PHARMACEUTICALS
FATTY ACID & VITAMINS & ANTIOXIDANT,,JUPISHINE GL TABLET 10,JUPISHINE GL TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-25T20:35:24,ALL OTHER ANTIOXIDANTS TABLET / JUPISHINE GL,JUPITER BIOLABS PVT.LTD,84.45,Dec-2025,844.45/10 TABLET,2,COVIT CZ,10,49.00,4.90,TAURUS LABORATORIES PVT LTD
FATTY ACID & VITAMINS & ANTIOXIDANT,,JUPISHINE GL TABLET 10,JUPISHINE GL TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-25T20:35:24,ALL OTHER ANTIOXIDANTS TABLET / JUPISHINE GL,JUPITER BIOLABS PVT.LTD,84.45,Dec-2025,844.45/10 TABLET,3,NUTOX,15,90.00,6.00,TRIPADA HEALTHCARE PVT LTD
FATTY ACID & VITAMINS & ANTIOXIDANT,,JUPISHINE GL TABLET 10,JUPISHINE GL TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-25T20:35:24,ALL OTHER ANTIOXIDANTS TABLET / JUPISHINE GL,JUPITER BIOLABS PVT.LTD,84.45,Dec-2025,844.45/10 TABLET,4,ZITA (GRAF),10,174.51,17.45,GRAF LABORATORIES PVT LTD
FATTY ACID & VITAMINS & ANTIOXIDANT,,JUPISHINE GL TABLET 10,JUPISHINE GL TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-25T20:35:24,ALL OTHER ANTIOXIDANTS TABLET / JUPISHINE GL,JUPITER BIOLABS PVT.LTD,84.45,Dec-2025,844.45/10 TABLET,5,THERA SPINE,10,177.08,17.71,STARUS PHARMACEUTICALS
