FormulationInput,SNo,MedicineName,Status,CeilingPrice,Unit,MRP_Unit,CapturedAt,Formulation_Brand,CompanyName_Header,MRP_Unit_Header,MRP_AsOnDate,MRP_Header,Sub_SNo,Sub_BrandName,Sub_PackSize,Sub_MRP,Sub_MRP_Unit,Sub_CompanyName
FLUPENTIXOL & MELITRACEN,,AMBULAX FM 0.5/10 MG TABLET 15,AMBULAX FM 0.5/10 MG TABLET 15,Non-Scheduled,Not Applicable,TABLET,2026-01-25T18:24:58,FLUPENTHIXOL + MELITRACEN TABLET 0.5/10 MG / AMBULAX FM,UNIMARCK HEALTHCARE LTD,4.81,Dec-2025,72.19/15 TABLET,1,FLUPIM M,10,41.95,4.20,GENTECH HEALTCARE LTD
FLUPENTIXOL & MELITRACEN,,AMBULAX FM 0.5/10 MG TABLET 15,AMBULAX FM 0.5/10 MG TABLET 15,Non-Scheduled,Not Applicable,TABLET,2026-01-25T18:24:58,FLUPENTHIXOL + MELITRACEN TABLET 0.5/10 MG / AMBULAX FM,UNIMARCK HEALTHCARE LTD,4.81,Dec-2025,72.19/15 TABLET,2,FLUXIT (TRIPADA),10,50.00,5.00,TRIPADA BIOTEC PVT LTD
FLUPENTIXOL & MELITRACEN,,AMBULAX FM 0.5/10 MG TABLET 15,AMBULAX FM 0.5/10 MG TABLET 15,Non-Scheduled,Not Applicable,TABLET,2026-01-25T18:24:58,FLUPENTHIXOL + MELITRACEN TABLET 0.5/10 MG / AMBULAX FM,UNIMARCK HEALTHCARE LTD,4.81,Dec-2025,72.19/15 TABLET,3,FLITRA,10,55.00,5.50,LINUX LABORATORIES
FLUPENTIXOL & MELITRACEN,,AMBULAX FM 0.5/10 MG TABLET 15,AMBULAX FM 0.5/10 MG TABLET 15,Non-Scheduled,Not Applicable,TABLET,2026-01-25T18:24:58,FLUPENTHIXOL + MELITRACEN TABLET 0.5/10 MG / AMBULAX FM,UNIMARCK HEALTHCARE LTD,4.81,Dec-2025,72.19/15 TABLET,4,FLUCETAM,10,60.84,6.08,SPECTRA THERAPEUTICS PVT. LTD.
FLUPENTIXOL & MELITRACEN,,AMBULAX FM 0.5/10 MG TABLET 15,AMBULAX FM 0.5/10 MG TABLET 15,Non-Scheduled,Not Applicable,TABLET,2026-01-25T18:24:58,FLUPENTHIXOL + MELITRACEN TABLET 0.5/10 MG / AMBULAX FM,UNIMARCK HEALTHCARE LTD,4.81,Dec-2025,72.19/15 TABLET,5,RELIXOL,10,64.69,6.47,RELIANCE FORMULATION PVT LTD
FLUPENTIXOL & MELITRACEN,,AMBULAX FM 0.5/10 MG TABLET 15,AMBULAX FM 0.5/10 MG TABLET 15,Non-Scheduled,Not Applicable,TABLET,2026-01-25T18:24:58,FLUPENTHIXOL + MELITRACEN TABLET 0.5/10 MG / AMBULAX FM,UNIMARCK HEALTHCARE LTD,4.81,Dec-2025,72.19/15 TABLET,6,RESTFULL,10,65.00,6.50,LUPIN LTD
FLUPENTIXOL & MELITRACEN,,AMBULAX FM 0.5/10 MG TABLET 15,AMBULAX FM 0.5/10 MG TABLET 15,Non-Scheduled,Not Applicable,TABLET,2026-01-25T18:24:58,FLUPENTHIXOL + MELITRACEN TABLET 0.5/10 MG / AMBULAX FM,UNIMARCK HEALTHCARE LTD,4.81,Dec-2025,72.19/15 TABLET,7,FRAXIDEP,10,66.25,6.63,TAS MED (INDIA) PRIVATE LTD.
FLUPENTIXOL & MELITRACEN,,AMBULAX FM 0.5/10 MG TABLET 15,AMBULAX FM 0.5/10 MG TABLET 15,Non-Scheduled,Not Applicable,TABLET,2026-01-25T18:24:58,FLUPENTHIXOL + MELITRACEN TABLET 0.5/10 MG / AMBULAX FM,UNIMARCK HEALTHCARE LTD,4.81,Dec-2025,72.19/15 TABLET,8,FLUPETRA,10,67.50,6.75,ANAX LIFE SCIENCES PVT.LTD
FLUPENTIXOL & MELITRACEN,,AMBULAX FM 0.5/10 MG TABLET 15,AMBULAX FM 0.5/10 MG TABLET 15,Non-Scheduled,Not Applicable,TABLET,2026-01-25T18:24:58,FLUPENTHIXOL + MELITRACEN TABLET 0.5/10 MG / AMBULAX FM,UNIMARCK HEALTHCARE LTD,4.81,Dec-2025,72.19/15 TABLET,9,NUDAY,10,70.31,7.03,SEAGULL PHARMA
FLUPENTIXOL & MELITRACEN,,AMBULAX FM 0.5/10 MG TABLET 15,AMBULAX FM 0.5/10 MG TABLET 15,Non-Scheduled,Not Applicable,TABLET,2026-01-25T18:24:58,FLUPENTHIXOL + MELITRACEN TABLET 0.5/10 MG / AMBULAX FM,UNIMARCK HEALTHCARE LTD,4.81,Dec-2025,72.19/15 TABLET,10,PENTIM,10,70.31,7.03,D.D PHARMACEUTICALS
