FormulationInput,SNo,MedicineName,Status,CeilingPrice,Unit,MRP_Unit,CapturedAt,Formulation_Brand,CompanyName_Header,MRP_Unit_Header,MRP_AsOnDate,MRP_Header,Sub_SNo,Sub_BrandName,Sub_PackSize,Sub_MRP,Sub_MRP_Unit,Sub_CompanyName
SERTACONAZOLE & ZINC PYRITHIONE,,8X 1 % SHAMPOO 120 ML,8X 1 % SHAMPOO 120 ML,Non-Scheduled,Not Applicable,SHAMPOO,2026-01-25T17:02:57,CICLOPIROX + ZINC PYRITHIONE SHAMPOO 1 % / 8X,CIPLA LTD.,4.22,Dec-2025,505.84/120 ML SHAMPOO,,,,,,
SERTACONAZOLE & ZINC PYRITHIONE,,8X 1 % SHAMPOO 60 ML,8X 1 % SHAMPOO 60 ML,Non-Scheduled,Not Applicable,SHAMPOO,2026-01-25T17:02:59,CICLOPIROX + ZINC PYRITHIONE SHAMPOO 1 % / 8X,CIPLA LTD.,6.64,Dec-2025,398.25/60 ML SHAMPOO,,,,,,
SERTACONAZOLE & ZINC PYRITHIONE,,8X WITH ZPTO 1 % SHAMPOO 100 ML,8X WITH ZPTO 1 % SHAMPOO 100 ML,Non-Scheduled,Not Applicable,SHAMPOO,2026-01-25T17:03:01,CICLOPIROX + ZINC PYRITHIONE SHAMPOO 1 % / 8X,CIPLA LTD.,4.46,Dec-2025,445.93/100 ML SHAMPOO,,,,,,
SERTACONAZOLE & ZINC PYRITHIONE,,CANDIDOX 1/1 % SHAMPOO 100 ML,CANDIDOX 1/1 % SHAMPOO 100 ML,Non-Scheduled,Not Applicable,SHAMPOO,2026-01-25T17:03:03,CICLOPIROX + ZINC PYRITHIONE SHAMPOO 1/1 % / CANDIDOX,GLENMARK PHARMACEUTICALS LTD.,4.03,Dec-2025,403.13/100 ML SHAMPOO,1,TRUZAP,100,351.56,3.52,INTAS PHARMACEUTICALS LTD
SERTACONAZOLE & ZINC PYRITHIONE,,CANDIDOX 1/1 % SHAMPOO 100 ML,CANDIDOX 1/1 % SHAMPOO 100 ML,Non-Scheduled,Not Applicable,SHAMPOO,2026-01-25T17:03:03,CICLOPIROX + ZINC PYRITHIONE SHAMPOO 1/1 % / CANDIDOX,GLENMARK PHARMACEUTICALS LTD.,4.03,Dec-2025,403.13/100 ML SHAMPOO,2,CIVADERM,100,400.31,4.00,AJANTA PHARMA LTD
SERTACONAZOLE & ZINC PYRITHIONE,,CANDIDOX 1/1 % SHAMPOO 100 ML,CANDIDOX 1/1 % SHAMPOO 100 ML,Non-Scheduled,Not Applicable,SHAMPOO,2026-01-25T17:03:03,CICLOPIROX + ZINC PYRITHIONE SHAMPOO 1/1 % / CANDIDOX,GLENMARK PHARMACEUTICALS LTD.,4.03,Dec-2025,403.13/100 ML SHAMPOO,3,CWIN,100,405.94,4.06,RANBAXY LABORATORIES LTD
SERTACONAZOLE & ZINC PYRITHIONE,,CINATOP Z SHAMPOO 120 ML,CINATOP Z SHAMPOO 120 ML,Non-Scheduled,Not Applicable,SHAMPOO,2026-01-25T17:03:06,CICLOPIROX + ZINC PYRITHIONE SHAMPOO / CINATOP Z,CADILA PHARMACEUTICALS LTD,3.71,Dec-2025,445.31/120 ML SHAMPOO,,,,,,
SERTACONAZOLE & ZINC PYRITHIONE,,CIVADERM 1/1 % SHAMPOO 100 ML,CIVADERM 1/1 % SHAMPOO 100 ML,Non-Scheduled,Not Applicable,SHAMPOO,2026-01-25T17:03:08,CICLOPIROX + ZINC PYRITHIONE SHAMPOO 1/1 % / CIVADERM,AJANTA PHARMA LTD,4.00,Dec-2025,400.31/100 ML SHAMPOO,1,TRUZAP,100,351.56,3.52,INTAS PHARMACEUTICALS LTD
SERTACONAZOLE & ZINC PYRITHIONE,,CIVADERM 1/1 % SHAMPOO 100 ML,CIVADERM 1/1 % SHAMPOO 100 ML,Non-Scheduled,Not Applicable,SHAMPOO,2026-01-25T17:03:08,CICLOPIROX + ZINC PYRITHIONE SHAMPOO 1/1 % / CIVADERM,AJANTA PHARMA LTD,4.00,Dec-2025,400.31/100 ML SHAMPOO,2,CANDIDOX,100,403.13,4.03,GLENMARK PHARMACEUTICALS LTD.
SERTACONAZOLE & ZINC PYRITHIONE,,CIVADERM 1/1 % SHAMPOO 100 ML,CIVADERM 1/1 % SHAMPOO 100 ML,Non-Scheduled,Not Applicable,SHAMPOO,2026-01-25T17:03:08,CICLOPIROX + ZINC PYRITHIONE SHAMPOO 1/1 % / CIVADERM,AJANTA PHARMA LTD,4.00,Dec-2025,400.31/100 ML SHAMPOO,3,CWIN,100,405.94,4.06,RANBAXY LABORATORIES LTD
SERTACONAZOLE & ZINC PYRITHIONE,,CWIN 1/1 % SHAMPOO 100 ML,CWIN 1/1 % SHAMPOO 100 ML,Non-Scheduled,Not Applicable,SHAMPOO,2026-01-25T17:03:10,CICLOPIROX + ZINC PYRITHIONE SHAMPOO 1/1 % / CWIN,RANBAXY LABORATORIES LTD,4.06,Dec-2025,405.94/100 ML SHAMPOO,1,TRUZAP,100,351.56,3.52,INTAS PHARMACEUTICALS LTD
SERTACONAZOLE & ZINC PYRITHIONE,,CWIN 1/1 % SHAMPOO 100 ML,CWIN 1/1 % SHAMPOO 100 ML,Non-Scheduled,Not Applicable,SHAMPOO,2026-01-25T17:03:10,CICLOPIROX + ZINC PYRITHIONE SHAMPOO 1/1 % / CWIN,RANBAXY LABORATORIES LTD,4.06,Dec-2025,405.94/100 ML SHAMPOO,2,CIVADERM,100,400.31,4.00,AJANTA PHARMA LTD
SERTACONAZOLE & ZINC PYRITHIONE,,CWIN 1/1 % SHAMPOO 100 ML,CWIN 1/1 % SHAMPOO 100 ML,Non-Scheduled,Not Applicable,SHAMPOO,2026-01-25T17:03:10,CICLOPIROX + ZINC PYRITHIONE SHAMPOO 1/1 % / CWIN,RANBAXY LABORATORIES LTD,4.06,Dec-2025,405.94/100 ML SHAMPOO,3,CANDIDOX,100,403.13,4.03,GLENMARK PHARMACEUTICALS LTD.
SERTACONAZOLE & ZINC PYRITHIONE,,TRUZAP 1/1 % SHAMPOO 100 ML,TRUZAP 1/1 % SHAMPOO 100 ML,Non-Scheduled,Not Applicable,SHAMPOO,2026-01-25T17:03:12,CICLOPIROX + ZINC PYRITHIONE SHAMPOO 1/1 % / TRUZAP,INTAS PHARMACEUTICALS LTD,3.52,Dec-2025,351.56/100 ML SHAMPOO,1,CIVADERM,100,400.31,4.00,AJANTA PHARMA LTD
