FormulationInput,SNo,MedicineName,Status,CeilingPrice,Unit,MRP_Unit,CapturedAt,Formulation_Brand,CompanyName_Header,MRP_Unit_Header,MRP_AsOnDate,MRP_Header,Sub_SNo,Sub_BrandName,Sub_PackSize,Sub_MRP,Sub_MRP_Unit,Sub_CompanyName
SIMETICONE & SODIUM ALGINATE,,ACIFIX RAFT SYRUP 200 ML,ACIFIX RAFT SYRUP 200 ML,Non-Scheduled,Not Applicable,SYRUP,2026-01-25T20:33:04,CALCIUM CARBONATE + SODIUM ALGINATE + SODIUM BICARBONATE SYRUP / ACIFIX RAFT,MOREPEN LABORATORIES LIMITED,1.05,Dec-2025,210.00/200 ML SYRUP,1,DISPERAFT,200,195.94,0.98,MACLEODS PHARMACEUTICALS PVT.LTD
SIMETICONE & SODIUM ALGINATE,,ACIFIX RAFT SYRUP 200 ML,ACIFIX RAFT SYRUP 200 ML,Non-Scheduled,Not Applicable,SYRUP,2026-01-25T20:33:04,CALCIUM CARBONATE + SODIUM ALGINATE + SODIUM BICARBONATE SYRUP / ACIFIX RAFT,MOREPEN LABORATORIES LIMITED,1.05,Dec-2025,210.00/200 ML SYRUP,2,EXCERAFT,200,209.81,1.05,ALEMBIC LTD
SIMETICONE & SODIUM ALGINATE,,ACIFIX RAFT SYRUP 200 ML,ACIFIX RAFT SYRUP 200 ML,Non-Scheduled,Not Applicable,SYRUP,2026-01-25T20:33:04,CALCIUM CARBONATE + SODIUM ALGINATE + SODIUM BICARBONATE SYRUP / ACIFIX RAFT,MOREPEN LABORATORIES LIMITED,1.05,Dec-2025,210.00/200 ML SYRUP,3,PANTOFIRM,200,220.00,1.10,MATIAS HEALTHCARE PVT.LTD
SIMETICONE & SODIUM ALGINATE,,ALGIDUO 80/250/133.5 MG SUSPENSION 150 ML,ALGIDUO 80/250/133.5 MG SUSPENSION 150 ML,Non-Scheduled,Not Applicable,SUSPENSION,2026-01-25T20:33:07,CALCIUM CARBONATE + SODIUM ALGINATE + SODIUM BICARBONATE SUSPENSION 80/250/133.5 MG / ALGIDUO,TORRENT PHARMACEUTICALS LTD.,1.17,Dec-2025,175.15/150 ML SUSPENSION,1,RABERAFT,200,178.13,0.89,MACLEODS PHARMACEUTICALS PVT.LTD
SIMETICONE & SODIUM ALGINATE,,ALGIDUO 80/250/133.5 MG SUSPENSION 150 ML,ALGIDUO 80/250/133.5 MG SUSPENSION 150 ML,Non-Scheduled,Not Applicable,SUSPENSION,2026-01-25T20:33:07,CALCIUM CARBONATE + SODIUM ALGINATE + SODIUM BICARBONATE SUSPENSION 80/250/133.5 MG / ALGIDUO,TORRENT PHARMACEUTICALS LTD.,1.17,Dec-2025,175.15/150 ML SUSPENSION,2,CHILRAFT,150,135.94,0.91,KEPLER HEALTH CARE
SIMETICONE & SODIUM ALGINATE,,ALGIDUO 80/250/133.5 MG SUSPENSION 150 ML,ALGIDUO 80/250/133.5 MG SUSPENSION 150 ML,Non-Scheduled,Not Applicable,SUSPENSION,2026-01-25T20:33:07,CALCIUM CARBONATE + SODIUM ALGINATE + SODIUM BICARBONATE SUSPENSION 80/250/133.5 MG / ALGIDUO,TORRENT PHARMACEUTICALS LTD.,1.17,Dec-2025,175.15/150 ML SUSPENSION,3,GELUSIL RAFT,200,182.81,0.91,PFIZER LTD
SIMETICONE & SODIUM ALGINATE,,ALGIDUO 80/250/133.5 MG SUSPENSION 150 ML,ALGIDUO 80/250/133.5 MG SUSPENSION 150 ML,Non-Scheduled,Not Applicable,SUSPENSION,2026-01-25T20:33:07,CALCIUM CARBONATE + SODIUM ALGINATE + SODIUM BICARBONATE SUSPENSION 80/250/133.5 MG / ALGIDUO,TORRENT PHARMACEUTICALS LTD.,1.17,Dec-2025,175.15/150 ML SUSPENSION,4,ICERAFT,150,139.69,0.93,INDOCO REMEDIES LTD
SIMETICONE & SODIUM ALGINATE,,ALGIDUO 80/250/133.5 MG SUSPENSION 150 ML,ALGIDUO 80/250/133.5 MG SUSPENSION 150 ML,Non-Scheduled,Not Applicable,SUSPENSION,2026-01-25T20:33:07,CALCIUM CARBONATE + SODIUM ALGINATE + SODIUM BICARBONATE SUSPENSION 80/250/133.5 MG / ALGIDUO,TORRENT PHARMACEUTICALS LTD.,1.17,Dec-2025,175.15/150 ML SUSPENSION,5,IMIRAFT,200,186.56,0.93,TAS MED (INDIA) PRIVATE LTD.
SIMETICONE & SODIUM ALGINATE,,ALGIDUO 80/250/133.5 MG SUSPENSION 150 ML,ALGIDUO 80/250/133.5 MG SUSPENSION 150 ML,Non-Scheduled,Not Applicable,SUSPENSION,2026-01-25T20:33:07,CALCIUM CARBONATE + SODIUM ALGINATE + SODIUM BICARBONATE SUSPENSION 80/250/133.5 MG / ALGIDUO,TORRENT PHARMACEUTICALS LTD.,1.17,Dec-2025,175.15/150 ML SUSPENSION,6,MEDRAFT,150,140.63,0.94,RAPROSS PHARMACEUTICALS PVT LTD
SIMETICONE & SODIUM ALGINATE,,ALGIDUO 80/250/133.5 MG SUSPENSION 150 ML,ALGIDUO 80/250/133.5 MG SUSPENSION 150 ML,Non-Scheduled,Not Applicable,SUSPENSION,2026-01-25T20:33:07,CALCIUM CARBONATE + SODIUM ALGINATE + SODIUM BICARBONATE SUSPENSION 80/250/133.5 MG / ALGIDUO,TORRENT PHARMACEUTICALS LTD.,1.17,Dec-2025,175.15/150 ML SUSPENSION,7,TRICAINE RAFT,150,144.37,0.96,RPG LIFE SCIENCES LTD.
