FormulationInput,SNo,MedicineName,Status,CeilingPrice,Unit,MRP_Unit,CapturedAt,Formulation_Brand,CompanyName_Header,MRP_Unit_Header,MRP_AsOnDate,MRP_Header,Sub_SNo,Sub_BrandName,Sub_PackSize,Sub_MRP,Sub_MRP_Unit,Sub_CompanyName
SODIUM CROMOGLICATE & XYLOMETAZOLINE,,ACOLATE KID 0.05 % NASAL DROPS 10 ML,ACOLATE KID 0.05 % NASAL DROPS 10 ML,Scheduled,4.26,NASAL DROPS,2026-01-25T18:20:46,XYLOMETAZOLINE NASAL DROPS 0.05 % / ACOLATE,GUJARAT TERCE LABORATORIES LTD,5.15,Dec-2025,51.50/10 ML NASAL DROPS,1,CORIVIN,10,27.00,2.70,OLCARE LTD
SODIUM CROMOGLICATE & XYLOMETAZOLINE,,ACOLATE KID 0.05 % NASAL DROPS 10 ML,ACOLATE KID 0.05 % NASAL DROPS 10 ML,Scheduled,4.26,NASAL DROPS,2026-01-25T18:20:46,XYLOMETAZOLINE NASAL DROPS 0.05 % / ACOLATE,GUJARAT TERCE LABORATORIES LTD,5.15,Dec-2025,51.50/10 ML NASAL DROPS,2,ATROVIN-P,10,28.10,2.81,AGRAWAL PHARMACEUTICALS
SODIUM CROMOGLICATE & XYLOMETAZOLINE,,ACOLATE KID 0.05 % NASAL DROPS 10 ML,ACOLATE KID 0.05 % NASAL DROPS 10 ML,Scheduled,4.26,NASAL DROPS,2026-01-25T18:20:46,XYLOMETAZOLINE NASAL DROPS 0.05 % / ACOLATE,GUJARAT TERCE LABORATORIES LTD,5.15,Dec-2025,51.50/10 ML NASAL DROPS,3,NASOMIST (ENDO),10,29.00,2.90,ENDOCARD
SODIUM CROMOGLICATE & XYLOMETAZOLINE,,ACOLATE KID 0.05 % NASAL DROPS 10 ML,ACOLATE KID 0.05 % NASAL DROPS 10 ML,Scheduled,4.26,NASAL DROPS,2026-01-25T18:20:46,XYLOMETAZOLINE NASAL DROPS 0.05 % / ACOLATE,GUJARAT TERCE LABORATORIES LTD,5.15,Dec-2025,51.50/10 ML NASAL DROPS,4,XYLOSON,10,33.00,3.30,UNISON PHARMACEUTICALS
SODIUM CROMOGLICATE & XYLOMETAZOLINE,,ACOLATE KID 0.05 % NASAL DROPS 10 ML,ACOLATE KID 0.05 % NASAL DROPS 10 ML,Scheduled,4.26,NASAL DROPS,2026-01-25T18:20:46,XYLOMETAZOLINE NASAL DROPS 0.05 % / ACOLATE,GUJARAT TERCE LABORATORIES LTD,5.15,Dec-2025,51.50/10 ML NASAL DROPS,5,SINOMET P,10,33.75,3.38,NRI VISION CARE
SODIUM CROMOGLICATE & XYLOMETAZOLINE,,ACOLATE KID 0.05 % NASAL DROPS 10 ML,ACOLATE KID 0.05 % NASAL DROPS 10 ML,Scheduled,4.26,NASAL DROPS,2026-01-25T18:20:46,XYLOMETAZOLINE NASAL DROPS 0.05 % / ACOLATE,GUJARAT TERCE LABORATORIES LTD,5.15,Dec-2025,51.50/10 ML NASAL DROPS,6,GOAIR,10,42.00,4.20,INVISION MEDI SCIENCES
SODIUM CROMOGLICATE & XYLOMETAZOLINE,,ACOLATE KID 0.05 % NASAL DROPS 10 ML,ACOLATE KID 0.05 % NASAL DROPS 10 ML,Scheduled,4.26,NASAL DROPS,2026-01-25T18:20:46,XYLOMETAZOLINE NASAL DROPS 0.05 % / ACOLATE,GUJARAT TERCE LABORATORIES LTD,5.15,Dec-2025,51.50/10 ML NASAL DROPS,7,NASOCLIN,10,42.00,4.20,CANIXA LIFE SCIENCES PVT
SODIUM CROMOGLICATE & XYLOMETAZOLINE,,ACOLATE KID 0.05 % NASAL DROPS 10 ML,ACOLATE KID 0.05 % NASAL DROPS 10 ML,Scheduled,4.26,NASAL DROPS,2026-01-25T18:20:46,XYLOMETAZOLINE NASAL DROPS 0.05 % / ACOLATE,GUJARAT TERCE LABORATORIES LTD,5.15,Dec-2025,51.50/10 ML NASAL DROPS,8,SANE P,10,42.00,4.20,SAPIENT
SODIUM CROMOGLICATE & XYLOMETAZOLINE,,ACOLATE KID 0.05 % NASAL DROPS 10 ML,ACOLATE KID 0.05 % NASAL DROPS 10 ML,Scheduled,4.26,NASAL DROPS,2026-01-25T18:20:46,XYLOMETAZOLINE NASAL DROPS 0.05 % / ACOLATE,GUJARAT TERCE LABORATORIES LTD,5.15,Dec-2025,51.50/10 ML NASAL DROPS,9,LYFTZ,10,43.00,4.30,AKUMENTIS HEALTHCARE LTD
SODIUM CROMOGLICATE & XYLOMETAZOLINE,,ACOLATE KID 0.05 % NASAL DROPS 10 ML,ACOLATE KID 0.05 % NASAL DROPS 10 ML,Scheduled,4.26,NASAL DROPS,2026-01-25T18:20:46,XYLOMETAZOLINE NASAL DROPS 0.05 % / ACOLATE,GUJARAT TERCE LABORATORIES LTD,5.15,Dec-2025,51.50/10 ML NASAL DROPS,10,ORINASE,10,43.13,4.31,ENTOD PHARMACEUTICALS LTD
SODIUM CROMOGLICATE & XYLOMETAZOLINE,,ACOLATE KID 0.05 % NASAL DROPS 10 ML,ACOLATE KID 0.05 % NASAL DROPS 10 ML,Scheduled,4.26,NASAL DROPS,2026-01-25T18:20:46,XYLOMETAZOLINE NASAL DROPS 0.05 % / ACOLATE,GUJARAT TERCE LABORATORIES LTD,5.15,Dec-2025,51.50/10 ML NASAL DROPS,11,NOSIKIND,10,43.99,4.40,MANKIND PHARMACEUTICALS LTD.
SODIUM CROMOGLICATE & XYLOMETAZOLINE,,ACOLATE KID 0.05 % NASAL DROPS 10 ML,ACOLATE KID 0.05 % NASAL DROPS 10 ML,Scheduled,4.26,NASAL DROPS,2026-01-25T18:20:46,XYLOMETAZOLINE NASAL DROPS 0.05 % / ACOLATE,GUJARAT TERCE LABORATORIES LTD,5.15,Dec-2025,51.50/10 ML NASAL DROPS,12,RINOCLEAR XYLO,10,43.99,4.40,MONICHEM HEALTHCARE PVT LTD
SODIUM CROMOGLICATE & XYLOMETAZOLINE,,ACOLATE KID 0.05 % NASAL DROPS 10 ML,ACOLATE KID 0.05 % NASAL DROPS 10 ML,Scheduled,4.26,NASAL DROPS,2026-01-25T18:20:46,XYLOMETAZOLINE NASAL DROPS 0.05 % / ACOLATE,GUJARAT TERCE LABORATORIES LTD,5.15,Dec-2025,51.50/10 ML NASAL DROPS,13,MUCORIS-P,10,44.73,4.47,FDC LTD.
SODIUM CROMOGLICATE & XYLOMETAZOLINE,,ACOLATE KID 0.05 % NASAL DROPS 10 ML,ACOLATE KID 0.05 % NASAL DROPS 10 ML,Scheduled,4.26,NASAL DROPS,2026-01-25T18:20:46,XYLOMETAZOLINE NASAL DROPS 0.05 % / ACOLATE,GUJARAT TERCE LABORATORIES LTD,5.15,Dec-2025,51.50/10 ML NASAL DROPS,14,NAM COLD,10,44.71,4.47,LINCOLN PHARMACEUTICALS LTD
