FormulationInput,SNo,MedicineName,Status,CeilingPrice,Unit,MRP_Unit,CapturedAt,Formulation_Brand,CompanyName_Header,MRP_Unit_Header,MRP_AsOnDate,MRP_Header,Sub_SNo,Sub_BrandName,Sub_PackSize,Sub_MRP,Sub_MRP_Unit,Sub_CompanyName
BETAMETHASONE & DEXAMETHASONE & DEXCHLORPHENIRAMINE,,ALDEX 6 MG TABLET SR 10,ALDEX 6 MG TABLET SR 10,Non-Scheduled,Not Applicable,TABLET SR,2026-01-25T21:23:48,DEXCHLORPHENIRAMINE TABLET SR 6 MG / ALDEX,ZEE LABORATORIES,3.29,Dec-2025,32.90/10 TABLET SR,1,POLOSTAN,10,44.20,4.42,MANKIND PHARMACEUTICALS LTD.
BETAMETHASONE & DEXAMETHASONE & DEXCHLORPHENIRAMINE,,ALDEX 6 MG TABLET SR 10,ALDEX 6 MG TABLET SR 10,Non-Scheduled,Not Applicable,TABLET SR,2026-01-25T21:23:48,DEXCHLORPHENIRAMINE TABLET SR 6 MG / ALDEX,ZEE LABORATORIES,3.29,Dec-2025,32.90/10 TABLET SR,2,DIOMINIC,10,46.31,4.63,UNISON PHARMACEUTICALS
BETAMETHASONE & DEXAMETHASONE & DEXCHLORPHENIRAMINE,,ALDEX 6 MG TABLET SR 10,ALDEX 6 MG TABLET SR 10,Non-Scheduled,Not Applicable,TABLET SR,2026-01-25T21:23:48,DEXCHLORPHENIRAMINE TABLET SR 6 MG / ALDEX,ZEE LABORATORIES,3.29,Dec-2025,32.90/10 TABLET SR,3,DEXODIL,10,72.36,7.24,PSYCHOTROPICS INDIA LTD
BETAMETHASONE & DEXAMETHASONE & DEXCHLORPHENIRAMINE,,ALDEX 6 MG TABLET SR 10,ALDEX 6 MG TABLET SR 10,Non-Scheduled,Not Applicable,TABLET SR,2026-01-25T21:23:48,DEXCHLORPHENIRAMINE TABLET SR 6 MG / ALDEX,ZEE LABORATORIES,3.29,Dec-2025,32.90/10 TABLET SR,4,DEXCPM,10,75.22,7.52,JAGSONPAL PHARMACEUTICALS LTD
BETAMETHASONE & DEXAMETHASONE & DEXCHLORPHENIRAMINE,,ATMINIC 2 MG TABLET 10,ATMINIC 2 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-25T21:23:51,DEXCHLORPHENIRAMINE TABLET 2 MG / ATMINIC,ATOPIC LABORATORIES,2.16,Dec-2025,21.56/10 TABLET,1,CORTIFLAM D,10,18.93,1.89,BENNET PHARMACEUTICALS LIMITED
BETAMETHASONE & DEXAMETHASONE & DEXCHLORPHENIRAMINE,,ATMINIC 2 MG TABLET 10,ATMINIC 2 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-25T21:23:51,DEXCHLORPHENIRAMINE TABLET 2 MG / ATMINIC,ATOPIC LABORATORIES,2.16,Dec-2025,21.56/10 TABLET,2,DIOMINIC,10,22.22,2.22,UNISON PHARMACEUTICALS
BETAMETHASONE & DEXAMETHASONE & DEXCHLORPHENIRAMINE,,ATMINIC 2 MG TABLET 10,ATMINIC 2 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-25T21:23:51,DEXCHLORPHENIRAMINE TABLET 2 MG / ATMINIC,ATOPIC LABORATORIES,2.16,Dec-2025,21.56/10 TABLET,3,DEXODIL,10,28.36,2.84,PSYCHOTROPICS INDIA LTD
BETAMETHASONE & DEXAMETHASONE & DEXCHLORPHENIRAMINE,,ATMINIC 2 MG TABLET 10,ATMINIC 2 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-25T21:23:51,DEXCHLORPHENIRAMINE TABLET 2 MG / ATMINIC,ATOPIC LABORATORIES,2.16,Dec-2025,21.56/10 TABLET,4,POLARAMINE,10,30.75,3.08,BAYER PHARMACEUTICALS PVT. LTD.
BETAMETHASONE & DEXAMETHASONE & DEXCHLORPHENIRAMINE,,ATMINIC 2 MG TABLET SR 10,ATMINIC 2 MG TABLET SR 10,Non-Scheduled,Not Applicable,TABLET SR,2026-01-25T21:23:53,DEXCHLORPHENIRAMINE TABLET SR 2 MG / ATMINIC,ATOPIC LABORATORIES,4.50,Dec-2025,45.00/10 TABLET SR,,,,,,
BETAMETHASONE & DEXAMETHASONE & DEXCHLORPHENIRAMINE,,CORTIFLAM D 2 MG TABLET 10,CORTIFLAM D 2 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-25T21:23:55,DEXCHLORPHENIRAMINE TABLET 2 MG / CORTIFLAM D,BENNET PHARMACEUTICALS LIMITED,1.89,Dec-2025,18.93/10 TABLET,1,ATMINIC,10,21.56,2.16,ATOPIC LABORATORIES
BETAMETHASONE & DEXAMETHASONE & DEXCHLORPHENIRAMINE,,CORTIFLAM D 2 MG TABLET 10,CORTIFLAM D 2 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-25T21:23:55,DEXCHLORPHENIRAMINE TABLET 2 MG / CORTIFLAM D,BENNET PHARMACEUTICALS LIMITED,1.89,Dec-2025,18.93/10 TABLET,2,DIOMINIC,10,22.22,2.22,UNISON PHARMACEUTICALS
BETAMETHASONE & DEXAMETHASONE & DEXCHLORPHENIRAMINE,,CORTIFLAM D 2 MG TABLET 10,CORTIFLAM D 2 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-25T21:23:55,DEXCHLORPHENIRAMINE TABLET 2 MG / CORTIFLAM D,BENNET PHARMACEUTICALS LIMITED,1.89,Dec-2025,18.93/10 TABLET,3,DEXODIL,10,28.36,2.84,PSYCHOTROPICS INDIA LTD
