FormulationInput,SNo,MedicineName,Status,CeilingPrice,Unit,MRP_Unit,CapturedAt,Formulation_Brand,CompanyName_Header,MRP_Unit_Header,MRP_AsOnDate,MRP_Header,Sub_SNo,Sub_BrandName,Sub_PackSize,Sub_MRP,Sub_MRP_Unit,Sub_CompanyName
CAMPHOR & HYDROCORTISONE & IODOCHLORHYDROXYQUIN,,5 D (LEO LIFE) CREAM 15 GM,5 D (LEO LIFE) CREAM 15 GM,Non-Scheduled,Not Applicable,CREAM,2026-01-25T17:40:03,CLOBETASOL + IODOCHLORHYDROXYQUINOLINE + KETOCONAZOLE + NEOMYCIN + TOLNAFTATE CREAM / 5 D (LEO LIFE),LEO LIFE SCIENCE PVT LTD,7.50,Dec-2025,112.50/15 GM CREAM,1,ELKETO K5,15,18.13,1.21,ELDER PROJECTS LIMITED
CAMPHOR & HYDROCORTISONE & IODOCHLORHYDROXYQUIN,,5 D (LEO LIFE) CREAM 15 GM,5 D (LEO LIFE) CREAM 15 GM,Non-Scheduled,Not Applicable,CREAM,2026-01-25T17:40:03,CLOBETASOL + IODOCHLORHYDROXYQUINOLINE + KETOCONAZOLE + NEOMYCIN + TOLNAFTATE CREAM / 5 D (LEO LIFE),LEO LIFE SCIENCE PVT LTD,7.50,Dec-2025,112.50/15 GM CREAM,2,IGROSE,15,65.53,4.37,LUCROSE PHARMA PVT LTD
CAMPHOR & HYDROCORTISONE & IODOCHLORHYDROXYQUIN,,5 D (LEO LIFE) CREAM 15 GM,5 D (LEO LIFE) CREAM 15 GM,Non-Scheduled,Not Applicable,CREAM,2026-01-25T17:40:03,CLOBETASOL + IODOCHLORHYDROXYQUINOLINE + KETOCONAZOLE + NEOMYCIN + TOLNAFTATE CREAM / 5 D (LEO LIFE),LEO LIFE SCIENCE PVT LTD,7.50,Dec-2025,112.50/15 GM CREAM,3,KETOFRESH NF CT,30,150.00,5.00,SMART LABORATORIES PVT LTD
CAMPHOR & HYDROCORTISONE & IODOCHLORHYDROXYQUIN,,5 D (LEO LIFE) CREAM 15 GM,5 D (LEO LIFE) CREAM 15 GM,Non-Scheduled,Not Applicable,CREAM,2026-01-25T17:40:03,CLOBETASOL + IODOCHLORHYDROXYQUINOLINE + KETOCONAZOLE + NEOMYCIN + TOLNAFTATE CREAM / 5 D (LEO LIFE),LEO LIFE SCIENCE PVT LTD,7.50,Dec-2025,112.50/15 GM CREAM,4,KETOMOON K5,30,150.00,5.00,MOONSTAR LIFECARE PVT.LTD
CAMPHOR & HYDROCORTISONE & IODOCHLORHYDROXYQUIN,,5 D (LEO LIFE) CREAM 15 GM,5 D (LEO LIFE) CREAM 15 GM,Non-Scheduled,Not Applicable,CREAM,2026-01-25T17:40:03,CLOBETASOL + IODOCHLORHYDROXYQUINOLINE + KETOCONAZOLE + NEOMYCIN + TOLNAFTATE CREAM / 5 D (LEO LIFE),LEO LIFE SCIENCE PVT LTD,7.50,Dec-2025,112.50/15 GM CREAM,5,KETOSCORE 6,25,130.00,5.20,SMART LABORATORIES PVT LTD
CAMPHOR & HYDROCORTISONE & IODOCHLORHYDROXYQUIN,,5 D (LEO LIFE) CREAM 15 GM,5 D (LEO LIFE) CREAM 15 GM,Non-Scheduled,Not Applicable,CREAM,2026-01-25T17:40:03,CLOBETASOL + IODOCHLORHYDROXYQUINOLINE + KETOCONAZOLE + NEOMYCIN + TOLNAFTATE CREAM / 5 D (LEO LIFE),LEO LIFE SCIENCE PVT LTD,7.50,Dec-2025,112.50/15 GM CREAM,6,KETOMOON K5,15,84.35,5.62,MOONSTAR LIFECARE PVT.LTD
CAMPHOR & HYDROCORTISONE & IODOCHLORHYDROXYQUIN,,5 D (LEO LIFE) CREAM 15 GM,5 D (LEO LIFE) CREAM 15 GM,Non-Scheduled,Not Applicable,CREAM,2026-01-25T17:40:03,CLOBETASOL + IODOCHLORHYDROXYQUINOLINE + KETOCONAZOLE + NEOMYCIN + TOLNAFTATE CREAM / 5 D (LEO LIFE),LEO LIFE SCIENCE PVT LTD,7.50,Dec-2025,112.50/15 GM CREAM,7,CLOSPORT K5,15,90.00,6.00,MOONSTAR LIFECARE PVT.LTD
CAMPHOR & HYDROCORTISONE & IODOCHLORHYDROXYQUIN,,5 D (LEO LIFE) CREAM 15 GM,5 D (LEO LIFE) CREAM 15 GM,Non-Scheduled,Not Applicable,CREAM,2026-01-25T17:40:03,CLOBETASOL + IODOCHLORHYDROXYQUINOLINE + KETOCONAZOLE + NEOMYCIN + TOLNAFTATE CREAM / 5 D (LEO LIFE),LEO LIFE SCIENCE PVT LTD,7.50,Dec-2025,112.50/15 GM CREAM,8,DERMIFLEX,15,92.81,6.19,LEEFORD HEALTHCARE
CAMPHOR & HYDROCORTISONE & IODOCHLORHYDROXYQUIN,,5 D (LEO LIFE) CREAM 15 GM,5 D (LEO LIFE) CREAM 15 GM,Non-Scheduled,Not Applicable,CREAM,2026-01-25T17:40:03,CLOBETASOL + IODOCHLORHYDROXYQUINOLINE + KETOCONAZOLE + NEOMYCIN + TOLNAFTATE CREAM / 5 D (LEO LIFE),LEO LIFE SCIENCE PVT LTD,7.50,Dec-2025,112.50/15 GM CREAM,9,MAHAKETO 5,15,97.97,6.53,MANKIND PRIME LABS PVT.LTD
CAMPHOR & HYDROCORTISONE & IODOCHLORHYDROXYQUIN,,5 D (LEO LIFE) CREAM 15 GM,5 D (LEO LIFE) CREAM 15 GM,Non-Scheduled,Not Applicable,CREAM,2026-01-25T17:40:03,CLOBETASOL + IODOCHLORHYDROXYQUINOLINE + KETOCONAZOLE + NEOMYCIN + TOLNAFTATE CREAM / 5 D (LEO LIFE),LEO LIFE SCIENCE PVT LTD,7.50,Dec-2025,112.50/15 GM CREAM,10,SMEX,10,65.63,6.56,FRANCO INDIAN PHARMACEUTICALS PVT LTD
CAMPHOR & HYDROCORTISONE & IODOCHLORHYDROXYQUIN,,5 D (LEO LIFE) CREAM 15 GM,5 D (LEO LIFE) CREAM 15 GM,Non-Scheduled,Not Applicable,CREAM,2026-01-25T17:40:03,CLOBETASOL + IODOCHLORHYDROXYQUINOLINE + KETOCONAZOLE + NEOMYCIN + TOLNAFTATE CREAM / 5 D (LEO LIFE),LEO LIFE SCIENCE PVT LTD,7.50,Dec-2025,112.50/15 GM CREAM,11,BENZOCORT,15,103.13,6.88,NEXA WELLNESS PVT.LTD
CAMPHOR & HYDROCORTISONE & IODOCHLORHYDROXYQUIN,,5 D (LEO LIFE) CREAM 15 GM,5 D (LEO LIFE) CREAM 15 GM,Non-Scheduled,Not Applicable,CREAM,2026-01-25T17:40:03,CLOBETASOL + IODOCHLORHYDROXYQUINOLINE + KETOCONAZOLE + NEOMYCIN + TOLNAFTATE CREAM / 5 D (LEO LIFE),LEO LIFE SCIENCE PVT LTD,7.50,Dec-2025,112.50/15 GM CREAM,12,DERMOST KT5,15,115.00,7.67,AUSTRO LAB
CAMPHOR & HYDROCORTISONE & IODOCHLORHYDROXYQUIN,,5 D (LEO LIFE) CREAM 15 GM,5 D (LEO LIFE) CREAM 15 GM,Non-Scheduled,Not Applicable,CREAM,2026-01-25T17:40:03,CLOBETASOL + IODOCHLORHYDROXYQUINOLINE + KETOCONAZOLE + NEOMYCIN + TOLNAFTATE CREAM / 5 D (LEO LIFE),LEO LIFE SCIENCE PVT LTD,7.50,Dec-2025,112.50/15 GM CREAM,13,SMEX,1,65.63,65.63,FRANCO INDIAN PHARMACEUTICALS PVT LTD
CAMPHOR & HYDROCORTISONE & IODOCHLORHYDROXYQUIN,,BENZOCORT CREAM 15 GM,BENZOCORT CREAM 15 GM,Non-Scheduled,Not Applicable,CREAM,2026-01-25T17:40:06,CLOBETASOL + IODOCHLORHYDROXYQUINOLINE + KETOCONAZOLE + NEOMYCIN + TOLNAFTATE CREAM / BENZOCORT,NEXA WELLNESS PVT.LTD,6.88,Dec-2025,103.13/15 GM CREAM,1,ELKETO K5,15,18.13,1.21,ELDER PROJECTS LIMITED
CAMPHOR & HYDROCORTISONE & IODOCHLORHYDROXYQUIN,,BENZOCORT CREAM 15 GM,BENZOCORT CREAM 15 GM,Non-Scheduled,Not Applicable,CREAM,2026-01-25T17:40:06,CLOBETASOL + IODOCHLORHYDROXYQUINOLINE + KETOCONAZOLE + NEOMYCIN + TOLNAFTATE CREAM / BENZOCORT,NEXA WELLNESS PVT.LTD,6.88,Dec-2025,103.13/15 GM CREAM,2,IGROSE,15,65.53,4.37,LUCROSE PHARMA PVT LTD
