FormulationInput,SNo,MedicineName,Status,CeilingPrice,Unit,MRP_Unit,CapturedAt,Formulation_Brand,CompanyName_Header,MRP_Unit_Header,MRP_AsOnDate,MRP_Header,Sub_SNo,Sub_BrandName,Sub_PackSize,Sub_MRP,Sub_MRP_Unit,Sub_CompanyName
BERBERINE & GINSENG EXTRACT,,MULTIBLIST SOFTGEL CAPSULE 15,MULTIBLIST SOFTGEL CAPSULE 15,Non-Scheduled,Not Applicable,SOFTGEL CAPSULE,2026-01-25T19:56:26,ANTIOXIDANTS + GINSENG EXTRACT + MINERALS + MULTIVITAMINS SOFTGEL CAPSULE / MULTIBLIST,SMARTWAY WELLNESS PVT. LTD.,11.53,Dec-2025,173.00/15 SOFTGEL CAPSULE,1,ZEEGOLD,15,39.89,2.66,ZEE LABORATORIES
BERBERINE & GINSENG EXTRACT,,MULTIBLIST SOFTGEL CAPSULE 15,MULTIBLIST SOFTGEL CAPSULE 15,Non-Scheduled,Not Applicable,SOFTGEL CAPSULE,2026-01-25T19:56:26,ANTIOXIDANTS + GINSENG EXTRACT + MINERALS + MULTIVITAMINS SOFTGEL CAPSULE / MULTIBLIST,SMARTWAY WELLNESS PVT. LTD.,11.53,Dec-2025,173.00/15 SOFTGEL CAPSULE,2,ZEEGOLD,15,155.75,10.38,ZEE LABORATORIES
BERBERINE & GINSENG EXTRACT,,MULTIBLIST SOFTGEL CAPSULE 15,MULTIBLIST SOFTGEL CAPSULE 15,Non-Scheduled,Not Applicable,SOFTGEL CAPSULE,2026-01-25T19:56:26,ANTIOXIDANTS + GINSENG EXTRACT + MINERALS + MULTIVITAMINS SOFTGEL CAPSULE / MULTIBLIST,SMARTWAY WELLNESS PVT. LTD.,11.53,Dec-2025,173.00/15 SOFTGEL CAPSULE,3,SUPER V GOLD,10,106.80,10.68,ARISTO PHARMACEUTICALS PVT.LTD
BERBERINE & GINSENG EXTRACT,,MULTIBLIST SOFTGEL CAPSULE 15,MULTIBLIST SOFTGEL CAPSULE 15,Non-Scheduled,Not Applicable,SOFTGEL CAPSULE,2026-01-25T19:56:26,ANTIOXIDANTS + GINSENG EXTRACT + MINERALS + MULTIVITAMINS SOFTGEL CAPSULE / MULTIBLIST,SMARTWAY WELLNESS PVT. LTD.,11.53,Dec-2025,173.00/15 SOFTGEL CAPSULE,4,REKITA,10,109.32,10.93,INDSWIFT LABORATORIES LTD.
BERBERINE & GINSENG EXTRACT,,MULTIBLIST SOFTGEL CAPSULE 15,MULTIBLIST SOFTGEL CAPSULE 15,Non-Scheduled,Not Applicable,SOFTGEL CAPSULE,2026-01-25T19:56:26,ANTIOXIDANTS + GINSENG EXTRACT + MINERALS + MULTIVITAMINS SOFTGEL CAPSULE / MULTIBLIST,SMARTWAY WELLNESS PVT. LTD.,11.53,Dec-2025,173.00/15 SOFTGEL CAPSULE,5,STAY 4G,10,162.63,16.26,STALLION LABORATORIES (P) LTD
BERBERINE & GINSENG EXTRACT,,MULTIBLIST SYRUP 200 ML,MULTIBLIST SYRUP 200 ML,Non-Scheduled,Not Applicable,SYRUP,2026-01-25T19:56:29,ANTIOXIDANTS + GINSENG EXTRACT + MINERALS + MULTIVITAMINS SYRUP / MULTIBLIST,SMARTWAY WELLNESS PVT. LTD.,0.67,Dec-2025,133.00/200 ML SYRUP,,,,,,
BERBERINE & GINSENG EXTRACT,,OLVITAL 7G CAPSULE 10,OLVITAL 7G CAPSULE 10,Non-Scheduled,Not Applicable,CAPSULE,2026-01-25T19:56:31,ANTIOXIDANTS + GINSENG EXTRACT + MINERALS + MULTIVITAMINS CAPSULE / OLVITAL 7G,OLCARE LTD,16.42,Dec-2025,164.19/10 CAPSULE,,,,,,
BERBERINE & GINSENG EXTRACT,,REKITA SOFTGEL CAPSULE 10,REKITA SOFTGEL CAPSULE 10,Non-Scheduled,Not Applicable,SOFTGEL CAPSULE,2026-01-25T19:56:33,ANTIOXIDANTS + GINSENG EXTRACT + MINERALS + MULTIVITAMINS SOFTGEL CAPSULE / REKITA,INDSWIFT LABORATORIES LTD.,10.93,Dec-2025,109.32/10 SOFTGEL CAPSULE,1,ZEEGOLD,15,39.89,2.66,ZEE LABORATORIES
BERBERINE & GINSENG EXTRACT,,REKITA SOFTGEL CAPSULE 10,REKITA SOFTGEL CAPSULE 10,Non-Scheduled,Not Applicable,SOFTGEL CAPSULE,2026-01-25T19:56:33,ANTIOXIDANTS + GINSENG EXTRACT + MINERALS + MULTIVITAMINS SOFTGEL CAPSULE / REKITA,INDSWIFT LABORATORIES LTD.,10.93,Dec-2025,109.32/10 SOFTGEL CAPSULE,2,ZEEGOLD,15,155.75,10.38,ZEE LABORATORIES
BERBERINE & GINSENG EXTRACT,,REKITA SOFTGEL CAPSULE 10,REKITA SOFTGEL CAPSULE 10,Non-Scheduled,Not Applicable,SOFTGEL CAPSULE,2026-01-25T19:56:33,ANTIOXIDANTS + GINSENG EXTRACT + MINERALS + MULTIVITAMINS SOFTGEL CAPSULE / REKITA,INDSWIFT LABORATORIES LTD.,10.93,Dec-2025,109.32/10 SOFTGEL CAPSULE,3,SUPER V GOLD,10,106.80,10.68,ARISTO PHARMACEUTICALS PVT.LTD
