FormulationInput,SNo,MedicineName,Status,CeilingPrice,Unit,MRP_Unit,CapturedAt,Formulation_Brand,CompanyName_Header,MRP_Unit_Header,MRP_AsOnDate,MRP_Header,Sub_SNo,Sub_BrandName,Sub_PackSize,Sub_MRP,Sub_MRP_Unit,Sub_CompanyName
PHOLCODINE & PROMETHAZINE,,AVOMINE 25 MG TABLET 10,AVOMINE 25 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-25T18:26:28,PROMETHAZINE TABLET 25 MG / AVOMINE,ABBOTT HEALTHCARE PVT. LTD,6.35,Dec-2025,63.49/10 TABLET,1,EMIN,10,19.33,1.93,CIPLA LTD.
PHOLCODINE & PROMETHAZINE,,AVOMINE 25 MG TABLET 10,AVOMINE 25 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-25T18:26:28,PROMETHAZINE TABLET 25 MG / AVOMINE,ABBOTT HEALTHCARE PVT. LTD,6.35,Dec-2025,63.49/10 TABLET,2,REGAN (A.N.PHARMACIA),10,26.98,2.70,A.N.PHARMACIA
PHOLCODINE & PROMETHAZINE,,AVOMINE 25 MG TABLET 10,AVOMINE 25 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-25T18:26:28,PROMETHAZINE TABLET 25 MG / AVOMINE,ABBOTT HEALTHCARE PVT. LTD,6.35,Dec-2025,63.49/10 TABLET,3,MEXIPHEN MD,10,28.13,2.81,LEEFORD HEALTHCARE
PHOLCODINE & PROMETHAZINE,,AVOMINE 25 MG TABLET 10,AVOMINE 25 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-25T18:26:28,PROMETHAZINE TABLET 25 MG / AVOMINE,ABBOTT HEALTHCARE PVT. LTD,6.35,Dec-2025,63.49/10 TABLET,4,PROGENE,10,34.00,3.40,PSYCORMEDIES
PHOLCODINE & PROMETHAZINE,,AVOMINE 25 MG TABLET 10,AVOMINE 25 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-25T18:26:28,PROMETHAZINE TABLET 25 MG / AVOMINE,ABBOTT HEALTHCARE PVT. LTD,6.35,Dec-2025,63.49/10 TABLET,5,NORGIC,10,34.41,3.44,KIVI LABS LTD
PHOLCODINE & PROMETHAZINE,,AVOMINE 25 MG TABLET 10,AVOMINE 25 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-25T18:26:28,PROMETHAZINE TABLET 25 MG / AVOMINE,ABBOTT HEALTHCARE PVT. LTD,6.35,Dec-2025,63.49/10 TABLET,6,PROMETH,10,36.68,3.67,D.D PHARMACEUTICALS
PHOLCODINE & PROMETHAZINE,,AVOMINE 25 MG TABLET 10,AVOMINE 25 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-25T18:26:28,PROMETHAZINE TABLET 25 MG / AVOMINE,ABBOTT HEALTHCARE PVT. LTD,6.35,Dec-2025,63.49/10 TABLET,7,VOMIBREK,10,46.50,4.65,SMART LABORATORIES PVT LTD
PHOLCODINE & PROMETHAZINE,,AVOMINE 25 MG TABLET 10,AVOMINE 25 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-25T18:26:28,PROMETHAZINE TABLET 25 MG / AVOMINE,ABBOTT HEALTHCARE PVT. LTD,6.35,Dec-2025,63.49/10 TABLET,8,PHENERGAN,10,57.17,5.72,ABBOTT HEALTHCARE PVT. LTD
PHOLCODINE & PROMETHAZINE,,EMIGAN 25 MG INJECTION 2 ML,EMIGAN 25 MG INJECTION 2 ML,Non-Scheduled,Not Applicable,INJECTION,2026-01-25T18:26:30,PROMETHAZINE INJECTION 25 MG / EMIGAN,ZYDUS HEALTHCARE LTD.,3.45,Dec-2025,6.90/2 ML INJECTION,1,PHENA,2,3.53,1.77,INDSWIFT LABORATORIES LTD.
PHOLCODINE & PROMETHAZINE,,EMIGAN 25 MG INJECTION 2 ML,EMIGAN 25 MG INJECTION 2 ML,Non-Scheduled,Not Applicable,INJECTION,2026-01-25T18:26:30,PROMETHAZINE INJECTION 25 MG / EMIGAN,ZYDUS HEALTHCARE LTD.,3.45,Dec-2025,6.90/2 ML INJECTION,2,PHENA,10,42.89,4.29,INDSWIFT LABORATORIES LTD.
PHOLCODINE & PROMETHAZINE,,EMIGAN 25 MG INJECTION 2 ML,EMIGAN 25 MG INJECTION 2 ML,Non-Scheduled,Not Applicable,INJECTION,2026-01-25T18:26:30,PROMETHAZINE INJECTION 25 MG / EMIGAN,ZYDUS HEALTHCARE LTD.,3.45,Dec-2025,6.90/2 ML INJECTION,3,PHENERGAN,2,16.72,8.36,ABBOTT HEALTHCARE PVT. LTD
PHOLCODINE & PROMETHAZINE,,EMIN 25 MG TABLET 10,EMIN 25 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-25T18:26:33,PROMETHAZINE TABLET 25 MG / EMIN,CIPLA LTD.,1.93,Dec-2025,19.33/10 TABLET,1,REGAN (A.N.PHARMACIA),10,26.98,2.70,A.N.PHARMACIA
PHOLCODINE & PROMETHAZINE,,EMIN 25 MG TABLET 10,EMIN 25 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-25T18:26:33,PROMETHAZINE TABLET 25 MG / EMIN,CIPLA LTD.,1.93,Dec-2025,19.33/10 TABLET,2,MEXIPHEN MD,10,28.13,2.81,LEEFORD HEALTHCARE
PHOLCODINE & PROMETHAZINE,,EMIN 25 MG TABLET 10,EMIN 25 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-25T18:26:33,PROMETHAZINE TABLET 25 MG / EMIN,CIPLA LTD.,1.93,Dec-2025,19.33/10 TABLET,3,PROGENE,10,34.00,3.40,PSYCORMEDIES
PHOLCODINE & PROMETHAZINE,,EMIN 25 MG TABLET 10,EMIN 25 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-25T18:26:33,PROMETHAZINE TABLET 25 MG / EMIN,CIPLA LTD.,1.93,Dec-2025,19.33/10 TABLET,4,NORGIC,10,34.41,3.44,KIVI LABS LTD
PHOLCODINE & PROMETHAZINE,,EMIN 25 MG TABLET 10,EMIN 25 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-25T18:26:33,PROMETHAZINE TABLET 25 MG / EMIN,CIPLA LTD.,1.93,Dec-2025,19.33/10 TABLET,5,PROMETH,10,36.68,3.67,D.D PHARMACEUTICALS
PHOLCODINE & PROMETHAZINE,,EMIN 25 MG TABLET 10,EMIN 25 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-25T18:26:33,PROMETHAZINE TABLET 25 MG / EMIN,CIPLA LTD.,1.93,Dec-2025,19.33/10 TABLET,6,VOMIBREK,10,46.50,4.65,SMART LABORATORIES PVT LTD
PHOLCODINE & PROMETHAZINE,,EMIN 25 MG TABLET 10,EMIN 25 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-25T18:26:33,PROMETHAZINE TABLET 25 MG / EMIN,CIPLA LTD.,1.93,Dec-2025,19.33/10 TABLET,7,PHENERGAN,10,57.17,5.72,ABBOTT HEALTHCARE PVT. LTD
PHOLCODINE & PROMETHAZINE,,EMIN 25 MG TABLET 10,EMIN 25 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-25T18:26:33,PROMETHAZINE TABLET 25 MG / EMIN,CIPLA LTD.,1.93,Dec-2025,19.33/10 TABLET,8,AVOMINE,10,63.49,6.35,ABBOTT HEALTHCARE PVT. LTD
PHOLCODINE & PROMETHAZINE,,FUMA PLUS 5 MG SYRUP 60 ML,FUMA PLUS 5 MG SYRUP 60 ML,Non-Scheduled,Not Applicable,SYRUP,2026-01-25T18:26:35,PROMETHAZINE SYRUP 5 MG / FUMA PLUS,LEEFORD HEALTHCARE,0.39,Dec-2025,23.10/60 ML SYRUP,1,PHENAZINE,450,67.10,0.15,JAGSONPAL PHARMACEUTICALS LTD
PHOLCODINE & PROMETHAZINE,,FUMA PLUS 5 MG SYRUP 60 ML,FUMA PLUS 5 MG SYRUP 60 ML,Non-Scheduled,Not Applicable,SYRUP,2026-01-25T18:26:35,PROMETHAZINE SYRUP 5 MG / FUMA PLUS,LEEFORD HEALTHCARE,0.39,Dec-2025,23.10/60 ML SYRUP,2,PHENZEE,60,12.50,0.21,MENARINI INDIA
PHOLCODINE & PROMETHAZINE,,FUMA PLUS 5 MG SYRUP 60 ML,FUMA PLUS 5 MG SYRUP 60 ML,Non-Scheduled,Not Applicable,SYRUP,2026-01-25T18:26:35,PROMETHAZINE SYRUP 5 MG / FUMA PLUS,LEEFORD HEALTHCARE,0.39,Dec-2025,23.10/60 ML SYRUP,3,METHAZINE,450,99.00,0.22,FRANKLIN LABORATORIES (INDIA) PVT. LTD.
PHOLCODINE & PROMETHAZINE,,FUMA PLUS 5 MG SYRUP 60 ML,FUMA PLUS 5 MG SYRUP 60 ML,Non-Scheduled,Not Applicable,SYRUP,2026-01-25T18:26:35,PROMETHAZINE SYRUP 5 MG / FUMA PLUS,LEEFORD HEALTHCARE,0.39,Dec-2025,23.10/60 ML SYRUP,4,PREMAGAN,60,23.06,0.38,SHINE PHARMACEUTICALS LTD
PHOLCODINE & PROMETHAZINE,,FUMA PLUS 5 MG SYRUP 60 ML,FUMA PLUS 5 MG SYRUP 60 ML,Non-Scheduled,Not Applicable,SYRUP,2026-01-25T18:26:35,PROMETHAZINE SYRUP 5 MG / FUMA PLUS,LEEFORD HEALTHCARE,0.39,Dec-2025,23.10/60 ML SYRUP,5,PHENA KID,100,42.89,0.43,INDSWIFT LABORATORIES LTD.
PHOLCODINE & PROMETHAZINE,,FUMA PLUS 5 MG SYRUP 60 ML,FUMA PLUS 5 MG SYRUP 60 ML,Non-Scheduled,Not Applicable,SYRUP,2026-01-25T18:26:35,PROMETHAZINE SYRUP 5 MG / FUMA PLUS,LEEFORD HEALTHCARE,0.39,Dec-2025,23.10/60 ML SYRUP,6,PHENERGAN,100,57.23,0.57,ABBOTT HEALTHCARE PVT. LTD
PHOLCODINE & PROMETHAZINE,,FUMA PLUS 5 MG SYRUP 60 ML,FUMA PLUS 5 MG SYRUP 60 ML,Non-Scheduled,Not Applicable,SYRUP,2026-01-25T18:26:35,PROMETHAZINE SYRUP 5 MG / FUMA PLUS,LEEFORD HEALTHCARE,0.39,Dec-2025,23.10/60 ML SYRUP,7,PROMETHAZINE HCL,1,55.00,55.00,AGRAWAL PHARMACEUTICALS
PHOLCODINE & PROMETHAZINE,,METHAZINE 5 MG SYRUP 450 ML,METHAZINE 5 MG SYRUP 450 ML,Non-Scheduled,Not Applicable,SYRUP,2026-01-25T18:26:38,PROMETHAZINE SYRUP 5 MG / METHAZINE,FRANKLIN LABORATORIES (INDIA) PVT. LTD.,0.22,Dec-2025,99.00/450 ML SYRUP,1,PHENAZINE,450,67.10,0.15,JAGSONPAL PHARMACEUTICALS LTD
PHOLCODINE & PROMETHAZINE,,METHAZINE 5 MG SYRUP 450 ML,METHAZINE 5 MG SYRUP 450 ML,Non-Scheduled,Not Applicable,SYRUP,2026-01-25T18:26:38,PROMETHAZINE SYRUP 5 MG / METHAZINE,FRANKLIN LABORATORIES (INDIA) PVT. LTD.,0.22,Dec-2025,99.00/450 ML SYRUP,2,PHENZEE,60,12.50,0.21,MENARINI INDIA
PHOLCODINE & PROMETHAZINE,,METHAZINE 5 MG SYRUP 450 ML,METHAZINE 5 MG SYRUP 450 ML,Non-Scheduled,Not Applicable,SYRUP,2026-01-25T18:26:38,PROMETHAZINE SYRUP 5 MG / METHAZINE,FRANKLIN LABORATORIES (INDIA) PVT. LTD.,0.22,Dec-2025,99.00/450 ML SYRUP,3,PREMAGAN,60,23.06,0.38,SHINE PHARMACEUTICALS LTD
PHOLCODINE & PROMETHAZINE,,METHAZINE 5 MG SYRUP 450 ML,METHAZINE 5 MG SYRUP 450 ML,Non-Scheduled,Not Applicable,SYRUP,2026-01-25T18:26:38,PROMETHAZINE SYRUP 5 MG / METHAZINE,FRANKLIN LABORATORIES (INDIA) PVT. LTD.,0.22,Dec-2025,99.00/450 ML SYRUP,4,FUMA PLUS,60,23.10,0.39,LEEFORD HEALTHCARE
PHOLCODINE & PROMETHAZINE,,METHAZINE 5 MG SYRUP 450 ML,METHAZINE 5 MG SYRUP 450 ML,Non-Scheduled,Not Applicable,SYRUP,2026-01-25T18:26:38,PROMETHAZINE SYRUP 5 MG / METHAZINE,FRANKLIN LABORATORIES (INDIA) PVT. LTD.,0.22,Dec-2025,99.00/450 ML SYRUP,5,PHENA KID,100,42.89,0.43,INDSWIFT LABORATORIES LTD.
PHOLCODINE & PROMETHAZINE,,METHAZINE 5 MG SYRUP 450 ML,METHAZINE 5 MG SYRUP 450 ML,Non-Scheduled,Not Applicable,SYRUP,2026-01-25T18:26:38,PROMETHAZINE SYRUP 5 MG / METHAZINE,FRANKLIN LABORATORIES (INDIA) PVT. LTD.,0.22,Dec-2025,99.00/450 ML SYRUP,6,PHENERGAN,100,57.23,0.57,ABBOTT HEALTHCARE PVT. LTD
PHOLCODINE & PROMETHAZINE,,METHAZINE 5 MG SYRUP 450 ML,METHAZINE 5 MG SYRUP 450 ML,Non-Scheduled,Not Applicable,SYRUP,2026-01-25T18:26:38,PROMETHAZINE SYRUP 5 MG / METHAZINE,FRANKLIN LABORATORIES (INDIA) PVT. LTD.,0.22,Dec-2025,99.00/450 ML SYRUP,7,PROMETHAZINE HCL,1,55.00,55.00,AGRAWAL PHARMACEUTICALS
