FormulationInput,SNo,MedicineName,Status,CeilingPrice,Unit,MRP_Unit,CapturedAt,Formulation_Brand,CompanyName_Header,MRP_Unit_Header,MRP_AsOnDate,MRP_Header,Sub_SNo,Sub_BrandName,Sub_PackSize,Sub_MRP,Sub_MRP_Unit,Sub_CompanyName
POTASSIUM PHOSPHATE & SODIUM ALGINATE,,ACIFIX RAFT SYRUP 200 ML,ACIFIX RAFT SYRUP 200 ML,Non-Scheduled,Not Applicable,SYRUP,2026-01-25T21:36:35,CALCIUM CARBONATE + SODIUM ALGINATE + SODIUM BICARBONATE SYRUP / ACIFIX RAFT,MOREPEN LABORATORIES LIMITED,1.05,Dec-2025,210.00/200 ML SYRUP,1,DISPERAFT,200,195.94,0.98,MACLEODS PHARMACEUTICALS PVT.LTD
POTASSIUM PHOSPHATE & SODIUM ALGINATE,,ACIFIX RAFT SYRUP 200 ML,ACIFIX RAFT SYRUP 200 ML,Non-Scheduled,Not Applicable,SYRUP,2026-01-25T21:36:35,CALCIUM CARBONATE + SODIUM ALGINATE + SODIUM BICARBONATE SYRUP / ACIFIX RAFT,MOREPEN LABORATORIES LIMITED,1.05,Dec-2025,210.00/200 ML SYRUP,2,EXCERAFT,200,209.81,1.05,ALEMBIC LTD
POTASSIUM PHOSPHATE & SODIUM ALGINATE,,ACIFIX RAFT SYRUP 200 ML,ACIFIX RAFT SYRUP 200 ML,Non-Scheduled,Not Applicable,SYRUP,2026-01-25T21:36:35,CALCIUM CARBONATE + SODIUM ALGINATE + SODIUM BICARBONATE SYRUP / ACIFIX RAFT,MOREPEN LABORATORIES LIMITED,1.05,Dec-2025,210.00/200 ML SYRUP,3,PANTOFIRM,200,220.00,1.10,MATIAS HEALTHCARE PVT.LTD
POTASSIUM PHOSPHATE & SODIUM ALGINATE,,ALGIDUO 80/250/133.5 MG SUSPENSION 150 ML,ALGIDUO 80/250/133.5 MG SUSPENSION 150 ML,Non-Scheduled,Not Applicable,SUSPENSION,2026-01-25T21:36:38,CALCIUM CARBONATE + SODIUM ALGINATE + SODIUM BICARBONATE SYRUP / ACIFIX RAFT,MOREPEN LABORATORIES LIMITED,1.05,Dec-2025,210.00/200 ML SYRUP,1,DISPERAFT,200,195.94,0.98,MACLEODS PHARMACEUTICALS PVT.LTD
POTASSIUM PHOSPHATE & SODIUM ALGINATE,,ALGIDUO 80/250/133.5 MG SUSPENSION 150 ML,ALGIDUO 80/250/133.5 MG SUSPENSION 150 ML,Non-Scheduled,Not Applicable,SUSPENSION,2026-01-25T21:36:38,CALCIUM CARBONATE + SODIUM ALGINATE + SODIUM BICARBONATE SYRUP / ACIFIX RAFT,MOREPEN LABORATORIES LIMITED,1.05,Dec-2025,210.00/200 ML SYRUP,2,EXCERAFT,200,209.81,1.05,ALEMBIC LTD
POTASSIUM PHOSPHATE & SODIUM ALGINATE,,ALGIDUO 80/250/133.5 MG SUSPENSION 150 ML,ALGIDUO 80/250/133.5 MG SUSPENSION 150 ML,Non-Scheduled,Not Applicable,SUSPENSION,2026-01-25T21:36:38,CALCIUM CARBONATE + SODIUM ALGINATE + SODIUM BICARBONATE SYRUP / ACIFIX RAFT,MOREPEN LABORATORIES LIMITED,1.05,Dec-2025,210.00/200 ML SYRUP,3,PANTOFIRM,200,220.00,1.10,MATIAS HEALTHCARE PVT.LTD
POTASSIUM PHOSPHATE & SODIUM ALGINATE,,ALGIDUO SF 80/250/133.5 MG SYRUP 150 ML,ALGIDUO SF 80/250/133.5 MG SYRUP 150 ML,Non-Scheduled,Not Applicable,SYRUP,2026-01-25T21:36:40,CALCIUM CARBONATE + SODIUM ALGINATE + SODIUM BICARBONATE SYRUP / ACIFIX RAFT,MOREPEN LABORATORIES LIMITED,1.05,Dec-2025,210.00/200 ML SYRUP,1,DISPERAFT,200,195.94,0.98,MACLEODS PHARMACEUTICALS PVT.LTD
POTASSIUM PHOSPHATE & SODIUM ALGINATE,,ALGIDUO SF 80/250/133.5 MG SYRUP 150 ML,ALGIDUO SF 80/250/133.5 MG SYRUP 150 ML,Non-Scheduled,Not Applicable,SYRUP,2026-01-25T21:36:40,CALCIUM CARBONATE + SODIUM ALGINATE + SODIUM BICARBONATE SYRUP / ACIFIX RAFT,MOREPEN LABORATORIES LIMITED,1.05,Dec-2025,210.00/200 ML SYRUP,2,EXCERAFT,200,209.81,1.05,ALEMBIC LTD
POTASSIUM PHOSPHATE & SODIUM ALGINATE,,ALGIDUO SF 80/250/133.5 MG SYRUP 150 ML,ALGIDUO SF 80/250/133.5 MG SYRUP 150 ML,Non-Scheduled,Not Applicable,SYRUP,2026-01-25T21:36:40,CALCIUM CARBONATE + SODIUM ALGINATE + SODIUM BICARBONATE SYRUP / ACIFIX RAFT,MOREPEN LABORATORIES LIMITED,1.05,Dec-2025,210.00/200 ML SYRUP,3,PANTOFIRM,200,220.00,1.10,MATIAS HEALTHCARE PVT.LTD
POTASSIUM PHOSPHATE & SODIUM ALGINATE,,ALGILINE SUSPENSION 150 ML,ALGILINE SUSPENSION 150 ML,Non-Scheduled,Not Applicable,SUSPENSION,2026-01-25T21:36:42,CALCIUM CARBONATE + SODIUM ALGINATE + SODIUM BICARBONATE SUSPENSION / ALGILINE,AJANTA PHARMA LTD,1.00,Dec-2025,150.00/150 ML SUSPENSION,1,ZACIRAFT PLUS,200,178.57,0.89,GODDRES PHARMACEUTICALS LTD
