FormulationInput,SNo,MedicineName,Status,CeilingPrice,Unit,MRP_Unit,CapturedAt,Formulation_Brand,CompanyName_Header,MRP_Unit_Header,MRP_AsOnDate,MRP_Header,Sub_SNo,Sub_BrandName,Sub_PackSize,Sub_MRP,Sub_MRP_Unit,Sub_CompanyName
SODIUM CHLORIDE & SODIUM CITRATE,,BIODRYL 138/14.08/1.14/57.03 MG SYRUP 100 ML,BIODRYL 138/14.08/1.14/57.03 MG SYRUP 100 ML,Non-Scheduled,Not Applicable,SYRUP,2026-01-25T19:53:26,AMMONIUM CHLORIDE + DIPHENHYDRAMINE + MENTHOL + SODIUM CITRATE SYRUP 138/14.08/1.14/57.03 MG / BIODRYL,ZYDUS HEALTHCARE LTD.,1.36,Dec-2025,135.94/100 ML SYRUP,1,TORDRYL,100,69.30,0.69,TORQUE PHARMACEUTICALS PVT LTD
SODIUM CHLORIDE & SODIUM CITRATE,,ESCODRYL SYRUP 100 ML,ESCODRYL SYRUP 100 ML,Non-Scheduled,Not Applicable,SYRUP,2026-01-25T19:53:29,AMMONIUM CHLORIDE + DIPHENHYDRAMINE + MENTHOL + SODIUM CITRATE SYRUP / ESCODRYL,KHANDELWAL LABORATORIES LTD,0.75,Dec-2025,75.00/100 ML SYRUP,1,NAKUFDRYL,100,16.25,0.16,ALKEM LABORATORIES LTD.
SODIUM CHLORIDE & SODIUM CITRATE,,ESCODRYL SYRUP 100 ML,ESCODRYL SYRUP 100 ML,Non-Scheduled,Not Applicable,SYRUP,2026-01-25T19:53:29,AMMONIUM CHLORIDE + DIPHENHYDRAMINE + MENTHOL + SODIUM CITRATE SYRUP / ESCODRYL,KHANDELWAL LABORATORIES LTD,0.75,Dec-2025,75.00/100 ML SYRUP,2,MOONDRYL,100,20.00,0.20,MOONSTAR LIFECARE PVT.LTD
SODIUM CHLORIDE & SODIUM CITRATE,,ESCODRYL SYRUP 100 ML,ESCODRYL SYRUP 100 ML,Non-Scheduled,Not Applicable,SYRUP,2026-01-25T19:53:29,AMMONIUM CHLORIDE + DIPHENHYDRAMINE + MENTHOL + SODIUM CITRATE SYRUP / ESCODRYL,KHANDELWAL LABORATORIES LTD,0.75,Dec-2025,75.00/100 ML SYRUP,3,PARVO COF P,100,56.55,0.57,JAGSONPAL PHARMACEUTICALS LTD
SODIUM CHLORIDE & SODIUM CITRATE,,ESCODRYL SYRUP 100 ML,ESCODRYL SYRUP 100 ML,Non-Scheduled,Not Applicable,SYRUP,2026-01-25T19:53:29,AMMONIUM CHLORIDE + DIPHENHYDRAMINE + MENTHOL + SODIUM CITRATE SYRUP / ESCODRYL,KHANDELWAL LABORATORIES LTD,0.75,Dec-2025,75.00/100 ML SYRUP,4,KEMODRYL,100,64.00,0.64,ALKEM LABORATORIES LTD.
SODIUM CHLORIDE & SODIUM CITRATE,,ESCODRYL SYRUP 100 ML,ESCODRYL SYRUP 100 ML,Non-Scheduled,Not Applicable,SYRUP,2026-01-25T19:53:29,AMMONIUM CHLORIDE + DIPHENHYDRAMINE + MENTHOL + SODIUM CITRATE SYRUP / ESCODRYL,KHANDELWAL LABORATORIES LTD,0.75,Dec-2025,75.00/100 ML SYRUP,5,EXIL NEO,100,112.50,1.13,MEDOPHARM
SODIUM CHLORIDE & SODIUM CITRATE,,ESCODRYL SYRUP 100 ML,ESCODRYL SYRUP 100 ML,Non-Scheduled,Not Applicable,SYRUP,2026-01-25T19:53:29,AMMONIUM CHLORIDE + DIPHENHYDRAMINE + MENTHOL + SODIUM CITRATE SYRUP / ESCODRYL,KHANDELWAL LABORATORIES LTD,0.75,Dec-2025,75.00/100 ML SYRUP,6,OFFDRYL COUGH,100,112.50,1.13,HEALING PHARMA INDIA PVT.LTD
SODIUM CHLORIDE & SODIUM CITRATE,,ESCODRYL SYRUP 100 ML,ESCODRYL SYRUP 100 ML,Non-Scheduled,Not Applicable,SYRUP,2026-01-25T19:53:29,AMMONIUM CHLORIDE + DIPHENHYDRAMINE + MENTHOL + SODIUM CITRATE SYRUP / ESCODRYL,KHANDELWAL LABORATORIES LTD,0.75,Dec-2025,75.00/100 ML SYRUP,7,KUFDRYL,100,119.53,1.20,INTAS PHARMACEUTICALS LTD
SODIUM CHLORIDE & SODIUM CITRATE,,EXIL NEO SYRUP 100 ML,EXIL NEO SYRUP 100 ML,Non-Scheduled,Not Applicable,SYRUP,2026-01-25T19:53:31,AMMONIUM CHLORIDE + DIPHENHYDRAMINE + MENTHOL + SODIUM CITRATE SYRUP / EXIL NEO,MEDOPHARM,1.13,Dec-2025,112.50/100 ML SYRUP,1,NAKUFDRYL,100,16.25,0.16,ALKEM LABORATORIES LTD.
SODIUM CHLORIDE & SODIUM CITRATE,,EXIL NEO SYRUP 100 ML,EXIL NEO SYRUP 100 ML,Non-Scheduled,Not Applicable,SYRUP,2026-01-25T19:53:31,AMMONIUM CHLORIDE + DIPHENHYDRAMINE + MENTHOL + SODIUM CITRATE SYRUP / EXIL NEO,MEDOPHARM,1.13,Dec-2025,112.50/100 ML SYRUP,2,MOONDRYL,100,20.00,0.20,MOONSTAR LIFECARE PVT.LTD
SODIUM CHLORIDE & SODIUM CITRATE,,EXIL NEO SYRUP 100 ML,EXIL NEO SYRUP 100 ML,Non-Scheduled,Not Applicable,SYRUP,2026-01-25T19:53:31,AMMONIUM CHLORIDE + DIPHENHYDRAMINE + MENTHOL + SODIUM CITRATE SYRUP / EXIL NEO,MEDOPHARM,1.13,Dec-2025,112.50/100 ML SYRUP,3,PARVO COF P,100,56.55,0.57,JAGSONPAL PHARMACEUTICALS LTD
SODIUM CHLORIDE & SODIUM CITRATE,,EXIL NEO SYRUP 100 ML,EXIL NEO SYRUP 100 ML,Non-Scheduled,Not Applicable,SYRUP,2026-01-25T19:53:31,AMMONIUM CHLORIDE + DIPHENHYDRAMINE + MENTHOL + SODIUM CITRATE SYRUP / EXIL NEO,MEDOPHARM,1.13,Dec-2025,112.50/100 ML SYRUP,4,KEMODRYL,100,64.00,0.64,ALKEM LABORATORIES LTD.
SODIUM CHLORIDE & SODIUM CITRATE,,EXIL NEO SYRUP 100 ML,EXIL NEO SYRUP 100 ML,Non-Scheduled,Not Applicable,SYRUP,2026-01-25T19:53:31,AMMONIUM CHLORIDE + DIPHENHYDRAMINE + MENTHOL + SODIUM CITRATE SYRUP / EXIL NEO,MEDOPHARM,1.13,Dec-2025,112.50/100 ML SYRUP,5,ESCODRYL,100,75.00,0.75,KHANDELWAL LABORATORIES LTD
SODIUM CHLORIDE & SODIUM CITRATE,,EXIL NEO SYRUP 100 ML,EXIL NEO SYRUP 100 ML,Non-Scheduled,Not Applicable,SYRUP,2026-01-25T19:53:31,AMMONIUM CHLORIDE + DIPHENHYDRAMINE + MENTHOL + SODIUM CITRATE SYRUP / EXIL NEO,MEDOPHARM,1.13,Dec-2025,112.50/100 ML SYRUP,6,OFFDRYL COUGH,100,112.50,1.13,HEALING PHARMA INDIA PVT.LTD
SODIUM CHLORIDE & SODIUM CITRATE,,EXIL NEO SYRUP 100 ML,EXIL NEO SYRUP 100 ML,Non-Scheduled,Not Applicable,SYRUP,2026-01-25T19:53:31,AMMONIUM CHLORIDE + DIPHENHYDRAMINE + MENTHOL + SODIUM CITRATE SYRUP / EXIL NEO,MEDOPHARM,1.13,Dec-2025,112.50/100 ML SYRUP,7,KUFDRYL,100,119.53,1.20,INTAS PHARMACEUTICALS LTD
SODIUM CHLORIDE & SODIUM CITRATE,,GULFADRYL COUGH 138/14.08/1.14/57.03 MG EXPECTORANT 150 ML,GULFADRYL COUGH 138/14.08/1.14/57.03 MG EXPECTORANT 150 ML,Non-Scheduled,Not Applicable,EXPECTORANT,2026-01-25T19:53:33,AMMONIUM CHLORIDE + DIPHENHYDRAMINE + MENTHOL + SODIUM CITRATE EXPECTORANT 138/14.08/1.14/57.03 MG / GULFADRYL,GALPHA LABORATORIES LTD,0.09,Dec-2025,13.50/150 ML EXPECTORANT,,,,,,
SODIUM CHLORIDE & SODIUM CITRATE,,KEMODRYL SYRUP 100 ML,KEMODRYL SYRUP 100 ML,Non-Scheduled,Not Applicable,SYRUP,2026-01-25T19:53:36,AMMONIUM CHLORIDE + DIPHENHYDRAMINE + MENTHOL + SODIUM CITRATE SYRUP / KEMODRYL,ALKEM LABORATORIES LTD.,0.64,Dec-2025,64.00/100 ML SYRUP,1,NAKUFDRYL,100,16.25,0.16,ALKEM LABORATORIES LTD.
SODIUM CHLORIDE & SODIUM CITRATE,,KEMODRYL SYRUP 100 ML,KEMODRYL SYRUP 100 ML,Non-Scheduled,Not Applicable,SYRUP,2026-01-25T19:53:36,AMMONIUM CHLORIDE + DIPHENHYDRAMINE + MENTHOL + SODIUM CITRATE SYRUP / KEMODRYL,ALKEM LABORATORIES LTD.,0.64,Dec-2025,64.00/100 ML SYRUP,2,MOONDRYL,100,20.00,0.20,MOONSTAR LIFECARE PVT.LTD
SODIUM CHLORIDE & SODIUM CITRATE,,KEMODRYL SYRUP 100 ML,KEMODRYL SYRUP 100 ML,Non-Scheduled,Not Applicable,SYRUP,2026-01-25T19:53:36,AMMONIUM CHLORIDE + DIPHENHYDRAMINE + MENTHOL + SODIUM CITRATE SYRUP / KEMODRYL,ALKEM LABORATORIES LTD.,0.64,Dec-2025,64.00/100 ML SYRUP,3,PARVO COF P,100,56.55,0.57,JAGSONPAL PHARMACEUTICALS LTD
SODIUM CHLORIDE & SODIUM CITRATE,,KEMODRYL SYRUP 100 ML,KEMODRYL SYRUP 100 ML,Non-Scheduled,Not Applicable,SYRUP,2026-01-25T19:53:36,AMMONIUM CHLORIDE + DIPHENHYDRAMINE + MENTHOL + SODIUM CITRATE SYRUP / KEMODRYL,ALKEM LABORATORIES LTD.,0.64,Dec-2025,64.00/100 ML SYRUP,4,ESCODRYL,100,75.00,0.75,KHANDELWAL LABORATORIES LTD
SODIUM CHLORIDE & SODIUM CITRATE,,KEMODRYL SYRUP 100 ML,KEMODRYL SYRUP 100 ML,Non-Scheduled,Not Applicable,SYRUP,2026-01-25T19:53:36,AMMONIUM CHLORIDE + DIPHENHYDRAMINE + MENTHOL + SODIUM CITRATE SYRUP / KEMODRYL,ALKEM LABORATORIES LTD.,0.64,Dec-2025,64.00/100 ML SYRUP,5,EXIL NEO,100,112.50,1.13,MEDOPHARM
SODIUM CHLORIDE & SODIUM CITRATE,,KEMODRYL SYRUP 100 ML,KEMODRYL SYRUP 100 ML,Non-Scheduled,Not Applicable,SYRUP,2026-01-25T19:53:36,AMMONIUM CHLORIDE + DIPHENHYDRAMINE + MENTHOL + SODIUM CITRATE SYRUP / KEMODRYL,ALKEM LABORATORIES LTD.,0.64,Dec-2025,64.00/100 ML SYRUP,6,OFFDRYL COUGH,100,112.50,1.13,HEALING PHARMA INDIA PVT.LTD
SODIUM CHLORIDE & SODIUM CITRATE,,KEMODRYL SYRUP 100 ML,KEMODRYL SYRUP 100 ML,Non-Scheduled,Not Applicable,SYRUP,2026-01-25T19:53:36,AMMONIUM CHLORIDE + DIPHENHYDRAMINE + MENTHOL + SODIUM CITRATE SYRUP / KEMODRYL,ALKEM LABORATORIES LTD.,0.64,Dec-2025,64.00/100 ML SYRUP,7,KUFDRYL,100,119.53,1.20,INTAS PHARMACEUTICALS LTD
SODIUM CHLORIDE & SODIUM CITRATE,,KUFDRYL SYRUP 100 ML,KUFDRYL SYRUP 100 ML,Non-Scheduled,Not Applicable,SYRUP,2026-01-25T19:53:38,AMMONIUM CHLORIDE + DIPHENHYDRAMINE + MENTHOL + SODIUM CITRATE SYRUP / KUFDRYL,INTAS PHARMACEUTICALS LTD,1.20,Dec-2025,119.53/100 ML SYRUP,1,NAKUFDRYL,100,16.25,0.16,ALKEM LABORATORIES LTD.
SODIUM CHLORIDE & SODIUM CITRATE,,KUFDRYL SYRUP 100 ML,KUFDRYL SYRUP 100 ML,Non-Scheduled,Not Applicable,SYRUP,2026-01-25T19:53:38,AMMONIUM CHLORIDE + DIPHENHYDRAMINE + MENTHOL + SODIUM CITRATE SYRUP / KUFDRYL,INTAS PHARMACEUTICALS LTD,1.20,Dec-2025,119.53/100 ML SYRUP,2,MOONDRYL,100,20.00,0.20,MOONSTAR LIFECARE PVT.LTD
SODIUM CHLORIDE & SODIUM CITRATE,,KUFDRYL SYRUP 100 ML,KUFDRYL SYRUP 100 ML,Non-Scheduled,Not Applicable,SYRUP,2026-01-25T19:53:38,AMMONIUM CHLORIDE + DIPHENHYDRAMINE + MENTHOL + SODIUM CITRATE SYRUP / KUFDRYL,INTAS PHARMACEUTICALS LTD,1.20,Dec-2025,119.53/100 ML SYRUP,3,PARVO COF P,100,56.55,0.57,JAGSONPAL PHARMACEUTICALS LTD
SODIUM CHLORIDE & SODIUM CITRATE,,KUFDRYL SYRUP 100 ML,KUFDRYL SYRUP 100 ML,Non-Scheduled,Not Applicable,SYRUP,2026-01-25T19:53:38,AMMONIUM CHLORIDE + DIPHENHYDRAMINE + MENTHOL + SODIUM CITRATE SYRUP / KUFDRYL,INTAS PHARMACEUTICALS LTD,1.20,Dec-2025,119.53/100 ML SYRUP,4,KEMODRYL,100,64.00,0.64,ALKEM LABORATORIES LTD.
SODIUM CHLORIDE & SODIUM CITRATE,,KUFDRYL SYRUP 100 ML,KUFDRYL SYRUP 100 ML,Non-Scheduled,Not Applicable,SYRUP,2026-01-25T19:53:38,AMMONIUM CHLORIDE + DIPHENHYDRAMINE + MENTHOL + SODIUM CITRATE SYRUP / KUFDRYL,INTAS PHARMACEUTICALS LTD,1.20,Dec-2025,119.53/100 ML SYRUP,5,ESCODRYL,100,75.00,0.75,KHANDELWAL LABORATORIES LTD
SODIUM CHLORIDE & SODIUM CITRATE,,KUFDRYL SYRUP 100 ML,KUFDRYL SYRUP 100 ML,Non-Scheduled,Not Applicable,SYRUP,2026-01-25T19:53:38,AMMONIUM CHLORIDE + DIPHENHYDRAMINE + MENTHOL + SODIUM CITRATE SYRUP / KUFDRYL,INTAS PHARMACEUTICALS LTD,1.20,Dec-2025,119.53/100 ML SYRUP,6,EXIL NEO,100,112.50,1.13,MEDOPHARM
