PHARMA SAHI DAAM,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,S.No.,Medicine Name,Status,Ceiling Price (₹),Unit,M.R.P (₹)/Unit
,1,BACTOFURAN 25 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,73.07/10 TABLET
,2,FURAKEM 100 MG TABLET MR 10,Non-Scheduled,Not Applicable,TABLET MR,79.00/10 TABLET MR
,3,FURENT 100 MG TABLET 10,Scheduled,8.25,TABLET,80.97/10 TABLET
,4,FUTI SR 100 MG TABLET SR 10,Non-Scheduled,Not Applicable,TABLET SR,86.52/10 TABLET SR
,5,HETNIT 100 MG TABLET 14,Scheduled,8.25,TABLET,108.00/14 TABLET
,6,INFURA 100 MG TABLET 10,Scheduled,8.25,TABLET,86.46/10 TABLET
,7,INFURAN NF 100 MG TABLET 10,Scheduled,8.25,TABLET,86.27/10 TABLET
,8,MACFURAN 100 MG CAPSULE 14,Scheduled,8.79,CAPSULE,129.20/14 CAPSULE
,9,MAHANIF TABLET 10,Non-Scheduled,Not Applicable,TABLET,117.19/10 TABLET
,10,MARTIFUR 100 MG TABLET 14,Scheduled,8.25,TABLET,85.10/14 TABLET
,11,MARTIFUR MR 100 MG TABLET MR 10,Non-Scheduled,Not Applicable,TABLET MR,199.05/10 TABLET MR
,12,MARTIFUR MR 50 MG TABLET MR 10,Non-Scheduled,Not Applicable,TABLET MR,142.69/10 TABLET MR
,13,NEPHROCOOL 100 MG TABLET 10,Scheduled,8.25,TABLET,75.00/10 TABLET
,14,NIFCLARE 100 MG TABLET 14,Scheduled,8.25,TABLET,119.05/14 TABLET
,15,NIFNEXT 100 MG TABLET SR 10,Non-Scheduled,Not Applicable,TABLET SR,85.05/10 TABLET SR
,16,NIFTAS 100 MG TABLET 14,Scheduled,8.25,TABLET,121.25/14 TABLET
,17,NIFTAS 100 MG TABLET SR 10,Non-Scheduled,Not Applicable,TABLET SR,147.00/10 TABLET SR
,18,NIFTAS 50 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,86.48/10 TABLET
,19,NIFTIKIND 100 MG TABLET 14,Scheduled,8.25,TABLET,119.21/14 TABLET
,20,NIFTRAN 100 MG CAPSULE 10,Scheduled,8.79,CAPSULE,92.29/10 CAPSULE
,21,NIFTRAN 100 MG CAPSULE 30,Scheduled,8.79,CAPSULE,276.88/30 CAPSULE
,22,NIFTRAN-CP 100 MG TABLET 30,Scheduled,8.25,TABLET,276.88/30 TABLET
,23,NIFTY 100 MG TABLET SR 10,Non-Scheduled,Not Applicable,TABLET SR,121.25/10 TABLET SR
,24,NIFTY SR 100 MG TABLET 14,Scheduled,8.25,TABLET,121.25/14 TABLET
,25,NIFUTIN 100 MG TABLET SR 10,Non-Scheduled,Not Applicable,TABLET SR,86.62/10 TABLET SR
,26,NIT BID SR 100 MG TABLET 10,Scheduled,8.25,TABLET,86.52/10 TABLET
,27,NITRO 100 MG CAPSULE 10,Scheduled,8.79,CAPSULE,80.00/10 CAPSULE
,28,NITROBACT 100 MG CAPSULE 10,Scheduled,8.79,CAPSULE,92.28/10 CAPSULE
,29,NITROBEST 100 MG TABLET 10,Scheduled,8.25,TABLET,84.55/10 TABLET
,30,NITROFON 100 MG TABLET 10,Scheduled,8.25,TABLET,84.84/10 TABLET
,31,NITROFUR 100 MG TABLET SR 14,Non-Scheduled,Not Applicable,TABLET SR,121.25/14 TABLET SR
,32,NITROMAX 100 MG TABLET 10,Scheduled,8.25,TABLET,89.80/10 TABLET
