PHARMA SAHI DAAM,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,S.No.,Medicine Name,Status,Ceiling Price (₹),Unit,M.R.P (₹)/Unit
,1,AMREE CAPSULE 10,Non-Scheduled,Not Applicable,CAPSULE,20.00/10 CAPSULE
,2,AMREE PLUS TABLET 20,Non-Scheduled,Not Applicable,TABLET,154.00/20 TABLET
,3,AMREE PLUS TABLET 60,Non-Scheduled,Not Applicable,TABLET,379.69/60 TABLET
,4,AYURSULIN CAPSULE 10,Non-Scheduled,Not Applicable,CAPSULE,318.00/10 CAPSULE
,5,COGNITRUST SOFTGEL CAPSULE 15,Non-Scheduled,Not Applicable,SOFTGEL CAPSULE,278.95/15 SOFTGEL CAPSULE
,6,COGNITRUST SYRUP 200 ML,Non-Scheduled,Not Applicable,SYRUP,613.96/200 ML SYRUP
,7,CVDIET SUGARFREE POWDER 400 GM,Non-Scheduled,Not Applicable,ORAL POWDER,454.13/400 GM ORAL POWDER
,8,D GARD TABLET 10,Non-Scheduled,Not Applicable,TABLET,60.00/10 TABLET
,9,DIABECON DS TABLET 60,Non-Scheduled,Not Applicable,TABLET,285.00/60 TABLET
,10,DIABECON TABLET 60,Non-Scheduled,Not Applicable,TABLET,178.13/60 TABLET
,11,DOLABI TABLET 45,Non-Scheduled,Not Applicable,TABLET,93.75/45 TABLET
,12,KARELA TABLET 60,Non-Scheduled,Not Applicable,TABLET,300.00/60 TABLET
,13,MESHASHRINGI 250 MG TABLET 60,Non-Scheduled,Not Applicable,TABLET,250.00/60 TABLET
