PHARMA SAHI DAAM,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,S.No.,Medicine Name,Status,Ceiling Price (₹),Unit,M.R.P (₹)/Unit
,1,ACIFIX RAFT SYRUP 200 ML,Non-Scheduled,Not Applicable,SYRUP,210.00/200 ML SYRUP
,2,ALGIDUO 80/250/133.5 MG SUSPENSION 150 ML,Non-Scheduled,Not Applicable,SUSPENSION,175.15/150 ML SUSPENSION
,3,ALGIDUO SF 80/250/133.5 MG SYRUP 150 ML,Non-Scheduled,Not Applicable,SYRUP,175.15/150 ML SYRUP
,4,ALGILINE SUSPENSION 150 ML,Non-Scheduled,Not Applicable,SUSPENSION,150.00/150 ML SUSPENSION
,5,ALGISCON 187.5/250/106.5 MG TABLET 9,Non-Scheduled,Not Applicable,TABLET,71.02/9 TABLET
,6,ALGISCON 80/250/133.5 MG SUSPENSION 150 ML,Non-Scheduled,Not Applicable,SUSPENSION,163.59/150 ML SUSPENSION
,7,ALGISOD 80/250/133.5 MG SUSPENSION 100 ML,Non-Scheduled,Not Applicable,ORAL SUSPENSION,125.00/100 ML ORAL SUSPENSION
,8,ALGISOD ORAL 80/250/133.5 MG SUSPENSION 150 ML,Non-Scheduled,Not Applicable,ORAL SUSPENSION,161.25/150 ML ORAL SUSPENSION
,9,ARORAFT 80/250/133.5 MG SUSPENSION 200 ML,Non-Scheduled,Not Applicable,ORAL SUSPENSION,225.00/200 ML ORAL SUSPENSION
,10,CHILRAFT 80/250/133.5 MG SUSPENSION 150 ML,Non-Scheduled,Not Applicable,SUSPENSION,135.94/150 ML SUSPENSION
,11,DDRAFT 80/250/133.5 MG SYRUP 200 ML,Non-Scheduled,Not Applicable,SYRUP,206.25/200 ML SYRUP
,12,DIGERAFT 187.5/250/106.5 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,87.19/10 TABLET
,13,DIGERAFT 80/250/133.5 MG SUSPENSION 150 ML,Non-Scheduled,Not Applicable,SUSPENSION,199.65/150 ML SUSPENSION
,14,DIGERAFT 80/250/133.5 MG SUSPENSION 200 ML,Non-Scheduled,Not Applicable,SUSPENSION,274.51/200 ML SUSPENSION
,15,DIGERAFT PLUS 325/500/213 MG SUSPENSION 150 ML,Non-Scheduled,Not Applicable,SUSPENSION,214.50/150 ML SUSPENSION
,16,DIGERAFT PLUS 325/500/213 MG SUSPENSION 200 ML,Non-Scheduled,Not Applicable,SUSPENSION,294.93/200 ML SUSPENSION
,17,DIOVOL R 80/250/133.5 MG SUSPENSION 150 ML,Non-Scheduled,Not Applicable,ORAL SUSPENSION,186.56/150 ML ORAL SUSPENSION
,18,DIOVOL R CHEWABLE 187.5/250/106.5 MG TABLET 9,Non-Scheduled,Not Applicable,TABLET,84.38/9 TABLET
,19,DISPERAFT PLUS SUSPENSION 200 ML,Non-Scheduled,Not Applicable,ORAL SUSPENSION,242.81/200 ML ORAL SUSPENSION
,20,DISPERAFT SYRUP 200 ML,Non-Scheduled,Not Applicable,SYRUP,195.94/200 ML SYRUP
,21,ESIRAFT 80/250/133.5 MG SYRUP 200 ML,Non-Scheduled,Not Applicable,SYRUP,185.61/200 ML SYRUP
,22,EVARAFT 80/250/133.5 MG SUSPENSION 150 ML,Non-Scheduled,Not Applicable,SUSPENSION,157.41/150 ML SUSPENSION
,23,EVARAFT 80/250/133.5 MG SUSPENSION 200 ML,Non-Scheduled,Not Applicable,SUSPENSION,209.81/200 ML SUSPENSION
,24,EXCERAFT 80/250/133.5 MG SUSPENSION 150 ML,Non-Scheduled,Not Applicable,ORAL SUSPENSION,157.36/150 ML ORAL SUSPENSION
,25,EXCERAFT SYRUP 200 ML,Non-Scheduled,Not Applicable,SYRUP,209.81/200 ML SYRUP
,26,GASPAZ ABC 80/250/133.5 MG SUSPENSION 200 ML,Non-Scheduled,Not Applicable,ORAL SUSPENSION,174.28/200 ML ORAL SUSPENSION
,27,GAVIRAFT 80/250/133.5 MG SUSPENSION 100 ML,Non-Scheduled,Not Applicable,SUSPENSION,108.00/100 ML SUSPENSION
,28,GAVIRAFT 80/250/133.5 MG SUSPENSION 200 ML,Non-Scheduled,Not Applicable,SUSPENSION,205.32/200 ML SUSPENSION
,29,GAVISCON (RECKITT) 80/250/133.5 MG SUSPENSION 150 ML,Non-Scheduled,Not Applicable,ORAL SUSPENSION,184.18/150 ML ORAL SUSPENSION
,30,GELRAFT 80/250/133.5 MG SUSPENSION 150 ML,Non-Scheduled,Not Applicable,ORAL SUSPENSION,170.15/150 ML ORAL SUSPENSION
,31,GELUSIL RAFT 80/250/133.5 MG SUSPENSION 200 ML,Non-Scheduled,Not Applicable,SUSPENSION,182.81/200 ML SUSPENSION
,32,GIRAFT SF MINT 80/250/133.5 MG SUSPENSION 150 ML,Non-Scheduled,Not Applicable,SUSPENSION,168.75/150 ML SUSPENSION
,33,HANCRAFT PLUS 325/500/213 MG SUSPENSION 200 ML,Non-Scheduled,Not Applicable,SUSPENSION,210.94/200 ML SUSPENSION
,34,HERAFT 80/250/133.5 MG SUSPENSION 150 ML,Non-Scheduled,Not Applicable,ORAL SUSPENSION,131.25/150 ML ORAL SUSPENSION
,35,ICERAFT 80/250/133.5 MG SUSPENSION 150 ML,Non-Scheduled,Not Applicable,SUSPENSION,139.69/150 ML SUSPENSION
,36,IMIRAFT 80/250/133.5 MG SUSPENSION 200 ML,Non-Scheduled,Not Applicable,SUSPENSION,186.56/200 ML SUSPENSION
,37,INSTARAFT 80/250/133.5 MG SUSPENSION 100 ML,Non-Scheduled,Not Applicable,ORAL SUSPENSION,102.00/100 ML ORAL SUSPENSION
,38,INSTARAFT 80/250/133.5 MG SUSPENSION 200 ML,Non-Scheduled,Not Applicable,ORAL SUSPENSION,210.94/200 ML ORAL SUSPENSION
,39,INSTARAFT CHEWABLE 187.5/250/106.5 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,86.25/10 TABLET
,40,INSTARAFT MINT 80/250/133.5 MG SUSPENSION 200 ML,Non-Scheduled,Not Applicable,SUSPENSION,210.94/200 ML SUSPENSION
,41,INSTARAFT MIXED BERRY 80/250/133.5 MG SUSPENSION 200 ML,Non-Scheduled,Not Applicable,ORAL SUSPENSION,201.56/200 ML ORAL SUSPENSION
,42,INSTART 80/250/133.5 MG SUSPENSION 150 ML,Non-Scheduled,Not Applicable,ORAL SUSPENSION,190.00/150 ML ORAL SUSPENSION
,43,MACRAFT 80/250/133.5 MG SUSPENSION 200 ML,Non-Scheduled,Not Applicable,ORAL SUSPENSION,195.94/200 ML ORAL SUSPENSION
,44,MACRAFT TABLET 10,Non-Scheduled,Not Applicable,TABLET,84.37/10 TABLET
,45,MAHARAFT 80/250/133.5 MG SUSPENSION 150 ML,Non-Scheduled,Not Applicable,SUSPENSION,175.31/150 ML SUSPENSION
,46,MEDOCID RF SUSPENSION 150 ML,Non-Scheduled,Not Applicable,ORAL SUSPENSION,140.63/150 ML ORAL SUSPENSION
,47,MEDRAFT 80/250/133.5 MG SUSPENSION 150 ML,Non-Scheduled,Not Applicable,SUSPENSION,140.63/150 ML SUSPENSION
,48,OZORAFT SUSPENSION 200 ML,Non-Scheduled,Not Applicable,SUSPENSION,182.81/200 ML SUSPENSION
,49,PAN RFT 80/250/133.5 MG SUSPENSION 200 ML,Non-Scheduled,Not Applicable,ORAL SUSPENSION,187.50/200 ML ORAL SUSPENSION
,50,PANTAKIND RAFT 80/250/133.5 MG SUSPENSION 100 ML,Non-Scheduled,Not Applicable,ORAL SUSPENSION,101.62/100 ML ORAL SUSPENSION
,51,PANTAKIND RAFT 80/250/133.5 MG SUSPENSION 200 ML,Non-Scheduled,Not Applicable,SUSPENSION,203.26/200 ML SUSPENSION
,52,PANTOFIRM RFT SYRUP 200 ML,Non-Scheduled,Not Applicable,SYRUP,220.00/200 ML SYRUP
,53,PEPFIX MINT FLAVOUR 80/250/133.5 MG SUSPENSION 200 ML,Non-Scheduled,Not Applicable,ORAL SUSPENSION,210.94/200 ML ORAL SUSPENSION
,54,PEPSIRAFT 80/250/133.5 MG SUSPENSION 170 ML,Non-Scheduled,Not Applicable,SUSPENSION,165.94/170 ML SUSPENSION
,55,PNZ RAFT SUSPENSION 150 ML,Non-Scheduled,Not Applicable,ORAL SUSPENSION,173.00/150 ML ORAL SUSPENSION
,56,RABERAFT 80/250/133.5 MG SUSPENSION 200 ML,Non-Scheduled,Not Applicable,SUSPENSION,178.13/200 ML SUSPENSION
,57,RACIRAFT 80/250/133.5 MG SUSPENSION 200 ML,Non-Scheduled,Not Applicable,SUSPENSION,210.94/200 ML SUSPENSION
,58,RACIRAFT CHEWABLE TABLET 10,Non-Scheduled,Not Applicable,TABLET,86.25/10 TABLET
,59,RACIRAFT MIXED BERRY 80/250/133.5 MG SUSPENSION 200 ML,Non-Scheduled,Not Applicable,SUSPENSION,210.94/200 ML SUSPENSION
,60,RAFTCARE SUSPENSION 150 ML,Non-Scheduled,Not Applicable,SUSPENSION,196.00/150 ML SUSPENSION
,61,RAFTIN 80/250/133.5 MG SUSPENSION 200 ML,Non-Scheduled,Not Applicable,SUSPENSION,206.25/200 ML SUSPENSION
,62,RANIDOM RAFT ORAL 80/250/133.5 MG SUSPENSION 200 ML,Non-Scheduled,Not Applicable,SUSPENSION,203.26/200 ML SUSPENSION
,63,RANRAFT 80/250/133.5 MG SUSPENSION 150 ML,Non-Scheduled,Not Applicable,SUSPENSION,237.06/150 ML SUSPENSION
,64,RANRAFT 80/250/133.5 MG SUSPENSION 200 ML,Non-Scheduled,Not Applicable,SUSPENSION,237.07/200 ML SUSPENSION
,65,RANRAFT TABLET 10,Non-Scheduled,Not Applicable,TABLET,92.81/10 TABLET
,66,RAPIDRAFT 80/250/133.5 MG SYRUP 150 ML,Non-Scheduled,Not Applicable,SYRUP,150.00/150 ML SYRUP
,67,SIMCRAFT 80/250/133.5 MG SYRUP 200 ML,Non-Scheduled,Not Applicable,SYRUP,187.50/200 ML SYRUP
,68,SOLARAFT 80/250/133.5 MG SUSPENSION 150 ML,Non-Scheduled,Not Applicable,SUSPENSION,150.00/150 ML SUSPENSION
,69,TRICAINE RAFT 80/250/133.5 MG SUSPENSION 150 ML,Non-Scheduled,Not Applicable,SUSPENSION,144.37/150 ML SUSPENSION
,70,ULCRAFT 80/250/133.5 MG SUSPENSION 200 ML,Non-Scheduled,Not Applicable,ORAL SUSPENSION,186.56/200 ML ORAL SUSPENSION
,71,ULGERAFT 80/250/133.5 MG SUSPENSION 150 ML,Non-Scheduled,Not Applicable,SUSPENSION,157.41/150 ML SUSPENSION
,72,ULGERAFT PEPPERMINT 80/250/133.5 MG SUSPENSION 200 ML,Non-Scheduled,Not Applicable,ORAL SUSPENSION,209.81/200 ML ORAL SUSPENSION
,73,ULPAN RFT 80/250/133.5 MG SUSPENSION 10 ML,Non-Scheduled,Not Applicable,ORAL SUSPENSION,15.47/10 ML ORAL SUSPENSION
,74,ULPAN RFT 80/250/133.5 MG SUSPENSION 150 ML,Non-Scheduled,Not Applicable,SUSPENSION,158.81/150 ML SUSPENSION
,75,ULTIZAPP 80/250/133.5 MG SUSPENSION 150 ML,Non-Scheduled,Not Applicable,SUSPENSION,149.95/150 ML SUSPENSION
,76,UNIRAFT 80/250/133.5 MG SUSPENSION 150 ML,Non-Scheduled,Not Applicable,SUSPENSION,192.80/150 ML SUSPENSION
,77,VAYURAFT PEPPERMINT SF 80/250/133.5 MG SUSPENSION 150 ML,Non-Scheduled,Not Applicable,ORAL SUSPENSION,146.25/150 ML ORAL SUSPENSION
,78,WOMERAFT 80/250/133.5 MG SUSPENSION 200 ML,Non-Scheduled,Not Applicable,ORAL SUSPENSION,187.00/200 ML ORAL SUSPENSION
,79,ZACIRAFT PLUS SUSPENSION 200 ML,Non-Scheduled,Not Applicable,SUSPENSION,178.57/200 ML SUSPENSION
