FormulationInput,SNo,MedicineName,Status,CeilingPrice,Unit,MRP_Unit,CapturedAt,Composition,Formulation_Brand,CompanyName_Header,MRP_Unit_Header,MRP_AsOnDate,MRP_Header,Sub_SNo,Sub_BrandName,Sub_PackSize,Sub_MRP,Sub_MRP_Unit,Sub_CompanyName
BROMHEXINE & CEFACLOR,,ARTICLOR 125 MG DRY SYRUP 30 ML,ARTICLOR 125 MG DRY SYRUP 30 ML,Non-Scheduled,Not Applicable,DRY SYRUP,2026-01-26T07:18:33,CEFACLOR DRY SYRUP 125 MG,ARTICLOR,ICARUS HEALTHCARE PRIMUS,4.84,Dec-2025,145.32,1,DISTACLOR,60,366.05,6.10,LUPIN LTD
BROMHEXINE & CEFACLOR,,ARTICLOR 250 MG TABLET 10,ARTICLOR 250 MG TABLET 10,Non-Scheduled,Not Applicable,TABLET,2026-01-26T07:18:34,CEFACLOR TABLET 250 MG,ARTICLOR,ICARUS HEALTHCARE PRIMUS,37.03,Dec-2025,370.31,,,,,,
BROMHEXINE & CEFACLOR,,ARTICLOR 50 MG DROPS 10 ML,ARTICLOR 50 MG DROPS 10 ML,Non-Scheduled,Not Applicable,DROPS,2026-01-26T07:18:34,CEFACLOR DROPS 50 MG,ARTICLOR,ICARUS HEALTHCARE PRIMUS,12.19,Dec-2025,121.88,1,DISTACLOR(RANBAXY),15,134.05,8.94,RANBAXY LABORATORIES LTD
BROMHEXINE & CEFACLOR,,ARTICLOR 50 MG DROPS 10 ML,ARTICLOR 50 MG DROPS 10 ML,Non-Scheduled,Not Applicable,DROPS,2026-01-26T07:18:34,CEFACLOR DROPS 50 MG,ARTICLOR,ICARUS HEALTHCARE PRIMUS,12.19,Dec-2025,121.88,2,DISTACLOR,10,134.05,13.41,LUPIN LTD
BROMHEXINE & CEFACLOR,,ARTICLOR 50 MG DROPS 10 ML,ARTICLOR 50 MG DROPS 10 ML,Non-Scheduled,Not Applicable,DROPS,2026-01-26T07:18:34,CEFACLOR DROPS 50 MG,ARTICLOR,ICARUS HEALTHCARE PRIMUS,12.19,Dec-2025,121.88,3,DISTACLOR (PFIZER),10,134.05,13.41,PFIZER LTD
BROMHEXINE & CEFACLOR,,ARTICLOR 50 MG DROPS 10 ML,ARTICLOR 50 MG DROPS 10 ML,Non-Scheduled,Not Applicable,DROPS,2026-01-26T07:18:34,CEFACLOR DROPS 50 MG,ARTICLOR,ICARUS HEALTHCARE PRIMUS,12.19,Dec-2025,121.88,4,KEFLOR,10,135.00,13.50,RANBAXY LABORATORIES LTD
BROMHEXINE & CEFACLOR,,DISTACLOR 125 MG DRY SYRUP 60 ML,DISTACLOR 125 MG DRY SYRUP 60 ML,Non-Scheduled,Not Applicable,DRY SYRUP,2026-01-26T07:18:34,CEFACLOR DRY SYRUP 125 MG,DISTACLOR,LUPIN LTD,6.10,Dec-2025,366.05,1,ARTICLOR,30,145.32,4.84,ICARUS HEALTHCARE PRIMUS
BROMHEXINE & CEFACLOR,,DISTACLOR 125 MG TABLET DT 6,DISTACLOR 125 MG TABLET DT 6,Non-Scheduled,Not Applicable,TABLET DT,2026-01-26T07:18:35,CEFACLOR TABLET DT 125 MG,DISTACLOR,LUPIN LTD,24.83,Dec-2025,149.00,1,KEFLOR,6,216.00,36.00,RANBAXY LABORATORIES LTD
BROMHEXINE & CEFACLOR,,DISTACLOR 187 MG SYRUP 30 ML,DISTACLOR 187 MG SYRUP 30 ML,Non-Scheduled,Not Applicable,SYRUP,2026-01-26T07:18:35,CEFACLOR SYRUP 187 MG,DISTACLOR,LUPIN LTD,8.42,Dec-2025,252.65,,,,,,
BROMHEXINE & CEFACLOR,,DISTACLOR 250 MG TABLET DT 6,DISTACLOR 250 MG TABLET DT 6,Non-Scheduled,Not Applicable,TABLET DT,2026-01-26T07:18:36,CEFACLOR TABLET DT 250 MG,DISTACLOR,LUPIN LTD,50.83,Dec-2025,305.00,,,,,,
BROMHEXINE & CEFACLOR,,DISTACLOR 500 MG CAPSULE 3,DISTACLOR 500 MG CAPSULE 3,Non-Scheduled,Not Applicable,CAPSULE,2026-01-26T07:18:36,CEFACLOR CAPSULE 500 MG,DISTACLOR,LUPIN LTD,65.00,Dec-2025,195.00,1,UNICLOR,8,580.00,72.50,UNITED BIOTECH (P) LTD
BROMHEXINE & CEFACLOR,,DISTACLOR 50 MG DROPS 10 ML,DISTACLOR 50 MG DROPS 10 ML,Non-Scheduled,Not Applicable,DROPS,2026-01-26T07:18:37,CEFACLOR DROPS 50 MG,DISTACLOR,LUPIN LTD,13.41,Dec-2025,134.05,1,DISTACLOR(RANBAXY),15,134.05,8.94,RANBAXY LABORATORIES LTD
BROMHEXINE & CEFACLOR,,DISTACLOR 50 MG DROPS 10 ML,DISTACLOR 50 MG DROPS 10 ML,Non-Scheduled,Not Applicable,DROPS,2026-01-26T07:18:37,CEFACLOR DROPS 50 MG,DISTACLOR,LUPIN LTD,13.41,Dec-2025,134.05,2,ARTICLOR,10,121.88,12.19,ICARUS HEALTHCARE PRIMUS
