FormulationInput,SNo,MedicineName,Status,CeilingPrice,Unit,MRP_Unit,CapturedAt,Composition,Formulation_Brand,CompanyName_Header,MRP_Unit_Header,MRP_AsOnDate,MRP_Header,Sub_SNo,Sub_BrandName,Sub_PackSize,Sub_MRP,Sub_MRP_Unit,Sub_CompanyName
GEMCITABINE,,BIOGEM 1000 MG INJECTION 25 ML,BIOGEM 1000 MG INJECTION 25 ML,Scheduled,5689.87,INJECTION,2026-01-26T07:27:50,GEMCITABINE INJECTION 1000 MG,BIOGEM,UNITED BIOTECH (P) LTD,5852.37,Dec-2025,5852.37,1,EMCITABEN,25,4999.18,199.97,RPG LIFE SCIENCES LTD.
GEMCITABINE,,BIOGEM 1000 MG INJECTION 25 ML,BIOGEM 1000 MG INJECTION 25 ML,Scheduled,5689.87,INJECTION,2026-01-26T07:27:50,GEMCITABINE INJECTION 1000 MG,BIOGEM,UNITED BIOTECH (P) LTD,5852.37,Dec-2025,5852.37,2,GEMITA,26,5924.50,227.87,FRESENIUS KABI INDIA PVT LTD
GEMCITABINE,,BIOGEM 1000 MG INJECTION 25 ML,BIOGEM 1000 MG INJECTION 25 ML,Scheduled,5689.87,INJECTION,2026-01-26T07:27:50,GEMCITABINE INJECTION 1000 MG,BIOGEM,UNITED BIOTECH (P) LTD,5852.37,Dec-2025,5852.37,3,GEMCITE,25,5970.93,238.84,ELI LILLY AND COMPANY (INDIA) PVT. LTD.
GEMCITABINE,,BIOGEM 1000 MG INJECTION 25 ML,BIOGEM 1000 MG INJECTION 25 ML,Scheduled,5689.87,INJECTION,2026-01-26T07:27:50,GEMCITABINE INJECTION 1000 MG,BIOGEM,UNITED BIOTECH (P) LTD,5852.37,Dec-2025,5852.37,4,GEMTERO,25,5973.80,238.95,HETERO HEALTHCARE LTD
GEMCITABINE,,BIOGEM 1000 MG INJECTION 25 ML,BIOGEM 1000 MG INJECTION 25 ML,Scheduled,5689.87,INJECTION,2026-01-26T07:27:50,GEMCITABINE INJECTION 1000 MG,BIOGEM,UNITED BIOTECH (P) LTD,5852.37,Dec-2025,5852.37,5,GEMCHEM,25,1803.50,1803.50,NEON LABORATORIES LTD
GEMCITABINE,,BIOGEM 1000 MG INJECTION 25 ML,BIOGEM 1000 MG INJECTION 25 ML,Scheduled,5689.87,INJECTION,2026-01-26T07:27:50,GEMCITABINE INJECTION 1000 MG,BIOGEM,UNITED BIOTECH (P) LTD,5852.37,Dec-2025,5852.37,6,MYGEM,25,2375.00,2375.00,VIATRIS
GEMCITABINE,,BIOGEM 1000 MG INJECTION 25 ML,BIOGEM 1000 MG INJECTION 25 ML,Scheduled,5689.87,INJECTION,2026-01-26T07:27:50,GEMCITABINE INJECTION 1000 MG,BIOGEM,UNITED BIOTECH (P) LTD,5852.37,Dec-2025,5852.37,7,CELZAR,25,3250.00,3250.00,CELON LABS
GEMCITABINE,,BIOGEM 1000 MG INJECTION 25 ML,BIOGEM 1000 MG INJECTION 25 ML,Scheduled,5689.87,INJECTION,2026-01-26T07:27:50,GEMCITABINE INJECTION 1000 MG,BIOGEM,UNITED BIOTECH (P) LTD,5852.37,Dec-2025,5852.37,8,TABICAD,25,3250.00,3250.00,CADILA PHARMACEUTICALS LTD
GEMCITABINE,,BIOGEM 1000 MG INJECTION 25 ML,BIOGEM 1000 MG INJECTION 25 ML,Scheduled,5689.87,INJECTION,2026-01-26T07:27:50,GEMCITABINE INJECTION 1000 MG,BIOGEM,UNITED BIOTECH (P) LTD,5852.37,Dec-2025,5852.37,9,GEMBIN,25,3736.69,3736.69,ZYDUS - BIOLOGICS
GEMCITABINE,,BIOGEM 1000 MG INJECTION 25 ML,BIOGEM 1000 MG INJECTION 25 ML,Scheduled,5689.87,INJECTION,2026-01-26T07:27:50,GEMCITABINE INJECTION 1000 MG,BIOGEM,UNITED BIOTECH (P) LTD,5852.37,Dec-2025,5852.37,10,GEMPOWER,25,5000.00,5000.00,KHANDELWAL LABORATORIES LTD
GEMCITABINE,,BIOGEM 1000 MG INJECTION 25 ML,BIOGEM 1000 MG INJECTION 25 ML,Scheduled,5689.87,INJECTION,2026-01-26T07:27:50,GEMCITABINE INJECTION 1000 MG,BIOGEM,UNITED BIOTECH (P) LTD,5852.37,Dec-2025,5852.37,11,INNOGEM,25,5168.00,5168.00,INNOVA LIFESCIENCE
GEMCITABINE,,BIOGEM 1000 MG INJECTION 25 ML,BIOGEM 1000 MG INJECTION 25 ML,Scheduled,5689.87,INJECTION,2026-01-26T07:27:50,GEMCITABINE INJECTION 1000 MG,BIOGEM,UNITED BIOTECH (P) LTD,5852.37,Dec-2025,5852.37,12,CELGEM,25,5586.17,5586.17,ALKEM LABORATORIES LTD.
GEMCITABINE,,BIOGEM 1000 MG INJECTION 25 ML,BIOGEM 1000 MG INJECTION 25 ML,Scheduled,5689.87,INJECTION,2026-01-26T07:27:50,GEMCITABINE INJECTION 1000 MG,BIOGEM,UNITED BIOTECH (P) LTD,5852.37,Dec-2025,5852.37,13,GEMITRATE,25,5871.00,5871.00,TORRENT PHARMACEUTICALS LTD.
GEMCITABINE,,BIOGEM 1000 MG INJECTION 25 ML,BIOGEM 1000 MG INJECTION 25 ML,Scheduled,5689.87,INJECTION,2026-01-26T07:27:50,GEMCITABINE INJECTION 1000 MG,BIOGEM,UNITED BIOTECH (P) LTD,5852.37,Dec-2025,5852.37,14,GEMTAZ,1,5871.84,5871.84,SUN PHARMA LABORATORIES LTD.
