Registration No,Product Name,Holder
MAL04125487AZ,Ceritec Film Coated Tablet 10mg,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL19900509AZ,TRANPAM TABLET 0.5MG,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL19872182AZ,METRONOL (METRONIDAZOLE 0.5% INJ),AIN MEDICARE SDN. BHD.
MAL22086034XZ,Ferrus Film-Coated Tablet 200mg,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19890378AZ,DHASOLONE TABLET 5MG,DCH AURIGA (MALAYSIA) SDN. BHD.
MAL19911462X,Appeton Multi-Vitamin Tablet,KOTRA PHARMA (M) SDN. BHD.
MAL07061564X,Appeton Essentials MV21G + Selenium,KOTRA PHARMA (M) SDN. BHD.
MAL09011476X,Appeton Essentials Glucosamine-500mg Tablet,KOTRA PHARMA (M) SDN. BHD.
MAL20020689AZ,VASCOR TABLET 40MG F/C,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL20034371XC,KORDEL`S EXECUTIVE B TABLET,CAMBERT(M) SDN. BHD.
MAL19962526AZ,MEXAN TABLET 80MG,IMEKS PHARMA SDN. BHD.
MAL19870410AZ,Glucoxit Tablet 500mg,DUOPHARMA (M) SENDIRIAN BERHAD
MAL16115039AZ,Prelica Capsule 75mg,DUOPHARMA (M) SENDIRIAN BERHAD
MAL20034634AZ,CIPROCEP TABLET 250 MG,IMEKS PHARMA SDN. BHD.
MAL06091382ARZ,Menopur Powder for Injection and Solvent 75 IU,Ferring Sdn. Bhd.
MAL21036030AZ,Novexib 200mg Capsules,CELESTEMAL PHARMA SDN. BHD.
MAL06091374XRS,INTRALIPID 20%,FRESENIUS KABI MALAYSIA SDN. BHD
MAL19991366AZ,FUROXIME INJECTION 750MG,SPG PHARMA (MALAYSIA) SDN BHD
MAL20020268AZ,Ibuspan Tablet 400mg,SM PHARMACEUTICALS SDN. BHD.
MAL18116121NC,JANIPRO Elepro Multivitamins & Multiminerals Capsule,Janipro (M) Sdn Bhd
MAL19992598AZ,MUCOLEX INJECTION (2ML AMP),DUOPHARMA (M) SENDIRIAN BERHAD
MAL19987004AZ,VOREN SUPPOSITORIES 12.5MG,Y.S.P. INDUSTRIES (M) SDN. BHD.
MAL20014497AZ,CEF-3 INJECTION IM (1G),SPG PHARMA (MALAYSIA) SDN BHD
MAL19973689AZ,MORPHEAS INJECTION 10 MG/ ML,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19962087AZ,INFUSOL NS,AIN MEDICARE SDN. BHD.
MAL19056120AZ,Bezartan Tablet 300mg,Duopharma Marketing Sdn. Bhd.
MAL19985513AZ,VERAHEXAL 120 SR TABLET,IMEKS PHARMA SDN. BHD.
MAL20014358AZ,INFUSOL HMK,AIN MEDICARE SDN. BHD.
MAL17075013AZ,MENELAT 30 MG TABLETS,LABORATORIES TORRENT (MALAYSIA) SDN. BHD.
MAL19056009AZ,Atenol Film Coated Tablet 50mg,DUOPHARMA (M) SENDIRIAN BERHAD
MAL19985554AZ,DUOGYNON INJECTION (1ML AMP),DUOPHARMA (M) SENDIRIAN BERHAD
MAL05061485AZ,Condep Injection 50mg/ml (3ml vial),DUOPHARMA (M) SENDIRIAN BERHAD
MAL13055075ARZ,Firmagon 80mg Powder and Solvent for Solution for Injection,Ferring Sdn. Bhd.
MAL19992139AZ,XANAPAM TABLETS 1MG,MALAYSIAN PHARMACEUTICAL INDUSTRIES SDN. BHD.
MAL19920482AZ,MABRON INJECTION,KOMEDIC SDN BHD
MAL06111294ACSZ,Pyronium Injection 200mcg/ml,IMEKS PHARMA SDN. BHD.
MAL12015005X,Appeton Essentials Glucosamine 500 + Chondroitin 400 Tablet,KOTRA PHARMA (M) SDN. BHD.
MAL19930530AZ,PENTASA SUPPOSITORIES 1G,Ferring Sdn. Bhd.
MAL18066050ACZ,CORTIMENT PROLONGED RELEASE TABLETS 9MG,Ferring Sdn. Bhd.
MAL20066102TC,"Janipro TLC Tiger Milk Mushroom, Lingzhi with Cordyceps Capsule 520mg",Janipro (M) Sdn Bhd
