"#","Registration No / Notification No","Product Name","Holder"
"1","MAL12115032T","Yin Qiao San Extract Granules 'Sun Ten'","SUN TEN PHARMACEUTICAL MFG (M) SDN. BHD."
"2","MAL15065046HA","HINAFLOR 300g/kg Granules","PAHANG PHARMACY SDN. BHD."
"3","MAL18081002ACRZ","Salofalk 500mg Gastro-resistant Prolonged Release Granules","DCH AURIGA (MALAYSIA) SDN. BHD."
"4","MAL13025003T","Bao Kang Granules","TONGHUA DONG BAO (M) SDN. BHD."
"5","MAL13045057X","UTIX Effervescent Granules","Noripharma Sdn. Bhd."
"6","MAL13045046AZ","Hidrasec Infants 10mg Granules for Oral Suspension","ABBOTT LABORATORIES (M) SDN. BHD."
"7","MAL13045048AZ","Hidrasec Children 30mg Granules for Oral Suspension","ABBOTT LABORATORIES (M) SDN. BHD."
"8","MAL18081004ACRZ","Salofalk 1000mg Gastro-resistant Prolonged Release Granules","DCH AURIGA (MALAYSIA) SDN. BHD."
"9","MAL18081003ACRZ","Salofalk 1.5g Gastro-resistant Prolonged Release Granules","DCH AURIGA (MALAYSIA) SDN. BHD."
"10","MAL12095093AZ","Aspira Oral Granules 4mg","PHARMANIAGA MANUFACTURING BERHAD"
"11","MAL13025006T","Eu Yan Sang Cold & Fever Relief Granules","WENG LI SDN. BHD."
"12","MAL15025045HA","JinPlus 200 g/kg Granules","Y.S.P. INDUSTRIES (M) SDN. BHD."
"13","MAL18081005ACRZ","Salofalk 3g Gastro-resistant Prolonged Release Granules","DCH AURIGA (MALAYSIA) SDN. BHD."
"14","MAL15125073HA","HINALIN 220 GRANULES","PAHANG PHARMACY SDN. BHD."
"15","MAL14075049ACRZ","SINGULAIR 4MG ORAL GRANULES","ORGANON MALAYSIA SDN. BHD."
"16","MAL13115186T","Liu Wei Di Huang Wan Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"17","MAL13075041T","Yin Qiao San Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"18","MAL13115187T","Sang Ju Yin Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"19","MAL13115094T","Xiao Chai Hu Tang Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"20","MAL13075042T","Shen Ling Bai Zhu San Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"21","MAL14015054T","Ji Ju Di Huang Wan Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"22","MAL13115096T","Xie Fu Zhu Yu Tang Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"23","MAL13085032T","Ling Gui Zhu Gan Tang Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"24","MAL13085036T","Jing Fang Bai Du San Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"25","MAL13085035T","Bu Zhong Yi Qi Tang Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"26","MAL13085037T","Ba Zhen Tang Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"27","MAL13085038T","Er Chen Tang Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"28","MAL13085039T","Wen Jing Tang Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"29","MAL13085040T","Guei Zhi Tang Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"30","MAL13085041T","Juan Bi Tang Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"31","MAL14025043T","Bai Hu Tang Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"32","MAL14015074T","Zhi Bo Di Huang Wan Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"33","MAL14025044T","Er Ke Xing Su Yin  Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"34","MAL14085028T","Li Zhong Tang Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"35","MAL13115189T","Liu Jun Zi Tang Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"36","MAL13115190T","Chai Hu Guei Zhi Tang Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"37","MAL14025046T","Shi Quan Da Bu Tang Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"38","MAL13115191T","Bu Yang Huan Wu Tang Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"39","MAL13125037T","Sheng Mai Yin Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"40","MAL13115213T","Bai He Gu Jin Tang Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"41","MAL13115192T","Chai Ge Jie Ji Tang Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"42","MAL13115193T","Tao Hong Si Wu Tang Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"43","MAL13115172T","Suan Zao Ren Tang Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"44","MAL14015041T","Si Ni San Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"45","MAL13115146T","Fu Yuan Huo Xie Tang Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"46","MAL13115147T","Qing Xin Lian Zi Yin Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"47","MAL13115081T","Xiao Yao San Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"48","MAL13115058T","Liang Ge San Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"49","MAL15125066HA","HINATIAMU 200G/KG GRANULES","PAHANG PHARMACY SDN. BHD."
"50","MAL13115176T","Shao Fu Zhu Yu Tang Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"51","MAL15095012T","Ren Shen Bai Du San Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"52","MAL15045023T","Xian Fang Huo Ming Yin Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"53","MAL14125042T","Gui Zhi Fu Ling Wan Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"54","MAL14055139T","Zheng Gu Zi Jin Dan Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"55","MAL13125044T","Gan Mai Da Zao Tang Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"56","MAL14015088T","Cang Er San Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"57","MAL15015082T","Gua Lou Zhi Shi Tang Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"58","MAL14035027T","Yi Gan San Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"59","MAL14035045T","JIA WEY SHIAU YAU SAN EXTRACT GRANULES 'TI'","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"60","MAL13115177T","Du Hou Ji Sheng Tang Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"61","MAL14025047T","Jiu Wei Qiang Huo Tang Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"62","MAL14055101T","Gui Pi Tang Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"63","MAL15045021T","Chuan Qiong Cha Tiao San Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"64","MAL14055102T","Shen Su Yin Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"65","MAL13125054T","BUU YANG HWAN WUU TONG EXTRACT GRANULES 'TI'","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"66","MAL14015089T","Jin Suo Gu Jing Wan Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"67","MAL14055076T","Dang Gui Nian Tong Tang Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"68","MAL14035031T","Wu Ling San Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"69","MAL14015094T","Yu Ping Feng San Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"70","MAL14035046T","Qing Fei Tang Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"71","MAL15045165T","Wen Dan Tang Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"72","MAL14055118T","Gui Zhi Jia Long Gu Mu Li Tang Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"73","MAL14085019T","Chair Hwa Guey Jy Tong Extract Granules""TI""","TIAN I BIOTECH INTERNATIONAL SDN BHD"
"74","MAL14025039T","Jia Wei Xiao Yao San Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"75","MAL14015031T","Yu Nu Jian Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"76","MAL13125045T","Yi Zi Tang Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
"77","MAL14015032T","An Zhong San Extract Granules C.F.T","CHUAN FENG TANG PHARMACEUTICAL (M) SDN BHD"
