Registration No / Notification No,Product Name,Holder
MAL04010359XZ,Flavettes Vitamin C Orange 250mg Sugar Free,Duopharma Marketing Sdn. Bhd.
MAL04030533X,Flavettes Vitamin C with Calcium Time Release 1000mg,Duopharma Marketing Sdn. Bhd.
MAL04050531T,GNC Herbal Plus Saw Palmetto 160 mg Capsule,GNC LIVEWELL MALAYSIA SDN. BHD.
MAL04050534T,Citrex Ginger Plus Capsule,DYNAPHARM HERBAL (M) SDN. BHD.
MAL04050535T,Spirulina Tablet 250 mg,DYNAPHARM HERBAL (M) SDN. BHD.
MAL04050536T,DYNA HUO LUO WAN (TABLET),DYNAPHARM HERBAL (M) SDN. BHD.
MAL04050540T,GNC Herbal Plus Garcinia Cambogia 500 mg Capsule,GNC LIVEWELL MALAYSIA SDN. BHD.
MAL04050543T,Diamond Interest Korea Ginseng Powder,DYNAPHARM HERBAL (M) SDN. BHD.
MAL04050547T,Dyna Spirulina Plus Grape Seeds Tablet,DYNAPHARM HERBAL (M) SDN. BHD.
MAL04070448T,Woman-K Capsule,DYNAPHARM HERBAL (M) SDN. BHD.
MAL04080003XZ,Appeton A to Z Kid's Vitamin C 30mg Tablet (Blackcurrant),KOTRA PHARMA (M) SDN. BHD.
MAL04091674T,American Ginseng Capsule 300 mg,YANLING NATURAL HYGIENE SDN. BHD.
MAL04091675XZ,Appeton A To Z Kid's Vitamin C 30mg Tablet (Strawberry),KOTRA PHARMA (M) SDN. BHD.
MAL04091676AZ,AVEXUS FILM-COATED TABLET 250 MG,XEPA-SOUL PATTINSON (MALAYSIA) SDN. BHD.
MAL04091677AZ,AVEXUS FILM-COATED TABLET 500 MG,XEPA-SOUL PATTINSON (MALAYSIA) SDN. BHD.
MAL04091682T,Grenhouss Ginkoba Capsule,QD HERBS SDN. BHD.
MAL04091683T,Buyang Huanwu Tablet 300 mg,YANLING NATURAL HYGIENE SDN. BHD.
MAL04091686X,Dyna Chlorophyll Capsule,DYNAPHARM (M) SDN. BHD.
MAL04091696TC,HPCARE Tablet 500mg,HEALTH ECOLOGIE INTERNATIONAL SDN. BHD.
MAL04091698T,live-well� OSTEEASE capsule,PAHANG PHARMACY SDN. BHD.
MAL04091699X,Live-well� E-BALANCE� 200 Capsule,PAHANG PHARMACY SDN. BHD.
MAL04091700X,Live-well� E-BALANCE� 400 Capsule,PAHANG PHARMACY SDN. BHD.
MAL04091707T,Naolizhibao Capsule,GREEN PLUS NATURAL PLANT PRODUCTS
MAL04091711T,HERBAL LAND SAN BIAN ZHUANG XIONG CAPSULE,HERBAL LAND MANUFACTURING SDN BHD
MAL04091719TC,"Wellrix""s Pao Shen Yan Wo Chong Cao Pi Pa Mi Plus Syrup",SMART WELLMIN SDN BHD
MAL04091720TC,"Wellrix""s Xiao Yan Wan Capsule",SMART WELLMIN SDN BHD
MAL04103311XCR,Blackmores CoQ10 50 mg Capsule,BLACKMORES (MALAYSIA) SDN. BHD.
MAL04103319T,DXN Cordyceps 450mg Capsule,DXN PHARMACEUTICAL SDN. BHD.
MAL04103322T,Nova Diatec Capsule,NOVA LABORATORIES SDN. BHD.
MAL04103323T,Dong Cong Cao Capsule 300mg,ALWAYS GREEN PHARMA SDN. BHD.
MAL04103333T,Nova Ginkgo 40mg Tablet,NOVA LABORATORIES SDN. BHD.
MAL04103346T,Granules of Flowers and Leaves of Tienchi,HAI-O MEDICINE SDN. BHD.
MAL04103368XR,21st Century Burnex Tablet,21ST CENTURY PRODUCTS SDN. BHD.
MAL04103393T,Nova LivGuard Plus Tablet,NOVA LABORATORIES SDN. BHD.
MAL04103394T,Naturalle Natberry Plus Tablet,Duopharma Marketing Sdn. Bhd.
MAL04103424T,Wen Ya Ling Capsule,GREEN PLUS NATURAL PLANT PRODUCTS
MAL04103429T,DXN Zhimeko Ointment,DXN PHARMACEUTICAL SDN. BHD.
MAL04103438ARZ,Differin Cream 0.1%,Galderma Malaysia Sdn Bhd
MAL04103439AZ,Imuran 50mg Tablet,Aspen Medical Products Malaysia Sdn Bhd
MAL04103441AZ,Perinace Tablet 4 mg,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.
MAL04103442AZ,Plaquenil Tablets,SANOFI-AVENTIS (MALAYSIA) SDN. BHD.
MAL04103446T,E-PLUS 600 CAPSULE UNTUK SELSEMA,EASY PLUS PHARMACEUTICAL (M) SDN. BHD.
MAL04112690TC,LVCARE Capsule 500m,HEALTH ECOLOGIE INTERNATIONAL SDN. BHD.
MAL04112691T,DXN Spirulina 240.75mg Tablet,DXN PHARMACEUTICAL SDN. BHD.
MAL04112692T,DXN Mycovita Powder,DXN PHARMACEUTICAL SDN. BHD.
MAL04112693T,DXN Reishi Gano (RG) 270mg Capsule,DXN PHARMACEUTICAL SDN. BHD.
MAL04112694TC,Xiaoke-Su capsules,GOLDEN STAR MEDICAL FACTORY
MAL04112700X,CHEWIES CHILDREN CHEWABLE MULTIVITAMIN WITH TAURINE TABLET,AJ RESEARCH & PHARMA SDN. BHD.
MAL04112701X,CHEWIES CHILDREN CHEWABLE MULTIVITAMIN PLUS LYSINE TABLET,AJ RESEARCH & PHARMA SDN. BHD.
MAL04112702X,CHEWIES CHILDREN CHEWABLE MULTIVITAMIN TABLET,AJ RESEARCH & PHARMA SDN. BHD.
MAL04112704T,CENTRESS Chewable Tablet 25 mg,NOVA LABORATORIES SDN. BHD.
MAL04112706TC,SJ GUA Capsule 300mg,J.D. ACADEMY
MAL04112708T,"YA HOM POWDER FIVE PAGODA""S BRAND (Medicated Powder)",POH TAI ENTERPRISE SDN. BHD.
MAL04112709T,Chong Chou Cough Syrup,QD HERBS SDN. BHD.
MAL04112713T,R - TriLite Capsule,QD HERBS SDN. BHD.
MAL04112724T,Agaricus Mushroom 300 mg Capsule,YANLING NATURAL HYGIENE SDN. BHD.
MAL04112725T,Huanglian Jiedu Tablet 300 mg,YANLING NATURAL HYGIENE SDN. BHD.
MAL04112726T,Oasis Bazhen Powder,YANLING NATURAL HYGIENE SDN. BHD.
MAL04112728ARZ,T.O. Prazosin 1 mg Tablet,GoodScience Sdn. Bhd.
MAL04112729ARZ,T.O. Prazosin 2 mg Tablet,GoodScience Sdn. Bhd.
MAL04125474ACZ,Leukeran Tablets 2mg,Aspen Medical Products Malaysia Sdn Bhd
MAL04125476X,"Viva Shield, Tablet",VIVA LIFE SCIENCE SDN. BHD.
