"#","Registration No / Notification No","Product Name","Holder"
"1","MAL15015046AZ","Tapicin Powder For Injection 4.5g","Y.S.P. INDUSTRIES (M) SDN. BHD."
"2","MAL16025030AZ","Cefim Powder for Injection 0.5g","Y.S.P. INDUSTRIES (M) SDN. BHD."
"3","MAL15045058AZ","Azithromycin Powder For Oral Suspension 200mg/5ml Lesvi Lab","ZIWELL MEDICAL SDN. BHD."
"4","MAL14125063AZ","CEFMEX 500MG POWDER FOR INJECTION","DUOPHARMA (M) SENDIRIAN BERHAD"
"5","MAL14125064AZ","CEFMEX 1G POWDER FOR INJECTION","DUOPHARMA (M) SENDIRIAN BERHAD"
"6","MAL12035015T","LIONBALL MENSTRUAL POWDER","NANG HIN MEDICAL SDN. BHD."
"7","MAL12085058AZ","HuMoG   150IU Powder for Injection","BSV BIOSCIENCE MALAYSIA SDN. BHD."
"8","MAL12125022TC","CSL BAO YING POWDER","Gab Sdn Bhd"
"9","MAL13085046AZ","DUOPERAZONE 1G POWDER FOR INJECTION","DUOPHARMA (M) SENDIRIAN BERHAD"
"10","MAL13055075ARZ","Firmagon 80mg Powder and Solvent for Solution for Injection","Ferring Sdn. Bhd."
"11","MAL13055074ARZ","Firmagon 120mg Powder and Solvent for Solution for Injection","Ferring Sdn. Bhd."
"12","MAL15105028AZ","AUROPENNZ POWDER FOR INJECTION 1.5g","UNIMED SDN. BHD."
"13","MAL12025031T","EU YAN SANG HOU NING PHLEGM RELIEF POWDER","WENG LI SDN. BHD."
"14","MAL11095044TC","NewCo Panax Ginseng Powder","TST HEALTH CARE SDN BHD"
"15","MAL15125064HA","DECCOX � POWDER 6% w/w","PAHANG PHARMACY SDN. BHD."
"16","MAL12055059TC","COOL HERBAL TEA POWDER","QINGDAO HEALTHCARE CENTRE SDN BHD"
"17","MAL12045054TC","Botamin Powder","Nano Medic Care Sdn. Bhd."
"18","MAL12055093TC","CSL Cough Clear CPI Powder","NANG HIN MEDICAL SDN. BHD."
"19","MAL12055083TC","CSL Cough Clear Powder","NANG HIN MEDICAL SDN. BHD."
"20","MAL12075004T","Cordyceps Essential (Powder)","BIOFACT LIFE SDN. BHD."
"21","MAL12035007AZ","CEFTRIAXONE-ZHIJUN 1G (CEFTRIAXONE SODIUM POWDER FOR INJECTION).","MEDISPEC (M) SDN. BHD."
"22","MAL12065076AZ","CEFUROXIME -ZHIJUN  750mg (Cefuroxime Sodium  powder for Injection)","MEDISPEC (M) SDN. BHD."
"23","MAL16025032ARZ","Pamorelin Powder for Suspension for Injection 3.75 mg","Orient Europharma (M) Sdn Bhd"
"24","MAL13035045AZ","DIPHERELINE P.R. POWDER AND SOLVENT FOR SUSPENSION FOR INJECTION 11.25 mg/vial","ZUELLIG PHARMA SDN. BHD."
