PCID Mapping,LOCAL_PACK_CODE,Package Number,Product Group,Generic Name,Description
943576,MAL05032545AZ,,,,
1691715,MAL05051105ACZ,,,,
1692016,MAL06051568XZ,,,,
376827,MAL06091374XRS,,,,
1691575,MAL07050225XZ,,,,
168494,MAL07124602ACZ,,,,
1565854,MAL07124643AZ,,,,
944160,MAL08080395AZ,,,,
239099,MAL10033194AZ,,,,
1691501,MAL10110027AZ,,,,
943167,MAL11060032AZ,,,,
943726,MAL11120003AZ,,,,
599656,MAL12010005AZ,,,,
1959260,MAL12075023ARZ,,,,
1565836,MAL13115209AZ,,,,
1676520,MAL13115210AZ,,,,
1676518,MAL13125011AZ,,,,
1691860,MAL14125075AZ,,,,
1565978,MAL15045073XC,,,,
1691462,MAL15095018AZ,,,,
1691598,MAL15125037AZ,,,,
1565784,MAL16015037AZ,,,,
1691763,MAL16025043AZ,,,,
1565802,MAL16035027AZ,,,,
1959124,MAL18026186AZ,,,,
1691952,MAL18046154AZ,,,,
1421027,MAL18086102AZ,,,,
1901582,MAL18106025AZ,,,,
1901593,MAL18106029AZ,,,,
1691633,MAL18116078AZ,,,,
1691561,MAL19861288AZ,,,,
1691810,MAL19870588AZ,,,,
321395,MAL19870623AZ,,,,
1565818,MAL19871195AZ,,,,
665145,MAL19871698AZ,,,,
1691571,MAL19871725AZ,,,,
1421134,MAL19872182AZ,,,,
1691335,MAL19880308AZ,,,,
2053880,MAL19890539AZ,,,,
1837960,MAL19890671AZ,,,,
1837953,MAL19900030AZ,,,,
860911,MAL19900182AZ,,,,
1691891,MAL19940036AZ,,,,
1836175,MAL19940037AZ,,,,
1691629,MAL19940050X,,,,
1691276,MAL19940292AZ,,,,
2221390,MAL19950161AZ,,,,
1909799,MAL19950272AZ,,,,
1909800,MAL19950273XZ,,,,
1959254,MAL19950395ARZ,,,,
1691920,MAL19988494AZ,,,,
1421154,MAL19991446XZ,,,,
601252,MAL19991893AZ,,,,
943805,MAL19992773AZ,,,,
943165,MAL19993044AZ,,,,
943166,MAL19993045AZ,,,,
1565796,MAL20000373AZ,,,,
1420978,MAL20014220AZ,,,,
1692127,MAL20014363XZ,,,,
1691282,MAL20021425X,,,,
1901556,MAL20033520XZ,,,,
582424,MAL20040821AZ,,,,
600632,MAL20051467AZ,,,,
1691262,MAL20076034ACZ,,,,
1676516,MAL20126017ACZ,,,,
1901532,MAL21096011X,,,,
