value,count,example_columns
Натрия хлорид,1065,"Generic Name,Product Group"
Декстроза,598,"Generic Name,Product Group"
Глюкоза,522,Product Group
Парацетамол,358,"Generic Name,Product Group"
Эноксапарин натрия,339,"Generic Name,Product Group"
Метформин,321,"Generic Name,Product Group"
Амикацин,312,"Generic Name,Product Group"
Мельдоний,267,"Generic Name,Product Group"
Пирацетам,263,"Generic Name,Product Group"
Ампициллин,259,"Generic Name,Product Group"
Эналаприл,259,"Generic Name,Product Group"
Лидокаин,237,"Generic Name,Product Group"
Ибупрофен,224,"Generic Name,Product Group"
Метронидазол,222,"Generic Name,Product Group"
Ацетилсалициловая кислота,218,"Generic Name,Product Group"
Цефотаксим,216,"Generic Name,Product Group"
Прокаин,205,Generic Name
Дротаверин,198,"Generic Name,Product Group"
Новокаин,197,Product Group
Цефтриаксон,196,"Generic Name,Product Group"
Ранитидин,195,"Generic Name,Product Group"
Цефазолин,194,"Generic Name,Product Group"
Диклофенак,192,"Generic Name,Product Group"
Калия йодид,188,"Generic Name,Product Group"
Лизиноприл,188,"Generic Name,Product Group"
Атенолол,185,"Generic Name,Product Group"
Кальция глюконат,184,"Generic Name,Product Group"
Иммуноглобулин человека нормальный,178,"Generic Name,Product Group"
Левофлоксацин,177,"Generic Name,Product Group"
Винпоцетин,167,"Generic Name,Product Group"
Омепразол,160,"Generic Name,Product Group"
Аторвастатин,159,"Generic Name,Product Group"
Калия и магния аспарагинат,159,"Generic Name,Product Group"
Ксилометазолин,158,"Generic Name,Product Group"
Симвастатин,158,"Generic Name,Product Group"
Панкреатин,153,"Generic Name,Product Group"
Цефтазидим,151,"Generic Name,Product Group"
Прегабалин,144,Generic Name
Калия хлорид,139,"Generic Name,Product Group"
Аминокапроновая кислота,138,"Generic Name,Product Group"
Бисопролол,137,"Generic Name,Product Group"
Магния сульфат,136,"Generic Name,Product Group"
Ципрофлоксацин,133,"Generic Name,Product Group"
Амлодипин,132,"Generic Name,Product Group"
Трамадол,132,"Generic Name,Product Group"
Апротинин,131,"Generic Name,Product Group"
Бетагистин,130,"Generic Name,Product Group"
Хлорамфеникол,130,Generic Name
Фуросемид,129,"Generic Name,Product Group"
Лозартан,127,"Generic Name,Product Group"
Канамицин,122,"Generic Name,Product Group"
Цефепим,121,"Generic Name,Product Group"
Имипенем + Циластатин,120,Generic Name
Флуконазол,120,"Generic Name,Product Group"
Метопролол,118,"Generic Name,Product Group"
Нитроглицерин,117,"Generic Name,Product Group"
Кветиапин,116,Generic Name
Этанол,116,Generic Name
Маннитол,115,"Generic Name,Product Group"
Филграстим,113,Generic Name
Верапамил,112,"Generic Name,Product Group"
Имипенем и Циластатин Джодас,112,Product Group
Леветирацетам,111,Generic Name
Амброксол,110,"Generic Name,Product Group"
Левомицетин,109,Product Group
Гонадотропин хорионический,108,"Generic Name,Product Group"
Ифосфамид,107,"Generic Name,Product Group"
Рингер,107,Product Group
Преднизолон,103,"Generic Name,Product Group"
Пропранолол,101,Generic Name
Аскорбиновая кислота,100,"Generic Name,Product Group"
Офлоксацин,100,"Generic Name,Product Group"
Рифампицин,99,"Generic Name,Product Group"
Калия перманганат,98,"Generic Name,Product Group"
Рисперидон,97,"Generic Name,Product Group"
Темозоломид,97,Generic Name
Гентамицин,96,"Generic Name,Product Group"
Каптоприл,96,"Generic Name,Product Group"
Капреомицин,94,"Generic Name,Product Group"
Аминофиллин,93,Generic Name
Вода,93,Generic Name
Дифенгидрамин,93,Generic Name
Эниксум,93,Product Group
Азитромицин,92,"Generic Name,Product Group"
Кларитромицин,92,"Generic Name,Product Group"
Вода для инъекций,91,Product Group
Гидроксиэтилкрахмал,91,Generic Name
Доксорубицин,91,"Generic Name,Product Group"
Оксациллин,91,"Generic Name,Product Group"
Натрия хлорида раствор сложный [Калия хлорид + Кальция хлорид + Натрия хлорид],90,Generic Name
Периндоприл,90,"Generic Name,Product Group"
Такролимус,89,"Generic Name,Product Group"
Цитиколин,89,"Generic Name,Product Group"
Анаприлин,88,Product Group
Бифидобактерии бифидум,87,Generic Name
Цефуроксим,86,"Generic Name,Product Group"
Индапамид,85,"Generic Name,Product Group"
Галоперидол,84,"Generic Name,Product Group"
