award_date,source_url,lot_number,un_classification_code,item_title,buyer_specifications,lot_quantity,supplier,supplier_specifications,unit_price_offer_raw,unit_price_offer,awarded_quantity_raw,awarded_quantity,total_net_awarded_raw,total_net_awarded,state,is_awarded,awarded_unit_price,lot_total_line_raw,lot_total_line,source_tender_url
2023-08-01,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,1,51102301,Aciclovir,Aciclovir 400 mg comprimidos,2000,77.664.156-1 INGENIERÍA Y SERVICIOS LOGÍSTICOS SP CHILE LIMITADA,Adquisicin De Medicamentos Departamento De Salud,"$ 212,3216",212.3216,0,0.0,0,0.0,No Adjudicada,NO,,140.000,140000.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==
2023-08-01,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,1,51102301,Aciclovir,Aciclovir 400 mg comprimidos,2000,80.447.400-5 MUNNICH PHARMA MEDICAL SPA,"288697 ACICLOVIR BE.COM.400MG.35, CAJA X 35, GENERICOS BIOEQUIVALENTES VCTO MAYOR A 24 MESES. DESPACHO 1 DIA CORRIDO.EL DESPACHO NO TIENE COSTO ADICIONAL. MUNNICH CUENTA CON SERVICIO DE POST VENTA Y POLITICA DE CANJE Y DEVOLUCION.","$ 101,97",101.97,0,0.0,0,0.0,No Adjudicada,NO,,140.000,140000.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==
2023-08-01,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,1,51102301,Aciclovir,Aciclovir 400 mg comprimidos,2000,76.079.782-0 WINPHARM SPA,ACICLOVIR 400 MG CM CX32 ACY23025 F-22710 28-02-2026 SEVENPH,$ 130,130.0,0,0.0,0,0.0,No Adjudicada,NO,,140.000,140000.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==
2023-08-01,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,1,51102301,Aciclovir,Aciclovir 400 mg comprimidos,2000,76.956.140-4 ETHON PHARMACEUTICALS COMERCIALIZADORA IMP EXP Y DIST SPA,ACCL0400COMP. (BE)ACICLOVIR 400MG X 32 COMP.. SEVEN PHARMA. ACICLOVIR. REG ISP F-22710. VCTO 02-2026. LOTE ACY23025 -- 8903726209608,$ 70,70.0,2000,2000.0,140000,140000.0,Adjudicada,YES,70.0,140.000,140000.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==
2023-08-01,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,1,51102301,Aciclovir,Aciclovir 400 mg comprimidos,2000,76.167.536-2 SOCIEDAD COMERCIALIZADORA MEDIKAR LIMITADA,"ACICLOVIR 400MG BE®, ACICLOVIR, Envase de: 35 COMPRIMIDO, MILAB, Reg.ISP: F-13105, Vence: 2023-08-30. ENTREGA EN 72 HRS","$ 82,57",82.57,0,0.0,0,0.0,No Adjudicada,NO,,140.000,140000.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==
2023-08-01,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,1,51102301,Aciclovir,Aciclovir 400 mg comprimidos,2000,76.830.090-9 FARMACEUTICA CARIBEAN SPA,"MIN0031 ACICLOVIR (B) 400 MG ESTCH. X 35 COMP. (120), Aciclovir 400 mg, F-13105/18, MILAB, 01-07-2024, venc: 01-07-2024, Plazo de entrega de 24-48 hrs","$ 66,9",66.9,0,0.0,0,0.0,No Adjudicada,NO,,140.000,140000.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==
2023-08-01,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,2,51191905,Suplementos vitamínicos,Acido Fólico 5 mg Comprimidos,1500,77.664.156-1 INGENIERÍA Y SERVICIOS LOGÍSTICOS SP CHILE LIMITADA,Adquisicin De Medicamentos Departamento De Salud,"$ 283,0954",283.0954,0,0.0,0,0.0,No Adjudicada,NO,,22.500,22500.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==
2023-08-01,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,2,51191905,Suplementos vitamínicos,Acido Fólico 5 mg Comprimidos,1500,80.447.400-5 MUNNICH PHARMA MEDICAL SPA,"66202 FOLACID COM.5MG.30, CAJA X 30, ITF FARMA VCTO MAYOR A 24 MESES. DESPACHO 1 DIA CORRIDO.EL DESPACHO NO TIENE COSTO ADICIONAL. MUNNICH CUENTA CON SERVICIO DE POST VENTA Y POLITICA DE CANJE Y DEVOLUCION.","$ 84,7",84.7,0,0.0,0,0.0,No Adjudicada,NO,,22.500,22500.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==
2023-08-01,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,2,51191905,Suplementos vitamínicos,Acido Fólico 5 mg Comprimidos,1500,76.079.782-0 WINPHARM SPA,AC. FOLICO 1 MG CM CX1000 208010 F-19061 31-08-2025 ITFLABOMED,$ 15,15.0,1500,1500.0,22500,22500.0,Adjudicada,YES,15.0,22.500,22500.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==
2023-08-01,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,2,51191905,Suplementos vitamínicos,Acido Fólico 5 mg Comprimidos,1500,76.830.090-9 FARMACEUTICA CARIBEAN SPA,"LAB0082 FOLACID 5MG X 1000 COMP, Acido folico 5 mg, F-2871/20, ITF-LABOMED, 01-01-2028, venc: 01-01-2028, Plazo de entrega de 24-48 hrs","$ 15,7",15.7,0,0.0,0,0.0,No Adjudicada,NO,,22.500,22500.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==
2023-08-01,https://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==,3,51131808,Ácido aminocaproico,Acido Tranexámico 1000 Mg/ 10 Ml solución Inyectable,10,77.664.156-1 INGENIERÍA Y SERVICIOS LOGÍSTICOS SP CHILE LIMITADA,Adquisicin De Medicamentos Departamento De Salud,"$ 42464,3126",42464.3126,0,0.0,0,0.0,No Adjudicada,NO,,17.490,17490.0,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?qs=ggvuv/L94RlA88n0ZHI4GQ==
