PCID,Country,Company,Local Product Name,Generic Name,Effective Start Date,Public With VAT Price,Reimbursement Category,Reimbursement Amount,Co-Pay Amount,Local Pack Description,rule_label
,ARGENTINA,ISA,+50,vit.+assoc.,2025-11-10,11533.00,,,,comp.x 30 (VL),No-scheme
,ARGENTINA,Laboratorio ENA,100% WHEY PROTEIN,whey proteins,2026-01-01,59000.00,,,,chocolate x 907 g (VL),No-scheme
,ARGENTINA,Laboratorio ENA,100% WHEY PROTEIN,whey proteins,2026-01-01,59000.00,,,,strawberry x 907 g (VL),No-scheme
,ARGENTINA,Laboratorio ENA,100% WHEY PROTEIN,whey proteins,2026-01-01,59000.00,,,,vanilla x 907 g (VL),No-scheme
,ARGENTINA,Laboratorio Millet,102 MAGNESIO,vit.+minerals+assoc.,2026-01-07,15590.67,,,,comp. rec. x 30 (VL),No-scheme
,ARGENTINA,Laboratorio Millet,102 FOCUS,magnesium+assoc.,2026-01-07,22851.48,,,,comp. rec. x 30 (VL),No-scheme
,ARGENTINA,Laboratorio Millet,102 MAGNESIO CITRATO,magnesium citrate,2026-01-07,16539.37,,,,comp. x 30 (VL),No-scheme
,ARGENTINA,Laboratorio Millet,102 MAGNESIO GUMMIES,magnesium+assoc.,2026-01-07,19364.53,,,,gummies x 90 (VL),No-scheme
,ARGENTINA,Laboratorio Millet,102 MUJER,vitamins + minerals,2026-01-07,21178.92,,,,caps.bl.x 30 (VL),No-scheme
,ARGENTINA,Laboratorio Millet,102 PLUS,vitamins + minerals,2026-01-07,17612.71,,,,comp.x 30 (VL),No-scheme
,ARGENTINA,Laboratorio Millet,102 PLUS,vitamins + minerals,2026-01-07,30649.61,,,,comp.x 60 (VL),No-scheme
,ARGENTINA,Laboratorio Millet,102 PLUS,vitamins + minerals,2026-01-07,42692.17,,,,comp.x 90 (VL),No-scheme
,ARGENTINA,Laboratorio Millet,102 PLUS EFERVESCENTE,vitamins + minerals,2026-01-07,14761.68,,,,sob.x 15 (VL),No-scheme
,ARGENTINA,Laboratorio Millet,102 SPORT BCAA,vitamins + minerals,2026-01-07,37017.37,,,,over x 30 (VL),No-scheme
,ARGENTINA,GlaxoSmithKline Biopharma,3 TC,lamivudine,2025-12-29,219142.56,IMPORTED,,,150 mg comp.rec.x 60,Imported-fallback
,ARGENTINA,GlaxoSmithKline Biopharma,3 TC,lamivudine,2025-12-29,95978.22,IMPORTED,,,sol.x 240 ml,Imported-fallback
,ARGENTINA,Laboratorio Millet,102 VITAMINA C,vit.+assoc.,2026-01-07,17675.41,,,,comp.rec. x 30 (VL),No-scheme
,ARGENTINA,Laboratorio Millet,102 VITAMINA C,vit.+assoc.,2026-01-07,19831.10,,,,envelopes x 30 (VL),No-scheme
,ARGENTINA,Elea,3 TC + AZT ELEA,lamivudine+zidovudine,2025-07-09,69455.63,,,,comp.x 60,No-scheme
,ARGENTINA,GlaxoSmithKline Biopharma,3 TC COMPLEX,lamivudine+zidovudine,2025-12-29,496962.79,IMPORTED,,,comp.rec.x 60,Imported-fallback
,ARGENTINA,IQUISA,420 CBD BEAUTY,cannabidiol,2024-12-03,23375.00,,,,facial cream x 50 ml (VL),No-scheme
,ARGENTINA,ISA,4 X 4,sildenafil,2025-11-10,5504.00,,,,50 mg comp.rec.x 4,No-scheme
,ARGENTINA,IQUISA,420 CBD RELAX,cannabidiol,2024-12-03,15215.00,,,,env.x 16 ml (VL),No-scheme
,ARGENTINA,IQUISA,420 CBD TETITA FELIZ PACK,cannabidiol,2024-12-03,49150.00,,,,cr. 75 g + oil 75 ml (VL),No-scheme
,ARGENTINA,Domínguez,5-ASA 1000,mesalazine,2025-12-30,178508.14,PAMI-only,,60999.77,1 g sachet x 30,PAMI-only-AF-as-Copay
,ARGENTINA,Domínguez,5-ASA 1000,mesalazine,2025-12-30,203371.09,,,,1 g sup.x 30,No-scheme
,ARGENTINA,Cassará,5 FU,fluorouracil,2025-12-15,53000.00,IOMA,16298.15,36701.85,ung.x 20 g,"IOMA-preferred (OS→Reimb, AF→Copay)"
,ARGENTINA,Domínguez,5-ASA 2000,mesalazine,2025-12-30,320088.38,IOMA,168111.53,151976.85,2 g sachet x 30,"IOMA-preferred (OS→Reimb, AF→Copay)"
,ARGENTINA,Domínguez,5-ASA 4000,mesalazine,2025-12-30,533343.03,IOMA,276177.94,257165.09,4 g sachet x 30,"IOMA-preferred (OS→Reimb, AF→Copay)"
,ARGENTINA,Domínguez,5-ASA 400,mesalazine,2025-12-30,91364.63,IOMA,46348.48,45016.15,400 mg tablets x 30,"IOMA-preferred (OS→Reimb, AF→Copay)"
,ARGENTINA,Domínguez,5-ASA 400,mesalazine,2025-12-30,173721.84,IOMA,88127.59,85594.25,400 mg tablets x 60,"IOMA-preferred (OS→Reimb, AF→Copay)"
,ARGENTINA,Domínguez,5-ASA 400,mesalazine,2025-12-30,35948.24,IOMA,18236.23,17712.01,400 mg sup.x 10,"IOMA-preferred (OS→Reimb, AF→Copay)"
,ARGENTINA,Domínguez,5-ASA 400,mesalazine,2025-12-30,102904.51,IOMA,52202.57,50701.94,400 mg sup.x 30,"IOMA-preferred (OS→Reimb, AF→Copay)"
,ARGENTINA,Domínguez,5-ASA 500,mesalazine,2025-12-30,94240.66,IOMA,40452.43,53788.23,500 mg tablets x 30,"IOMA-preferred (OS→Reimb, AF→Copay)"
,ARGENTINA,Domínguez,5-ASA 500,mesalazine,2025-12-30,169638.17,IOMA,74600.66,95037.51,500 mg tablets x 60,"IOMA-preferred (OS→Reimb, AF→Copay)"
,ARGENTINA,Domínguez,5-ASA 800,mesalazine,2025-12-30,137131.56,IOMA,69565.65,67565.91,800 mg tablets x 30,"IOMA-preferred (OS→Reimb, AF→Copay)"
,ARGENTINA,Domínguez,5-ASA 800,mesalazine,2025-12-30,237150.37,IOMA,116272.65,120877.72,800 mg tablets x 60,"IOMA-preferred (OS→Reimb, AF→Copay)"
,ARGENTINA,Ariston,5XR 500,mesalazine,2026-01-05,244773.78,IOMA,162873.66,81900.12,500 mg tablets x 100,"IOMA-preferred (OS→Reimb, AF→Copay)"
,ARGENTINA,Ariston,5XR 500,mesalazine,2026-01-05,134237.35,IOMA,87329.70,46907.65,500 mg tablets x 50,"IOMA-preferred (OS→Reimb, AF→Copay)"
,ARGENTINA,Ariston,5XR 1000,mesalazine,2026-01-05,144681.25,IOMA,98194.60,46486.65,1000 mg tablets x 30,"IOMA-preferred (OS→Reimb, AF→Copay)"
,ARGENTINA,Ariston,5XR 1000,mesalazine,2026-01-05,286362.78,IOMA,184678.87,101683.91,1000 mg tablets x 60,"IOMA-preferred (OS→Reimb, AF→Copay)"
,ARGENTINA,Elea,8 HORAS,eszopiclone,2025-12-17,22392.79,PAMI-only,,8702.17,2 mg tablets x 30,PAMI-only-AF-as-Copay
,ARGENTINA,Elea,8 HORAS,eszopiclone,2025-12-17,27989.65,PAMI-only,,10876.55,3 mg tablets x 30,PAMI-only-AF-as-Copay
,ARGENTINA,Domínguez,A ACIDO,retinoic acid,2025-12-30,6422.79,,,,0.05% cr.x 10 g,No-scheme
,ARGENTINA,Domínguez,A ACIDO,retinoic acid,2025-12-30,7602.14,,,,0.1% cr.x 10 g,No-scheme
,ARGENTINA,Domínguez,A ACIDO,retinoic acid,2025-12-30,8326.16,,,,0.2% cr.x 10 g,No-scheme
,ARGENTINA,Domínguez,A ACIDO EMOLIENTE,retinoic acid,2025-12-30,15142.01,,,,0.025% cr.x 30 g,No-scheme
,ARGENTINA,Domínguez,A ACIDO VITAL,retinoic acid,2025-12-30,14783.94,,,,cr.x 30 g,No-scheme
,ARGENTINA,Medipharma,A-VITEL,vit.a,2025-12-03,15718.63,,,,"100,000 IU cr.bomo x 100g (VL)",No-scheme
,ARGENTINA,Medipharma,A-VITEL,vit.a,2025-12-03,10259.96,,,,"100,000 IU cr.bomo x 50 g (VL)",No-scheme
,ARGENTINA,Medipharma,A-VITEL,vit.a,2025-12-03,24344.48,,,,"100,000 IU cr.x 200 g (VL)",No-scheme
,ARGENTINA,Medipharma,A-VITEL E,vit.a+vit.e,2025-12-03,21293.35,,,,cr.pomo x 100 g (VL),No-scheme
,ARGENTINA,Sempre Giovane,A.H.A,glycolic acid + assoc.,2025-05-01,48400.00,,,,cr.x 75 (VL),No-scheme
,ARGENTINA,Elea,ABACAVIR ELEA,abacavir,2025-07-09,103336.20,,,,300 mg comp.rec.x 60,No-scheme
,ARGENTINA,Elea,ABARAX,benznidazole,2025-12-17,96494.06,IOMA,,,100 mg tablets x 100,"IOMA-preferred (OS→Reimb, AF→Copay)"
,ARGENTINA,Elea,ABARAX,benznidazole,2025-12-17,60149.60,IOMA,,,50 mg comp.x 100,"IOMA-preferred (OS→Reimb, AF→Copay)"
,ARGENTINA,Trb-Pharma,ABACAVIR LAMIVUDINA TRB PHARMA,abacavir+lamivudine,2021-09-28,24500.00,IMPORTED,,,comp.rec.x 30,Imported-fallback
,ARGENTINA,Teva Argentina,ABELCET,amphotericin B lipid complex,2025-12-01,694469.82,IMPORTED,,,100 mg f.a.x 20 ml,Imported-fallback
,ARGENTINA,Roemmers,ABAXON,rivaroxaban,2025-12-16,49985.00,IOMA,37980.04,12004.96,10 mg x 10 tablets,"IOMA-preferred (OS→Reimb, AF→Copay)"
,ARGENTINA,Roemmers,ABAXON,rivaroxaban,2025-12-16,116127.00,IOMA,57345.08,58781.92,10 mg x 30 tablets,"IOMA-preferred (OS→Reimb, AF→Copay)"
,ARGENTINA,Roemmers,ABAXON,rivaroxaban,2025-12-16,110483.00,IOMA,57345.08,53137.92,15 mg x 30 tablets,"IOMA-preferred (OS→Reimb, AF→Copay)"
,ARGENTINA,Roemmers,ABAXON,rivaroxaban,2025-12-16,59765.00,IOMA,57345.08,2419.92,2.5 mg x 30 tablets,"IOMA-preferred (OS→Reimb, AF→Copay)"
,ARGENTINA,Roemmers,ABAXON,rivaroxaban,2025-12-16,119577.00,IOMA,57345.08,62231.92,20 mg x 30 tablets,"IOMA-preferred (OS→Reimb, AF→Copay)"
,ARGENTINA,B-Life,ABINTRA,arginine+assoc.,2025-09-29,29430.73,IMPORTED,,,sachet x 27 g,Imported-fallback
,ARGENTINA,Biotechno Pharma,ABERIC,abiraterone acetate,2025-05-28,8546235.47,,,,250 mg tablets x 120,No-scheme
,ARGENTINA,Lafedar,ABIRATERON-A,abiraterone acetate,2025-12-16,10905256.87,,,,250 mg tablets x 120,No-scheme
,ARGENTINA,Celnova Argentina,ABIRANOVA,abiraterone acetate,2025-12-23,8427456.46,,,,250 mg tablets x 120,No-scheme
,ARGENTINA,Glenmark,ABIRATERONA GLENMARK,abiraterone acetate,2025-11-17,9371297.08,IMPORTED,,,250 mg tablets x 120,Imported-fallback
,ARGENTINA,Duncan,ABLOOM,amlodipine,2026-01-08,19129.00,IOMA,14447.06,4681.94,10 mg tablets x 30,"IOMA-preferred (OS→Reimb, AF→Copay)"
,ARGENTINA,Duncan,ABLOOM 5,amlodipine,2024-02-09,6687.34,IOMA,8124.75,0.00,5 mg tablets x 30,"IOMA-preferred (OS→Reimb, AF→Copay)"
,ARGENTINA,Filaxis Farmacéutica,ABNOBA VISCUM FRAXINI,viscum album l,2025-12-30,376065.50,,,,0.02 mg inj.a.x 8,No-scheme
,ARGENTINA,Filaxis Farmacéutica,ABNOBA VISCUM FRAXINI,viscum album l,2025-12-30,376065.50,,,,0.2 mg inj.a.x 8,No-scheme
,ARGENTINA,Filaxis Farmacéutica,ABNOBA VISCUM FRAXINI,viscum album l,2025-12-30,376065.50,,,,2 mg inj.a.x 8,No-scheme
,ARGENTINA,Filaxis Farmacéutica,ABNOBA VISCUM FRAXINI,viscum album l,2025-12-30,376065.50,,,,20 mg inj.a.x 8,No-scheme
,ARGENTINA,Bristol,ABRAXANE,paclitaxel albumin,2026-01-02,6910664.91,,,,100 mg inj.liof.f.a.x 1,No-scheme
,ARGENTINA,Valuge,ABRALUX,synthetic wax + glycerin,2026-01-01,29314.51,,,,cr.x 60 g (VL),No-scheme
,ARGENTINA,Eczane,ABRIKAT,acalabrutinib,2026-01-02,17338693.66,,,,100 mg caps.x 60,No-scheme
,ARGENTINA,Pfizer,ABRILADA,adalimumab,2025-12-23,1242355.75,IMPORTED,,,40mg/0.8ml lap.prell.x 2,Imported-fallback
,ARGENTINA,F & F Farma,AC QUAXA,piroctone olamine,2025-12-15,28000.00,,,,shampoo x 200 ml (VL),No-scheme
,ARGENTINA,Pfizer,ABRYSVO,syncytial virus antigen resp.,2025-12-23,323952.13,IMPORTED,,,fco.a.liof.x1+disolv.x1,Imported-fallback
,ARGENTINA,Jayor,ACALASTATERA,acalabrutinib,2026-01-06,15497872.23,,,,100 mg caps.x 60,No-scheme
,ARGENTINA,Roemmers,ACALIX,diltiazem,2025-11-20,11966.00,IOMA,8034.10,3931.90,120 mg tablets x 20,"IOMA-preferred (OS→Reimb, AF→Copay)"
,ARGENTINA,Roemmers,ACALIX,diltiazem,2025-11-20,32552.00,IOMA,20283.62,12268.38,120 mg tablets x 50,"IOMA-preferred (OS→Reimb, AF→Copay)"
,ARGENTINA,Roemmers,ACALIX,diltiazem,2025-11-20,12959.00,IOMA,8167.51,4791.49,60 mg tablets x 50,"IOMA-preferred (OS→Reimb, AF→Copay)"
,ARGENTINA,Roemmers,ACALIX,diltiazem,2025-11-20,14674.00,IOMA,9851.44,4822.56,90 mg tablets x 50,"IOMA-preferred (OS→Reimb, AF→Copay)"
,ARGENTINA,Roemmers,ACALIX AP,diltiazem,2025-11-20,30986.00,IOMA,19644.98,11341.02,120 mg caps.x 30,"IOMA-preferred (OS→Reimb, AF→Copay)"
,ARGENTINA,Roemmers,ACALIX CRONOS,diltiazem,2025-11-20,32394.00,IOMA,20114.67,12279.33,180 mg caps. x 30,"IOMA-preferred (OS→Reimb, AF→Copay)"
,ARGENTINA,Roemmers,ACALIX CRONOS,diltiazem,2025-11-20,46862.00,IOMA,29531.38,17330.62,240 mg caps.x 30,"IOMA-preferred (OS→Reimb, AF→Copay)"
,ARGENTINA,Roemmers,ACALIX CRONOS,diltiazem,2025-11-20,52535.00,IOMA,33790.03,18744.97,300 mg caps. x 30,"IOMA-preferred (OS→Reimb, AF→Copay)"
,ARGENTINA,Olbia Pharma,ACCELON,omega 3,2025-02-05,14913.25,,,,30 caps (VL),No-scheme
,ARGENTINA,Olbia Pharma,ACCELON,omega 3,2025-02-05,26317.50,,,,60 caps (VL),No-scheme
,ARGENTINA,Olbia Pharma,ACCELON,omega 3,2025-02-05,40353.50,,,,90 caps (VL),No-scheme
,ARGENTINA,Coloplast,ACCESORIOS PARA FISTULAS,accessory,2025-11-01,374537.98,,,,box x 10 code 14041 (VL),No-scheme
