pcid,Company,Local Product Name,Generic Name,Local Pack Description
170,Abbvie,BOTOX,botulinum toxin type A,100 U vial x 1
171,Abbvie,BOTOX,botulinum toxin type A,200 U vial x 1
172,Amgen,KYPROLIS 60 MG,carfilzomib,f.a.pvo.liof.x 1
177,Adium,PROLIA,denosumab,60 mg/ml jga.prell.x 1
178,Amgen,VECTIBIX,panitumumab,100 mg f.a.x 1 x 5 ml
179,Amgen,XGEVA,denosumab,120mg/1.7 ml inj.vial x1
182,Gador,PROGRAF,tacrolimus,1 mg caps.x 100
183,Gador,PROGRAF,tacrolimus,0.5 mg caps.x 50
184,Gador,PROGRAF,tacrolimus,5 mg caps.x 50
185,Gador,PROGRAF XL,tacrolimus,0.5mg caps.acc.prol.x 50
186,Gador,PROGRAF XL,tacrolimus,1 mg caps.acc.prol.x 50
187,Gador,PROGRAF XL,tacrolimus,3 mg caps.acc.prol.x 50
188,Gador,PROGRAF XL,tacrolimus,5 mg caps.acc.prol.x 50
191,Adium,XTANDI,enzalutamide,40 mg soft capsules x 120
193,AstraZeneca,ARIMIDEX,anastrozole,comp.x 28
194,Rontag,AUROBRAL,donepezil,10 mg tablets x 30
195,Rontag,AUROBRAL,donepezil,5 mg tablets x 30
198,Rontag,AZATIOPRINA RONTAG,azathioprine,50 mg comp.x 100
212,AstraZeneca,CASODEX,bicalutamide,50 mg tablets x 28
217,AstraZeneca,FORXIGA,dapagliflozin,10 mg tablets x 28
221,AstraZeneca,KOMBIGLYZE XR,saxagliptin+metformin chlorh.,5/1000mg comp.rec.x 28
222,AstraZeneca,KOMBIGLYZE XR,saxagliptin+metformin chlorh.,2.5/1000mg comp.rec.x 56
227,AstraZeneca,ONGLYZA,saxagliptin,2.5 mg tablets x 28
228,AstraZeneca,ONGLYZA,saxagliptin,5 mg comp.x 28
242,AstraZeneca,SYMBICORT TURBUHALER,budesonide+formoterol,160/4.5 mcg dose x 120
254,Takeda Argentina S.A.,ADVATE,factor VIII coagulation recomb.,1000 IU fco.amp.liof.x 1
256,Takeda Argentina S.A.,ADVATE,factor VIII coagulation recomb.,250 IU fco.amp.liof.x 1
257,Takeda Argentina S.A.,ADVATE,factor VIII coagulation recomb.,500 IU fco.amp.liof.x 1
274,Baxter Argentina,EXTRANEAL,icodextrin,sol.p/dil.perit.x2000ml
275,Takeda Argentina S.A.,FEIBA TIM 4,anti-factor VIII inhibitor,1000 IU f.a.x 1+solv.
285,Takeda Argentina S.A.,KIOVIG,human immunoglobulin,10 g f.a.x 1 x 100 ml
286,Takeda Argentina S.A.,KIOVIG,human immunoglobulin,20 g f.a.x 1 x 200 ml
288,Takeda Argentina S.A.,KIOVIG,human immunoglobulin,5 g f.a.x 1 x 50 ml
299,Aponor,SUPRANE BAXTER,desflurane,env.x 240 ml
302,Bayer Consumer,ASPIRINETAS,acetylsalicylic acid,comp.x 28 (VL)
307,Bayer (PH),BETAFERON,interferon beta 1b,15 individual env.+kit c/jga.
315,Bayer (PH),STIVARGA,regorafenib,40 mg tab.3 x 28
316,Bayer (PH),XARELTO,rivaroxaban,10 mg tablets x 10
319,Bayer (PH),XARELTO,rivaroxaban,15 mg tablets x 28
320,Bayer (PH),XARELTO,rivaroxaban,20 mg tablets x 28
321,Bayer (PH),XARELTO,rivaroxaban,2.5 mg x 56 tablets.
323,Biogen,TYSABRI,natalizumab,300 mg/15 ml vial x 1
324,Pfizer,ELIQUIS,apixaban,2.5 mg tablets x 60
325,Pfizer,ELIQUIS,apixaban,5 mg comp.x 60
326,Merck Serono,ERBITUX,cetuximab,vial x 100 ml
327,Merck Serono,ERBITUX,cetuximab,vial x 20 ml
330,Biopas Argentina,IXEMPRA,ixabepilona,15 mg/8 ml a.x 1
332,Bristol,NULOJIX,belatacept,250mg/vial pvo.liof.x 1
333,Bristol,ORENCIA,abatacept,250 mg vial x 1
335,Bristol,ORENCIA,abatacept,125 mg jga.prell.x 4
339,Bristol,SPRYCEL,dasatinib,100 mg comp.rec.x 30
340,Bristol,SPRYCEL,dasatinib,20 mg comp.rec.x 60
341,Bristol,SPRYCEL,dasatinib,50 mg comp.rec.x 60
342,Bristol,SPRYCEL,dasatinib,70 mg comp.rec.x 60
347,Bristol,YERVOY,ipilimumab,50 mg/10 ml vial x 1
349,Bristol,ABRAXANE,paclitaxel albumin,100 mg inj.liof.f.a.x 1
350,Bristol,REVLIMID,lenalidomide,10 mg caps.x 21
351,Bristol,REVLIMID,lenalidomide,15 mg caps.x 21
352,Bristol,REVLIMID,lenalidomide,25 mg caps.x 21
353,Bristol,REVLIMID,lenalidomide,5 mg caps.x 21
355,Janssen-Cilag,DACOGEN,decitabine,50 mg f.a.x 1
361,Adium,FORTEO,teriparatide,pen desc.x 2.4 ml
362,Adium,GEMTRO,gemcitabine,200 mg f.a.x 1
363,Adium,GEMTRO,gemcitabine,1 g f.a.x 1
215,AstraZeneca,FASLODEX,fulvestrant,250mg jga.prell.x2 x5 ml
367,Adium,INSULINA HUMALOG MIX 25,ins.lispro+ins.lispro protamine,100 IU 3.0 ml cart.x 5
2189741,Boehringer Ingelheim,SPIRIVA,tiotropium bromide,30 caps/inhaler
1169,Casasco,ACLUSIN,cilostazol,50 mg tablets x 30
1177,Lazar,FLUIDIN,prasugrel,10 mg comp.rec.x 28
1178,Lazar,FLUIDIN,prasugrel,5 mg comp.rec.x 28
397,GlaxoSmithKline Biopharma,FLIXOTIDE,fluticasone,250 mcg inh.dose x 60
398,GlaxoSmithKline Biopharma,FLIXOTIDE,fluticasone,125 mcg inh. dose x 120
399,GlaxoSmithKline Biopharma,FLIXOTIDE,fluticasone,250 mcg inh. dose x 120
400,GlaxoSmithKline Biopharma,FLIXOTIDE,fluticasone,50 mcg inh. dose x 120
401,GlaxoSmithKline Biopharma,FLIXOTIDE,fluticasone,125 mcg inh. dose x 60
403,Aspen Pharma,LANVIS,thioguanine,comp.x 25
412,GlaxoSmithKline Biopharma,RELVAR ELLIPTA,"fluticasone,furoate+vilanterol",92/22 mcg x 30 doses
413,GlaxoSmithKline Biopharma,RELVAR ELLIPTA,"fluticasone,furoate+vilanterol",184/22 mcg x 30 doses
414,Novartis,REVOLADE,eltrombopag,25 mg tablets x 28
415,GlaxoSmithKline Biopharma,SERETIDE DISKUS,fluticasone+salmeterol,50/100 mcg dose x 60
416,GlaxoSmithKline Biopharma,SERETIDE DISKUS,fluticasone+salmeterol,50/250 mcg dose x 60
417,GlaxoSmithKline Biopharma,SERETIDE DISKUS,fluticasone+salmeterol,50/500 mcg dose x 60
418,GlaxoSmithKline Biopharma,SERETIDE AEROSOL HFA,fluticasone+salmeterol,25/125mcg HFA dose x120
419,GlaxoSmithKline Biopharma,SERETIDE AEROSOL HFA,fluticasone+salmeterol,25/250mcg HFA dose x120
420,GlaxoSmithKline Biopharma,SERETIDE AEROSOL HFA,fluticasone+salmeterol,25/50 mcg HFA dose x120
421,Novartis,TAFINLAR,dabrafenib,50 mg hard capsules x 28
422,Novartis,TAFINLAR,dabrafenib,75 mg hard capsules x 28
423,Novartis,TYKERB,lapatinib,250 mg caps.x 140
425,GlaxoSmithKline Biopharma,VENTOLIN HFA,salbutamol,aer.inh.c/aplic.x200ds.
426,GlaxoSmithKline Biopharma,VENTOLIN,salbutamol,sol.p/nebul.x 20 ml
439,Organon Arg.,AERIUS,desloratadine,5 mg comp.rec.x 10
440,Organon Arg.,AERIUS,desloratadine,5 mg comp.rec.x 30
451,MSD Argentina SRL,JANUMET XR,"sitagliptin+metformin,chlorh.",100/1000 mg comp.AP x 28
452,MSD Argentina SRL,JANUMET XR,"sitagliptin+metformin,chlorh.",50/1000 mg comp.AP x 56
453,MSD Argentina SRL,JANUMET,"sitagliptin+metformin,chlorh.",50/1000 mg tablets x 28
454,MSD Argentina SRL,JANUMET,"sitagliptin+metformin,chlorh.",50/500 mg tablets x 28
455,MSD Argentina SRL,JANUMET,"sitagliptin+metformin,chlorh.",50/1000 mg comp.x 56
456,MSD Argentina SRL,JANUMET,"sitagliptin+metformin,chlorh.",50/850 mg tablets x 56
457,MSD Argentina SRL,JANUVIA,sitagliptin,100 mg tablets x 28
458,MSD Argentina SRL,JANUVIA,sitagliptin,25 mg tablets x 28
459,MSD Argentina SRL,JANUVIA,sitagliptin,50 mg tablets x 28
468,Merck Serono,REBIF NF 44 MCG,beta interferon 1a without albumin,jga.prell.x 12
1299,Bioprofarma Bago,MATURUS,azacitidine,100 mg f.a.x 1
470,Organon Arg.,SINGULAIR,montelukast,children 4 mg comp.mast.x30
471,Organon Arg.,SINGULAIR,montelukast,children 5 mg comp.mast.x30
472,Organon Arg.,SINGULAIR,montelukast,10 mg tablets x 30
475,MSD Argentina SRL,TEMODAL,temozolomide,100 mg caps.x 5
476,MSD Argentina SRL,TEMODAL,temozolomide,140 mg caps.x 5
477,MSD Argentina SRL,TEMODAL,temozolomide,180 mg caps.x 5
479,MSD Argentina SRL,TEMODAL,temozolomide,250 mg caps.x 5
484,Organon Arg.,VYTORIN,ezetimibe+simvastatin,10/10 mg tablets x 30
485,Organon Arg.,VYTORIN,ezetimibe+simvastatin,10/20 mg tablets x 30
486,Organon Arg.,VYTORIN,ezetimibe+simvastatin,10/40 mg tablets x 30
487,Organon Arg.,ZETIA,ezetimibe,10 mg tablets x 28
488,MSD Argentina SRL,ZOLINZA,vorinostat,100 mg tablets x 120
489,Biosidus S.A.U.,ACLASTA,zoledronic acid,5 mg f.a.x 100 ml
490,Novartis,AFINITOR,everolimus,10 mg tablets x 30
491,Novartis,AFINITOR,everolimus,2.5 mg tablets x 30
492,Novartis,AFINITOR,everolimus,5 mg tablets x 30
493,Novartis,CERTICAN,everolimus,0.25 mg tablets x 60
494,Novartis,CERTICAN,everolimus,0.50 mg tablets x 60
495,Novartis,CERTICAN,everolimus,0.75 mg tablets x 60
496,Novartis,COSENTYX,secukinumab,150mg/1ml autoinjector x 2
498,Novartis,DESFERAL,desferrioxamine,f.a.x 10
513,Novartis,FEMARA,letrozole,2.5 mg tablets x 30
514,Celnova Argentina,GALVUS,vildagliptin,50 mg tablets x 28
515,Celnova Argentina,GALVUS,vildagliptin,50 mg comp.x 56
516,Novartis,GILENYA,fingolimod,0.5 mg caps.x 28
519,Novartis,GLIVEC,imatinib,400 mg comp.rec.x 30
520,Novartis,GLIVEC,imatinib,100 mg comp.rec.x 60
521,Novartis,ILARIS,canakinumab,150 mg/ml inj.x 1
522,Novartis,JAKAVI,ruxolitinib,15 mg tablets x 60
523,Novartis,JAKAVI,ruxolitinib,20 mg tablets x 60
524,Novartis,JAKAVI,ruxolitinib,5 mg comp.x 60
525,Novartis,SANDIMMUN NEORAL,cyclosporine p/microemulsion,100 mg caps. x 50
526,Novartis,SANDIMMUN NEORAL,cyclosporine p/microemulsion,25 mg caps.x 50
527,Novartis,SANDIMMUN NEORAL,cyclosporine p/microemulsion,50 mg caps.x 50
528,Novartis,SANDIMMUN NEORAL,cyclosporine p/microemulsion,10 mg caps.x 60
529,Novartis,SANDIMMUN NEORAL,cyclosporine p/microemulsion,100 mg sol.beb.x 50 ml
530,Novartis,ONBRIZE BREEZHALER,indacaterol,150 mcg caps.p/inh.x30
531,Novartis,ONBRIZE BREEZHALER,indacaterol,300 mcg caps.p/inh.x30
535,Novartis,SANDOSTATIN,octreotide,0.10 mg a.x 5 x 1 ml
538,Novartis,SEEBRI BREEZHALER,glycopyrronium,50 mcg caps.x 30+inh.
542,Novartis,SIMULECT,basiliximab,20 mg f.a.x 1+a.dissolv.
544,Novartis,TASIGNA,nilotinib,150 mg caps.x 120
545,Novartis,TASIGNA,nilotinib,200 mg caps.x 120
548,Novartis,ULTIBRO BREEZHALER,indacaterol+glycopyrronium,caps.p/inh.x 30+inh.
549,Bago,XOLAIR,omalizumab,150 mg f.a.liof.x1+a.dil
550,Montpellier,ZOMARIST,vildagliptin,50 mg tablets x 28
552,Montpellier,ZOMARIST MET,vildagliptin+metformin,50/1000 mg tablets x 30
553,Montpellier,ZOMARIST MET,vildagliptin+metformin,50/500 mg tablets x 30
554,Montpellier,ZOMARIST MET,vildagliptin+metformin,50/850 mg tablets x 30
555,Montpellier,ZOMARIST,vildagliptin,50 mg comp.x 56
557,Montpellier,ZOMARIST MET,vildagliptin+metformin,50/1000 mg tablets x 60
558,Montpellier,ZOMARIST MET,vildagliptin+metformin,50/500 mg tablets x 60
559,Montpellier,ZOMARIST MET,vildagliptin+metformin,50/850 mg tablets x 60
560,Novartis,ZOMETA,zoledronic acid,4 mg f.a.concent.x1 x5ml
564,Pfizer,AROMASIN,exemestane,25 mg comp.rec.x 30
565,Pfizer,BENEFIX,factor IX coagulation recomb.,1000 IU f.a.x 1
566,Pfizer,BENEFIX,factor IX coagulation recomb.,500 IU f.a.x 1
569,Aspen Pharma,CELEBREX,celecoxib,200 mg caps. x 20
570,Pfizer,DIABINESE,chlorpropamide,250 mg tablets x 50
576,Pfizer,ENBREL,etanercept,25 mg pvo.liof. vial x 4
577,Pfizer,ENBREL,etanercept,50 mg auto-injector x 4
578,Pfizer,ENBREL,etanercept,25 mg jga.prell. x 4
579,Pfizer,ENBREL,etanercept,50 mg cartridge x 4
582,Pfizer,INLYTA 1 MG,axitinib,1 mg comp.rec.x 56
583,Pfizer,INLYTA 5 MG,axitinib,5 mg comp.rec.x 56
589,Pfizer,RAPAMUNE,sirolimus,oral sol x 60 ml
590,Pfizer,RAPAMUNE,sirolimus,0.5 mg tablets x 100
591,Pfizer,RAPAMUNE,sirolimus,2 mg tablets x 30
592,Pfizer,RAPAMUNE,sirolimus,1 mg comp.x 60
593,Pfizer,SOMAVERT,pegvisomant,10 mg inj.liof.f.a.x 30
594,Pfizer,SOMAVERT,pegvisomant,15 mg inj.liof.f.a.x 30
596,Pfizer,SUTENT 25,sunitinib,25 mg caps.x 28
597,Pfizer,SUTENT 50,sunitinib,50 mg caps.x 28
600,Pfizer,TYGACIL,tigecycline,50 mg inj.f.a.x 10
604,Pfizer,XALKORI 200,crizotinib,fco.x 60 caps
605,Pfizer,XALKORI 250,crizotinib,fco.x 60 caps
606,Pfizer,XELJANZ,tofacitinib,5 mg comp.rec.x 60
607,Pfizer,XYNTHA,factor VIII coagulation recomb.,1000IU f.a.x1+jga.prell.
608,Pfizer,XYNTHA,factor VIII coagulation recomb.,250 IU pvo.liof.iny.x 1
609,Pfizer,XYNTHA,factor VIII coagulation recomb.,500 IU f.a.x1+jga.prell.
611,Pfizer,ZYVOX IV,linezolid,600 mg bags x 10x300ml
612,Pfizer,ZYVOX ORAL,linezolid,600 mg tab.x 10
613,Roche,ACTEMRA,tocilizumab,200mg/10ml f.a.x 1
614,Roche,ACTEMRA,tocilizumab,400mg/20ml f.a.x 1
615,Roche,ACTEMRA,tocilizumab,80mg/4ml f.a.x 1
616,Roche,AVASTIN,bevacizumab,400 mg/16 ml a.x. 1
617,Roche,AVASTIN,bevacizumab,100 mg/4 ml a.x. 1
618,Roche,CELLCEPT,mycophenolate mofetil,250 mg caps.x 100
619,Roche,CELLCEPT,mycophenolate mofetil,500 mg tablets x 50
621,Roche,ERIVEDGE,vismodegib,150 mg caps.x 28
622,Roche,HERCEPTIN,trastuzumab,440 mg/50 ml a.x. 1
623,Roche,KADCYLA,trastuzumab emtansine,100 mg vial x 1
624,Roche,KADCYLA,trastuzumab emtansine,160 mg vial x 1
625,Novartis,LUCENTIS,ranibizumab,1 vial x 0.23 ml+needle
626,Roche,MABTHERA,rituximab,500 mg/50 ml f.a. x 1
627,Roche,MABTHERA,rituximab,100 mg/10 ml f.a. x 2
628,Roche,MABTHERA SC,rituximab,1400 mg/11.7 ml vial x 1
631,Roche,PERJETA,pertuzumab,420 mg/14 ml a.x. 1
636,Roche,ZELBORAF,vemurafenib,240 mg tablets x 56
637,Biosidus S.A.U.,TACROLIMUS SANDOZ,tacrolimus,0.5 mg caps.x 50
638,Biosidus S.A.U.,TACROLIMUS SANDOZ,tacrolimus,1 mg caps.x 100
639,Biosidus S.A.U.,TACROLIMUS SANDOZ,tacrolimus,5 mg caps.x 50
646,Eriochem,ERIOTIB,"bendamustine,chlorh.",25 mg pvo.liof.vial x 1
647,Eriochem,ERIOTIB,"bendamustine,chlorh.",100 mg pvo.liof.vial x 1
666,Eriochem,MARTXEL 500 MG 1 FCO.AMP.,pemetrexed,500 mg pvo. liof. 1 vial
676,Sanofi-Aventis,AMARYL,glimepiride,2 mg tablets x 30
677,Sanofi-Aventis,AMARYL,glimepiride,4 mg comp.x 30
1366,Tuteur,METOTREXATE TUTEUR,methotrexate,50 mg/2 ml f.a.x 1
685,Sanofi-Aventis,AUBAGIO,teriflunomide,14 mg comp.rec.x 28
702,Sanofi-Aventis,JEVTANA,cabazitaxel,f.a.x 1 x 1.5 ml+diluy.
714,Sanofi-Aventis,RENVELA,sevelamer carbonate,over x 90
715,Sanofi-Aventis,RENVELA,sevelamer carbonate,comp.rec.x 180
721,Montpellier,CIMZIA,certolizumab pegol,jga.prell.x 2 x 1 ml
722,GlaxoSmithKline Biopharma,BENLYSTA,belimumab,400 mg vial x 1
723,GlaxoSmithKline Biopharma,BENLYSTA,belimumab,120 mg vial x 1
724,Gador,TRUVADA,emtricitabine+tenofovirdisoprox.,comp.rec.x 30
1381,Tuteur,LIDORAS,pemetrexed,500 mg f.a.liof.x 1
1504,Filaxis Farmaceutica,FLURADOSA,fludarabine,50 mg inj.f.a.liof.x 1
1561338,LKM,CITARABINA LKM 1000,cytarabine,iny.liof.f.a.x 1
1685,Bago,LUKAST 5,montelukast,5 mg comp.mast.x 30
1705,Medisol,RINOSOL,beclomethasone,Nasal suspension x 200 doses
2033,Ariston,LEFLUNOMIDA SC,leflunomide,20 mg comp.rec.x 30
734,Filaxis Farmaceutica,ANASTROZOL GP PHARM,anastrozole,1 mg comp.rec.x 28
735,Filaxis Farmaceutica,CAPECITABINA GP PHARM,capecitabine,500 mg comp.rec.x 120
736,Filaxis Farmaceutica,DOCETAXEL GP PHARM,docetaxel,20 mg f.a.+solv.x 1
737,Filaxis Farmaceutica,DOCETAXEL GP PHARM,docetaxel,80 mg f.a.+solv.x 1
738,Filaxis Farmaceutica,HAXANIT,gemcitabine,1000 mg f.a.x 1
739,Filaxis Farmaceutica,HAXANIT,gemcitabine,200 mg f.a.x 1
740,Filaxis Farmaceutica,IMATINIB GP PHARM,imatinib,100 mg comp.rec.x 180
741,Filaxis Farmaceutica,IMATINIB GP PHARM,imatinib,400 mg comp.rec.x 30
2058,Richet,IBANDRONATO RICHET,"ibandronic acid,ac.",150 mg comp.rec.x 1
745,Filaxis Farmaceutica,OXALIPLATINO GP PHARM,oxaliplatin,50 mg f.a.x 1
746,Filaxis Farmaceutica,OXALIPLATINO GP PHARM,oxaliplatin,100 mg f.a.x 1
2072,Richet,TIGECICLINA LIOFILIZADO RICHET,tigecycline,50 mg inj.f.a.x 10
757,Varifarma,CAPECITABINA VARIFARMA,capecitabine,500 mg tablets x 120
758,Varifarma,CARBOPLATINO VARIFARMA,carboplatin,150 mg inj.liof.f.a.x 1
759,Varifarma,CARBOPLATINO VARIFARMA,carboplatin,450 mg inj.liof.f.a.x 1
761,Varifarma,LEUNIB,dasatinib,100 mg comp.rec.x 30
762,Varifarma,LEUNIB,dasatinib,50 mg comp.rec.x 60
763,Varifarma,LEUNIB,dasatinib,70 mg comp.rec.x 60
765,Varifarma,DOCETAXEL VARIFARMA,docetaxel,20 mg f.a.x 1 x 0.5 ml
766,Varifarma,DOCETAXEL VARIFARMA,docetaxel,80 mg f.a.x 1 x 2.0 ml
767,Varifarma,CUATROEPI,epirubicin,50 mg a.x 1
774,Varifarma,IDARUBICINA VARIFARMA,idarubicin,10 mg liof.f.a.x 1
779,Varifarma,MESINIB,imatinib,100 mg comp.rec.x 180
