Product,Company,URL,Source,Scraped_By_Selenium,Scraped_By_API,Selenium_Records,API_Records
+50,ISA,https://www.alfabeta.net/precio/50.html,selenium,yes,no,1,0
100% WHEY PROTEIN,Laboratorio ENA,https://www.alfabeta.net/precio/100-whey-protein.html,selenium,yes,no,3,0
102 FOCUS,Laboratorio Millet,https://www.alfabeta.net/precio/102-focus.html,selenium,yes,no,1,0
102 MAGNESIO,Laboratorio Millet,https://www.alfabeta.net/precio/102-magnesio.html,selenium,yes,no,1,0
102 MAGNESIO CITRATO,Laboratorio Millet,https://www.alfabeta.net/precio/102-magnesio-citrato.html,selenium,yes,no,1,0
102 MAGNESIO GUMMIES,Laboratorio Millet,https://www.alfabeta.net/precio/102-magnesio-gummies.html,selenium,yes,no,1,0
102 MUJER,Laboratorio Millet,https://www.alfabeta.net/precio/102-mujer.html,selenium,yes,no,1,0
102 PLUS,Laboratorio Millet,https://www.alfabeta.net/precio/102-plus.html,selenium,yes,no,3,0
102 PLUS EFERVESCENTE,Laboratorio Millet,https://www.alfabeta.net/precio/102-plus-efervescente.html,selenium,yes,no,1,0
102 SPORT BCAA,Laboratorio Millet,https://www.alfabeta.net/precio/102-sport-bcaa.html,selenium,yes,no,1,0
102 VITAMINA C,Laboratorio Millet,https://www.alfabeta.net/precio/102-vitamina-c.html,selenium,yes,no,2,0
3 TC,GlaxoSmithKline Biopharma,https://www.alfabeta.net/precio/3-tc.html,selenium,yes,no,2,0
3 TC + AZT ELEA,Elea,https://www.alfabeta.net/precio/3-tc--azt-elea.html,selenium,yes,no,1,0
3 TC COMPLEX,GlaxoSmithKline Biopharma,https://www.alfabeta.net/precio/3-tc-complex.html,selenium,yes,no,1,0
4 x 4,ISA,https://www.alfabeta.net/precio/4-x-4.html,selenium,yes,no,1,0
420 CBD BEAUTY,IQUISA,https://www.alfabeta.net/precio/420-cbd-beauty.html,selenium,yes,no,1,0
420 CBD RELAX,IQUISA,https://www.alfabeta.net/precio/420-cbd-relax.html,selenium,yes,no,1,0
420 CBD TETITA FELIZ PACK,IQUISA,https://www.alfabeta.net/precio/420-cbd-tetita-feliz-pack.html,selenium,yes,no,1,0
5 FU,Cassará,https://www.alfabeta.net/precio/5-fu.html,selenium,yes,no,1,0
5-ASA 1000,Domínguez,https://www.alfabeta.net/precio/5-asa-1000.html,selenium,yes,no,2,0
5-ASA 2000,Domínguez,https://www.alfabeta.net/precio/5-asa-2000.html,selenium,yes,no,1,0
5-ASA 400,Domínguez,https://www.alfabeta.net/precio/5-asa-400.html,selenium,yes,no,4,0
5-ASA 4000,Domínguez,https://www.alfabeta.net/precio/5-asa-4000.html,selenium,yes,no,1,0
5-ASA 500,Domínguez,https://www.alfabeta.net/precio/5-asa-500.html,selenium,yes,no,2,0
5-ASA 800,Domínguez,https://www.alfabeta.net/precio/5-asa-800.html,selenium,yes,no,2,0
5XR 1000,Ariston,https://www.alfabeta.net/precio/5xr-1000.html,selenium,yes,no,2,0
5XR 500,Ariston,https://www.alfabeta.net/precio/5xr-500.html,selenium,yes,no,2,0
8 HORAS,Elea,https://www.alfabeta.net/precio/8-horas.html,selenium,yes,no,2,0
A ACIDO,Domínguez,https://www.alfabeta.net/precio/a-acido.html,selenium,yes,no,3,0
A ACIDO EMOLIENTE,Domínguez,https://www.alfabeta.net/precio/a-acido-emoliente.html,selenium,yes,no,1,0
A ACIDO VITAL,Domínguez,https://www.alfabeta.net/precio/a-acido-vital.html,selenium,yes,no,1,0
A-VITEL,Medipharma,https://www.alfabeta.net/precio/a-vitel.html,selenium,yes,no,3,0
A-VITEL E,Medipharma,https://www.alfabeta.net/precio/a-vitel-e.html,selenium,yes,no,1,0
A.H.A,Sempre Giovane,https://www.alfabeta.net/precio/aha.html,selenium,yes,no,1,0
ABACAVIR ELEA,Elea,https://www.alfabeta.net/precio/abacavir-elea.html,selenium,yes,no,1,0
ABACAVIR LAMIVUDINA TRB PHARMA,Trb-Pharma,https://www.alfabeta.net/precio/abacavir-lamivudina-trb-pharma.html,selenium,yes,no,1,0
ABARAX,Elea,https://www.alfabeta.net/precio/abarax.html,selenium,yes,no,2,0
ABAXON,Roemmers,https://www.alfabeta.net/precio/abaxon.html,selenium,yes,no,5,0
ABELCET,Teva Argentina,https://www.alfabeta.net/precio/abelcet.html,selenium,yes,no,1,0
