input_company,input_product_name,timestamp,error_message
Bayer Consumer,ACTRON 400 RAPIDA ACCION NF,2026-01-18T10:06:02,"Driver error during search: Message: 
"
Bayer Consumer,ACTRON 400 RAPIDA ACCION NF,2026-01-18T10:20:25,"Driver error during search: Message: 
"
Elea,AEROXINA,2026-01-18T10:20:36,"Driver error during extraction: Message: 
"
Gemepe,AGUA DESTILADA GEMEPE,2026-01-18T10:22:20,"Driver error during search: Message: 
"
Bina Pharma S.A.,AGUA DESTILADA INYECTABLE BINA PHARMA,2026-01-18T10:22:22,"Driver error during search: Message: 
"
Jayor,AGUA DESTILADA INYECTABLE JAYOR,2026-01-18T10:22:22,"Driver error during search: Message: 
"
B. Braun,AGUA DESTILADA INYECTABLE SIST.CERRADO EP,2026-01-18T10:22:42,"Driver error during search: Message: 
"
Northia,AGUA DESTILADA NORTHIA,2026-01-18T10:22:43,"Driver error during search: Message: 
"
Laboratorios Tecsolpar,AGUA ESTERIL PARA INYECTABLES,2026-01-18T10:22:44,"Driver error during search: Message: 
"
B. Braun,AGUA INYECTABLE BP,2026-01-18T10:23:04,"Driver error during search: Message: 
"
Celtyc,AGUA PARA INYECTABLE CELTYC,2026-01-18T10:23:05,"Driver error during search: Message: 
"
LKM,AGUCORT,2026-01-18T10:23:06,"Driver error during search: Message: 
"
Roche Diabetes,AGUJAS ACCU-FINE,2026-01-18T10:23:26,"Driver error during search: Message: 
"
Celnova Argentina,AGUJAS BD ULTRAFINE 4MM 32G (EF),2026-01-18T10:23:27,"Driver error during search: Message: 
"
Celnova Argentina,AGUJAS BD ULTRAFINE 5MM 31G,2026-01-18T10:23:28,"Driver error during search: Message: 
"
Celnova Argentina,AGUJAS BD ULTRAFINE 8MM 31G,2026-01-18T10:23:47,"Driver error during search: Message: 
"
Novo Nordisk,AGUJAS NOVOFINE 30 G,2026-01-18T10:23:49,"Driver error during search: Message: 
"
Novo Nordisk,AGUJAS NOVOFINE 32 G,2026-01-18T10:23:49,"Driver error during search: Message: 
"
Novo Nordisk,AGUJAS NOVOFINE 32 G TIP,2026-01-18T10:24:09,"Driver error during search: Message: 
"
Biofactor,AIMAFIX,2026-01-18T10:24:10,"Driver error during search: Message: 
"
Novartis,AIMOVIG,2026-01-18T10:24:11,"Driver error during search: Message: 
"
Biofactor,AIRBUDE ADULTOS HFA,2026-01-18T10:24:31,"Driver error during search: Message: 
"
Biofactor,AIRBUDE INFANTIL HFA,2026-01-18T10:24:32,"Driver error during search: Message: 
"
Biofactor,AIRBUDE INFANTIL HFA + MAXAIR PED,2026-01-18T10:24:33,"Driver error during search: Message: 
"
Lab Internacional Argentino,AIRCOSALM,2026-01-18T10:24:53,"Driver error during search: Message: 
"
Lab Internacional Argentino,AIRCOSALM HFA,2026-01-18T10:24:54,"Driver error during search: Message: 
"
Siegfried,AIREAL 10,2026-01-18T10:24:55,"Driver error during search: Message: 
"
Siegfried,AIREAL 5,2026-01-18T10:25:16,"Driver error during search: Message: 
"
Siegfried,AIREAL PLUS,2026-01-18T10:25:17,"Driver error during search: Message: 
"
Fecofar,ALERGITRAT,2026-01-18T10:28:11,"Driver error during search: Message: 
"
Siegfried,ALFICETIN,2026-01-18T10:29:14,"Driver error during search: Message: 
"
Gobbi,ALGEDOL,2026-01-18T10:29:15,"Driver error during search: Message: 
"
Richet,AMOXICILINA CLAVULANICO FORTE RICHET,2026-01-18T10:37:43,"Driver error during search: Message: 
"
Richet,AMOXICILINA CLAVULANICO RICHET,2026-01-18T10:37:44,"Driver error during search: Message: 
"
Fecofar,AMOXICILINA FECOFAR,2026-01-18T10:37:48,"Driver error during search: Message: 
"
Richet,AMOXICILINA CLAVULANICO 7:1 RICHET,2026-01-18T10:37:57,"Driver error during extraction: Message: 
"
