input_company,input_product_name,timestamp,records_found
Laboratorio Millet,102 FOCUS,2026-01-02T16:25:21,1
Laboratorio Millet,102 MAGNESIO CITRATO,2026-01-02T16:25:22,1
Laboratorio Millet,102 MAGNESIO,2026-01-02T16:25:24,1
Laboratorio Millet,102 MAGNESIO GUMMIES,2026-01-02T16:25:37,1
Laboratorio Millet,102 MUJER,2026-01-02T16:25:47,1
Laboratorio Millet,102 PLUS,2026-01-02T16:25:57,3
Laboratorio Millet,102 PLUS EFERVESCENTE,2026-01-02T16:26:07,1
Laboratorio Millet,102 SPORT BCAA,2026-01-02T16:26:17,1
Laboratorio Millet,102 VITAMINA C,2026-01-02T16:26:26,2
GlaxoSmithKline Biopharma,3 TC,2026-01-02T16:26:36,2
Lepetit,ACIMED,2026-01-02T16:26:40,4
GlaxoSmithKline Biopharma,3 TC COMPLEX,2026-01-02T16:27:08,1
IQUISA,420 CBD BEAUTY,2026-01-02T16:27:19,1
IQUISA,420 CBD RELAX,2026-01-02T16:27:27,1
IQUISA,420 CBD TETITA FELIZ PACK,2026-01-02T16:27:37,1
Medisol,ACIMED,2026-01-02T16:27:40,1
Cassará,5 FU,2026-01-02T16:27:47,1
Klonal,AGUA DESTILADA,2026-01-02T16:28:40,1
Ariston,5XR 1000,2026-01-02T16:29:06,2
Ariston,5XR 500,2026-01-02T16:29:06,2
Elea,8 HORAS,2026-01-02T16:29:16,2
Domínguez,A ACIDO,2026-01-02T16:29:26,3
Domínguez,A ACIDO EMOLIENTE,2026-01-02T16:29:37,1
Veinfar,AGUA DESTILADA,2026-01-02T16:29:40,1
Domínguez,A ACIDO VITAL,2026-01-02T16:29:48,1
Elea,ABACAVIR ELEA,2026-01-02T16:30:27,1
Trb-Pharma,ABACAVIR LAMIVUDINA TRB PHARMA,2026-01-02T16:30:36,1
Austral,AMOXITRAL,2026-01-02T16:30:42,2
Elea,ABARAX,2026-01-02T16:30:47,2
Roemmers,ABAXON,2026-01-02T16:30:57,5
Teva Argentina,ABELCET,2026-01-02T16:31:07,1
Biotechno Pharma,ABERIC,2026-01-02T16:31:17,1
B-Life,ABINTRA,2026-01-02T16:31:27,1
Celnova Argentina,ABIRANOVA,2026-01-02T16:31:38,1
Lepetit,AMOXITRAL,2026-01-02T16:31:40,1
Glenmark,ABIRATERONA GLENMARK,2026-01-02T16:31:58,1
Duncan,ABLOOM,2026-01-02T16:32:07,1
Duncan,ABLOOM 5,2026-01-02T16:32:17,1
Filaxis Farmacéutica,ABNOBA VISCUM FRAXINI,2026-01-02T16:32:27,4
Valuge,ABRALUX,2026-01-02T16:32:37,1
Medisol,AMOXOL 1000,2026-01-02T16:32:39,1
Bristol,ABRAXANE,2026-01-02T16:32:46,1
Eczane,ABRIKAT,2026-01-02T16:32:57,1
Pfizer,ABRILADA,2026-01-02T16:33:07,1
Pfizer,ABRYSVO,2026-01-02T16:33:17,1
F & F Farma,AC QUAXA,2026-01-02T16:33:27,1
Jayor,ACALASTATERA,2026-01-02T16:33:37,1
Sanitas,AMOXOL 1000,2026-01-02T16:33:43,1
Roemmers,ACALIX,2026-01-02T16:33:46,4
Roemmers,ACALIX AP,2026-01-02T16:33:57,1
Roemmers,ACALIX CRONOS,2026-01-02T16:34:08,3
Siegfried,ACANTEX,2026-01-02T16:34:17,5
Olbia Pharma,ACCELON,2026-01-02T16:34:27,3
Coloplast,ACCESORIOS PARA FISTULAS,2026-01-02T16:34:37,1
Cassará,AMOXOL 500,2026-01-02T16:34:39,2
Medisol,AMOXOL 500,2026-01-02T16:35:39,1
Fabop,ATIBAX,2026-01-02T16:36:38,1
Sanitas,ACEITE DE ALMENDRAS EWE,2026-01-02T16:36:57,2
Sanitas,ACEITE DE ALMENDRAS EWE CON GOTERO,2026-01-02T16:37:07,1
Sanitas,ACEITE DE ARGAN EWE,2026-01-02T16:37:17,1
Sidus,ACEITE DE CHIA CORMILLOT,2026-01-02T16:37:27,1
San Ceferino,ACEITE DE COCO NEUTRO,2026-01-02T16:37:37,2
Savant Generic,ATIBAX,2026-01-02T16:37:38,1
Sanitas,ACEITE DE JOJOBA EWE,2026-01-02T16:37:47,1
Innovapharma,ACEITE DE KRILL,2026-01-02T16:37:57,1
Sanitas,ACEITE DE LAVANDA EWE,2026-01-02T16:38:07,1
AMN,ACEITE DE LORENZO,2026-01-02T16:38:17,1
Provefarma,ACEITE DE OREGANO,2026-01-02T16:38:27,1
Provefarma,ACEITE DE PESCADO 1000,2026-01-02T16:38:37,2
Laboratorio ENA,BCAA 2:1:1,2026-01-02T16:38:38,1
Garden House Argentina,ACEITE DE PESCADO GARDEN HOUSE,2026-01-02T16:38:47,3
Provefarma,ACEITE DE PESCADO OMEGANAT,2026-01-02T16:38:57,1
Sanitas,ACEITE DE RICINO EWE,2026-01-02T16:39:07,2
Sanitas,ACEITE DE TEA TREE OIL EWE,2026-01-02T16:39:17,1
Laboratorio Dicofar,ACEITE ESMERALDA MOONE,2026-01-02T16:39:27,1
Siegfried,ACEMUK,2026-01-02T16:39:36,8
Pharmamerican S.R.L.,BCAA 2:1:1,2026-01-02T16:39:39,1
Siegfried,ACEMUK BIOTIC,2026-01-02T16:39:47,1
Siegfried,ACEMUK BIOTIC DUO,2026-01-02T16:39:57,1
Siegfried,ACEMUK DIA Y NOCHE,2026-01-02T16:40:07,1
Siegfried,ACEMUK GRIP,2026-01-02T16:40:17,1
Siegfried,ACEMUK JARABE,2026-01-02T16:40:27,1
Siegfried,ACEMUK L,2026-01-02T16:40:37,1
Rospaw,ACENOCOUMAROL ROSPAW,2026-01-02T16:40:47,1
Siegfried,ACERPES,2026-01-02T16:40:57,3
Novoplos,ACETA,2026-01-02T16:41:08,1
Teva Argentina,ACETILCISTEINA TEVA,2026-01-02T16:41:17,1
