Effective Start Date,Effective End Date,DIN,Trade name,Strength,Dosage form,DBP (raw),Ex Factory Wholesale Price,Ex Factory Wholesale Unit,Local Pack Description,PK keyword present,Public With VAT Price,RI Price,Reimbursable Status,Reimbursable Price,Reimbursable Rate,Reimbursable Notes,Copayment Value
2025-10-20,,02541769,Evkeeza,150mg/mL,Inj Sol,$29.4600/mg,29.46,mg,150mg/mL Inj Sol,No,31.8168,31.8168,FULLY REIMBURSABLE,31.8168,,"DRUGS FUNDED BY EAP. THERE EXISTS AN ADDITIONAL COPAYMENT BASED ON PATIENT'S AGE/INCOME ($6.11/PRESCRIPTION FOR 65 YEARS & OLD, INCOME ABOVE $19,300; $2/PRESCRIPTION FOR 65 YEARS OLD, INCOME BELOW $19,300 & FOR POPULATION UNDER TRILLIUM DRUG PROGRAM)",0.0
2025-10-20,,02543931,Uplizna,10mg/mL,Inj Sol,"$2,562.3000/mL",2562.3,mL,10mg/mL Inj Sol,No,2767.284,2767.284,FULLY REIMBURSABLE,2767.284,,"DRUGS FUNDED BY EAP. THERE EXISTS AN ADDITIONAL COPAYMENT BASED ON PATIENT'S AGE/INCOME ($6.11/PRESCRIPTION FOR 65 YEARS & OLD, INCOME ABOVE $19,300; $2/PRESCRIPTION FOR 65 YEARS OLD, INCOME BELOW $19,300 & FOR POPULATION UNDER TRILLIUM DRUG PROGRAM)",0.0
2025-10-20,,02544903,Velsipity,2mg,Tab,$43.1000,43.1,,2mg Tab,No,46.548,46.548,FULLY REIMBURSABLE,46.548,,"DRUGS FUNDED BY EAP. THERE EXISTS AN ADDITIONAL COPAYMENT BASED ON PATIENT'S AGE/INCOME ($6.11/PRESCRIPTION FOR 65 YEARS & OLD, INCOME ABOVE $19,300; $2/PRESCRIPTION FOR 65 YEARS OLD, INCOME BELOW $19,300 & FOR POPULATION UNDER TRILLIUM DRUG PROGRAM)",0.0
2025-10-10,,02537745,Imcivree,10mg/mL,Inj Sol-Vial Pk,$4022.9046/Vial Pk,4022.9046,Vial Pk,10mg/mL Inj Sol-Vial Pk,Yes,4344.736968,4344.736968,FULLY REIMBURSABLE,4344.736968,,"DRUGS FUNDED BY EAP. THERE EXISTS AN ADDITIONAL COPAYMENT BASED ON PATIENT'S AGE/INCOME ($6.11/PRESCRIPTION FOR 65 YEARS & OLD, INCOME ABOVE $19,300; $2/PRESCRIPTION FOR 65 YEARS OLD, INCOME BELOW $19,300 & FOR POPULATION UNDER TRILLIUM DRUG PROGRAM)",0.0
2025-09-29,,02495058,Xospata,40mg,Tab,$276.6847,276.6847,,40mg Tab,No,298.819476,298.819476,FULLY REIMBURSABLE,298.819476,,"DRUGS FUNDED BY EAP. THERE EXISTS AN ADDITIONAL COPAYMENT BASED ON PATIENT'S AGE/INCOME ($6.11/PRESCRIPTION FOR 65 YEARS & OLD, INCOME ABOVE $19,300; $2/PRESCRIPTION FOR 65 YEARS OLD, INCOME BELOW $19,300 & FOR POPULATION UNDER TRILLIUM DRUG PROGRAM)",0.0
2025-09-16,,02543079,Epidiolex,100mg/mL,Oral Sol-100mL Pk,$1424.5400/Pk,1424.54,Pk,100mg/mL Oral Sol-100mL Pk,Yes,1538.5032,1538.5032,FULLY REIMBURSABLE,1538.5032,,"DRUGS FUNDED BY EAP. THERE EXISTS AN ADDITIONAL COPAYMENT BASED ON PATIENT'S AGE/INCOME ($6.11/PRESCRIPTION FOR 65 YEARS & OLD, INCOME ABOVE $19,300; $2/PRESCRIPTION FOR 65 YEARS OLD, INCOME BELOW $19,300 & FOR POPULATION UNDER TRILLIUM DRUG PROGRAM)",0.0
2025-09-10,,02554267,Brukinsa,160mg,Tab,$135.9666,135.9666,,160mg Tab,No,146.843928,146.843928,FULLY REIMBURSABLE,146.843928,,"DRUGS FUNDED BY EAP. THERE EXISTS AN ADDITIONAL COPAYMENT BASED ON PATIENT'S AGE/INCOME ($6.11/PRESCRIPTION FOR 65 YEARS & OLD, INCOME ABOVE $19,300; $2/PRESCRIPTION FOR 65 YEARS OLD, INCOME BELOW $19,300 & FOR POPULATION UNDER TRILLIUM DRUG PROGRAM)",0.0
2025-08-29,,02549980,Tibsovo,250mg,Tab,$332.6000,332.6,,250mg Tab,No,359.208,359.208,FULLY REIMBURSABLE,359.208,,"DRUGS FUNDED BY EAP. THERE EXISTS AN ADDITIONAL COPAYMENT BASED ON PATIENT'S AGE/INCOME ($6.11/PRESCRIPTION FOR 65 YEARS & OLD, INCOME ABOVE $19,300; $2/PRESCRIPTION FOR 65 YEARS OLD, INCOME BELOW $19,300 & FOR POPULATION UNDER TRILLIUM DRUG PROGRAM)",0.0
2025-07-07,,02548909,Wainua,45mg/0.8mL,Inj Sol-0.8mL Pref Autoinj (Preservative-Free),$1059.5629/mg,1059.5629,mg,45mg/0.8mL Inj Sol-0.8mL Pref Autoinj (Preservative-Free),No,1144.327932,1144.327932,FULLY REIMBURSABLE,1144.327932,,"DRUGS FUNDED BY EAP. THERE EXISTS AN ADDITIONAL COPAYMENT BASED ON PATIENT'S AGE/INCOME ($6.11/PRESCRIPTION FOR 65 YEARS & OLD, INCOME ABOVE $19,300; $2/PRESCRIPTION FOR 65 YEARS OLD, INCOME BELOW $19,300 & FOR POPULATION UNDER TRILLIUM DRUG PROGRAM)",0.0
2025-06-24,,02544733,Truqap,160mg,Tab,$147.6000,147.6,,160mg Tab,No,159.408,159.408,FULLY REIMBURSABLE,159.408,,"DRUGS FUNDED BY EAP. THERE EXISTS AN ADDITIONAL COPAYMENT BASED ON PATIENT'S AGE/INCOME ($6.11/PRESCRIPTION FOR 65 YEARS & OLD, INCOME ABOVE $19,300; $2/PRESCRIPTION FOR 65 YEARS OLD, INCOME BELOW $19,300 & FOR POPULATION UNDER TRILLIUM DRUG PROGRAM)",0.0
