DIN,Product,Manufacturer,Format,Cost,UnitPrice
02246082,Flunarizine,AA Pharma,60,43.22,0.7203
00556734,Vermox,Janss. Inc,6,19.27,3.2117
02230897,Biltricide,Bayer,4,23.12,5.7800
02380617,Jamp-Pyrantel,Pamoate Jamp,10,7.18,0.7175
02535467,Riva-Pyrantel,Pamoate Riva,10,7.18,0.7175
02481073,Amikacin,Sulfate Injection Marcan,1,62.40,62.4000
02242971,Amikacine,(Sulfate d') Sandoz,1,62.40,62.4000
02525909,Sulfate,d'Amikacine Hikma,10,849.00,84.9000
02486717,Sulfate,d'Amikacine Oméga,1,62.40,62.4000
02529459,Sulfate,d'amikacine pour Jamp,10,624.01,62.4008
02506599,VPI-Amikacin,VPI,10,624.01,62.4008
02240774,Apo-Cefadroxil,Apotex,100,58.95,0.5895
02544792,JAMP,Cefadroxil Jamp,100,58.95,0.5895
02235134,Teva-Cefadroxil,Teva Can,100,58.95,0.5895
02108127,Céfazoline,Teva Can,10,26.96,2.6961
02297205,Céfazoline,pour injection Apotex,10,26.96,2.6961
02237138,Céfazoline,pour injection Fresenius,10,26.96,2.6961
02437112,Céfazoline,pour injection Hikma,25,67.40,2.6961
02308959,Céfazoline,pour injection Sandoz,10,26.96,2.6961
02465469,Céfazoline,sodique pour Sterimax,10,26.96,2.6961
02524791,Céfazoline,pour injection Sterimax,10,57.12,5.7120
02108135,Cefazolin,Teva Can,1,30.15,30.1500
02297213,Céfazoline,pour injection Apotex,10,301.50,30.1500
02237140,Céfazoline,pour injection Fresenius,10,301.50,30.1500
02437120,Céfazoline,pour injection Hikma,10,301.50,30.1500
02308967,Céfazoline,pour injection Sandoz,1,30.15,30.1500
02465477,Céfazoline,sodique pour Sterimax,10,301.50,30.1500
02108119,Céfazoline,Novopharm,10,25.00,2.5000
02437104,Cefazoline,pour injection Hikma,25,62.50,2.5000
02308932,Céfazoline,pour injection Sandoz,10,25.00,2.5000
02432773,Auro-Cefixime,AuroPharma,7,19.02,2.7172
00868981,Suprax,Odan,7,19.02,2.7172
02434091,Céfotaxime,sodique pour Sterimax,10,83.30,8.3300
02434105,Céfotaxime,sodique pour Sterimax,10,166.86,16.6860
02293528,Taro-Cefprozil,Sun Pharma,100,43.32,0.4332
02347253,Auro-Cefprozil,AuroPharma,100,84.94,0.8494
02302187,Sandoz,Cefprozil Sandoz,100,84.94,0.8494
02293536,Taro-Cefprozil,Sun Pharma,100,84.94,0.8494
00886971,Ceftazidime,pour injection Fresenius,1,18.85,18.8500
02437848,Ceftazidime,pour injection Sterimax,10,188.50,18.8500
00886955,Ceftazidime,pour injection Fresenius,1,37.10,37.1000
02437856,Ceftazidime,pour injection Sterimax,10,371.00,37.1000
00886963,Ceftazidime,pour injection Fresenius,1,111.29,111.2900
02437864,Ceftazidime,pour injection Sterimax,1,111.29,111.2900
02325616,Ceftriaxone,Sterimax,10,124.90,12.4900
02292270,Ceftriaxone,pour injection Sandoz,10,124.90,12.4900
02287633,Ceftriaxone,sodique pour Novopharm,1,12.49,12.4900
02325624,Ceftriaxone,Sterimax,10,344.85,34.4850
02292289,Ceftriaxone,pour injection Sandoz,10,344.85,34.4850
02325632,Ceftriaxone,Sterimax,1,107.10,107.1000
02292904,Ceftriaxone,pour injection Apotex,1,107.10,107.1000
02287668,Ceftriaxone,sodique pour Novopharm,1,107.10,107.1000
02292297,Ceftriaxone,sodique pour Sandoz,1,107.10,107.1000
02292866,Ceftriaxone,pour injection Apotex,10,56.43,5.6430
02325594,Ceftriaxone,sodique pour Sterimax,10,56.43,5.6430
02244393,Apo-Cefuroxime,Apotex,60,25.16,0.4194
02344823,Auro-Cefuroxime,AuroPharma,60,25.16,0.4194
02547198,JAMP,Cefuroxime Jamp,60,25.16,0.4194
02244394,Apo-Cefuroxime,Apotex,60,49.85,0.8308
02344831,Auro-Cefuroxime,AuroPharma,60,49.85,0.8308
02547201,JAMP,Cefuroxime Jamp,60,49.85,0.8308
02241639,Céfuroxime,pour injection Fresenius,1,28.04,28.0400
02422301,Céfuroxime,pour injection Hikma,25,701.00,28.0400
02422328,Céfuroxime,pour injection Hikma,10,1051.40,105.1400
02241638,Céfuroxime,pour injection Fresenius,1,14.01,14.0100
02422298,Céfuroxime,pour injection Hikma,25,350.25,14.0100
00768723,Apo-Cephalex,Apotex,100,8.66,0.0866
02470578,Auro-Cephalexin,AuroPharma,100,8.66,0.0866
02521253,Cephalexin,Sanis,100,8.66,0.0866
02494698,Jamp,Cephalexin Jamp,100,8.66,0.0866
00583413,Teva-Cephalexin,Teva Can,100,8.66,0.0866
00768715,Apo-Cephalex,Apotex,100,17.31,0.1731
02470586,Auro-Cephalexin,AuroPharma,100,17.31,0.1731
02521261,Cephalexin,Sanis,100,17.31,0.1731
02495651,Cephalexin,Sivem,100,17.31,0.1731
00828866,Céphalexin-500,Pro Doc,500,86.55,0.1731
02494701,Jamp,Cephalexin Jamp,100,17.31,0.1731
00583421,Teva-Cephalexin,Teva Can,100,17.31,0.1731
02128187,Cefoxitine,Teva Can,1,10.60,10.6000
02128195,Cefoxitine,Teva Can,1,21.25,21.2500
02492148,Ertapénem,pour injection AuroPharma,10,464.39,46.4390
02511150,Ertapénem pour,injection Dr Reddy's,10,464.39,46.4390
02496127,Ertapénem,pour injection Fresenius,10,464.39,46.4390
02490773,Ertapénem,pour injection Juno,10,464.39,46.4390
02247437,Invanz,Merck,10,464.39,46.4390
02351706,Taro-Imipenem-Cilastatin,Sun Pharma,30,658.20,21.9400
02378795,Meropenem,Sandoz,10,184.45,18.4450
02462893,Meropenem,pour Injection AuroPharma,10,184.45,18.4450
02493349,Meropenem,pour Injection Sterimax,10,184.45,18.4450
02536374,Méropénem,pour injection Jamp,1,18.45,18.4500
02415224,Méropénem,"pour injection, Fresenius",1,18.45,18.4500
02421526,Taro-Meropenem,Sun Pharma,10,184.45,18.4450
02378787,Meropenem,Sandoz,10,92.22,9.2223
02462885,Meropenem,pour Injection AuroPharma,10,92.22,9.2223
02493330,Méropénem,pour injection Sterimax,10,92.22,9.2223
02415216,Méropénem,"pour injection, Fresenius",1,9.22,9.2200
02421518,Taro-Meropenem,Sun Pharma,10,92.22,9.2223
02480700,AG-Azithromycin,Angita,6,5.65,0.9410
02415542,Apo-Azithromycin,Z Apotex,6,5.65,0.9410
02477610,Azithromycin,Altamed,6,5.65,0.9410
